"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string","i32","i32","string","bool"
22,"CurseTemporalChains",38,[],[],"orb_finish","","","",70,0,"",""
23,"CurseTemporalChainsNew",4484,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
24,"IzaroTemporalChains",841,[],[],"orb_finish","","","",70,0,"",""
25,"IzaroDeathTemporalChains",864,[],[],"orb_finish","","","",70,0,"",""
26,"CurseEnfeeble",45,[],[],"orb_finish","","","",70,0,"",""
27,"CurseVulnerability",48,[],[],"orb_finish","","","",70,0,"",""
28,"IzaroVulnerabilityOrb",843,[],[],"orb_finish","","","",70,0,"",""
29,"IzaroDeathVulnerabilityOrb",866,[],[],"orb_finish","","","",70,0,"",""
30,"CurseElementalWeakness",39,[],[],"orb_finish","","","",70,0,"",""
31,"IzaroElementalWeaknessOrb",842,[],[],"orb_finish","","","",70,0,"",""
32,"IzaroDeathElementalWeaknessOrb",865,[],[],"orb_finish","","","",70,0,"",""
33,"CurseFireWeakness",40,[],[],"orb_finish","","","",70,0,"",""
34,"CurseColdWeakness",41,[],[],"orb_finish","","","",70,0,"",""
35,"CurseLightningWeakness",42,[],[],"orb_finish","","","",70,0,"",""
36,"CurseChaosWeakness",1747,[],[],"orb_finish","","","",70,0,"",""
37,"CursePunishment",44,[],[],"orb_finish","","","",70,0,"",""
38,"CurseSilence",275,[100],"[""orb_idle""]","orb_finish","hexproof","","",70,0,"",""
39,"CurseWarlordsMark",43,[],[],"orb_finish","","","",70,0,"",""
40,"CurseAssassinsMark",46,[],[],"orb_finish","","","",70,0,"",""
41,"CurseSnipersMark",47,[],[],"orb_finish","","","",2026,0,"",""
42,"CursePoachersMark",49,[],[],"orb_finish","","","",70,0,"",""
43,"CurseAlchemistsMark",50,[],[],"orb_finish","","","",70,0,"",""
44,"FlaskCurseImmunity",154,[],[],"orb_finish","","","",70,0,"",""
45,"DoedreRedOrb",1387,[],[],"orb_finish","","","",70,0,"",""
46,"DoedreGreenOrb",1386,[],[],"orb_finish","","","",70,0,"",""
47,"DoedrePurpleOrb",1385,[],[],"orb_finish","","","",70,0,"",""
48,"ShrinePlus",257,[],[],"orb_finish","","","",70,0,"",""
49,"ShrineFist",256,[],[],"orb_finish","","","",70,0,"",""
50,"ShrineSword",259,[],[],"orb_finish","","","",70,0,"",""
51,"ShrineWing",255,[],[],"orb_finish","","","",70,0,"",""
52,"ShrineThorns",313,[],[],"orb_finish","","","",70,0,"",""
53,"ShrineFire",260,[],[],"orb_finish","","","",70,0,"",""
54,"ShrineLightning",262,[],[],"orb_finish","","","",70,0,"",""
55,"ShrineArc",264,[],[],"orb_finish","","","",70,0,"",""
56,"ShrineCold",261,[],[],"orb_finish","","","",70,0,"",""
57,"ShrineSmoke",314,[],[],"orb_finish","","","",70,0,"",""
58,"ShrineMassive",323,[],[],"orb_finish","","","",70,0,"",""
59,"ShrineShield",258,[],[],"orb_finish","","","",70,0,"",""
60,"ShrineResistance",311,[],[],"orb_finish","","","",70,0,"",""
61,"ShrineGodMode",325,[],[],"orb_finish","","","",70,0,"",""
62,"ShrineEchoing",324,[],[],"orb_finish","","","",70,0,"",""
63,"ShrineCurse",312,[],[],"orb_finish","","","",70,0,"",""
64,"ShrineSkeletons",263,[],[],"orb_finish","","","",70,0,"",""
65,"ShrineResonating",2968,[],[],"orb_finish","","","",70,0,"",""
66,"Blind",125,[],[],"orb_finish","","","",70,0,"",""
67,"BlindOrbSand",3012,[],[],"orb_finish","","","",70,0,"",""
68,"CorruptedBloodNonPlayer",3477,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",70,0,"",""
69,"CorruptedBloodHeritageNonPlayer",6766,[],[],"orb_finish","","","",70,0,"",""
70,"CorruptedBloodPlayer",3478,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",70,0,"",""
71,"CorruptedBloodHeritagePlayer",6767,[],[],"orb_finish","","","",70,0,"",""
72,"Stun",421,[],[],"orb_finish","","","",70,0,"",""
73,"Debilitate",4325,[],[],"","","","",70,0,"",""
74,"DebilitateCelestial",4390,[],[],"","","","",70,0,"",""
75,"Maleditction",4326,[],[],"","","","",70,0,"",""
76,"TormentTouched",476,[],[],"orb_finish","","","",70,0,"",""
77,"PietysRage",575,[],[],"orb_finish","","","",70,0,"",""
78,"Bonespire",786,[],[],"orb_finish","","","",70,0,"",""
79,"AtlasAdjudicatorCharges",3692,[],[],"orb_finish","","","",70,0,"",""
80,"SeaWitchScreechOrb",335,[],[],"orb_finish","","","",70,0,"",""
81,"RighteousFireOrb",108,[],[],"orb_finish","","","",70,0,"",""
82,"ViperStrikeOrb",31,[],[],"orb_finish","","","",70,0,"",""
83,"Deathmark",3441,[],[],"","","","",70,0,"",""
84,"WintertideBrandOrb",4151,[],[],"orb_finish","","","",70,0,"",""
85,"HackyInvisibleSymbol",2215,[],[],"","","","",70,0,"",""
86,"CurseEnfeebleNew",4552,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
87,"CursePunishmentNew",4553,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
88,"CurseFlammabilityNew",4554,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
89,"CurseFrostbiteNew",4555,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
90,"CurseConductivityNew",4556,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
91,"CurseElementalWeaknessNew",4557,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
92,"CurseVulnerabilityNew",4558,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
93,"CurseDespairNew",4559,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",70,0,"",""
94,"SteelOrb",4670,[],[],"end_01","","","",70,0,"",""
95,"HeistConversionOrb",4724,[],[],"","","","",70,0,"",""
96,"SteelOrbTemple",4761,[],[],"end_01","","","",70,0,"",""
97,"FanatacismCharge",4949,[],[],"orb_finish","","","",70,0,"",""
98,"BloodScytheCharge",5229,[],[],"orb_finish","","","",70,0,"",""
99,"UltimatumFrostInfection",5257,[],[],"end_float_01","","","",70,0,"",""
100,"UltimatumPhysBuff",5571,[],[],"orb_finish","","","",70,0,"",""
101,"UltimatumEleBuff",5572,[],[],"orb_finish","","","",70,0,"",""
102,"WintertideBrandCelestialOrb",6027,[],[],"","","","",70,0,"",""
103,"SkadiDebuff",6342,[],[],"","","","",70,0,"",""
104,"ShrineGreed",6477,[],[],"orb_finish","","","",70,0,"",""
105,"TangleTentacleZapped",6503,[],[],"orb_finish","","","",70,0,"",""
106,"CleansingFirePhantasmPossessionOrb",6533,[],[],"ring_finish","","","",70,0,"",""
107,"ChargePowerCrystalStygian",6770,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
108,"ChargeEnduranceCrystalStygian",6771,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
109,"ChargeFrenzyCrystalStygian",6772,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
110,"ChargeEnduranceCrystalDemonic",6804,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
111,"ChargePowerCrystalDemonic",6805,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
112,"ChargeFrenzyCrystalDemonic",6806,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
113,"ChargeEnduranceCrystalGhostflame",6807,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
114,"ChargePowerCrystalGhostflame",6808,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
115,"ChargeFrenzyCrystalGhostflame",6809,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
116,"ChargePowerEldritchVoidBattery",6816,[],[],"orb_finish","","","",70,0,"",""
117,"ChargePowerFrenzyScalingHelmet1",6837,[],[],"orb_finish","","","",70,0,"",""
118,"ChargePowerFrenzyScalingHelmet2",6838,[],[],"orb_finish","","","",70,0,"",""
119,"ChargePowerFrenzyScalingHelmet3",6839,[],[],"orb_finish","","","",70,0,"",""
120,"ChargePowerFrenzyScalingHelmet4",6840,[],[],"orb_finish","","","",70,0,"",""
121,"ChargePowerFrenzyScalingHelmet5",6841,[],[],"orb_finish","","","",70,0,"",""
122,"ChargePowerFrenzyScalingHelmet6",6842,[],[],"orb_finish","","","",70,0,"",""
123,"ChargePowerFrenzyScalingHelmet7",6843,[],[],"orb_finish","","","",70,0,"",""
124,"ShrineBrineKing",6919,[],[],"orb_finish","","","",70,0,"",""
125,"ShrineLunaris",6920,[],[],"orb_finish","","","",70,0,"",""
126,"ShrineSolaris",6921,[],[],"orb_finish","","","",70,0,"",""
127,"ShrineArakaali",6922,[],[],"orb_finish","","","",70,0,"",""
128,"TricksterHeartstopperHit",6923,[],[],"","","","",70,0,"",""
129,"TricksterHeartstopperDot",6924,[],[],"","","","",70,0,"",""
130,"ChargeEndurancePredatorFarruls",6926,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
131,"ChargePowerPredatorFarruls",6927,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
132,"ChargeFrenzyPredatorFarruls",6928,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
133,"MarkSunprismAlchemistsMark",6941,[],[],"","","","",70,0,"",""
134,"StarfallBloodScytheCharge",7027,[],[],"orb_finish","","","",70,0,"",""
135,"ChargeFireChargeHelmet",7047,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
136,"MTXGullHarpyShrineSymbolWing",7467,[],[],"orb_finish","","","",70,0,"",""
137,"MTXGullHarpyShrineSymbolFist",7468,[],[],"orb_finish","","","",70,0,"",""
138,"MTXGullHarpyShrineSymbolPlus",7469,[],[],"orb_finish","","","",70,0,"",""
139,"MTXGullHarpyShrineSymbolResistance",7470,[],[],"orb_finish","","","",70,0,"",""
140,"MTXGullHarpyShrineSymbolMassive",7471,[],[],"orb_finish","","","",70,0,"",""
141,"MTXGullHarpyShrineSymbolShield",7472,[],[],"orb_finish","","","",70,0,"",""
142,"MTXDruidGloveChargeEndurance",7538,[],[],"orb_finish","","","",70,0,"",""
143,"MTXDruidGloveChargePower",7539,[],[],"orb_finish","","","",70,0,"",""
144,"MTXDruidGloveChargeFrenzy",7540,[],[],"orb_finish","","","",70,0,"",""
145,"MTXPlanetaryOrbEndurance",7575,[-1],[],"fade","","startup","idle",70,0,"",""
146,"MTXPlanetaryOrbPower",7576,[-1],[],"fade","","startup","idle",70,0,"",""
147,"MTXPlanetaryOrbFrenzy",7577,[-1],[],"fade","","startup","idle",70,0,"",""
148,"MTXEldritchPlanetaryOrbEndurance",7578,[-1],[],"fade","","startup","idle",70,0,"",""
149,"MTXEldritchPlanetaryOrbPower",7579,[-1],[],"fade","","startup","idle",70,0,"",""
150,"MTXEldritchPlanetaryOrbFrenzy",7580,[-1],[],"fade","","startup","idle",70,0,"",""
151,"MTXVoidEmperorPlanetaryOrbEndurance",7581,[-1],[],"fade","","startup","idle",70,0,"",""
152,"MTXVoidEmperorPlanetaryOrbPower",7582,[-1],[],"fade","","startup","idle",70,0,"",""
153,"MTXVoidEmperorPlanetaryOrbFrenzy",7583,[-1],[],"fade","","startup","idle",70,0,"",""
154,"MTXDarkrayAltFrenzy",7602,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
155,"MTXSkullChargeEndurance",7610,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
156,"MTXSkullChargePower",7611,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
157,"MTXSkullChargeFrenzy",7612,[],[],"orb_finish","","orb_appear","orb_idle",70,0,"",""
158,"VineBloodScytheCharge",7616,[],[],"orb_finish","","","",70,0,"",""
159,"MTXSentinelChargeEndurance",7627,[],[],"submerge","","emerge","idle",70,0,"",""
160,"MTXSentinelChargePower",7628,[],[],"submerge","","emerge","idle",70,0,"",""
161,"MTXSentinelChargeFrenzy",7629,[],[],"submerge","","emerge","idle",70,0,"",""
162,"WolfHowlDebuffMark",8053,[],[],"","","","",70,0,"",""
163,"QueenOfFilthTaintedLife",8362,[],[],"end","","start","idle",70,0,"",""
164,"QueenOfFilthTaintedMana",8363,[],[],"end","","start","idle",70,0,"",""
165,"FreezingMarkOrb",8622,[],[],"orb_finish","","","orb_idle",2026,0,"",""
166,"VoltaicMarkOrb",8624,[],[],"orb_finish","","","orb_idle",2026,0,"",""
167,"MtxZodiacDragonPowerCharge",8585,[],[],"","","","",70,0,"",""
168,"MtxZodiacDragonFrenzyCharge",8586,[],[],"","","","",70,0,"",""
169,"MtxZodiacDragonEnduranceCharge",8587,[],[],"","","","",70,0,"",""
170,"InvocationOrbiterMeleeKill",8727,[],"[""idle_ready_01""]","end_01","","appear_01","idle_charging_01",3962,0,"consume_01",1
171,"InvocationOrbiterElemental",8728,[],"[""idle_ready_01""]","end_01","","appear_01","idle_charging_01",3962,0,"consume_01",1
172,"InvocationOrbiterBarrier",8729,[],"[""idle_ready_01""]","end_01","","appear_01","idle_charging_01",3962,0,"consume_01",1
173,"ChargeEnduranceMastery",3,[],[],"chargeEnd_01","","chargeGain_01_MASTERY","chargeLoop_01_MASTERY",134,0,"",""
174,"ChargePowerMastery",4,[],[],"chargeEnd_01","","chargeGain_01_MASTERY","chargeLoop_01_MASTERY",134,0,"",""
175,"ChargeFrenzyMastery",5,[],[],"chargeEnd_01","","chargeGain_01_MASTERY","chargeLoop_01_MASTERY",134,0,"",""
176,"WitherCharge",8806,[],[],"chargeEnd_01","","chargeGain_01","chargeLoop_01",70,0,"",""
