"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool","rid","row"
146,146,951,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
147,147,952,20,"",0,"","","","",0,20,0,"",4,"","","",0,1,1,1,1,"",8
148,148,958,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
149,149,959,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
150,150,948,20,4700,0,1,1,"","",0,15,50,"",4,"","","",0,1,1,1,1,"",8
151,151,962,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
152,152,969,20,4661,0,"","","","",0,15,300,"",4,"","","",0,1,1,1,1,"",8
153,153,972,20,"",0,"","","","",0,1,0,"",4,"","","",0,1,1,1,1,"",8
154,154,976,20,4744,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
155,155,980,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
156,156,987,20,4696,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
157,157,977,20,4745,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
158,158,978,20,4746,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
159,159,979,20,4747,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
160,160,981,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
161,161,982,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
162,162,983,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
163,163,999,20,4778,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
164,164,1001,20,4858,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
165,165,1002,20,4886,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",8
166,166,1003,20,4887,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,1,"",8
167,167,1008,24,4932,0,"","","","",0,26,67,"",4,"","","",0,1,1,1,1,"",8
168,168,1010,20,4937,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
169,169,1012,20,4938,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
170,170,1011,20,4943,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
171,171,1017,20,451,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
172,172,1018,20,4970,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
173,173,1021,31,5009,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
174,174,1034,20,1362,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
175,175,1049,24,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
176,176,1050,24,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
177,177,1061,20,5426,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1,"",8
178,178,1062,20,5427,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1,"",8
179,179,1063,20,5428,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1,"",8
180,180,1066,20,5447,0,1,"","","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
181,181,679,20,5620,0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
182,182,680,20,"",0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
183,183,905,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",8
184,184,906,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",8
185,185,907,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",8
186,186,908,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",8
187,187,909,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",8
188,188,1103,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
189,189,1121,20,"",0,1,1,1,"",0,6,0,1,4,"","","",0,1,1,1,1,"",8
190,190,1133,20,5969,10,"","","","",0,7,0,"",4,"","","",0,1,1,1,1,"",8
191,191,1134,20,5970,10,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",8
192,192,1135,20,5971,10,"","","","",0,23,0,"",4,"","","",0,1,1,1,1,"",8
193,193,1137,20,5981,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
194,194,1138,20,5982,0,1,"","","",0,12,0,"",4,1,"","",0,1,1,1,1,"",8
195,195,1146,20,6099,10,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",8
196,196,1136,20,"",0,"","","","",0,7,0,"",4,"","","",0,1,1,1,1,"",8
197,197,1155,20,6169,0,"","","","",0,11,0,"",4,"",1,6204,7,0.7,0.7,1.1,1,"",8
198,198,1156,20,6200,0,"","","","",0,10,30,"",4,"","","",0,1,1,1,1,"",8
199,199,1157,20,6203,0,"","","","",0,7,0,"",4,"","","",0,1,1,1,1,"",8
200,200,1165,20,6302,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,"","",8
201,201,1167,20,6325,0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
202,202,1176,20,515,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",8
