"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","rid"
10,"Metadata/Items/Currency/CurrencyUpgradeToMagic",30,1,1,"Orb of Transmutation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,11,1315720499,[],"","","",[],[],"","","","","",""
11,"Metadata/Items/Currency/CurrencyRerollMagic",30,1,1,"Orb of Alteration","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],31,1,12,-684555689,[],"","","",[],[],"","","","","",""
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],31,1,13,2131686967,"[148,8506]","","","",[],[],"","","","","",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],31,1,15,-1068542423,[],"","","",[],[],"","","","","",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],31,1,16,-658682019,[8310],"","","",[],[],"","","","","",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,17,-172267806,[],"","","",[],[],"","","","","",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],31,1,18,1328218349,[],"","","",[],[],"","","","","",""
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[348],31,1,19,-579550017,[7246],"","","",[],[],"","","","","",""
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[348],31,1,20,128553707,[7734],"","","",[],[],"","","","","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],31,1,29,471734571,[7732],"","","",[],[],"","","","","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],31,1,30,-954468979,[],"","","",[],[],"","","","","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],31,1,31,-577668719,[7983],"","","",[],[],"","","","","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],31,1,32,-2147189507,[8308],"","","",[],[],"","","","","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],31,1,33,764311090,[],"","","",[],[],"","","","","",""
24,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],31,1,34,1784206883,[],"","","",[],[],"","","","","",""
25,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],31,1,5,-601787753,[7485],"","","",[],[],"","","","","",""
26,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],31,0,25,1594034883,[],"","","",[],[],"","","","","",""
27,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],31,0,26,1280989466,[],"","","",[],[],"","","","","",""
28,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],31,0,27,216495198,[],"","","",[],[],"","","","","",""
29,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],31,0,28,-1225932478,[],"","","",[],[],"","","","","",""
30,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],31,0,35,2003183108,[],"","","",[],[],"","","","","",""
31,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],31,0,36,1639118317,[],"","","",[],[],"","","","","",""
32,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,0,37,-1778209926,[],"","","",[],[],"","","","","",""
33,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],31,1,38,118945160,[],"","","",[],[],"","","","","",""
34,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,0,40,1105850261,[],"","","",[],[],"","","","","",""
35,"Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt",30,1,1,"Tainted Blessing","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],31,1,41,-414791514,[],"","","",[],[],"","","","","",""
36,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,0,42,-373756366,[],"","","",[],[],"","","","","",""
37,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,0,43,770737543,[],"","","",[],[],"","","","","",""
38,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,0,44,-350425493,[],"","","",[],[],"","","","","",""
39,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],31,0,45,869188640,[],"","","",[],[],"","","","",1,""
40,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],31,0,46,-1627937231,[],"","","",[],[],"","","","","",""
41,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,0,47,1684876054,[],"","","",[],[],"","","","","",""
42,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],31,1,48,-642231840,[],"","","",[],[],"","","","","",""
43,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,49,1322399661,[],"","","",[],[],"","","","","",""
44,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Metadata/Items/Currency/StackableCurrency",68,"",[],1,34,[],31,1,50,-35579070,[],"","","",[],[],"","","","","",""
45,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,51,1338342621,[],"","","",[],[],"","","","","",""
46,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,52,952467265,[],"","","",[],[],"","","","","",""
47,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,53,-758415450,[],"","","",[],[],"","","","","",""
48,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,54,1432765449,[],"","","",[],[],"","","","","",""
49,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],31,1,55,1575994632,[],"","","",[],[],"","","","","",""
50,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,56,-1948343582,[],"","","",[],[],"","","","","",""
51,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,57,-1964846163,[],"","","",[],[],"","","","","",""
52,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,58,-1933705530,[],"","","",[],[],"","","","","",""
53,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,59,-109051957,[],"","","",[],[],"","","","","",""
54,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,60,-1263630474,[],"","","",[],[],"","","","","",""
55,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,61,1368969315,[],"","","",[],[],"","","","","",""
56,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,62,-913101815,[],"","","",[],[],"","","","","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,63,-1371001890,[],"","","",[],[],"","","","","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Kalguuran Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,64,358205216,[],"","","",[],[],"","","","","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,65,2026013751,[],"","","",[],[],"","","","","",""
60,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,66,1664903587,[],"","","",[],[],"","","","","",""
61,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,67,-306946215,[],"","","",[],[],"","","","","",""
62,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,68,-768400989,[],"","","",[],[],"","","","","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,69,243322328,[],"","","",[],[],"","","","","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,70,2076808891,[],"","","",[],[],"","","","","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,0,71,1150272452,[],"","","",[],[],50,"","","","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,72,1404182465,[],"","","",[],[],"","","","","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,0,73,-117882756,[],"","","",[],[],"","","","","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,74,-1736338822,[],"","","",[],[],"","","","","",""
69,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,75,-404905148,[],"","","",[],[],"","","","","",""
70,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,76,1738859609,[],"","","",[],[],"","","","","",""
71,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,77,-1728487329,[],"","","",[],[],"","","","","",""
72,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Amorphous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[671],31,1,78,2005344760,[],"","","",[],[],"","","","","",""
73,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],31,1,10600,-1010710615,[],"","","",[],[],"","","","","",41
74,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10601,1794042691,[],"","","",[],[],"","","","","",41
75,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10602,-1926556014,[],"","","",[],[],"","","","","",41
76,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10603,1130285480,[],"","","",[],[],"","","","","",41
77,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10604,2062300730,[],"","","",[],[],"","","","","",41
78,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10605,-2071586625,[],"","","",[],[],"","","","","",41
79,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10606,1769493148,[],"","","",[],[],"","","","","",41
80,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],31,1,10607,-777397213,[],"","","",[],[],"","","","","",41
81,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10608,1672586153,[],"","","",[],[],"","","","","",41
82,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10609,1828846209,[],"","","",[],[],"","","","","",41
83,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10610,-1245983058,[],"","","",[],[],"","","","","",41
84,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10611,-182539987,[],"","","",[],[],"","","","","",41
85,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10612,910335598,[],"","","",[],[],"","","","","",41
86,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10613,1591416724,[],"","","",[],[],"","","","","",41
87,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],31,1,10614,1724552963,[],"","","",[],[],"","","","","",41
88,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10615,-1337235593,[],"","","",[],[],"","","","","",41
89,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10616,1334812465,[],"","","",[],[],"","","","","",41
90,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10617,-669856137,[],"","","",[],[],"","","","","",41
91,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10618,181619222,[],"","","",[],[],"","","","","",41
92,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10619,2059925248,[],"","","",[],[],"","","","","",41
93,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10620,-1356244188,[],"","","",[],[],"","","","","",41
94,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],31,1,10621,1018082169,[],"","","",[],[],"","","","","",41
95,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10622,829889309,[],"","","",[],[],"","","","","",41
96,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10623,2051179612,[],"","","",[],[],"","","","","",41
97,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10624,-743698363,[],"","","",[],[],"","","","","",41
98,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10625,-205989316,[],"","","",[],[],"","","","","",41
99,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10626,-1738015661,[],"","","",[],[],"","","","","",41
100,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10627,1330507188,[],"","","",[],[],"","","","","",41
101,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10628,535092733,[],"","","",[],[],"","","","","",41
102,"Metadata/Items/Currency/CurrencyEssenceSorrow2",30,1,1,"Weeping Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10629,-267836319,[],"","","",[],[],"","","","","",41
103,"Metadata/Items/Currency/CurrencyEssenceSorrow3",30,1,1,"Wailing Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10630,-880120152,[],"","","",[],[],"","","","","",41
104,"Metadata/Items/Currency/CurrencyEssenceSorrow4",30,1,1,"Screaming Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10631,1066624914,[],"","","",[],[],"","","","","",41
105,"Metadata/Items/Currency/CurrencyEssenceSorrow5",30,1,1,"Shrieking Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10632,993214565,[],"","","",[],[],"","","","","",41
106,"Metadata/Items/Currency/CurrencyEssenceSorrow6",30,1,1,"Deafening Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10633,-558420537,[],"","","",[],[],"","","","","",41
107,"Metadata/Items/Currency/CurrencyEssenceAnger1",30,1,1,"Muttering Essence of Anger","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10634,-36091224,[],"","","",[],[],"","","","","",41
108,"Metadata/Items/Currency/CurrencyEssenceAnger2",30,1,1,"Weeping Essence of Anger","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10635,-1327428615,[],"","","",[],[],"","","","","",41
109,"Metadata/Items/Currency/CurrencyEssenceAnger3",30,1,1,"Wailing Essence of Anger","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10636,891153638,[],"","","",[],[],"","","","","",41
110,"Metadata/Items/Currency/CurrencyEssenceAnger4",30,1,1,"Screaming Essence of Anger","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10637,128783824,[],"","","",[],[],"","","","","",41
111,"Metadata/Items/Currency/CurrencyEssenceAnger5",30,1,1,"Shrieking Essence of Anger","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10638,-452117587,[],"","","",[],[],"","","","","",41
112,"Metadata/Items/Currency/CurrencyEssenceAnger6",30,1,1,"Deafening Essence of Anger","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10639,1536872438,[],"","","",[],[],"","","","","",41
113,"Metadata/Items/Currency/CurrencyEssenceTorment1",30,1,1,"Muttering Essence of Torment","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10640,-475311494,[],"","","",[],[],"","","","","",41
114,"Metadata/Items/Currency/CurrencyEssenceTorment2",30,1,1,"Weeping Essence of Torment","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10641,1008794806,[],"","","",[],[],"","","","","",41
115,"Metadata/Items/Currency/CurrencyEssenceTorment3",30,1,1,"Wailing Essence of Torment","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10642,-1179354155,[],"","","",[],[],"","","","","",41
116,"Metadata/Items/Currency/CurrencyEssenceTorment4",30,1,1,"Screaming Essence of Torment","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10643,747230036,[],"","","",[],[],"","","","","",41
117,"Metadata/Items/Currency/CurrencyEssenceTorment5",30,1,1,"Shrieking Essence of Torment","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],31,1,10644,-826006652,[],"","","",[],[],"","","","","",41
118,"Metadata/Items/Currency/CurrencyEssenceTorment6",30,1,1,"Deafening Essence of Torment","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],31,1,10645,-1551618851,[],"","","",[],[],"","","","","",41
119,"Metadata/Items/Currency/CurrencyEssenceFear1",30,1,1,"Muttering Essence of Fear","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],31,1,10646,697488794,[],"","","",[],[],"","","","","",41
120,"Metadata/Items/Currency/CurrencyEssenceFear2",30,1,1,"Weeping Essence of Fear","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],31,1,10647,-185991819,[],"","","",[],[],"","","","","",41
121,"Metadata/Items/Currency/CurrencyEssenceFear3",30,1,1,"Wailing Essence of Fear","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],31,1,10648,2034631909,[],"","","",[],[],"","","","","",41
122,"Metadata/Items/Currency/CurrencyEssenceFear4",30,1,1,"Screaming Essence of Fear","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],31,1,10649,-575837846,[],"","","",[],[],"","","","","",41
