"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
33,"BeyondSextant",[45],[],[],[],1,[0]
34,"TormentBetrayersSextant",[46],[],[],[],1,[0]
35,"TormentHereticsSextant",[47],[],[],[],1,[0]
36,"TormentGraverobbersSextant",[48],[],[],[],1,[0]
37,"CorruptEssenceSextant",[49],[],[],[],1,[0]
38,"LegionSextant","[19,51]",[],[],[],1,[0]
39,"Tempest",[50],[],[],[],1,[0]
40,"Total10Mods",[9],[],[1023],[],1,[0]
41,"HasQuality",[52],[],[],[],1,[0]
42,"RareDeliriumMap","[1,53]",[],[],[],1,[0]
43,"RareDeliriumMapMaxDelirium","[1,54]",[],[7101],[],1,[0]
44,"RareDeliriumMapMaxDelirium4Mods","[1,54,6]",[],[8782],[],1,[0]
45,"TwinnedMapMaxDelirium","[3,54]",[],[],[],1,[0]
46,"RareMapAwakening8MaxDelirium","[1,55,54]",[],[],[],1,[0]
47,"ElderGuardianMapMaxDelirium","[56,54]",[],[],[],1,[0]
48,"RareBlightedMap","[1,57]",[],[],[],1,[0]
49,"UniqueMap_HallOfGrandmasters",[],[],[4219],[],1,"[993,858,782,1190]"
50,"UniqueMap_WhakawairuaTuahu",[],[],"[8168,8365,8815]",[],1,"[962,871,793,1103]"
51,"UniqueMap_VinktarSquare",[],[],"[4222,8169,8366,8816]",[],1,"[1001,910,1157]"
52,"UniqueMap_VaultsOfAtziri",[],[],"[8159,8356,8806]",[],1,"[938,845,768,1153]"
53,"UniqueMap_PutridCloister",[],[],"[8171,8368,8818]",[],1,"[940,1176]"
54,"UniqueMap_PoorjoysAsylum",[],[],"[8163,8360,8810]",[],1,"[997,868,790,1173]"
55,"UniqueMap_PerandusManor",[],[],[8175],[],1,"[1009,899,1105]"
56,"UniqueMap_OlmecsSanctum",[],[],"[8166,8363,8813]",[],1,"[969,876,809,1143]"
57,"UniqueMap_ObasCursedTrove",[],[],"[8165,8362,8812]",[],1,"[1013,878,798,1209]"
58,"UniqueMap_MaoKun",[],[],"[8164,8361,8811]",[],1,"[995,847,770,1160]"
59,"UniqueMap_MaelstromOfChaos",[],[],"[8160,8357,8807]",[],1,"[980,838,761,1131]"
60,"UniqueMap_HallowedGround",[],[],"[8172,8369,8819]",[],1,"[922,1133]"
61,"UniqueMap_DeathAndTaxes",[],[],"[8167,8364,8814]",[],1,"[1019,894,813,1211]"
62,"UniqueMap_CowardsTrial",[],[],"[8161,8358,8808]",[],1,"[987,826,748,1187]"
63,"UniqueMap_CaerBlaidd",[],[],"[8170,8367,8817]",[],1,"[1006,861,1145]"
64,"UniqueMap_ActonsNightmare",[],[],"[8162,8359,8809]",[],1,"[991,853,777,1204]"
65,"UniqueMap_DoryanisMachinarium",[],[],"[8176,8372,8822]",[],1,[1115]
66,"UniqueMap_TwilightTemple",[],[],"[8173,8370,8820]",[],1,[1165]
67,"UniqueMap_PillarsOfArun",[],[],"[8174,8371,8821]",[],1,[1141]
68,"VaalTemple",[],[],[],[],1,"[1049,917,824,1239]"
69,"TwinnedCaldera",[3],[],[],[],1,"[1039,920,1213]"
70,"TwinnedColosseum",[3],[],[],[],1,"[1040,921,1222]"
71,"TwinnedCore",[3],[],[],[],1,"[1041,919,1221]"
72,"TwinnedMalformation",[3],[],[],[],1,"[1002,892,1216]"
73,"TwinnedMaze",[3],[],[],[],1,"[1033,916,808,1114]"
74,"TwinnedMuseum",[3],[],[],[],1,"[988,850,773,1175]"
75,"TwinnedNecropolis",[3],[],[],[],1,"[1018,893,812,1210]"
76,"TwinnedPalace",[3],[],[],[],1,"[1035,913,822,1228]"
77,"TwinnedPark",[3],[],[],[],1,[1215]
78,"TwinnedPhantasmagoria",[3],[],[],[],1,"[944,859,1125]"
79,"TwinnedPlaza",[3],[],[],[],1,"[1029,918,1226]"
80,"TwinnedScriptorium",[3],[],[],[],1,"[1030,1177]"
81,"TwinnedShrine",[3],[],[],[],1,"[1036,914,820,1218]"
82,"TwinnedTortureChamber",[3],[],[],[],1,"[1012,877,797,1208]"
83,"TwinnedWasteland",[3],[],[],[],1,"[1015,908,1182]"
84,"TwinnedAcademy",[3],[],[],[],1,"[939,902,818,1126]"
85,"TwinnedCarcass",[3],[],[],[],1,[1233]
86,"TwinnedTribunal",[3],[],[],[],1,[1135]
87,"TwinnedBoneCrypt",[3],[],[],[],1,"[968,875,774,1142]"
88,"TwinnedSepulchre",[3],[],[],[],1,[1166]
89,"TwinnedLair",[3],[],[],[],1,"[1025,1191]"
90,"TwinnedOvergrownShrine",[3],[],[],[],1,"[990,852,776,1203]"
91,"TwinnedArsenal",[3],[],[],[],1,"[999,907,758,1219]"
92,"TwinnedAcidLakes",[3],[],[],[],1,"[941,1223]"
93,"TwinnedCrimsonTemple",[3],[],[],[],1,[1225]
94,"TwinnedLookout",[3],[],[],[],1,[1079]
95,"TwinnedStrand",[3],[],[],[],1,"[961,870,792,1102]"
96,"TwinnedSpiderLair",[3],[],[],[],1,"[954,843,766,1120]"
97,"TwinnedJungleValley",[3],[],[],[],1,"[926,881,801,1124]"
98,"TwinnedVaalPyramid",[3],[],[],[],1,"[937,844,767,1152]"
99,"TwinnedOrchard",[3],[],[],[],1,"[989,887,756,1188]"
100,"TwinnedSpiderForest",[3],[],[],[],1,"[960,856,780,1194]"
101,"TwinnedFactory",[3],[],[],[],1,"[928,1197]"
102,"TwinnedMesa",[3],[],[],[],1,"[950,1198]"
103,"TwinnedCastleRuins",[3],[],[],[],1,"[967,906,1205]"
104,"TwinnedMoonTemple",[3],[],[],[],1,[1164]
105,"TwinnedDarkForest",[3],[],[],[],1,"[1042,885,805,1224]"
106,"TwinnedTemple",[3],[],[],[],1,"[996,867,789,1172]"
107,"TwinnedShipyard",[3],[],[],[],1,"[1023,904,819,1179]"
108,"TwinnedCursedCrypt",[3],[],[],[],1,"[986,825,747,1186]"
109,"TwinnedPrimordialPool",[3],[],[],[],1,"[953,1193]"
110,"TwinnedPit",[3],[],[],[],1,"[951,830,1199]"
111,"TwinnedVilla",[3],[],[],[],1,"[945,866,788,1207]"
112,"TwinnedRacecourse_",[3],[],[],[],1,"[958,1212]"
113,"TwinnedGhetto",[3],[],[],[],1,"[929,842,765,1214]"
114,"TwinnedCitySquare",[3],[],[],[],1,[1099]
115,"TwinnedPeninsula",[3],[],[8009],[],1,"[948,886,806,1094]"
116,"TwinnedVolcano",[3],[],[],[],1,"[1038,897,1108]"
117,"TwinnedArena",[3],[],[],[],1,"[975,851,1174]"
118,"TwinnedPort",[3],[],[],[],1,"[1003,1095]"
119,"TwinnedPrecinct",[3],[],[],[],1,"[1011,901,817,1183]"
120,"TwinnedPlateau",[3],[],[],[],1,"[1020,895,814,1169]"
121,"TwinnedCanyon",[3],[],[],[],1,"[956,884,804,1110]"
122,"TwinnedCourthouse",[3],[],[],[],1,[1101]
123,"TwinnedBurialChambers",[3],[],[8196],[],1,"[947,1096]"
124,"T10HellscapeMaps",[59],[],[8391],[],1,[0]
125,"AoEMinotaur",[60],[],[8384],[],1,"[1047,1237]"
126,"MinusMaxPhoenix",[61],[],[8385],[],1,"[1046,1236]"
127,"FleetChimera","[63,64,65]",[],[8386],[],1,"[1044,1234]"
128,"MultiProjHydra",[62],[],[8387],[],1,"[1045,1235]"
129,"SynthesisUniqueMapCortex",[],[],[8413],[],1,[442]
130,"SynthesisUniqueMapMemory1",[],[],[8413],[],1,[443]
131,"SynthesisUniqueMapMemory2",[],[],[8413],[],1,[444]
132,"SynthesisUniqueMapMemory3",[],[],[8413],[],1,[445]
133,"SynthesisUniqueMapMemory4",[],[],[8413],[],1,[446]
134,"MapWith4SextantMods",[66],[],[8645],[],1,[0]
135,"TangleInfluenceMap",[67],[],[8528],[],1,[0]
136,"CleansingFireInfluenceMap",[68],[],[8526],[],1,[0]
137,"WrithingInvitation5ModsHeightOfHubris","[7,69]",[],[8792],[],1,[1273]
138,"ScreamingInvitation5ModsHeightOfHubris","[7,69]",[],[8793],[],1,[1276]
139,"PolaricInvitation5ModsHeightOfHubris","[7,69]",[],[8794],[],1,[1274]
140,"IncandescentInvitation5ModsHeightOfHubris","[7,69]",[],[8795],[],1,[1275]
141,"EaterOfWorldsWith70PercentBossAoE",[70],[],[8858],[],1,[1276]
142,"8ModBlightRavagedMap","[8,58]",[],[8839],[],1,[0]
