"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence"
21,94,"","","","","","","","","","","","","",717,"","",4658,717,4658,4658,4658,4658,1018082169,1,47,[12179],3,1,700,"","",1297,1308,"",4658,"",4658,4658,4658,717,1308,1297,1308,1308,1308,1308,1297,1297,1297,1297,1297,1297,1297,12092,35,4658,717,717,717,4658,"",""
22,95,"","","","","","","","","","","","","",718,"","",4659,718,4659,4659,4659,4659,829889309,12,67,[12180],3,2,770,"","",1298,1309,"",4659,"",4659,4659,4659,718,1309,1298,1309,1309,1309,1309,1298,1298,1298,1298,1298,1298,1298,12093,45,4659,718,718,718,4659,"",""
23,96,"","","","","","","","","","","","","",720,"","",4660,719,4660,4660,4660,4660,2051179612,30,100,[12181],3,3,847,"","",1299,1310,"",4660,"",4660,4660,4660,719,1310,1299,1310,1310,1310,1310,1299,1299,1299,1299,1299,1299,1299,12094,60,4660,720,720,720,4660,"",""
24,97,"","","","","","","","","","","","","",722,722,721,4661,739,4661,4661,4661,4661,-743698363,48,100,[12182],3,4,931,"","",1300,1311,"",4661,"",4661,4661,4661,739,1311,1300,1311,1311,1311,1311,1300,1300,1300,1300,1300,1300,1300,12095,75,4661,722,721,"",4661,"",""
25,98,"","","","","","","","","","","","","",724,724,736,4662,740,4662,4662,4662,4662,-205989316,68,100,"[12183,12099]",3,5,1024,"","",1302,1313,"",4662,"",4662,4662,4662,740,1313,1302,1313,1313,1313,1313,1302,1302,1302,1302,1302,1302,1302,12096,0,4662,724,736,"",4662,"",1
26,99,"","","","","","","","","","","","","",725,725,737,4663,741,4663,4663,4663,4663,-1738015661,0,0,"[12184,12099]",3,6,0,"","",1303,1314,"",4663,"",4663,4663,4663,741,1314,1303,1314,1314,1314,1314,1303,1303,1303,1303,1303,1303,1303,12097,0,4663,725,737,"",4663,"",""
27,100,"","","","","","","","","","","","","",735,735,738,4664,742,4664,4664,4664,4664,1330507188,0,0,"[12185,12099]",3,7,0,"","",1307,1318,"",4664,"",4664,4664,4664,742,1318,1307,1318,1318,1318,1318,1307,1307,1307,1307,1307,1307,1307,12098,0,4664,735,738,"",4664,"",""
28,101,"","","","","","","","","","","","","",79,"","","","","","","","",535092733,12,67,"[12180,12187]",4,2,669,"","",8464,8470,"",79,"",79,79,79,79,8470,8464,8470,8470,8470,8470,8464,8464,8464,8464,8464,8464,8464,12086,45,79,79,79,79,79,79,""
29,102,"","","","","","","","","","","","","",80,"","","","","","","","",-267836319,30,100,"[12181,12187]",4,3,736,"","",8465,8471,"",80,"",80,80,80,80,8471,8465,8471,8471,8471,8471,8465,8465,8465,8465,8465,8465,8465,12087,60,80,80,80,80,80,80,""
30,103,"","","","","","","","","","","","","",82,"","","","","","","","",-880120152,48,100,"[12182,12187]",4,4,810,"","",8466,8472,"",82,"",82,82,82,82,8472,8466,8472,8472,8472,8472,8466,8466,8466,8466,8466,8466,8466,12088,75,82,82,82,82,82,82,""
31,104,"","","","","","","","","","","","","",83,"","","","","","","","",1066624914,68,100,"[12183,12187]",4,5,891,"","",8467,8473,"",83,"",83,83,83,83,8473,8467,8473,8473,8473,8473,8467,8467,8467,8467,8467,8467,8467,12089,0,83,83,83,83,83,83,1
32,105,"","","","","","","","","","","","","",85,"","","","","","","","",993214565,0,0,"[12184,12187]",4,6,0,"","",8468,8474,"",85,"",85,85,85,85,8474,8468,8474,8474,8474,8474,8468,8468,8468,8468,8468,8468,8468,12090,0,85,85,85,85,85,85,""
33,106,"","","","","","","","","","","","","",88,"","","","","","","","",-558420537,0,0,"[12185,12187]",4,7,0,"","",8469,8475,"",88,"",88,88,88,88,8475,8469,8475,8475,8475,8475,8469,8469,8469,8469,8469,8469,8469,12091,0,88,88,88,88,88,88,""
34,107,"","","","","","","","","","","","",1771,3003,"","",3003,"","","","","",-36091224,12,67,"[12180,12189]",5,2,669,1759,"","","",1771,3003,"",3003,3003,3003,3003,1771,1759,1771,1771,1771,1771,1759,1759,1759,1759,1759,1759,1759,12026,45,3003,3521,3521,3521,3003,"",""
35,108,"","","","","","","","","","","","",1773,3004,"","",3004,"","","","","",-1327428615,30,100,"[12181,12189]",5,3,736,1761,"","","",1773,3004,"",3004,3004,3004,3004,1773,1761,1773,1773,1773,1773,1761,1761,1761,1761,1761,1761,1761,12027,60,3004,3522,3522,3522,3004,"",""
36,109,"","","","","","","","","","","","",1775,3005,"","",3005,"","","","","",891153638,48,100,"[12182,12189]",5,4,810,1763,"","","",1775,3005,"",3005,3005,3005,3005,1775,1763,1775,1775,1775,1775,1763,1763,1763,1763,1763,1763,1763,12028,75,3005,3523,3523,3523,3005,"",""
37,110,"","","","","","","","","","","","",1777,3007,"","",3007,"","","","","",128783824,68,100,"[12183,12189]",5,5,891,1765,"","","",1777,3007,"",3007,3007,3007,3007,1777,1765,1777,1777,1777,1777,1765,1765,1765,1765,1765,1765,1765,12029,0,3007,3524,3524,3524,3007,"",1
38,111,"","","","","","","","","","","","",1778,3008,"","",3008,"","","","","",-452117587,0,0,"[12184,12189]",5,6,0,1766,"","","",1778,3008,"",3008,3008,3008,3008,1778,1766,1778,1778,1778,1778,1766,1766,1766,1766,1766,1766,1766,12030,0,3008,3525,3525,3525,3008,"",""
39,112,"","","","","","","","","","","","",1790,3009,"","",3009,"","","","","",1536872438,0,0,"[12185,12189]",5,7,0,1768,"","","",1790,3009,"",3009,3009,3009,3009,1790,1768,1790,1790,1790,1790,1768,1768,1768,1768,1768,1768,1768,12031,0,3009,3526,3526,3526,3009,"",""
40,113,"","","","","","","","","","","","","",944,"","",4652,934,4652,11662,4652,11662,-475311494,12,67,"[12180,12188]",6,2,669,"","",9412,9450,"",4652,"",4652,11662,4652,934,9450,9412,9450,9450,9450,9450,9412,9412,9412,9412,9412,9412,9412,12050,45,4652,935,935,935,11662,"",""
41,114,"","","","","","","","","","","","","",946,"","",4653,935,4653,11663,4653,11663,1008794806,30,100,"[12181,12188]",6,3,736,"","",9414,9452,"",4653,"",4653,11663,4653,935,9452,9414,9452,9452,9452,9452,9414,9414,9414,9414,9414,9414,9414,12051,60,4653,937,937,937,11663,"",""
42,115,"","","","","","","","","","","","","",948,"","",4654,936,4654,11664,4654,11664,-1179354155,48,100,"[12182,12188]",6,4,810,"","",9416,9454,"",4654,"",4654,11664,4654,936,9454,9416,9454,9454,9454,9454,9416,9416,9416,9416,9416,9416,9416,12052,75,4654,939,939,939,11664,"",""
43,116,"","","","","","","","","","","","","",950,"","",4655,937,4655,11665,4655,11665,747230036,68,100,"[12183,12188]",6,5,891,"","",9417,9455,"",4655,"",4655,11665,4655,937,9455,9417,9455,9455,9455,9455,9417,9417,9417,9417,9417,9417,9417,12053,0,4655,941,941,941,11665,"",1
44,117,"","","","","","","","","","","","","",951,"","",4656,938,4656,11666,4656,11666,-826006652,0,0,"[12184,12188]",6,6,0,"","",9418,9456,"",4656,"",4656,11666,4656,938,9456,9418,9456,9456,9456,9456,9418,9418,9418,9418,9418,9418,9418,12054,0,4656,942,942,942,11666,"",""
45,118,"","","","","","","","","","","","","",952,"","",4657,939,4657,11667,4657,11667,-1551618851,0,0,"[12185,12188]",6,7,0,"","",9419,9457,"",4657,"",4657,11667,4657,939,9457,9419,9457,9457,9457,9457,9419,9419,9419,9419,9419,9419,9419,12055,0,4657,953,953,953,11667,"",""
46,119,"","","","","","","","","","","","","",4466,"","",4483,4515,"","",4509,"",697488794,12,67,[12180],7,2,669,"","",19681,19692,"",4483,"",4509,4483,4483,4515,19692,19681,19692,19692,19692,19692,19681,19681,19681,19681,19681,19681,19681,12058,45,4483,4466,4466,4466,4483,"",""
47,120,"","","","","","","","","","","","","",4467,"","",4484,4516,"","",4510,"",-185991819,30,100,[12181],7,3,736,"","",19682,19693,"",4484,"",4510,4484,4484,4516,19693,19682,19693,19693,19693,19693,19682,19682,19682,19682,19682,19682,19682,12059,60,4484,4467,4467,4467,4484,"",""
48,121,"","","","","","","","","","","","","",4468,"","",4485,4517,"","",4511,"",2034631909,48,100,[12182],7,4,810,"","",19683,19694,"",4485,"",4511,4485,4485,4517,19694,19683,19694,19694,19694,19694,19683,19683,19683,19683,19683,19683,19683,12060,75,4485,4468,4468,4468,4485,"",""
49,122,"","","","","","","","","","","","","",4469,"","",4486,4518,"","",4512,"",-575837846,68,100,[12183],7,5,891,"","",19688,19695,"",4486,"",4512,4486,4486,4518,19695,19688,19695,19695,19695,19695,19688,19688,19688,19688,19688,19688,19688,12061,0,4486,4469,4469,4469,4486,"",1
50,123,"","","","","","","","","","","","","",4470,"","",4487,4519,"","",4513,"",117284401,0,0,[12184],7,6,0,"","",19689,19696,"",4487,"",4513,4487,4487,4519,19696,19689,19696,19696,19696,19696,19689,19689,19689,19689,19689,19689,19689,12062,0,4487,4470,4470,4470,4487,"",""
51,124,"","","","","","","","","","","","","",4471,"","",4488,4520,"","",4514,"",-779044208,0,0,[12185],7,7,0,"","",19690,19697,"",4488,"",4514,4488,4488,4520,19697,19690,19697,19697,19697,19697,19690,19690,19690,19690,19690,19690,19690,12063,0,4488,4471,4471,4471,4488,"",""
52,125,"","","","","","","","","","","","","",900,"","",4697,889,4697,11657,4697,11657,836789809,30,100,"[12181,12187]",8,3,640,"","",9397,9442,"",4697,"",4697,11657,4697,889,9442,9397,9442,9442,9442,9442,9397,9397,9397,9397,9397,9397,9397,12064,60,4697,891,891,891,11657,"",""
53,126,"","","","","","","","","","","","","",902,"","",4698,890,4698,11658,4698,11658,-1267169214,48,100,"[12182,12187]",8,4,704,"","",9399,9444,"",4698,"",4698,11658,4698,890,9444,9399,9444,9444,9444,9444,9399,9399,9399,9399,9399,9399,9399,12065,75,4698,893,893,893,11658,"",""
54,127,"","","","","","","","","","","","","",903,"","",4699,891,4699,11659,4699,11659,-1833058895,68,100,"[12183,12187]",8,5,775,"","",9400,9445,"",4699,"",4699,11659,4699,891,9445,9400,9445,9445,9445,9445,9400,9400,9400,9400,9400,9400,9400,12066,0,4699,894,894,894,11659,"",1
55,128,"","","","","","","","","","","","","",905,"","",4700,892,4700,11660,4700,11660,864068417,0,0,"[12184,12187]",8,6,0,"","",9401,9446,"",4700,"",4700,11660,4700,892,9446,9401,9446,9446,9446,9446,9401,9401,9401,9401,9401,9401,9401,12067,0,4700,896,896,896,11660,"",""
56,129,"","","","","","","","","","","","","",906,"","",4701,893,4701,11661,4701,11661,222024053,0,0,"[12185,12187]",8,7,0,"","",9402,9447,"",4701,"",4701,11661,4701,893,9447,9402,9447,9447,9447,9447,9402,9402,9402,9402,9402,9402,9402,12068,0,4701,907,907,907,11661,"",""
57,130,"","","","","","","","","","","","","",2,"","","","","","","","",-1583709973,30,100,"[12181,12189,7831]",9,3,640,"","",8453,8458,"",2,"",2,2,2,2,8458,8453,8458,8458,8458,8458,8453,8453,8453,8453,8453,8453,8453,12109,60,2,2,2,2,2,2,""
58,131,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,48,100,"[12182,12189,7831]",9,4,704,"","",8454,8459,"",4,"",4,4,4,4,8459,8454,8459,8459,8459,8459,8454,8454,8454,8454,8454,8454,8454,12110,75,4,4,4,4,4,4,""
59,132,"","","","","","","","","","","","","",5,"","","","","","","","",-645724387,68,100,"[12183,12189,7831]",9,5,775,"","",8455,8460,"",5,"",5,5,5,5,8460,8455,8460,8460,8460,8460,8455,8455,8455,8455,8455,8455,8455,12111,0,5,5,5,5,5,5,1
60,133,"","","","","","","","","","","","","",7,"","","","","","","","",-193173256,0,0,"[12184,12189,7831]",9,6,0,"","",8456,8461,"",7,"",7,7,7,7,8461,8456,8461,8461,8461,8461,8456,8456,8456,8456,8456,8456,8456,12112,0,7,7,7,7,7,7,""
61,134,"","","","","","","","","","","","","",10,"","","","","","","","",-954409300,0,0,"[12185,12189,7831]",9,7,0,"","",8457,8462,"",10,"",10,10,10,10,8462,8457,8462,8462,8462,8462,8457,8457,8457,8457,8457,8457,8457,12113,0,10,10,10,10,10,10,""
62,135,"","","","","","","","","","","","",1877,3155,"","",3155,"","","","","",1046769873,30,100,"[12181,12188]",10,3,640,1865,"",1865,"",1877,3155,"",3155,3155,3155,3155,1877,1865,1877,1877,1877,1877,1865,1865,1865,1865,1865,1865,1865,12039,60,3155,3586,3586,3586,3155,"",""
63,136,"","","","","","","","","","","","",1879,3156,"","",3156,"","","","","",-383181272,48,100,"[12182,12188]",10,4,704,1867,"",1867,"",1879,3156,"",3156,3156,3156,3156,1879,1867,1879,1879,1879,1879,1867,1867,1867,1867,1867,1867,1867,12040,75,3156,3587,3587,3587,3156,"",""
64,137,"","","","","","","","","","","","",1881,3158,"","",3158,"","","","","",491155825,68,100,"[12183,12188]",10,5,775,1869,"",1869,"",1881,3158,"",3158,3158,3158,3158,1881,1869,1881,1881,1881,1881,1869,1869,1869,1869,1869,1869,1869,12041,0,3158,3589,3589,3589,3158,"",1
65,138,"","","","","","","","","","","","",1882,3159,"","",3159,"","","","","",-150361862,0,0,"[12184,12188]",10,6,0,1870,"",1870,"",1882,3159,"",3159,3159,3159,3159,1882,1870,1882,1882,1882,1882,1870,1870,1870,1870,1870,1870,1870,12042,0,3159,3590,3590,3590,3159,"",""
66,139,"","","","","","","","","","","","",1894,3160,"","",3160,"","","","","",1926779813,0,0,"[12185,12188]",10,7,0,1872,"",1872,"",1894,3160,"",3160,3160,3160,3160,1894,1872,1894,1894,1894,1894,1872,1872,1872,1872,1872,1872,1872,12043,0,3160,3591,3591,3591,3160,"",""
67,140,"","","","","","","","","","","","","",2776,1920,"","","","","","","",-557327777,30,100,[12181],11,3,640,4273,"","","","",1975,"",1975,1975,1975,1975,4273,4273,4273,4273,4273,4273,4273,4273,4273,4273,4273,4273,4273,12131,60,1952,1920,1952,1952,1975,"",""
68,141,"","","","","","","","","","","","","",2777,1921,"","",1989,1989,"","",1978,-1074439089,48,100,[12182],11,4,704,4274,"","","","",1977,"",1977,1977,1989,1989,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,4274,12132,75,1953,1921,1953,1953,1978,"",""
69,142,"","","","","","","","","","","","","",2778,1922,"","",1990,1990,1979,1985,1993,1419643846,68,100,[12183],11,5,775,4275,"","","","",1990,"",1985,1979,1990,1990,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,4275,12133,0,1954,1922,1954,1954,1993,"",1
70,143,"","","","","","","","","","","","","",2779,1925,"","",1991,1991,1981,1986,1994,2044538361,0,0,[12184],11,6,0,4276,"","","","",1991,"",1986,1981,1991,1991,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,12134,0,1955,1925,1955,1955,1994,"",""
71,144,"","","","","","","","","","","","","",2780,1926,"","",1992,1992,1983,1987,1995,-444339820,0,0,[12185],11,7,0,4277,"","","","",1992,"",1987,1983,1992,1992,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,12135,0,1957,1926,1957,1957,1995,"",""
72,145,"","","","","","","","","","","","","",855,"","",6003,843,6003,11653,6003,11653,-964777382,48,100,"[12182,12189,12237]",12,4,612,"","",9382,9434,"",6003,"",6003,11653,6003,843,9434,9382,9434,9434,9434,9434,9382,9382,9382,9382,9382,9382,9382,12101,75,6003,846,846,846,11653,"",""
73,146,"","","","","","","","","","","","","",857,"","",6004,844,6004,11654,6004,11654,1027011185,68,100,"[12183,12189,12237]",12,5,673,"","",9383,9435,"",6004,"",6004,11654,6004,844,9435,9383,9435,9435,9435,9435,9383,9383,9383,9383,9383,9383,9383,12102,0,6004,848,848,848,11654,"",1
74,147,"","","","","","","","","","","","","",858,"","",6005,845,6005,11655,6005,11655,-1839053998,0,0,"[12184,12189,12237]",12,6,0,"","",9384,9436,"",6005,"",6005,11655,6005,845,9436,9384,9436,9436,9436,9436,9384,9384,9384,9384,9384,9384,9384,12103,0,6005,849,849,849,11655,"",""
75,148,"","","","","","","","","","","","","",859,"","",6006,846,6006,11656,6006,11656,1845632009,0,0,"[12185,12189,12237]",12,7,0,"","",9385,9437,"",6006,"",6006,11656,6006,846,9437,9385,9437,9437,9437,9437,9385,9385,9385,9385,9385,9385,9385,12104,0,6006,860,860,860,11656,"",""
76,149,"","","","","","","","","","","","","",2920,2920,2932,3419,2932,8888,"","",5654,-1618168670,48,100,[12182],13,4,612,3879,"","","","",6214,"",6214,6214,8888,2932,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,12079,75,3419,2920,2932,"",5654,"",""
77,150,"","","","","","","","","","","","","",2921,2921,2933,3420,2933,8889,"","",5655,-2058874949,68,100,[12183],13,5,673,3880,"","","","",6215,"",6215,6215,8889,2933,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,12080,0,3420,2921,2933,"",5655,"",1
78,151,"","","","","","","","","","","","","",2922,2922,2934,3421,2934,8890,"","",5656,-697952158,0,0,[12184],13,6,0,3881,"","","","",6216,"",6216,6216,8890,2934,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,12081,0,3421,2922,2934,"",5656,"",""
79,152,"","","","","","","","","","","","","",2931,2931,2935,3422,2935,8891,"","",5657,-417900903,0,0,[12185],13,7,0,3882,"","","","",6217,"",6217,6217,8891,2935,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,12082,0,3422,2931,2935,"",5657,"",""
80,153,"","","","","","","","","","","","","",163,"","","","","","","","",-2072698540,48,100,"[12182,12188]",14,4,612,"","",8444,8448,"",163,"",163,163,163,163,8448,8444,8448,8448,8448,8448,8444,8444,8444,8444,8444,8444,8444,12136,75,163,163,163,163,163,163,""
81,154,"","","","","","","","","","","","","",164,"","","","","","","","",-19953861,68,100,"[12183,12188]",14,5,673,"","",8445,8449,"",164,"",164,164,164,164,8449,8445,8449,8449,8449,8449,8445,8445,8445,8445,8445,8445,8445,12137,0,164,164,164,164,164,164,1
82,155,"","","","","","","","","","","","","",166,"","","","","","","","",-1542366365,0,0,"[12184,12188]",14,6,0,"","",8446,8450,"",166,"",166,166,166,166,8450,8446,8450,8450,8450,8450,8446,8446,8446,8446,8446,8446,8446,12138,0,166,166,166,166,166,166,""
83,156,"","","","","","","","","","","","","",169,"","","","","","","","",473094408,0,0,"[12185,12188]",14,7,0,"","",8447,8451,"",169,"",169,169,169,169,8451,8447,8451,8451,8451,8451,8447,8447,8447,8447,8447,8447,8447,12139,0,169,169,169,169,169,169,""
84,157,"","","","","","","","","","","","","",2721,2521,2521,19731,2712,2098,9350,20594,3399,-355385139,48,100,[12182],15,4,612,"",2604,"","","",3399,2608,20594,9350,2098,2712,2608,2608,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,2604,12075,75,19731,2521,2521,2717,3399,"",""
85,158,"","","","","","","","","","","","","",2722,2522,2522,19732,2714,2099,9351,20595,3400,839378797,68,100,[12183],15,5,673,"",2605,"","","",3400,2609,20595,9351,2099,2714,2609,2609,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,12076,0,19732,2522,2522,2718,3400,"",1
86,159,"","","","","","","","","","","","","",2723,2524,2540,19733,2715,2100,9352,20596,3401,-1822562206,0,0,[12184],15,6,0,"",2606,"","","",3401,2610,20596,9352,2100,2715,2610,2610,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606,2606,12077,0,19733,2524,2540,2719,3401,"",""
