"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
30,32,785,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,786,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,787,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,788,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,789,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,790,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,791,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
37,39,792,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
38,40,793,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
39,41,794,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
40,42,795,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
41,43,796,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
42,44,797,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
43,45,798,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
44,46,799,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
45,47,113,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","","",0
46,48,829,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
47,49,857,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","","",0
48,50,860,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","","",0
49,51,861,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","","",0
50,52,918,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","","",0
51,53,923,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"","",0
52,54,955,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"","",0
53,55,957,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","","",0
54,56,985,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
55,57,1009,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
56,58,1013,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
57,59,1020,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","","",0
58,60,186,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","","",0
59,61,1031,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","","",0
60,62,1032,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","","",0
61,63,1030,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,"",0
62,64,1065,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
63,65,1081,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","","",0
64,66,1084,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
65,67,1089,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","","",0
66,68,1098,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
67,69,1098,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
68,70,1098,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
69,71,1099,"",0,"",3,6,"",0,0,0,"",0,0,0,"","","","","","",0
70,72,1101,"",6,"",3,4,"",1000,0,0,"",0,35,0,"","","","","","",0
71,73,1107,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
72,74,1108,1,0,"",2,2,1,0,0,0,"",0,0,1,"","","","","","",0
73,75,1128,1,0,"",3,4,1,0,0,0,"",0,0,1,"",1,1,"","","",25
74,76,552,1,0,"",3,4,"",333,15,100,1,-80,33,0,"","","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,0,"","","","",1,196,0
76,78,1154,"",0,"",2,6,"",0,0,0,"",0,0,1,"","","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",199,0
78,80,1166,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
79,81,1166,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
80,82,1166,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
81,83,1166,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",201,0
