"rownum","Id","i32","i32","i32","i32","bool","i32","i32","i32","bool","i32","[rid]"
111,"Metadata/Items/Scarabs/ScarabUniques4",370,186,111,1,1,0,2,75,"",0,[8564]
112,"Metadata/Items/Scarabs/ScarabBeasts4",370,89,112,1,1,0,2,75,"",0,[8568]
113,"Metadata/Items/Scarabs/ScarabShaperRares4",793,89,113,1,1,0,2,75,"",0,[8576]
114,"Metadata/Items/Scarabs/ScarabElderRares4",793,482,114,1,1,0,2,75,"",0,[8580]
115,"Metadata/Items/Scarabs/ScarabSulphite4",370,382,115,1,1,0,2,75,"",0,[8584]
116,"Metadata/Items/Scarabs/ScarabDivinationCards4",793,579,116,1,1,0,2,75,"",0,[8588]
117,"Metadata/Items/Scarabs/ScarabTorment4",370,284,117,1,1,0,2,75,"",0,[8592]
118,"Metadata/Items/Scarabs/ScarabStrongbox4",370,675,118,1,1,0,2,75,"",0,[8596]
119,"Metadata/Items/Scarabs/ScarabHarbinger4",793,384,119,1,1,0,2,75,"",0,[8600]
120,"Metadata/Items/Scarabs/ScarabPerandus4",793,189,120,1,1,0,2,75,"",0,[8604]
121,"Metadata/Items/Scarabs/ScarabLegion4",370,577,121,1,1,0,2,75,"",0,[8608]
122,"Metadata/Items/Scarabs/ScarabMetamorph4",370,479,122,1,1,0,2,75,"",0,[8612]
123,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessDedication",371,584,123,1,1,0,0,70,"",0,[6690]
124,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessGift",495,584,124,1,1,0,0,70,"",0,[6689]
125,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessTribute",619,584,125,1,1,0,0,70,"",0,[6688]
126,"Metadata/Items/Scarabs/ScarabAbyss1",491,774,126,1,1,0,2,75,"",0,[8617]
127,"Metadata/Items/Scarabs/ScarabAbyss2",592,774,127,1,1,0,2,75,"",0,[8618]
128,"Metadata/Items/Scarabs/ScarabAbyss3",693,774,128,1,1,0,2,75,"",0,[8619]
129,"Metadata/Items/Scarabs/ScarabAbyss4",793,774,129,1,1,0,2,75,"",0,[8620]
130,"Metadata/Items/Currency/CurrencyRitualSplinter",122,326,130,1,1,0,0,70,"",0,[297]
131,"Metadata/Items/Currency/CurrencyRitualStone",122,420,131,1,1,0,0,70,"",0,[298]
132,"Metadata/Items/MapFragments/CurrencyHarvestBossKey",744,584,132,1,1,0,0,70,"",0,[8960]
133,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternalUber",238,469,133,1,1,0,0,70,"",0,[6683]
134,"Metadata/Items/MapFragments/CurrencyLegionFragmentKaruiUber",335,469,134,1,1,0,0,70,"",0,[6681]
135,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaalUber",433,469,135,1,1,0,0,70,"",0,[6685]
136,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplarUber",530,469,136,1,1,0,0,70,"",0,[6684]
137,"Metadata/Items/MapFragments/CurrencyLegionFragmentMarakethUber",627,469,137,1,1,0,0,70,"",0,[6682]
138,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire",228,78,138,1,1,0,1,74,"",0,[191]
139,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold",329,78,139,1,1,0,1,74,"",0,[192]
140,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning",430,78,140,1,1,0,1,74,"",0,[193]
141,"Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical",532,78,141,1,1,0,1,74,"",0,[194]
142,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos",633,78,142,1,1,0,1,74,"",0,[195]
143,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire5",228,785,143,1,1,0,1,74,"",0,[6671]
144,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold5",329,785,144,1,1,0,1,74,"",0,[6672]
145,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning5",430,785,145,1,1,0,1,74,"",0,[6673]
146,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical5",532,785,146,1,1,0,1,74,"",0,[6674]
147,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos5",633,785,147,1,1,0,1,74,"",0,[6675]
148,"Metadata/Items/MapFragments/CurrencySirusFragment1",482,74,148,1,1,0,0,70,"",0,[6645]
149,"Metadata/Items/MapFragments/CurrencySirusFragment2",482,169,149,1,1,0,0,70,"",0,[6646]
150,"Metadata/Items/MapFragments/CurrencySirusFragment3",385,169,150,1,1,0,0,70,"",0,[6647]
151,"Metadata/Items/MapFragments/CurrencySirusFragment4",385,74,151,1,1,0,0,70,"",0,[6648]
152,"MavenInvitations",70,445,0,72,1,0,3,66,"",1,"[8881,8882,8883,8884,8885,8886,8891]"
153,"PrimordialBosses",70,445,0,72,1,0,3,66,"",2,"[9428,9430,9424,9426]"
