"rownum","Id","Active_AOFiles","Idle_AOFiles","[string]","[string]","i32"
10,"FootprintsRazer","[""Metadata/Effects/Microtransactions/foot_prints/razer/razerfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/razer/razerfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/razer/razerfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/razer/razerfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/razer/town_idle/razerfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/razer/town_idle/razerfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/razer/town_idle/razerfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/razer/town_idle/razerfootprint_04.ao""]",[],[],11
11,"FootprintsSeraph","[""Metadata/Effects/Microtransactions/foot_prints/seraph/seraphfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/seraph/seraphfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/seraph/seraphfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/seraph/seraphfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/seraph/town_idle/seraphfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/seraph/town_idle/seraphfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/seraph/town_idle/seraphfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/seraph/town_idle/seraphfootprint_04.ao""]",[],[],12
12,"FootprintsReaper","[""Metadata/Effects/Microtransactions/foot_prints/reaper/reaperfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/reaper/reaperfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/reaper/reaperfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/reaper/reaperfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/reaper/town_idle/reaperfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/reaper/town_idle/reaperfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/reaper/town_idle/reaperfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/reaper/town_idle/reaperfootprint_04.ao""]",[],[],13
13,"FootprintsVerdant","[""Metadata/Effects/Microtransactions/foot_prints/verdant/greenfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/verdant/greenfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/verdant/greenfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/verdant/greenfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/verdant/town_idle/greenfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/verdant/town_idle/greenfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/verdant/town_idle/greenfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/verdant/town_idle/greenfootprint_04.ao""]",[],[],14
14,"FootprintsGhostflame","[""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/ghostflame/town_idle/ghostflamefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/town_idle/ghostflamefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/town_idle/ghostflamefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/town_idle/ghostflamefootprint_04.ao""]",[],[],15
15,"FootprintsFireNoDecal","[""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/no_decal/firefootprint_04.ao""]",[],[],16
16,"FootprintsLightningNoDecal","[""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/no_decal/lightningfootprint_04.ao""]",[],[],17
17,"FootprintsIceNoDecal","[""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/no_decal/icefootprint_04.ao""]",[],[],18
18,"FootprintsBlackNoDecal","[""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/no_decal/blackfootprint_04.ao""]",[],[],19
19,"FootprintsGhostflameNoDecal","[""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ghostflame/ghostflamefootprint_nodecal_04.ao""]",[],[],20
20,"FootprintsPerandus","[""Metadata/Effects/Microtransactions/foot_prints/Perandus/PerandusFoorprint01.ao"",""Metadata/Effects/Microtransactions/foot_prints/Perandus/PerandusFootprint02.ao"",""Metadata/Effects/Microtransactions/foot_prints/Perandus/PerandusFoorprint03.ao"",""Metadata/Effects/Microtransactions/foot_prints/Perandus/PerandusFoorprint04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Perandus/town_idle/PerandusFoorprint01.ao"",""Metadata/Effects/Microtransactions/foot_prints/Perandus/town_idle/PerandusFootprint02.ao"",""Metadata/Effects/Microtransactions/foot_prints/Perandus/town_idle/PerandusFoorprint03.ao"",""Metadata/Effects/Microtransactions/foot_prints/Perandus/town_idle/PerandusFoorprint04.ao""]",[],[],21
21,"FootprintsProphecy","[""Metadata/Effects/Microtransactions/foot_prints/prophecy/prophecyfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/prophecy/prophecyfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/prophecy/prophecyfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/prophecy/prophecyfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/prophecy/town_idle/prophecyfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/prophecy/town_idle/prophecyfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/prophecy/town_idle/prophecyfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/prophecy/town_idle/prophecyfootprint_04.ao""]",[],[],22
22,"FootprintsEssence","[""Metadata/Effects/Microtransactions/foot_prints/essence/essencefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/essence/essencefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/essence/essencefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/essence/essencefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/essence/town_idle/essencefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/essence/town_idle/essencefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/essence/town_idle/essencefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/essence/town_idle/essencefootprint_04.ao""]",[],[],23
23,"FootprintsCelestial","[""Metadata/Effects/Microtransactions/foot_prints/celestial/celestialfootprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/celestial/town_idle/celestialfootprint.ao""]",[],[],24
24,"FootprintsGoat","[""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/goatfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/goatfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/goatfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/goatfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/town_idle/goatfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/town_idle/goatfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/town_idle/goatfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/goat_hoof/town_idle/goatfootprint_04.ao""]",[],[],25
25,"FootprintsBreach","[""Metadata/Effects/Microtransactions/foot_prints/breach/breachfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/breach/breachfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/breach/breachfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/breach/breachfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/breach/town_idle/breachfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/breach/town_idle/breachfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/breach/town_idle/breachfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/breach/town_idle/breachfootprint_04.ao""]",[],[],26
26,"FootprintsLegacy","[""Metadata/Effects/Microtransactions/foot_prints/classic/classicfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/classic/classicfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/classic/classicfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/classic/classicfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/classic/town_idle/classicfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/classic/town_idle/classicfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/classic/town_idle/classicfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/classic/town_idle/classicfootprint_04.ao""]",[],[],27
27,"FootprintsTwitch","[""Metadata/Effects/Microtransactions/foot_prints/twitch/twitchfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/twitch/twitchfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/twitch/twitchfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/twitch/twitchfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/twitch/town_idle/twitchfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/twitch/town_idle/twitchfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/twitch/town_idle/twitchfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/twitch/town_idle/twitchfootprint_04.ao""]",[],[],28
28,"FootprintsPureLight","[""Metadata/Effects/Microtransactions/foot_prints/purelight/holyfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/purelight/holyfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/purelight/holyfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/purelight/holyfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/purelight/town_idle/holyfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/purelight/town_idle/holyfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/purelight/town_idle/holyfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/purelight/town_idle/holyfootprint_04.ao""]",[],[],29
29,"FootprintsUltimateChaos","[""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/ultimatechaosfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/ultimatechaosfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/ultimatechaosfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/ultimatechaosfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/town_idle/ultimatechaosfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/town_idle/ultimatechaosfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/town_idle/ultimatechaosfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ultimatechaos/town_idle/ultimatechaosfootprint_04.ao""]",[],[],30
30,"FootprintsFireEffect","[""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/lavafootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/lavafootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/lavafootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/lavafootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/town_idle/lavafootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/town_idle/lavafootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/town_idle/lavafootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_fire/town_idle/lavafootprint_04.ao""]",[],[],31
31,"FootprintsIceEffect","[""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/glacialfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/glacialfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/glacialfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/glacialfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/town_idle/glacialfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/town_idle/glacialfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/town_idle/glacialfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fireice_ice/town_idle/glacialfootprint_04.ao""]",[],[],32
32,"FootprintsInnocence","[""Metadata/Effects/Microtransactions/foot_prints/innocence/inno_footprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/innocence/town_idle/inno_footprint.ao""]",[],[],33
33,"FootprintsSin","[""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/sinfootprints01.ao"",""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/sinfootprints02.ao"",""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/sinfootprints03.ao"",""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/sinfootprints04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/town_idle/sinfootprints01.ao"",""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/town_idle/sinfootprints02.ao"",""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/town_idle/sinfootprints03.ao"",""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/sin/town_idle/sinfootprints04.ao""]",[],[],34
34,"FootprintsSinandInnocence","[""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/blend/innosin_footprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/Innocence_Sin/blend/town_idle/innosin_footprint.ao""]",[],[],35
35,"FootprintsWasteland","[""Metadata/Effects/Microtransactions/foot_prints/man/footprints_sand.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/man/town_idle/footprints_sand.ao""]",[],[],36
36,"FootprintsAutomaton","[""Metadata/Effects/Microtransactions/foot_prints/machine/machine_footprint.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/machine/town_idle/machine_footprint.ao""]",[],[],37
37,"FootprintsApocalypse","[""Metadata/Effects/Microtransactions/foot_prints/machine_man/footprint_machine_man.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/machine_man/town_idle/footprint_machine_man.ao""]",[],[],38
38,"FootprintsBloodGuard","[""Metadata/Effects/Microtransactions/foot_prints/oriath_blood/footprint_blood.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/oriath_blood/footprint_blood.ao""]",[],[],39
39,"FootprintsFaithGuard","[""Metadata/Effects/Microtransactions/foot_prints/oriath_faith/footprint_faith.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/oriath_faith/footprint_faith.ao""]",[],[],40
40,"FootprintsOriath","[""Metadata/Effects/Microtransactions/foot_prints/oriath/footprint_oriath.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/oriath/footprint_oriath.ao""]",[],[],41
41,"FootprintsDragonHunter","[""Metadata/Effects/Microtransactions/foot_prints/DragonHunter/foot01.ao"",""Metadata/Effects/Microtransactions/foot_prints/DragonHunter/foot02.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/DragonHunter/foot01_idletown.ao"",""Metadata/Effects/Microtransactions/foot_prints/DragonHunter/foot02_idletown.ao""]",[],[],42
42,"FootprintsAzurite","[""Metadata/Effects/Microtransactions/foot_prints/azurite/azuritefoot01.ao"",""Metadata/Effects/Microtransactions/foot_prints/azurite/azuritefoot02.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/azurite/azuritefoot01_idletown.ao"",""Metadata/Effects/Microtransactions/foot_prints/azurite/azuritefoot02_idletown.ao""]",[],[],43
43,"FootprintsArcane","[""Metadata/Effects/Microtransactions/foot_prints/arcane/footprint_arcane.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/arcane/footprint_arcane.ao""]",[],[],44
44,"FootprintsMystic","[""Metadata/Effects/Microtransactions/foot_prints/fairgraves_mystic/Footprints_Mystic.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fairgraves_mystic/Footprints_Mystic.ao""]",[],[],45
45,"FootprintsCorsair","[""Metadata/Effects/Microtransactions/foot_prints/fairgraves_corsair/footprint_corsair.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fairgraves_corsair/footprint_corsair.ao""]",[],[],46
46,"FootprintsSpectre","[""Metadata/Effects/Microtransactions/foot_prints/fairgraves_spectre/footprint_spectre.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fairgraves_spectre/footprint_spectre.ao""]",[],[],47
47,"FootprintsMadcap","[""Metadata/Effects/Microtransactions/foot_prints/darkwood_horseman/footprints_horseman.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/darkwood_horseman/footprints_horseman.ao""]",[],[],48
