"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
26,169,"Attack and Cast Speed - Rank 2","[0,1,2,3,4,10]","",2,135
27,150,"Life and Mana - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,150
28,181,"Chaos Damage - Rank 2","[0,1,2,3,9,10]","",2,153
29,188,"Defences - Rank 2","[4,5,6,7,8]","",2,87
30,148,"Movement Speed and Flask Enchantments - Rank 3","[8,12]","Epilogue",3,162
31,139,"All Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Aspirant's Trial",1,519
32,137,"Double Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial",2,591
33,138,"Double Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial",3,663
34,140,"All Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial",2,735
35,166,"Elemental Damage with Attacks - Rank 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs",1,43
36,144,"All Attributes - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens",1,52
37,136,"Double Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison",1,89
38,164,"Damage over Time - Rank 1","[0,1,2,3]","Labyrinth Trial in The Crypt",1,103
39,156,"Mana Regen - Rank 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2",1,105
40,192,"Flask Duration - Rank 1",[11],"Labyrinth Trial in The Bath House",1,121
41,145,"All Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel",2,139
42,234,"Socket Numbers - 2 to 4 Sockets","[0,1,2,3,6,7,8,5,4]","",0,66
43,237,"Socket Numbers - 5 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1192
44,238,"Socket Numbers - 6 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1128
45,239,"Socket Links - 2 to 4 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,64
46,242,"Socket Links - 5 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1199
47,243,"Socket Links - 6 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1213
48,244,"Socket Colours","[0,1,2,3,6,7,8,5,4]","",0,60
49,151,"Life and Mana - Rank 4","[0,1,2,3,6,7,8,5,4]","",4,1252
50,196,"Attack and Spell Block - Rank 1",[4],"",1,1155
51,193,"Flask Duration - Rank 2",[11],"",2,1233
52,195,"Ailment, Stun and Curse Mitigation - Rank 2","[5,7,8,9]","",2,1188
53,191,"Criticals - Rank 2","[0,1,2,3,10,13]","",2,1088
54,199,"Special Defences - Rank 2","[6,4,5,7,8]","",2,1122
55,197,"Attack and Spell Block - Rank 2",[4],"",2,1119
56,253,"Global Energy Shield - Rank 2","[10,9]","",2,1106
57,172,"Fire Damage - Rank 3","[0,1,2,3]","",3,1220
58,190,"Criticals - Rank 1","[0,1,2,3,10,13]","",1,1127
59,175,"Cold Damage - Rank 3","[0,1,2,3]","",3,1086
60,179,"Lightning Damage - Rank 3","[0,1,2,3]","",3,1150
61,198,"Special Defences - Rank 1","[6,4,5,7,8]","",1,1079
62,157,"Mana Regen - Rank 2","[0,1,2,3,9,10,4]","",2,1167
63,165,"Damage over Time - Rank 2","[0,1,2,3]","",2,1152
64,229,"Minions - Rank 2","[0,1,2,3,7,5,9,10]","",2,1146
65,167,"Elemental Damage with Attacks - Rank 2","[0,1,2,3,9,10,11,13]","",2,1230
66,194,"Ailment, Stun and Curse Mitigation - Rank 1","[5,7,8,9,4,13]","",1,70
67,189,"Defences - Rank 3","[6,8,7,5,4]","",3,1140
68,252,"Global Energy Shield - Rank 1","[10,9]","",1,1108
69,261,"Physical Damage - Rank 4","[0,1,2,3]","",4,1107
70,262,"Spell Damage - Rank 4","[0,1,2,3]","",4,1098
71,109,"Attack and Cast Speed - Rank 3","[0,1,2,3]","",3,1225
72,153,"Life - Rank 5",[6],"",5,1151
73,154,"Leech - Rank 1","[0,1,2,3,7,9,10,13]","",1,1130
74,155,"Leech - Rank 2","[0,1,2,3,7,10]","",2,1110
75,182,"Chaos Damage - Rank 3","[0,1,2,3]","",3,1148
76,186,"Accuracy - Rank 3","[0,1,2,3,4,7,5,9,10,13]","",3,1223
77,226,"Reduced Damage over Time","[4,11]","",0,1198
78,227,"Animated Guardian and Light Radius",[6],"",0,1251
79,231,"Traps and Mines - Rank 2","[0,1,2,3]","",2,1129
80,254,"Criticals - Rank 3","[0,1,2,3]","",3,1095
81,255,"Minions - Rank 3","[0,1,2,3]","",3,1189
82,249,"Prefixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1187
83,250,"Suffixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1209
84,251,"Can have up to 3 Crafted Modifiers","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1176
85,247,"Cannot roll Attack Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1145
86,248,"Cannot roll Caster Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1103
