"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","i32","rid","QuestKey","i32","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32"
21,1,21,"Sell Items",[],[],[],"",2626,24,"",72,[],"","","",[],[],1211,[],1211,"","","","","",0,"",45,[],45
22,0,0,"Introduction",[],[3],[15],"",15,3,"",15,[20],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
23,0,1,"Introduction",[3],[],[15],"",2626,3,"",15,[21],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
24,0,2,"Hillock Reward",[1],[3],[13],"",13,6,0,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
25,0,3,"Brutus",[131],[6],[5],"",5,5,"",5,[22],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
26,0,4,"Brutus",[6],[7],[29],"",29,5,"",29,[23],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
27,0,5,"Brutus Reward",[6],[7],[16],"",16,6,7,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
28,0,6,"Lioneye's Watch",[],[],[287],"",2626,3,"",287,[24],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
29,0,7,"Drowned Dead",[],[],[288],"",2626,3,"",288,[25],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
30,0,8,"Merveil",[9],[10],[289],"",2626,3,"",289,[26],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
31,0,9,"Rhoas",[31],[],[30],"",2626,3,"",30,[27],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
32,0,10,"Cannibals",[127],[],[291],"",2626,3,"",291,[28],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
33,0,11,"Bestel",[32],[],[292],"",2626,3,"",292,[29],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
34,0,12,"Merveil",[10],[],[33],"",33,3,"",33,[30],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
35,0,13,"Nessa",[14],[],[293],"",2626,3,"",293,[31],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
36,0,14,"Glyph Wall",[26],[25],[294],"",294,5,"",294,[32],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
37,0,15,"Strange Glyphs",[24],[25],[295],"",295,5,"",295,[33],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
38,0,16,"Dweller of the Deep",[25],[117],[114],"",114,5,"",114,[34],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
39,0,17,"Glyph Reward",[25],[37],[36],"",36,6,3,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
40,0,18,"Glyph Reward 2",[25],[2149],[2148],"",2148,6,4,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
41,0,19,"Dweller of the Deep",[116],"[495,117]",[359],"",359,5,"",359,[35],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
42,0,20,"Dweller Reward",[359],"[495,117]",[360],"",360,6,6,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
43,0,21,"The Fetid Pool",[224],"[41,228]",[225],"",225,5,"",225,[36],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
44,0,22,"The Fetid Pool",[128],"[41,228,224]",[225],"",225,5,"",225,[37],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
45,0,23,"The Fetid Pool",[41],[228],[225],"",225,5,"",225,[36],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
46,0,24,"The Necromancer",[228],"[508,229]",[507],"",507,5,"",507,[38],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
47,0,25,"Necromancer Reward",[507],"[508,229]",[509],"",509,6,5,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
48,0,26,"The Blocked Road",[231],[234],[296],"",2626,5,"",296,[39],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
49,0,27,"Reaching the Forest",[509],"[11,231,4]",[230],"",230,5,"",230,[40],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
50,0,28,"Reaching the Forest",[4],"[11,231]",[230],"",230,5,"",230,[40],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
51,0,29,"Reopened Passage",[234],[],[297],"",2626,3,"",297,[41],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
52,0,30,"Goatmen",[4],[],[348],"",2626,3,"",348,[42],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
53,0,31,"Letters of Exile",[],[],[372],"",2626,3,"",372,[43],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
54,0,32,"Medicine Chest",[43],[],[379],"",2626,3,"",379,[44],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
55,0,33,"Purchase Items",[],[],[],"",2626,23,"",72,[],"","","",[],[],1211,[],1211,"","","","","",1,"",45,[],45
56,0,34,"Sell Items",[],[],[],"",2626,24,"",72,[],"","","",[],[],1211,[],1211,"","","","","",0,"",45,[],45
57,2,0,"Introduction",[],[],[32],"",32,3,"",32,"[45,46,47,48,49,50,51]","",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
58,2,1,"Merveil",[10],[],[49],"",49,3,"",49,[52],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
59,2,2,"Marceus Lioneye",[419],[],[299],"",2626,3,"",299,[53],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
60,2,3,"Nessa",[14],[],[301],"",2626,3,"",301,[54],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
61,2,4,"The Medicine Chest",[40],"[43,50]",[45],"",45,5,"",45,[55],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
62,2,5,"Tarkleigh",[15],[],[302],"",2626,3,"",302,[56],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
63,2,6,"Drowned Dead",[],[],[303],"",2626,3,"",303,[57],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
64,2,7,"Merveil",[9],[10],[304],"",2626,3,"",304,[58],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
65,2,8,"Brutus",[5],[6],[305],"",2626,3,"",305,[59],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
66,2,9,"Undead Rhoas",[224],[229],[306],"",2626,3,"",306,[60],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
67,2,10,"Captain Fairgraves",[48],"[499,47]",[500],"",500,5,"",500,[61],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
68,2,11,"Captain Fairgraves",[46],[48],[69],"",2626,3,"",69,[62],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
69,2,12,"Fairgraves Reward",[500],"[499,47]",[66],"",66,6,9,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
70,2,13,"Prisoner's Gate",[232],[234],[483],"",2626,3,"",483,[66],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
71,2,14,"Inspirational Poem",[234],[],[269],"",269,3,"",269,[63],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
72,2,15,"Reopened Passage",[269],"[501,264]",[503],"",503,5,"",503,[64],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
73,2,16,"Road Reward",[269],"[501,264]",[67],"",67,6,11,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
74,2,17,"Medicine Chest",[43],[234],[118],"",118,3,"",118,[65],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
75,2,18,"Surviving Wraeclast",[230],[232],[300],"",2626,3,"",300,[67],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
76,9,0,"Introduction",[],[],[76],"",76,3,"",76,[75],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
77,9,1,"The Azmeri",[],[],[307],"",2626,3,"",307,[76],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
78,9,2,"Yeena",[92],[],[308],"",2626,3,"",308,[77],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
79,9,3,"Greust",[93],[],[309],"",2626,3,"",309,[78],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
80,9,4,"Silk",[94],[],[310],"",2626,3,"",310,[79],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
81,9,5,"Helena",[244],[],[311],"",2626,3,"",311,[80],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
82,9,6,"Blackguards",[98],[244],[312],"",2626,3,"",312,[81],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
83,9,7,"The Bandit Scourge",[],"[84,17,18,19]",[54],"",54,5,"",54,[82],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
84,9,8,"The Bandit Scourge",[18],"[84,17,19]",[54],"",54,5,"",54,[83],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
85,9,9,"The Bandit Scourge",[17],"[84,18,19]",[54],"",54,5,"",54,[84],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
86,9,10,"The Bandit Scourge","[17,18]","[84,19]",[54],"",54,5,"",54,[85],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
87,9,11,"The Bandit Scourge",[19],"[84,17,18]",[54],"",54,5,"",54,[86],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
88,9,12,"The Bandit Scourge","[19,17]","[84,18]",[54],"",54,5,"",54,[87],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
89,9,13,"The Bandit Scourge","[19,18]","[84,17]",[54],"",54,5,"",54,[88],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
90,9,14,"Bandit Lords","[17,18,19]","[55,57,90]",[58],"",58,3,"",58,[89],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
91,9,15,"Bandit Amulets","[78,79,80,58]","[123,261]",[809],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );\r\ntriggerer.SetQuestFlag(a2q7minusQuestRewardTaken, a2bminusDeliveredAmulets);",123,5,"",123,[90],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
92,9,16,"Bandit Amulets",[123],[261],[261],"",261,5,"",261,[91],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
93,9,17,"Take the Apex","[17,18,19,84]","[77,85]",[70],"",70,6,18,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
94,9,18,"Oak",[19],"[17,18]",[313],"",2626,3,"",313,[92],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
95,9,19,"Alira",[18],"[17,19]",[313],"",2626,3,"",313,[93],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
96,9,20,"Kraityn",[17],"[18,19]",[313],"",2626,3,"",313,[94],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
97,9,21,"Oak","[17,18]",[19],[316],"",2626,3,"",316,[95],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
98,9,22,"Alira","[17,19]",[18],[316],"",2626,3,"",316,[96],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
99,9,23,"Kraityn","[18,19]",[17],[316],"",2626,3,"",316,[97],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
100,9,24,"The Darkness",[89],[86],[236],"",236,3,"",236,[98],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
101,9,25,"The Light",[86],[],[319],"",319,3,"",319,[99],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
102,9,26,"The Baleful Gem",[99],[],[320],"",2626,3,"",320,[100],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
103,9,27,"Maligaro's Spike",[96],[100],[321],"",2626,3,"",321,[101],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
104,9,28,"Maligaro's Creations","[99,95]",[],[322],"",2626,3,"",322,[102],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
105,9,29,"Ancient Gateway",[101],[],[323],"",2626,3,"",323,[103],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
106,9,30,"Lorrata",[100],[],[324],"",2626,3,"",324,[104],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
107,9,31,"Fellshrine Ruins",[139],[],[325],"",2626,3,"",325,[105],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
108,9,32,"The Dark Altar",[235],[77],[263],"",263,5,"",263,[106],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
109,9,33,"Yeena's Vision",[254],[86],[255],"",255,5,"",255,[107],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
110,9,34,"Blocked Passage",[231],[234],[326],"",2626,3,"",326,[108],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
111,9,35,"The Chamber of Sins",[98],[],[154],"",2626,3,"",154,[109],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
112,9,36,"Dominus",[],[],[161],"",2626,3,"",161,[110],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
113,9,37,"Claim Passive Skill Point",[84],"[55,57,90,123]",[123],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );",123,5,"",72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
114,9,38,"Change Bandit Reward",[],[],[],"",2626,8,34,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
115,10,0,"Introduction",[],[],[92],"",92,3,"",92,[111],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
116,10,1,"Eramir",[76],[],[328],"",2626,3,"",328,[112],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
117,10,2,"Greust",[93],[],[329],"",2626,3,"",329,[113],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
118,10,3,"Silk",[94],[],[330],"",2626,3,"",330,[114],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
119,10,4,"Helena",[244],[],[331],"",2626,3,"",331,[115],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
120,10,5,"Blood Apes",[],[],[332],"",2626,3,"",332,[116],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
121,10,6,"Vipers",[140],[],[333],"",2626,3,"",333,[117],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
122,10,7,"Elementals",[135],[],[334],"",2626,3,"",334,[118],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
123,10,8,"Maligaro's Spike",[259],"[95,100]",[335],"",2626,3,"",335,[119],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
124,10,9,"Lorrata",[100],[],[336],"",2626,3,"",336,[120],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
125,10,10,"Chamber of Sins",[102],"[100,99]",[337],"",2626,3,"",337,[121],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
126,10,11,"The Great White Beast",[],[247],[245],"",245,5,"",245,[122],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
127,10,12,"The Great White Beast",[247],[249],[250],"",250,5,"",250,[123],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
128,10,13,"Great White Beast Reward",[250],[249],[248],"",248,6,15,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
129,10,14,"The Fellshrine Hand","[248,244]",[88],[97],"",97,5,"",97,[124],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
130,10,15,"The Fellshrine Hand",[87],[88],"[71,88]","",88,5,"",88,[125],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
131,10,16,"The Fellshrine Hand",[88],"[104,511]",[],"",2626,5,"",88,[125],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
132,10,17,"Jewel Reward",[88],[825],[824],"",824,6,13,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
133,10,18,"Fellshrine Reward","[88,824]","[104,511]",[103],"",103,6,12,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
134,10,19,"The Darkness","[85,89]",[86],[254],"",254,5,"",254,[126],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
135,10,20,"The Darkness",[77],[86],[254],"",254,5,"",254,[126],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
136,10,21,"The Darkness",[89],"[86,85,77]",[237],"",237,3,"",237,[127],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
137,10,22,"The Light",[86],[],[422],"",422,3,"",422,[128],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
138,10,23,"Purchase Items",[],[],[],"",2626,23,"",72,[],"","","",[],[],1211,[],1211,"","","","","",1,"",45,[],45
139,10,24,"Sell Items",[],[],[],"",2626,24,"",72,[],"","","",[],[],1211,[],1211,"","","","","",0,"",45,[],45
140,11,0,"Introduction",[],[],[93],"",93,3,"",93,[129],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
141,11,1,"Eramir",[76],[],[338],"",2626,3,"",338,[130],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
142,11,2,"Yeena",[92],[],[339],"",2626,3,"",339,[131],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
143,11,3,"Silk",[94],[],[340],"",2626,3,"",340,[132],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
144,11,4,"Blood Apes",[],[],[341],"",2626,3,"",341,[133],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
145,11,5,"Vipers",[140],[],[342],"",2626,3,"",342,[134],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
146,11,6,"Elementals",[135],[],[343],"",2626,3,"",343,[135],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
147,11,7,"Maligaro's Spike",[259],"[100,95]",[344],"",2626,3,"",344,[136],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
148,11,8,"Blackguards",[809],[244],[98],"",98,5,"",98,[137],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
149,11,9,"Helena",[244],[109],[111],"",111,5,"",111,[138],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
150,11,10,"Helena",[109],[],[345],"",2626,3,"",345,[139],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
151,11,11,"Blackguard Reward",[111],[109],[108],"",108,6,14,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
152,11,12,"Chamber of Sins",[98],"[99,100]",[346],"",2626,3,"",346,[140],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
153,11,13,"Bandit Lords",[54],[123],[347],"",2626,3,"",347,[141],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
154,11,14,"Bandit Lords",[123],[],[365],"",2626,3,"",365,[142],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
155,11,15,"The Darkness",[89],[86],[238],"",238,3,"",238,[143],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
156,11,16,"The Light",[86],[],[421],"",421,3,"",421,[144],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
157,11,17,"Purchase Items",[],[],[],"",2626,23,"",72,[],"","","",[],[],1211,[],1211,"","","","","",1,"",45,[],45
158,11,18,"Sell Items",[],[],[],"",2626,24,"",72,[],"","","",[],[],1211,[],1211,"","","","","",0,"",45,[],45
159,11,19,"Join PvP",[],[],[],"",2626,27,"",72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
160,4,0,"Introduction",[],[],[63],"",63,5,"",63,[145],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
161,4,1,"Marooned",[],[],[350],"triggerer.SetQuestFlag(a1q6minusReceivedQuest);\r\ntriggerer.ClearQuestFlag(a1q6minusDeliveredAllFlame);",46,5,"",350,[146],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
162,4,2,"The Allflame",[],[],[351],"",2626,3,"",351,[147],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
163,4,3,"The Real Fairgraves",[69],[],[352],"",2626,3,"",352,[148],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
164,4,4,"Merveil",[],[10],[68],"",2626,3,"",68,[149],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
165,4,5,"Merveil's Necklace",[68],[],[353],"",2626,3,"",353,[150],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
166,4,6,"Thank You",[62],[],[64],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(a1q6minusFairgravesAggro);",64,5,"",64,[151],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
167,4,7,"Thank You",[64],"[48,75]",[],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(a1q6minusFairgravesAggro);",48,5,"",72,[152],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
168,4,8,"Allflame Reward",[72],[48],[],"triggerer.FinishNPCChat(); ForEachInRange( 100, { IfVarietyContains( Fairgraves, { Transition(); } ); } );",48,5,"",72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
169,6,0,"Exiled",[],[],[],"triggerer.TalkToWoundedExile(8.2, 22.8);",121,3,"",72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
170,6,1,"_no_weapon_",[],[],[65],"triggerer.FinishNPCChat();",2626,3,"",72,[156],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
171,6,2,"_have_weapon1_",[],[],[65],"triggerer.FinishNPCChat(); Transition();",2626,3,"",72,[154],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
172,6,3,"_have_weapon2_",[],[],[65],"triggerer.FinishNPCChat(); Transition();",2626,3,"",72,[155],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
173,12,0,"Introduction",[],[],[94],"",94,3,"",94,[157],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
174,12,1,"Eramir",[76],[],[355],"",2626,3,"",355,[158],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
175,12,2,"Yeena",[92],[],[356],"",2626,3,"",356,[159],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
176,12,3,"Greust",[93],[],[357],"",2626,3,"",357,[160],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
177,12,4,"Helena",[244],[],[358],"",2626,3,"",358,[161],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
178,12,5,"Maligaro's Spike",[96],"[95,110]",[259],"",259,5,"",259,[162],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
179,12,6,"Maligaro's Spike",[95],[110],"[110,71]","",110,5,"",110,[163],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
180,12,7,"Maligaro's Spike",[100],[110],[110],"",110,5,"",110,[163],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
181,12,8,"Maligaro's Spike Reward",[110],[107],[106],"",106,6,16,106,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
182,12,9,"The Darkness",[89],[86],[239],"",239,3,"",239,[164],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
183,12,10,"The Great White Beast",[245],[247],[361],"",2626,3,"",361,[165],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
184,12,11,"The Great White Beast",[247],[],[362],"",2626,3,"",362,[166],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
185,12,12,"Blocked Passage",[231],[234],[233],"",233,5,"",233,[167],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
186,12,13,"Reopened Passage",[234],[],[364],"",2626,3,"",364,[168],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
187,12,14,"The Light",[86],[],[481],"",481,3,"",481,[169],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
188,15,0,"The Darkness",[89],[86],[240],"",240,3,"",240,[170],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
189,15,1,"The Darkness",[86],[],[365],"",2626,3,"",365,[171],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
190,15,2,"Hand in Amulets","[56,78,80]",[90],"[84,90]","triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao ); SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );",90,5,"",90,[172],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
