"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
51,7135,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7141,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7142,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7156,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7157,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7164,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7165,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7166,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7178,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7179,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7180,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7186,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7187,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7199,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7200,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7201,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7206,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7209,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7214,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7215,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
