"rownum","Id","Projectile","Animation","bool","bool","i32","bool"
184,184,1055,20,"","",0,""
185,185,1056,20,"","",0,""
186,186,1057,20,"","",0,""
187,187,1061,20,"","",0,1
188,188,1066,20,"","",0,""
189,189,1074,20,"","",0,""
190,190,1077,20,"","",0,""
191,191,1076,20,1,"",0,""
192,192,1092,20,"","",0,""
193,193,1095,20,1,"",40,""
194,194,1096,24,"","",0,""
195,195,1096,26,"","",0,""
196,196,1097,25,"","",0,""
197,197,1105,20,"","",0,""
198,198,1106,20,"","",0,""
199,199,1107,24,"","",0,""
200,200,784,20,"","",0,""
201,201,1112,20,"","",0,""
202,202,1125,20,"","",0,""
203,203,1128,20,1,"",15,""
204,204,1129,20,1,"",15,""
205,205,1136,20,"","",0,1
206,206,1137,20,"","",0,""
207,207,1139,20,"","",0,""
208,208,1141,20,1,"",0,""
209,209,495,20,"","",0,""
210,210,1164,20,1,"",40,""
211,211,1165,20,1,"",40,""
212,212,1171,20,1,"",0,""
213,213,1177,20,1,"",0,""
214,214,1198,20,"","",0,""
215,215,1199,20,1,"",0,""
216,216,1200,20,"","",0,""
217,217,1067,20,"","",0,""
218,218,847,20,"","",0,""
219,219,568,20,"","",0,""
220,220,269,20,"","",0,""
221,221,389,20,"","",0,""
222,222,390,20,"","",0,""
223,223,528,24,"","",0,""
