"rownum","Id","Text","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","rid","i32"
18,"FavouriteMapSlotUnlock8","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",362,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
19,"FavouriteMapSlotUnlock9","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",363,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
20,"FavouriteMapSlotUnlock10","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",364,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
21,"FavouriteMapSlotUnlock11","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",365,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
22,"FavouriteMapSlotUnlock12","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",366,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
23,"ArchnemesisModPanelUnlocked","Archnemesis Inventory now available","Art/2DArt/UIImages/InGame/GenericRewardBackground",1164,3,2,"","","Art/2DArt/UIImages/InGame/ArchnemesisStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
24,"AtlasMissionGeneric","Craft Received","Art/2DArt/UIImages/InGame/AtlasMissionNotification",1276,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",-44
25,"SentinelStashUnlocked","Sentinel Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1276,3,2,"","","Art/2DArt/UIImages/InGame/SentinelStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
26,"LakeQuestMetaOption1","Mirrored Tablet can now Reroll a set of Choices","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1216,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
27,"LakeQuestMetaOption2","Mirrored Tablet can now Reroll a set of Choices","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1217,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
28,"LakeQuestMetaOption3","Mirrored Tablet can now Reroll a set of Choices","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1218,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
29,"LakeQuestMetaOption4","Mirrored Tablet can now Skip a Choice","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1219,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
30,"LakeQuestMetaOption5","Mirrored Tablet can now Skip a Choice","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1220,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
31,"LakeQuestMetaOption6","Mirrored Tablet can now Skip a Choice","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1221,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
32,"LakeQuestMetaOption7","Mirrored Tablet can now Exile a Reflection","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1222,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
33,"LakeQuestMetaOption8","Mirrored Tablet can now Exile a Reflection","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1223,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
34,"LakeQuestMetaOption9","Mirrored Tablet can now Exile a Reflection","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1274,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
35,"SanctumRelicSlotUnlock1","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1013,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
36,"SanctumRelicSlotUnlock3","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1015,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
37,"SanctumRelicSlotUnlock5","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1017,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
38,"SanctumRelicSlotUnlock7","Relic Altar Slots Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1020,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
39,"SanctumRelicSlotUnlock9","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1022,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
40,"SanctumRelicSlotUnlock10","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1023,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
41,"SanctumRelicSlotUnlock11","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1024,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
42,"SanctumRelicSlotUnlock12","Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1025,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
43,"SanctumSpecialRelicSlotUnlocked","Sanctified Relic Altar Slot Unlocked","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1030,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
44,"SanctumRelicLockerUnlocked","Relic Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1011,3,2,"","","Art/2DArt/UIImages/InGame/SanctumStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
45,"SanctumMerchantUnlocked","Divinia can appear within the Sanctum as a Merchant","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1029,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsMerchant","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
46,"SanctumPactsUnlocked","Accursed Pacts can appear within the Sanctum","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1031,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsPact","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
