"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","rid","rid","QuestKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32","rid"
13,1,13,"Prison Reward",[43],[797],[798],"",798,6,8,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
14,1,14,"Reopened Passage",[233],[],[285],"","",3,"",285,[16],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
15,1,15,"Merveil",[33],[9],[8],"",8,5,"",8,[17],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
16,1,16,"Merveil's Lair",[132],"[72,0]","[73,0]","",73,5,"",73,[18],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
17,1,17,"Merveil Reward",[73],"[72,0]",[38],"",38,6,10,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
18,1,18,"Merveil",[9],[],"[34,0]","",272,3,"",272,[19],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
19,1,19,"Merveil Reward",[272],[72],[38],"",38,6,10,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
20,1,20,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1276,[],1276,"","","","","",1,"",47,[],47,""
21,1,21,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1276,[],1276,"","","","","",0,"",47,[],47,""
22,0,0,"Introduction",[],[2],[14],"",14,3,"",14,[20],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
23,0,1,"Introduction",[2],[],[14],"","",3,"",14,[21],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
24,0,2,"Hillock Reward",[0],[2],[12],"",12,6,0,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
25,0,3,"Brutus",[130],[5],[4],"",4,5,"",4,[22],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
26,0,4,"Brutus",[5],[6],[28],"",28,5,"",28,[23],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
27,0,5,"Brutus Reward",[5],[6],[15],"",15,6,7,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
28,0,6,"Lioneye's Watch",[],[],[286],"","",3,"",286,[24],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
29,0,7,"Drowned Dead",[],[],[287],"","",3,"",287,[25],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
30,0,8,"Merveil",[8],[9],[288],"","",3,"",288,[26],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
31,0,9,"Rhoas",[30],[],[29],"","",3,"",29,[27],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
32,0,10,"Cannibals",[126],[],[290],"","",3,"",290,[28],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
33,0,11,"Bestel",[31],[],[291],"","",3,"",291,[29],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
34,0,12,"Merveil",[9],[],[32],"",32,3,"",32,[30],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
35,0,13,"Nessa",[13],[],[292],"","",3,"",292,[31],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
36,0,14,"Glyph Wall",[25],[24],[293],"",293,5,"",293,[32],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
37,0,15,"Strange Glyphs",[23],[24],[294],"",294,5,"",294,[33],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
38,0,16,"Dweller of the Deep",[24],[116],[113],"",113,5,"",113,[34],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
39,0,17,"Glyph Reward",[24],[36],[35],"",35,6,3,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
40,0,18,"Glyph Reward 2",[24],[2148],[2147],"",2147,6,4,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
41,0,19,"Dweller of the Deep",[115],"[494,0]",[358],"",358,5,"",358,[35],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
42,0,20,"Dweller Reward",[358],"[494,0]",[359],"",359,6,6,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
43,0,21,"The Fetid Pool",[223],"[40,0]",[224],"",224,5,"",224,[36],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
44,0,22,"The Fetid Pool",[127],"[40,0,0]",[224],"",224,5,"",224,[37],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
45,0,23,"The Fetid Pool",[40],[227],[224],"",224,5,"",224,[36],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
46,0,24,"The Necromancer",[227],"[507,0]",[506],"",506,5,"",506,[38],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
47,0,25,"Necromancer Reward",[506],"[507,0]",[508],"",508,6,5,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
48,0,26,"The Blocked Road",[230],[233],[295],"","",5,"",295,[39],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
49,0,27,"Reaching the Forest",[508],"[10,0,0]",[229],"",229,5,"",229,[40],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
50,0,28,"Reaching the Forest",[3],"[10,0]",[229],"",229,5,"",229,[40],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
51,0,29,"Reopened Passage",[233],[],[296],"","",3,"",296,[41],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
52,0,30,"Goatmen",[3],[],[347],"","",3,"",347,[42],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
53,0,31,"Letters of Exile",[],[],[371],"","",3,"",371,[43],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
54,0,32,"Medicine Chest",[42],[],[378],"","",3,"",378,[44],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
55,0,33,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1276,[],1276,"","","","","",1,"",47,[],47,""
56,0,34,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1276,[],1276,"","","","","",0,"",47,[],47,""
57,2,0,"Introduction",[],[],[31],"",31,3,"",31,"[45,46,47,48,49,50,51]","",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
58,2,1,"Merveil",[9],[],[48],"",48,3,"",48,[52],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
59,2,2,"Marceus Lioneye",[418],[],[298],"","",3,"",298,[53],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
60,2,3,"Nessa",[13],[],[300],"","",3,"",300,[54],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
61,2,4,"The Medicine Chest",[39],"[42,0]",[44],"",44,5,"",44,[55],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
62,2,5,"Tarkleigh",[14],[],[301],"","",3,"",301,[56],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
63,2,6,"Drowned Dead",[],[],[302],"","",3,"",302,[57],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
64,2,7,"Merveil",[8],[9],[303],"","",3,"",303,[58],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
65,2,8,"Brutus",[4],[5],[304],"","",3,"",304,[59],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
66,2,9,"Undead Rhoas",[223],[228],[305],"","",3,"",305,[60],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
67,2,10,"Captain Fairgraves",[47],"[498,0]",[499],"",499,5,"",499,[61],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
68,2,11,"Captain Fairgraves",[45],[47],[68],"","",3,"",68,[62],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
69,2,12,"Fairgraves Reward",[499],"[498,0]",[65],"",65,6,9,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
70,2,13,"Prisoner's Gate",[231],[233],[482],"","",3,"",482,[66],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
71,2,14,"Inspirational Poem",[233],[],[268],"",268,3,"",268,[63],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
72,2,15,"Reopened Passage",[268],"[500,0]",[502],"",502,5,"",502,[64],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
73,2,16,"Road Reward",[268],"[500,0]",[66],"",66,6,11,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
74,2,17,"Medicine Chest",[42],[233],[117],"",117,3,"",117,[65],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
75,2,18,"Surviving Wraeclast",[229],[231],[299],"","",3,"",299,[67],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
76,9,0,"Introduction",[],[],[75],"",75,3,"",75,[75],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
77,9,1,"The Azmeri",[],[],[306],"","",3,"",306,[76],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
78,9,2,"Yeena",[91],[],[307],"","",3,"",307,[77],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
79,9,3,"Greust",[92],[],[308],"","",3,"",308,[78],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
80,9,4,"Silk",[93],[],[309],"","",3,"",309,[79],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
81,9,5,"Helena",[243],[],[310],"","",3,"",310,[80],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
82,9,6,"Blackguards",[97],[243],[311],"","",3,"",311,[81],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
83,9,7,"The Bandit Scourge",[],"[83,0,0,0]",[53],"",53,5,"",53,[82],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
84,9,8,"The Bandit Scourge",[17],"[83,0,0]",[53],"",53,5,"",53,[83],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
85,9,9,"The Bandit Scourge",[16],"[83,0,0]",[53],"",53,5,"",53,[84],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
86,9,10,"The Bandit Scourge","[16,0]","[83,0]",[53],"",53,5,"",53,[85],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
87,9,11,"The Bandit Scourge",[18],"[83,0,0]",[53],"",53,5,"",53,[86],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
88,9,12,"The Bandit Scourge","[18,0]","[83,0]",[53],"",53,5,"",53,[87],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
89,9,13,"The Bandit Scourge","[18,0]","[83,0]",[53],"",53,5,"",53,[88],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
90,9,14,"Bandit Lords","[16,0,0]","[54,0,0]",[57],"",57,3,"",57,[89],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
91,9,15,"Bandit Amulets","[77,0,0,0]","[122,0]",[808],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );\r\ntriggerer.SetQuestFlag(\""a2q7-QuestRewardTaken\"", \""a2b-DeliveredAmulets\"");",122,5,"",122,[90],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
92,9,16,"Bandit Amulets",[122],[260],[260],"",260,5,"",260,[91],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
93,9,17,"Take the Apex","[16,0,0,0]","[76,0]",[69],"",69,6,17,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
94,9,18,"Oak",[18],"[16,0]",[312],"","",3,"",312,[92],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
95,9,19,"Alira",[17],"[16,0]",[312],"","",3,"",312,[93],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
96,9,20,"Kraityn",[16],"[17,0]",[312],"","",3,"",312,[94],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
97,9,21,"Oak","[16,0]",[18],[315],"","",3,"",315,[95],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
98,9,22,"Alira","[16,0]",[17],[315],"","",3,"",315,[96],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
99,9,23,"Kraityn","[17,0]",[16],[315],"","",3,"",315,[97],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
100,9,24,"The Darkness",[88],[85],[235],"",235,3,"",235,[98],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
101,9,25,"The Light",[85],[],[318],"",318,3,"",318,[99],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
102,9,26,"The Baleful Gem",[98],[],[319],"","",3,"",319,[100],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
103,9,27,"Maligaro's Spike",[95],[99],[320],"","",3,"",320,[101],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
104,9,28,"Maligaro's Creations","[98,0]",[],[321],"","",3,"",321,[102],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
105,9,29,"Ancient Gateway",[100],[],[322],"","",3,"",322,[103],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
106,9,30,"Lorrata",[99],[],[323],"","",3,"",323,[104],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
107,9,31,"Fellshrine Ruins",[138],[],[324],"","",3,"",324,[105],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
108,9,32,"The Dark Altar",[234],[76],[262],"",262,5,"",262,[106],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
109,9,33,"Yeena's Vision",[253],[85],[254],"",254,5,"",254,[107],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
110,9,34,"Blocked Passage",[230],[233],[325],"","",3,"",325,[108],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
111,9,35,"The Chamber of Sins",[97],[],[153],"","",3,"",153,[109],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
112,9,36,"Dominus",[],[],[160],"","",3,"",160,[110],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
113,9,37,"Claim Passive Skill Point",[83],"[54,0,0,0]",[122],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );",122,5,"",71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
114,9,38,"Change Bandit Reward",[],[],[],"","",8,33,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
115,10,0,"Introduction",[],[],[91],"",91,3,"",91,[111],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
116,10,1,"Eramir",[75],[],[327],"","",3,"",327,[112],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
117,10,2,"Greust",[92],[],[328],"","",3,"",328,[113],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
118,10,3,"Silk",[93],[],[329],"","",3,"",329,[114],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
119,10,4,"Helena",[243],[],[330],"","",3,"",330,[115],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
120,10,5,"Blood Apes",[],[],[331],"","",3,"",331,[116],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
121,10,6,"Vipers",[139],[],[332],"","",3,"",332,[117],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
122,10,7,"Elementals",[134],[],[333],"","",3,"",333,[118],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
123,10,8,"Maligaro's Spike",[258],"[94,0]",[334],"","",3,"",334,[119],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
124,10,9,"Lorrata",[99],[],[335],"","",3,"",335,[120],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
125,10,10,"Chamber of Sins",[101],"[99,0]",[336],"","",3,"",336,[121],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
126,10,11,"The Great White Beast",[],[246],[244],"",244,5,"",244,[122],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
127,10,12,"The Great White Beast",[246],[248],[249],"",249,5,"",249,[123],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
128,10,13,"Great White Beast Reward",[249],[248],[247],"",247,6,14,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
129,10,14,"The Fellshrine Hand","[247,0]",[87],[96],"",96,5,"",96,[124],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
130,10,15,"The Fellshrine Hand",[86],[87],"[70,0]","",87,5,"",87,[125],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
131,10,16,"The Fellshrine Hand",[87],"[103,0]",[],"","",5,"",87,[125],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
132,10,17,"Fellshrine Reward",[87],"[103,0]",[102],"",102,6,12,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
133,10,18,"The Darkness","[84,0]",[85],[253],"",253,5,"",253,[126],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
134,10,19,"The Darkness",[76],[85],[253],"",253,5,"",253,[126],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
135,10,20,"The Darkness",[88],"[85,0,0]",[236],"",236,3,"",236,[127],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
136,10,21,"The Light",[85],[],[421],"",421,3,"",421,[128],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
137,10,22,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1276,[],1276,"","","","","",1,"",47,[],47,""
138,10,23,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1276,[],1276,"","","","","",0,"",47,[],47,""
139,11,0,"Introduction",[],[],[92],"",92,3,"",92,[129],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
140,11,1,"Eramir",[75],[],[337],"","",3,"",337,[130],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
141,11,2,"Yeena",[91],[],[338],"","",3,"",338,[131],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
142,11,3,"Silk",[93],[],[339],"","",3,"",339,[132],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
143,11,4,"Blood Apes",[],[],[340],"","",3,"",340,[133],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
144,11,5,"Vipers",[139],[],[341],"","",3,"",341,[134],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
145,11,6,"Elementals",[134],[],[342],"","",3,"",342,[135],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
146,11,7,"Maligaro's Spike",[258],"[99,0]",[343],"","",3,"",343,[136],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
147,11,8,"Blackguards",[808],[243],[97],"",97,5,"",97,[137],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
148,11,9,"Helena",[243],[108],[110],"",110,5,"",110,[138],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
149,11,10,"Helena",[108],[],[344],"","",3,"",344,[139],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
150,11,11,"Blackguard Reward",[110],[108],[107],"",107,6,13,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
151,11,12,"Chamber of Sins",[97],"[98,0]",[345],"","",3,"",345,[140],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
152,11,13,"Bandit Lords",[53],[122],[346],"","",3,"",346,[141],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
153,11,14,"Bandit Lords",[122],[],[364],"","",3,"",364,[142],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
154,11,15,"The Darkness",[88],[85],[237],"",237,3,"",237,[143],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
155,11,16,"The Light",[85],[],[420],"",420,3,"",420,[144],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
156,11,17,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1276,[],1276,"","","","","",1,"",47,[],47,""
157,11,18,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1276,[],1276,"","","","","",0,"",47,[],47,""
158,11,19,"Join PvP",[],[],[],"","",28,"",71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
159,4,0,"Introduction",[],[],[62],"",62,5,"",62,[145],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
160,4,1,"Marooned",[],[],[349],"triggerer.SetQuestFlag(\""a1q6-ReceivedQuest\"");\r\ntriggerer.ClearQuestFlag(\""a1q6-DeliveredAllFlame\"");",45,5,"",349,[146],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
161,4,2,"The Allflame",[],[],[350],"","",3,"",350,[147],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
162,4,3,"The Real Fairgraves",[68],[],[351],"","",3,"",351,[148],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
163,4,4,"Merveil",[],[9],[67],"","",3,"",67,[149],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
164,4,5,"Merveil's Necklace",[67],[],[352],"","",3,"",352,[150],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
165,4,6,"Thank You",[61],[],[63],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(\""a1q6-FairgravesAggro\"");",63,5,"",63,[151],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
166,4,7,"Thank You",[63],"[47,0]",[],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(\""a1q6-FairgravesAggro\"");",47,5,"",71,[152],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
167,4,8,"Allflame Reward",[71],[47],[],"triggerer.FinishNPCChat(); ForEachInRange( 100, { IfVarietyContains( Fairgraves, { Transition(); } ); } );",47,5,"",71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
168,6,0,"Exiled",[],[],[],"triggerer.TalkToWoundedExile(8.2, 22.8);",120,3,"",71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
169,6,1,"_no_weapon_",[],[],[64],"triggerer.FinishNPCChat();","",3,"",71,[156],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
170,6,2,"_have_weapon1_",[],[],[64],"triggerer.FinishNPCChat(); Transition();","",3,"",71,[154],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
171,6,3,"_have_weapon2_",[],[],[64],"triggerer.FinishNPCChat(); Transition();","",3,"",71,[155],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
172,12,0,"Introduction",[],[],[93],"",93,3,"",93,[157],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
173,12,1,"Eramir",[75],[],[354],"","",3,"",354,[158],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
174,12,2,"Yeena",[91],[],[355],"","",3,"",355,[159],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
175,12,3,"Greust",[92],[],[356],"","",3,"",356,[160],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
176,12,4,"Helena",[243],[],[357],"","",3,"",357,[161],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
177,12,5,"Maligaro's Spike",[95],"[94,0]",[258],"",258,5,"",258,[162],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
178,12,6,"Maligaro's Spike",[94],[109],"[109,0]","",109,5,"",109,[163],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
179,12,7,"Maligaro's Spike",[99],[109],[109],"",109,5,"",109,[163],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
180,12,8,"Maligaro's Spike Reward",[109],[106],[105],"",105,6,15,105,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
181,12,9,"The Darkness",[88],[85],[238],"",238,3,"",238,[164],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
182,12,10,"The Great White Beast",[244],[246],[360],"","",3,"",360,[165],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
183,12,11,"The Great White Beast",[246],[],[361],"","",3,"",361,[166],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
184,12,12,"Blocked Passage",[230],[233],[232],"",232,5,"",232,[167],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
185,12,13,"Reopened Passage",[233],[],[363],"","",3,"",363,[168],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
186,12,14,"The Light",[85],[],[480],"",480,3,"",480,[169],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
187,15,0,"The Darkness",[88],[85],[239],"",239,3,"",239,[170],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
188,15,1,"The Darkness",[85],[],[364],"","",3,"",364,[171],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
