"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
50,52,925,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","","",0
51,53,930,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"","",0
52,54,963,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"","",0
53,55,965,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","","",0
54,56,994,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
55,57,1018,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
56,58,1022,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
57,59,1029,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","","",0
58,60,186,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","","",0
59,61,1040,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","","",0
60,62,1041,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","","",0
61,63,1039,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,"",0
62,64,1075,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
63,65,1091,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","","",0
64,66,1094,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
65,67,1099,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","","",0
66,68,1108,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
67,69,1108,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
68,70,1108,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
69,71,1109,"",0,"",3,6,"",0,0,0,"",0,0,0,"","","","","","",0
70,72,1111,"",6,"",3,4,"",1000,0,0,"",0,35,0,"","","","","","",0
71,73,1117,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
72,74,1120,1,0,"",2,2,1,0,0,0,"",0,0,1,"","","","","","",0
73,75,1140,1,0,"",3,4,1,0,0,0,"",0,0,1,"",1,1,"","","",25
74,76,556,1,0,"",3,4,"",333,15,100,1,-80,33,0,"","","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,0,"","","","",1,196,0
76,78,1166,"",0,"",2,6,"",0,0,0,"",0,0,1,"","","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",199,0
78,80,1179,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
79,81,1179,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
80,82,1179,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
81,83,1179,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",201,0
83,85,1029,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
84,86,1029,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
85,87,1018,1,0,"",4,6,"",0,20,60,"",0,0,307201,"","","","","","",0
86,88,1118,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
87,89,1119,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
