"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","string"
51,1,11,1,"Amassing Divination Cards","Smuggling Body Armours (Trapped Chests!)"
52,1,11,2,"Amassing Divination Cards","Smuggling Body Armours (Trapped Chests!)"
53,1,11,3,"Amassing Divination Cards","Smuggling Body Armours (Trapped Chests!)"
54,2,11,1,"Laundering Divination Card Collections","Transporting Body Armours"
55,2,11,2,"Laundering Divination Card Collections","Transporting Body Armours"
56,2,11,3,"Laundering Divination Card Collections","Transporting Body Armours"
57,4,11,1,"Trialing Divination Card Metamorphosis","Gambling with Body Armour Properties"
58,4,11,2,"Trialing Divination Card Metamorphosis","Gambling with Body Armour Properties"
59,4,11,3,"Trialing Divination Card Metamorphosis","Gambling with Body Armour Properties"
60,3,8,1,"Gambling with Item Properties","Gambling with Weapon Properties"
61,3,8,2,"Gambling with Item Properties","Gambling with Weapon Properties"
62,3,8,3,"Gambling with Item Properties","Gambling with Weapon Properties"
63,1,8,1,"Betting on Item Outcomes","Smuggling Gloves (Trapped Chests!)"
64,1,8,2,"Betting on Item Outcomes","Smuggling Gloves (Trapped Chests!)"
65,1,8,3,"Betting on Item Outcomes","Smuggling Gloves (Trapped Chests!)"
66,2,8,1,"Wagering on Item Worth","Transporting Gloves"
67,2,8,2,"Wagering on Item Worth","Transporting Gloves"
68,2,8,3,"Wagering on Item Worth","Transporting Gloves"
69,4,8,1,"Investigating Item Odds","Gambling with Glove Properties"
70,4,8,2,"Investigating Item Odds","Gambling with Glove Properties"
71,4,8,3,"Investigating Item Odds","Gambling with Glove Properties"
72,3,1,1,"Stealing Strongbox Scarabs","Stealing Strongbox Scarabs"
73,3,1,2,"Stealing Strongbox Scarabs","Stealing Strongbox Scarabs"
74,3,1,3,"Stealing Strongbox Scarabs","Stealing Strongbox Scarabs"
75,1,1,1,"Guarding Unique Strongbox","Guarding Trapped Chests"
76,1,1,2,"Guarding Unique Strongbox","Guarding Trapped Chests"
77,1,1,3,"Guarding Unique Strongbox","Guarding Trapped Chests"
78,2,1,1,"Transporting Rare Equipment","Transporting Rare Equipment"
79,2,1,2,"Transporting Rare Equipment","Transporting Rare Equipment"
80,2,1,3,"Transporting Rare Equipment","Transporting Rare Equipment"
81,4,1,1,"Forging Powerful Equipment","Guarding Fine Armoursmithing Equipment"
82,4,1,2,"Forging Powerful Equipment","Guarding Fine Armoursmithing Equipment"
83,4,1,3,"Forging Powerful Equipment","Guarding Fine Armoursmithing Equipment"
84,3,6,1,"Collecting 'Shiny Things' (Abyss Scarabs?)","Collecting 'Shiny Things' (Abyss Scarabs?)"
85,3,6,2,"Collecting 'Shiny Things' (Abyss Scarabs?)","Collecting 'Shiny Things' (Abyss Scarabs?)"
86,3,6,3,"Collecting 'Shiny Things' (Abyss Scarabs?)","Collecting 'Shiny Things' (Abyss Scarabs?)"
87,1,6,1,"Guarding Fine Armoursmithing Equipment","Smuggling Belts (Trapped Chests!)"
88,1,6,2,"Guarding Fine Armoursmithing Equipment","Smuggling Belts (Trapped Chests!)"
89,1,6,3,"Guarding Fine Armoursmithing Equipment","Smuggling Belts (Trapped Chests!)"
90,2,6,1,"Escorting Personal Weaponsmithing Equipment","Transporting Belts"
91,2,6,2,"Escorting Personal Weaponsmithing Equipment","Transporting Belts"
92,2,6,3,"Escorting Personal Weaponsmithing Equipment","Transporting Belts"
93,4,6,1,"Glassblowing (Impressive Lung Capacity!)","Gambling with Belt Properties"
94,4,6,2,"Glassblowing (Impressive Lung Capacity!)","Gambling with Belt Properties"
95,4,6,3,"Glassblowing (Impressive Lung Capacity!)","Gambling with Belt Properties"
96,3,9,1,"\""Finding\"" Expedition Scarabs","\""Finding\"" Expedition Scarabs"
97,3,9,2,"\""Finding\"" Expedition Scarabs","\""Finding\"" Expedition Scarabs"
98,3,9,3,"\""Finding\"" Expedition Scarabs","\""Finding\"" Expedition Scarabs"
99,1,9,1,"Accumulating Currency Shards (Pathetic!)","Securing Quality-Modifying Currency"
100,1,9,2,"Accumulating Currency Shards (Pathetic!)","Securing Quality-Modifying Currency"
101,1,9,3,"Accumulating Currency Shards (Pathetic!)","Securing Quality-Modifying Currency"
102,2,9,1,"Transporting Quality-Modifying Currency","Banking Currency"
103,2,9,2,"Transporting Quality-Modifying Currency","Banking Currency"
104,2,9,3,"Transporting Quality-Modifying Currency","Banking Currency"
105,4,9,1,"Securing Kalguuran Currencies (Fool!)","Securing White Socketed Equipment"
106,4,9,2,"Securing Kalguuran Currencies (Fool!)","Securing White Socketed Equipment"
107,4,9,3,"Securing Kalguuran Currencies (Fool!)","Securing White Socketed Equipment"
108,3,13,1,"Snatching Elder Scarabs","Snatching Elder Scarabs"
109,3,13,2,"Snatching Elder Scarabs","Snatching Elder Scarabs"
110,3,13,3,"Snatching Elder Scarabs","Snatching Elder Scarabs"
111,1,13,1,"Assembling Fragments","Smuggling Helmets (Trapped Chests!)"
112,1,13,2,"Assembling Fragments","Smuggling Helmets (Trapped Chests!)"
113,1,13,3,"Assembling Fragments","Smuggling Helmets (Trapped Chests!)"
114,2,13,1,"Smuggling Essences","Transporting Helmets"
115,2,13,2,"Smuggling Essences","Transporting Helmets"
116,2,13,3,"Smuggling Essences","Transporting Helmets"
117,4,13,1,"Examining Fossils","Gambling with Helmet Properties"
118,4,13,2,"Examining Fossils","Gambling with Helmet Properties"
119,4,13,3,"Examining Fossils","Gambling with Helmet Properties"
120,3,7,1,"Claiming Metamorph Scarabs","Claiming Metamorph Scarabs"
121,3,7,2,"Claiming Metamorph Scarabs","Claiming Metamorph Scarabs"
122,3,7,3,"Claiming Metamorph Scarabs","Claiming Metamorph Scarabs"
123,1,7,1,"Banking Currency (Winnings?)","Smuggling Flasks (Trapped Chests!)"
124,1,7,2,"Banking Currency (Winnings?)","Smuggling Flasks (Trapped Chests!)"
125,1,7,3,"Banking Currency (Winnings?)","Smuggling Flasks (Trapped Chests!)"
126,2,7,1,"Stockpiling Catalysts","Transporting Flasks"
127,2,7,2,"Stockpiling Catalysts","Transporting Flasks"
128,2,7,3,"Stockpiling Catalysts","Transporting Flasks"
129,4,7,1,"Fabricating Unusual Socket Colours","Glassblowing (Impressive Lung Capacity!)"
130,4,7,2,"Testing Item Socket Limits","Glassblowing (Impressive Lung Capacity!)"
131,4,7,3,"Testing Item Link Limits","Glassblowing (Impressive Lung Capacity!)"
132,3,17,1,"Investigating Blight Scarabs","Investigating Blight Scarabs"
133,3,17,2,"Investigating Blight Scarabs","Investigating Blight Scarabs"
134,3,17,3,"Investigating Blight Scarabs","Investigating Blight Scarabs"
135,1,17,1,"Protecting Items from Theft (Paranoid?)","Smuggling Quivers (Trapped Chests!)"
136,1,17,2,"Protecting Items from Theft (Paranoid?)","Smuggling Quivers (Trapped Chests!)"
137,1,17,3,"Protecting Items from Theft (Paranoid?)","Smuggling Quivers (Trapped Chests!)"
138,2,17,1,"Rigging Item Selections (Likes Contraptions!)","Transporting Quivers"
139,2,17,2,"Rigging Item Selections (Likes Contraptions!)","Transporting Quivers"
140,2,17,3,"Rigging Item Selections (Likes Contraptions!)","Transporting Quivers"
141,4,17,1,"Studying Anomalous Materials","Securing Fractured Equipment"
142,4,17,2,"Studying Anomalous Materials","Securing Fractured Equipment"
143,4,17,3,"Studying Anomalous Materials","Securing Fractured Equipment"
144,3,14,1,"Swiping Cartography Scarabs","Securing Linked Equipment"
145,3,14,2,"Swiping Cartography Scarabs","Securing Linked Equipment"
146,3,14,3,"Swiping Cartography Scarabs","Securing Linked Equipment"
147,1,14,1,"Securing Rare Maps","Smuggling Maps (Trapped Chests!)"
148,1,14,2,"Securing Rare Maps","Smuggling Maps (Trapped Chests!)"
149,1,14,3,"Securing Rare Maps","Smuggling Maps (Trapped Chests!)"
150,2,14,1,"Guiding Maps Between Locations","Transporting Maps"
151,2,14,2,"Guiding Maps Between Locations","Transporting Maps"
152,2,14,3,"Guiding Maps Between Locations","Transporting Maps"
153,4,14,1,"Cataloguing Unique Maps","Guiding Maps Between Locations"
154,4,14,2,"Cataloguing Unique Maps","Guiding Maps Between Locations"
155,4,14,3,"Cataloguing Unique Maps","Guiding Maps Between Locations"
156,3,12,1,"Seizing Bestiary Scarabs","Gambling with Amulet Properties"
157,3,12,2,"Seizing Bestiary Scarabs","Gambling with Amulet Properties"
158,3,12,3,"Seizing Bestiary Scarabs","Gambling with Amulet Properties"
159,1,12,1,"Channeling the First Ones","Smuggling Amulets (Trapped Chests!)"
160,1,12,2,"Channeling the First Ones","Smuggling Amulets (Trapped Chests!)"
161,1,12,3,"Channeling the First Ones","Smuggling Amulets (Trapped Chests!)"
162,2,12,1,"Carrying Talismans on Pilgrimage","Transporting Amulets"
163,2,12,2,"Carrying Talismans on Pilgrimage","Transporting Amulets"
164,2,12,3,"Carrying Talismans on Pilgrimage","Transporting Amulets"
165,4,12,1,"Imbuing Amulets with Talismanic Power","Imbuing Amulets with Talismanic Power"
166,4,12,2,"Imbuing Amulets with Talismanic Power","Imbuing Amulets with Talismanic Power"
167,4,12,3,"Imbuing Amulets with Talismanic Power","Imbuing Amulets with Talismanic Power"
168,3,3,1,"Hunting for Harbinger Scarabs","Hunting for Harbinger Scarabs"
169,3,3,2,"Hunting for Harbinger Scarabs","Hunting for Harbinger Scarabs"
170,3,3,3,"Hunting for Harbinger Scarabs","Hunting for Harbinger Scarabs"
171,1,3,1,"Enchanting Gloves","Securing Support Gems"
172,1,3,2,"Enchanting Boots","Securing Support Gems"
173,1,3,3,"Enchanting Helmets","Securing Support Gems"
174,2,3,1,"Creating Timed Item Traps (Careful!)","Transporting Skill Gems"
175,2,3,2,"Creating Timed Item Traps (Careful!)","Transporting Skill Gems"
176,2,3,3,"Creating Timed Item Traps (Careful!)","Transporting Skill Gems"
177,4,3,1,"Exposing Gems to Combat","Exposing Gems to Combat"
178,4,3,2,"Exposing Gems to Combat","Exposing Gems to Combat"
179,4,3,3,"Exposing Gems to Combat","Exposing Gems to Combat"
180,3,4,1,"Selectively Stealing Legion Scarabs","Selectively Stealing Legion Scarabs"
181,3,4,2,"Selectively Stealing Legion Scarabs","Selectively Stealing Legion Scarabs"
182,3,4,3,"Selectively Stealing Legion Scarabs","Selectively Stealing Legion Scarabs"
183,1,4,1,"Patrolling Legion Cache","Smuggling Weapons (Trapped Chests!)"
184,1,4,2,"Patrolling Legion Cache","Smuggling Weapons (Trapped Chests!)"
185,1,4,3,"Patrolling Legion Cache","Smuggling Weapons (Trapped Chests!)"
186,2,4,1,"Relocating Timeless Splinters","Transporting Weapons"
187,2,4,2,"Relocating Timeless Splinters","Transporting Weapons"
188,2,4,3,"Relocating Timeless Splinters","Transporting Weapons"
189,4,4,1,"Stashing Incubators","Guarding Personal Weaponsmithing Equipment"
190,4,4,2,"Stashing Incubators","Guarding Personal Weaponsmithing Equipment"
191,4,4,3,"Stashing Incubators","Guarding Personal Weaponsmithing Equipment"
192,3,5,1,"Thieving Shaper Scarabs","Thieving Shaper Scarabs"
193,3,5,2,"Thieving Shaper Scarabs","Thieving Shaper Scarabs"
194,3,5,3,"Thieving Shaper Scarabs","Thieving Shaper Scarabs"
195,1,5,1,"Stowing Socket-Modifying Orbs","Testing Item Socket Limits"
196,1,5,2,"Stowing Socket-Modifying Orbs","Testing Item Socket Limits"
197,1,5,3,"Stowing Socket-Modifying Orbs","Testing Item Socket Limits"
198,2,5,1,"Smuggling High-quality Gems","Fabricating Unusual Socket Colours"
199,2,5,2,"Smuggling High-quality Gems","Fabricating Unusual Socket Colours"
200,2,5,3,"Smuggling High-quality Gems","Fabricating Unusual Socket Colours"
201,4,5,1,"Forging Gem-Agnostic Sockets","Testing Item Link Limits"
202,4,5,2,"Forging Gem-Agnostic Sockets","Testing Item Link Limits"
203,4,5,3,"Forging Gem-Agnostic Sockets","Testing Item Link Limits"
