"rownum","Id","i32","SoldItem_TagsKeys","SoldItem_Weights","[rid]","[i32]","i32","[rid]","[i32]","i32","i32","i32"
49,"A6_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",10,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
50,"A7_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",12,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
51,"A8_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",14,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
52,"A9_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",16,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
53,"A10_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",18,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
54,"Epilogue_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",20,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
55,"Siosa_HardMode",0,[0],[0],[],[],0,[],[],0,0,0
56,"Kirac_HardMode",0,[0],[0],[],[],0,[],[],0,0,0
57,"ExpeditionHaggler_HardMode",0,[],[],[],[],0,[],[],0,0,1
58,"ExpeditionGambler_HardMode",0,[],[],[],[],0,[],[],0,0,3
59,"ExpeditionDealer_HardMode",0,[],[],[],[],0,[],[],0,0,2
60,"ExpeditionSaga_HardMode",0,[],[],[],[],0,[],[],0,0,4
61,"SanctumMerchant",5,"[33,0]","[0,1000]",[38],[1],0,[],[],0,0,0
