"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","LoadingScreen_DDSFile","rid","[rid]","i32","TopologiesKeys","ParentTown_WorldAreasKey","i32","rid","rid","Bosses_MonsterVarietiesKeys","Monsters_MonsterVarietiesKeys","SpawnWeight_TagsKeys","SpawnWeight_Values","IsMapArea","FullClear_AchievementItemsKeys","rid","AchievementItemsKey","ModsKeys","i32","VaalArea","bool","MaxLevel","AreaTypeTags","i32","IsHideout","Inflection","i32","i32","Tags","IsVaalArea","IsLabyrinthAirlock","IsLabyrinthArea","TwinnedFullClear_AchievementItemsKey","Enter_AchievementItemsKey","TSIFile","rid","WaypointActivation_AchievementItemsKeys","IsUniqueMapArea","IsLabyrinthBossArea","FirstEntry_NPCTextAudioKey","FirstEntry_SoundEffectsKey","FirstEntry_NPCsKey","i32","EnvironmentsKey","i32","rid","i32","i32","i32","i32","i32","bool","bool","i32","i32","i32","[rid]","rid","i32","rid","rid"
42,"1_3_3_1","The Crematorium",3,"",1,[41],25,20663,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",152,[473],6,"[644,645,646,647,648,649,650,651,652]",39,480,"","","[1561,1338]",[],[],[],"",[],"","",[],8000,[180],"",100,"[106,93]",0,"","",6000,3500,"[61,403,444,845]","","","","","","","",[],"","",300,"","",2,86,20000,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
43,"1_3_5","The Marketplace",3,"",1,"[49,44,45]",26,20497,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",154,[424],6,"[599,600,601,602,603,604,605,606,607,608,609,610,611,612,613]",39,900,"","",[1642],"[1645,1646,1649,1726,1728,1732,1733,1788,1790,1705,1707]",[],[],"",[],"","",[],0,[186],"",100,[105],10,"","",7000,3500,"[334,358,374]","","","","","","","",[],"","","","","",2,88,20000,"",20,0,0,0,0,"",1,47,0,0,[],32,5,120,2
44,"1_3_6","The Catacombs",3,"","",[43],27,49887,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",155,[424],6,"[614,615,616,617,618,619,620,621]",39,480,"","",[],"[1645,1646,1649,1726,1728,1732,1733]",[],[],"",[1372],"","",[],0,[182],"",100,[107],9,"","",6000,3500,"[61,328,369,845]","","","","","","","",[],"","","","","",2,89,15000,"",20,0,0,0,0,"",1,47,0,0,[],32,5,120,2
45,"1_3_7","The Battlefront",3,"",1,"[43,46,48]",27,25759,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",156,[424],6,"[556,557,558,559,560,561]",39,900,"","",[1241],"[1645,1646,1649,1726,1728,1732,1733]",[],[],"",[],"","",[],0,[186],"",100,[105],0,"","",7000,3500,"[169,374,396,842]","","","","","","","",[],"","","","","",2,90,24000,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
46,"1_3_8_1","The Solaris Temple Level 1",3,"",1,"[45,47]",27,61957,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",157,[424],6,"[581,582,583,584,585,586]",39,480,"","","[1483,1484]","[1673,1675,1677,1748,1750,1754,1756]",[],[],"",[],"","",[],0,[183],"",100,[108],0,"","",6000,3500,"[61,307,360]","","","","","","","",[],"","","","","",2,91,7000,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
47,"1_3_8_2","The Solaris Temple Level 2",3,"",1,[46],28,21610,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",374,[424],6,"[587,588,589,590,591,592]",39,480,"","","[1480,1481,1482]","[1673,1675,1677,1748,1750,1754,1756]",[],[],"",[],"","",[],0,[183],"",100,[108],0,"","",6000,3500,"[61,169,307,360]","","","","","","","",[],"","","","","",2,92,7000,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
48,"1_3_9","The Docks",3,"",1,[45],29,8231,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",158,[424],6,"[622,623,624]",39,480,"","",[],[],[],[],"",[],"","",[],0,[184],"",100,[109],0,"","",7000,3500,"[169,366,374,366]","","","","","","","",[],"","","","","",2,93,27500,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
49,"1_3_10_1","The Sewers",3,"",1,"[41,43,50]",26,61682,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",159,[424],6,"[569,570,571]",39,900,"","",[],[],[],[],"",[],"","",[],0,[185],"",100,[110],9,"","",6000,3500,"[61,169,328,367,468]","","","","","","","",[],"","","","","",2,95,18000,"",20,0,0,0,0,"",1,47,0,0,[],32,5,120,2
50,"1_3_13","The Ebony Barracks",3,"",1,"[49,51,53]",29,44418,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",162,[434],6,[625],39,900,"","",[1321],[],[],[],"",[],"","",[],0,[186],"",100,[111],0,"","",7000,3500,"[169,370,374,842]","","","","","","","",[],"","","","","",2,98,28000,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
51,"1_3_14_1","The Lunaris Temple Level 1",3,"",1,"[50,52]",29,24592,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",163,[434],6,"[626,627,628,629]",39,480,"","","[1242,1368]",[],[],[],"",[],"","",[],0,[187],"",100,[112],0,"","",6000,3500,"[61,158,159,169,307,380]","","","","","","","",[],"","","","","",2,99,17250,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
52,"1_3_14_2","The Lunaris Temple Level 2",3,"","",[51],30,10694,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",660,[434],6,"[630,631,632,633,634,635,636,637,638,639,640,641]",39,900,"","","[1336,1405]",[],[],[],"",[],"","",[],0,[187],"",100,[112],0,"","",6000,3500,"[61,158,159,169,307,380,410,843]","","","","","","","",[],"","","","","",2,102,35550,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
53,"1_3_15","The Imperial Gardens",3,"",1,"[50,54,56]",30,22647,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",164,[434],6,"[656,653,654,655,657,658,659]",39,900,"","","[1639,2642]",[],[],[],"",[],"","",[],0,[188],"",100,[113],9,"","",7000,3500,"[169,335,336,365,364,842]","","","","","","","",[],"","","","","",2,105,25050,"",20,0,0,0,0,"",1,47,0,0,[],32,5,120,2
54,"1_3_17_1","The Library",3,"",1,"[53,55]",30,2152,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",166,[434],6,"[660,661,662]",39,900,"","",[],[],[],[],"",[],"","",[],0,[190],"",100,[114],0,"","",6000,3500,"[61,307,357]","","","","","","","",[],"","","","","",2,107,28300,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
55,"1_3_17_2","The Archives",3,"","",[54],31,14632,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",166,[434],6,[663],39,480,"","",[1927],[],[],[],"",[1374],"","",[],0,[190],"",100,[114],0,"","",6000,3500,"[61,307,357,429]","","","","","","","",[],"","","","","",2,108,16500,"",0,0,0,0,0,"",1,47,0,0,[],32,5,120,2
56,"1_3_18_1","The Sceptre of God",3,"",1,"[53,57]",32,9837,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",167,[469],6,[642],39,480,"","",[1976],[],[],[],"",[],"","",[],0,[189],"",100,[115],8,"","",6000,3500,"[61,158,159,162,307,307,337,388,393]","","","","","","","",[],"","","","","",2,109,27000,"",20,0,0,0,0,"",1,47,0,0,[],33,5,120,2
57,"1_3_18_2","The Upper Sceptre of God",3,"","","[56,59]",33,59038,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",167,[469],6,[643],39,480,"","","[1467,1578,1284,1286,1259]",[1587],[],[],"",[],"","",[],0,[189],"",100,[115],8,"","",6000,3500,"[61,158,159,162,307,307,337,388,393,874]","","","","","","","",[],"","","","","",2,111,20250,"",20,0,0,0,0,"",1,47,0,0,[],34,5,120,2
58,"1_4_town","Highgate",4,1,1,"[59,60,61,71]",40,46654,0,0,"Art/Textures/Interface/LoadingImages/Act4.dds",672,[222],32,[673],"",480,"","",[],[],[],[],"",[],"","",[],0,[],1,100,[],0,"","",7000,3500,[],"","","","","","","",[],"","","",122,"",1,151,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
59,"1_4_1","The Aqueduct",4,"",1,"[57,58]",33,29523,8,6,"Art/Textures/Interface/LoadingImages/Act4.dds",673,[222],6,[664],39,480,"","",[3770],[],[],[],"",[],"","",[],0,[191],"",100,[109],8,"","",7000,3500,"[169,307,338,375,842]","","","","","","","",[],"","","","","",2,121,25750,"",20,0,0,0,0,"",1,47,0,0,[],35,5,121,3
60,"1_4_2","The Dried Lake",4,"","",[58],34,24086,8,6,"Art/Textures/Interface/LoadingImages/Act4.dds",674,[222],6,"[665,666,667,668,669,670,671,672]",58,480,"","","[3847,3824]",[],[],[],"",[],"","",[],0,"[192,194]","",100,[90],8,"","",7000,3500,"[158,338,339,426,862,879]","","","","","","","",[],"","","","","",2,123,37750,"",20,0,0,0,0,"",1,47,0,0,[],36,5,121,3
61,"1_4_3_1","The Mines Level 1",4,"","","[58,62]",34,44813,8,6,"Art/Textures/Interface/LoadingImages/Act4.dds",675,[667],6,"[674,675,676,677,678,679]",58,480,"","",[3907],[],[],[],"",[],"","",[],0,[193],"",100,[95],8,"","",6000,3500,"[61,383,397]","","","","","","","",[],"","","","","",2,124,15000,"",0,0,20,0,0,"",1,47,0,0,[],36,5,121,3
62,"1_4_3_2","The Mines Level 2",4,"","","[61,63]",35,41597,8,6,"Art/Textures/Interface/LoadingImages/Act4.dds",676,[667],6,"[680,681,682,683,684,685]",58,480,"","","[3937,3892]",[],[],[],"",[],"","",[],0,[193],"",100,[95],16,"","",6000,3500,"[61,328,383,397]","","","","","","","",[],"","","","","",2,125,16200,"",10,0,20,0,0,"",1,47,0,0,[],36,5,121,3
63,"1_4_3_3","The Crystal Veins",4,"",1,"[62,64,66,68]",36,47328,8,6,"Art/Textures/Interface/LoadingImages/Act4.dds",677,[667],6,"[686,687,688,689,690,691]",58,480,"","",[3928],[],[],[],"",[],"","",[],0,[193],"",100,[95],16,"","",6000,3500,"[61,328,383,397,418,900]","","","","","","","",[],"","","","","",2,126,23000,"",10,0,20,0,0,"",1,47,0,0,[],36,5,121,3
