"rownum","string","string","string","string","rid","i32","rid"
112,"LoseSpecMinorAfflictionLoseSpecificMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionLoseSpecificMinorBoon","","",0,""
113,"PurchaseRelic1x2","Censer Relic","","",9867,0,""
114,"PurchaseRelic1x3","Processional Relic","","",9868,0,""
115,"PurchaseRelic1x4","Candlestick Relic","","",9869,0,""
116,"PurchaseRelic2x1","Urn Relic","","",9870,0,""
117,"PurchaseRelic2x2","Coffer Relic","","",9871,0,""
118,"PurchaseRelic3x1","Tome Relic","","",9872,0,""
119,"PurchaseRelic4x1","Papyrus Relic","","",9873,0,""
120,"PurchaseSanctumSpecialRelic1","Sanctified Relic","","",9874,0,""
121,"PurchaseSanctumSpecialRelic2","Sanctified Relic","","",9875,0,""
122,"PurchaseSanctumSpecialRelic3","Sanctified Relic","","",9876,0,""
