"rownum","Id","PosX","PosY","Order","SizeX","SizeY","bool","Tab","i32","IsDisabled","Subtab","FragmentItems"
55,"Metadata/Items/Scarabs/ScarabStrongbox1",68,675,55,1,1,"",2,75,"",0,[8984]
56,"Metadata/Items/Scarabs/ScarabStrongbox2",169,675,56,1,1,"",2,75,"",0,[8985]
57,"Metadata/Items/Scarabs/ScarabStrongbox3",270,675,57,1,1,"",2,75,"",0,[8986]
58,"Metadata/Items/Scarabs/ScarabHarbinger1",491,384,58,1,1,"",2,75,"",0,[8988]
59,"Metadata/Items/Scarabs/ScarabHarbinger2",592,384,59,1,1,"",2,75,"",0,[8989]
60,"Metadata/Items/Scarabs/ScarabHarbinger3",693,384,60,1,1,"",2,75,"",0,[8990]
61,"Metadata/Items/Scarabs/ScarabPerandus1",491,189,61,1,1,"",2,75,"",0,[8992]
62,"Metadata/Items/Scarabs/ScarabPerandus2",592,189,62,1,1,"",2,75,"",0,[8993]
63,"Metadata/Items/Scarabs/ScarabPerandus3",693,189,63,1,1,"",2,75,"",0,[8994]
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",335,375,64,1,1,"",0,70,"",0,[6951]
65,"Metadata/Items/MapFragments/CurrencyLegionFragmentMaraketh",627,375,65,1,1,"",0,70,"",0,[6952]
66,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternal",238,375,66,1,1,"",0,70,"",0,[6953]
67,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplar",530,375,67,1,1,"",0,70,"",0,[6954]
68,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaal",433,375,68,1,1,"",0,70,"",0,[6955]
69,"Metadata/Items/Currency/CurrencyLegionKaruiShard",335,281,69,1,1,1,0,70,"",0,[197]
70,"Metadata/Items/Currency/CurrencyLegionMarakethShard",627,281,70,1,1,1,0,70,"",0,[198]
71,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",238,281,71,1,1,1,0,70,"",0,[199]
72,"Metadata/Items/Currency/CurrencyLegionTemplarShard",530,281,72,1,1,1,0,70,"",0,[200]
73,"Metadata/Items/Currency/CurrencyLegionVaalShard",433,281,73,1,1,1,0,70,"",0,[201]
74,"Metadata/Items/Scarabs/ScarabLegion1",68,577,74,1,1,"",2,75,"",0,[8996]
75,"Metadata/Items/Scarabs/ScarabLegion2",169,577,75,1,1,"",2,75,"",0,[8997]
76,"Metadata/Items/Scarabs/ScarabLegion3",270,577,76,1,1,"",2,75,"",0,[8998]
77,"Metadata/Items/MapFragments/CurrencyElderFragment1",220,697,77,1,1,"",0,70,"",0,[6910]
78,"Metadata/Items/MapFragments/CurrencyElderFragment2",220,791,78,1,1,"",0,70,"",0,[6911]
79,"Metadata/Items/MapFragments/CurrencyElderFragment3",122,791,79,1,1,"",0,70,"",0,[6912]
80,"Metadata/Items/MapFragments/CurrencyElderFragment4",122,697,80,1,1,"",0,70,"",0,[6913]
81,"Metadata/Items/MapFragments/CurrencyUberElderFragment1",744,697,81,1,1,"",0,70,"",0,[6915]
82,"Metadata/Items/MapFragments/CurrencyUberElderFragment2",744,791,82,1,1,"",0,70,"",0,[6916]
83,"Metadata/Items/MapFragments/CurrencyUberElderFragment3",647,791,83,1,1,"",0,70,"",0,[6917]
84,"Metadata/Items/MapFragments/CurrencyUberElderFragment4",647,697,84,1,1,"",0,70,"",0,[6918]
85,"Metadata/Items/Scarabs/ScarabMetamorph1",68,479,85,1,1,"",2,75,"",0,[9000]
86,"Metadata/Items/Scarabs/ScarabMetamorph2",169,479,86,1,1,"",2,75,"",0,[9001]
87,"Metadata/Items/Scarabs/ScarabMetamorph3",270,479,87,1,1,"",2,75,"",0,[9002]
88,"Metadata/Items/MapFragments/CurrencyMavenKey",744,420,88,1,1,"",0,70,"",0,[9324]
89,"Metadata/Items/MapFragments/CurrencyMavenKeyFragment",744,326,89,1,1,"",0,70,"",0,[9325]
90,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire2",228,433,90,1,1,"",1,74,"",0,[6931]
91,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire3",228,551,91,1,1,"",1,74,"",0,[6936]
92,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire4",228,668,92,1,1,"",1,74,"",0,[6941]
93,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold2",329,433,93,1,1,"",1,74,"",0,[6932]
94,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold3",329,551,94,1,1,"",1,74,"",0,[6937]
95,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold4",329,668,95,1,1,"",1,74,"",0,[6942]
96,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning2",430,433,96,1,1,"",1,74,"",0,[6933]
97,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning3",430,551,97,1,1,"",1,74,"",0,[6938]
98,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning4",430,668,98,1,1,"",1,74,"",0,[6943]
99,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical2",532,433,99,1,1,"",1,74,"",0,[6934]
100,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical3",532,551,100,1,1,"",1,74,"",0,[6939]
101,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical4",532,668,101,1,1,"",1,74,"",0,[6944]
102,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos2",633,433,102,1,1,"",1,74,"",0,[6935]
103,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos3",633,551,103,1,1,"",1,74,"",0,[6940]
104,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos4",633,668,104,1,1,"",1,74,"",0,[6945]
105,"Metadata/Items/Scarabs/ScarabBlight1",68,774,105,1,1,"",2,75,"",0,[9004]
106,"Metadata/Items/Scarabs/ScarabBlight2",169,774,106,1,1,"",2,75,"",0,[9005]
107,"Metadata/Items/Scarabs/ScarabBlight3",270,774,107,1,1,"",2,75,"",0,[9006]
108,"Metadata/Items/Scarabs/ScarabBlight4",370,774,108,1,1,"",2,75,"",0,[9007]
109,"Metadata/Items/Scarabs/ScarabBreach4",793,677,109,1,1,"",2,75,"",0,[8947]
110,"Metadata/Items/Scarabs/ScarabMaps4",793,287,110,1,1,"",2,75,"",0,[8951]
111,"Metadata/Items/Scarabs/ScarabUniques4",370,186,111,1,1,"",2,75,"",0,[8955]
112,"Metadata/Items/Scarabs/ScarabBeasts4",370,89,112,1,1,"",2,75,"",0,[8959]
113,"Metadata/Items/Scarabs/ScarabShaperRares4",793,89,113,1,1,"",2,75,"",0,[8967]
114,"Metadata/Items/Scarabs/ScarabElderRares4",793,482,114,1,1,"",2,75,"",0,[8971]
115,"Metadata/Items/Scarabs/ScarabSulphite4",370,382,115,1,1,"",2,75,"",0,[8975]
116,"Metadata/Items/Scarabs/ScarabDivinationCards4",793,579,116,1,1,"",2,75,"",0,[8979]
117,"Metadata/Items/Scarabs/ScarabTorment4",370,284,117,1,1,"",2,75,"",0,[8983]
118,"Metadata/Items/Scarabs/ScarabStrongbox4",370,675,118,1,1,"",2,75,"",0,[8987]
119,"Metadata/Items/Scarabs/ScarabHarbinger4",793,384,119,1,1,"",2,75,"",0,[8991]
120,"Metadata/Items/Scarabs/ScarabPerandus4",793,189,120,1,1,"",2,75,"",0,[8995]
121,"Metadata/Items/Scarabs/ScarabLegion4",370,577,121,1,1,"",2,75,"",0,[8999]
122,"Metadata/Items/Scarabs/ScarabMetamorph4",370,479,122,1,1,"",2,75,"",0,[9003]
123,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessDedication",371,584,123,1,1,"",0,70,"",0,[6965]
124,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessGift",495,584,124,1,1,"",0,70,"",0,[6964]
125,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessTribute",619,584,125,1,1,"",0,70,"",0,[6963]
126,"Metadata/Items/Scarabs/ScarabAbyss1",491,774,126,1,1,"",2,75,"",0,[9008]
127,"Metadata/Items/Scarabs/ScarabAbyss2",592,774,127,1,1,"",2,75,"",0,[9009]
128,"Metadata/Items/Scarabs/ScarabAbyss3",693,774,128,1,1,"",2,75,"",0,[9010]
129,"Metadata/Items/Scarabs/ScarabAbyss4",793,774,129,1,1,"",2,75,"",0,[9011]
130,"Metadata/Items/Currency/CurrencyRitualSplinter",122,326,130,1,1,"",0,70,"",0,[300]
131,"Metadata/Items/Currency/CurrencyRitualStone",122,420,131,1,1,"",0,70,"",0,[301]
132,"Metadata/Items/MapFragments/CurrencyHarvestBossKey",744,584,132,1,1,"",0,70,"",0,[9352]
133,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternalUber",238,469,133,1,1,"",0,70,"",0,[6958]
134,"Metadata/Items/MapFragments/CurrencyLegionFragmentKaruiUber",335,469,134,1,1,"",0,70,"",0,[6956]
135,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaalUber",433,469,135,1,1,"",0,70,"",0,[6960]
136,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplarUber",530,469,136,1,1,"",0,70,"",0,[6959]
137,"Metadata/Items/MapFragments/CurrencyLegionFragmentMarakethUber",627,469,137,1,1,"",0,70,"",0,[6957]
138,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire",228,78,138,1,1,"",1,74,"",0,[192]
139,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold",329,78,139,1,1,"",1,74,"",0,[193]
140,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning",430,78,140,1,1,"",1,74,"",0,[194]
141,"Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical",532,78,141,1,1,"",1,74,"",0,[195]
142,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos",633,78,142,1,1,"",1,74,"",0,[196]
143,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire5",228,785,143,1,1,"",1,74,"",0,[6946]
144,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold5",329,785,144,1,1,"",1,74,"",0,[6947]
145,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning5",430,785,145,1,1,"",1,74,"",0,[6948]
146,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical5",532,785,146,1,1,"",1,74,"",0,[6949]
147,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos5",633,785,147,1,1,"",1,74,"",0,[6950]
148,"Metadata/Items/MapFragments/CurrencySirusFragment1",482,74,148,1,1,"",0,70,"",0,[6920]
149,"Metadata/Items/MapFragments/CurrencySirusFragment2",482,169,149,1,1,"",0,70,"",0,[6921]
150,"Metadata/Items/MapFragments/CurrencySirusFragment3",385,169,150,1,1,"",0,70,"",0,[6922]
151,"Metadata/Items/MapFragments/CurrencySirusFragment4",385,74,151,1,1,"",0,70,"",0,[6923]
152,"MavenInvitations",70,445,0,72,1,"",3,66,"",1,"[9273,9274,9275,9276,9277,9278,9283]"
153,"PrimordialBosses",70,445,0,72,1,"",3,66,"",2,"[9820,9822,9816,9818]"
