"rownum","rid","i32","i32","bool","string","[rid]","i32","[i32]","i32","i32"
10,1,4,33,"","BattlePassTwoHyrrisIre",[3877],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",377,401
11,1,6,50,"","BattlePassTwoDevouringDiadem",[3875],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",378,402
12,1,9,67,"","BattlePassTwoVoidBattery",[3879],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",379,403
13,1,10,84,"","BattlePassTwoAshesoftheStars",[3873],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",380,404
14,1,12,100,"","BattlePassTwoArakaalisFang",[3872],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",381,405
15,1,14,115,"","BattlePassTwoMageblood",[3876],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",382,406
16,2,0,0,"","BattlePassThreeDarknessEnthroned",[3942],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",375,399
17,2,2,10,"","BattlePassThreeColdIronPoint",[3946],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",376,400
18,2,4,20,"","BattlePassThreeKaruiTimelessJewel",[3949],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",377,401
19,2,6,30,"","BattlePassThreeMagnaEclipsis",[3954],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",378,402
20,2,8,40,"","BattlePassThreeEternalTimelessJewel",[3951],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",379,403
21,2,10,50,"","BattlePassThreeGravebind",[3953],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",380,404
22,2,12,60,"","BattlePassThreeVaalTimelessJewel",[3948],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",381,405
23,2,14,70,"","BattlePassThreeLegacyOfFury",[3952],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",382,406
24,2,16,80,"","BattlePassThreeTemplarTimelessJewel",[3950],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",1264,1268
25,2,18,90,"","BattlePassThreeFarrulsFur",[3943],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",1265,1269
26,2,20,100,"","BattlePassThreeMarakethTimelessJewel",[3947],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",1266,1270
27,2,22,115,"","BattlePassThreeCosprisMalice",[3945],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",1267,1271
28,3,0,0,"","BattlePassFourTheGull",[4109],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",375,399
29,3,2,15,"","BattlePassFourShavronnesWrappings",[4110],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",376,400
30,3,4,30,"","BattlePassFourOlrothsResolve",[4107],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",377,401
31,3,6,45,"","BattlePassFourNebulis",[4108],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",378,402
32,3,8,60,"","BattlePassFourVentorsGamble",[4111],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",379,403
33,3,10,75,"","BattlePassFourMeldingoftheFlesh",[4106],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",380,404
34,3,12,90,"","BattlePassFourHateforge",[4112],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3775,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,247201792,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3771,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3774,0,0,0,6357058,7602292,6619244,6357072]",381,405
