"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","GrantedEffectHardMode","rid","i32"
62,5709,659,0,60,40,"[10,25,13,7,36]","","","","","","","","","","","",1,1,"","","","",2
63,5710,660,0,100,0,"[10,25,13,7,36,22,15]",6363,"","","","","","","","","","",1,1,"","","","",2
64,6363,668,0,100,0,"[10,25,13,7,36,22,24,15]","",1,"","",660,"","","","","","",1,1,"","","","",2
65,5711,807,0,0,100,"[11,25,4,5,15,2]",5865,"","","","","","","","","","",1,1,"","","","",3
66,5865,2969,0,0,100,"[11,25,4,5,15,24,2]","",1,"","",807,"","","","","","",1,1,"","","","",3
67,5780,5044,0,0,0,"[16,26]","","","","","","","",1,"","","",1,1,"","","","",4
68,5712,820,100,0,0,"[9,16]","","","Supports any skill that hits enemies, making it easier to stun enemies with those skills.",13496,"","","",1,"","","",1,1,"","","","",1
69,5713,822,0,0,100,"[47,11,25,4,5,1]","","","","","","","","","","","",1,1,"","","","",3
70,5714,837,0,100,0,"[10,16,5]","","","Supports projectile skills.",13572,"","","",1,"","","",1,1,"","","","",2
71,5715,838,0,60,40,"[10,16,20]","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a trap that will use the skill for you when an enemy walks near it. Traps cannot use channelling skills.",13511,"","","",1,"","","",1,1,"","","","",2
72,5716,840,0,0,100,"[11,25,4,8]","","","","","",10245,"","","","","",1,1,"","","","",3
73,5717,8032,100,0,0,"[9,25,13,14,7,36,0,15]","","","","","","","","","","","",1,1,"","","","",1
74,5718,848,100,0,0,"[9,25,13,7,36,1]",5882,"","","","","","","","","","",1,1,"","","","",1
75,5882,855,100,0,0,"[9,25,13,7,36,15,14,24,1]","",1,"","",848,"","","","","","",1,1,"","","","",1
76,5719,865,0,0,100,"[11,25,4,15,1]","","","","","","","","","","","",1,1,"","","","",3
77,5720,875,0,0,100,"[11,25,4,5,1]","","","","","","","","","","","",1,1,"","","","",3
78,5721,890,0,0,100,"[11,25,4,14,2,38]","","","","","","","","","","","",1,1,"","","","",3
79,5722,4215,0,0,100,"[11,25,4,14,2,38]","","","","","","","","","","","",1,1,"","","","",3
80,5723,926,0,100,0,"[10,25,13,15,7,36,3]","","","","","","","","","","","",1,1,"","","","",2
81,5724,4557,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","","","","","",1,1,"","","","",2
82,5725,4557,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","","","","","",1,1,"","","","",2
83,5726,935,100,0,0,"[7,33,9,16,13]","","","Supports melee attack skills.",13574,"","","",1,"","","",1,1,441,"","","",1
84,5727,936,100,0,0,"[9,16]","","","Supports any skill that can kill enemies.",13519,"","","",1,"","","",1,1,"","","","",1
85,5728,938,0,0,100,"[11,16]","","","Supports any skill that can kill enemies.",13520,"","","",1,"","","",1,1,"","","","",3
86,5729,939,0,0,100,"[11,16,4]","","","Supports non-instant spell skills.",13513,"","","",1,"","","",1,1,"","","","",3
87,5730,941,0,100,0,"[10,25,13,5,14,15,0,6]","","","","","","","","","","","",1,1,"","","","",2
88,5731,965,0,60,40,"[10,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",2
89,5732,986,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",3
90,5733,996,60,40,0,"[9,25,4,17,43]","","","","","","","","","","","",1,1,"","","","",1
91,5734,1003,60,0,40,"[9,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",1
92,5735,4452,60,0,40,"[9,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",1
93,5736,1008,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",3
94,5737,1021,0,40,60,"[47,11,25,4,17,43]","","","","","","","","","","","",1,1,"","","","",3
95,5738,1029,0,100,0,"[10,25,4,17,43]","","","","","","","","","","","",1,1,"","","","",2
96,5739,7833,0,40,60,"[11,25,4,14,15,3,17,42]","","","","","","","","","","","",1,1,"","","","",3
97,5740,1064,0,0,100,"[11,25,4,14,15,22,2,35]","","","","","","","","","","","",1,1,"","",1065,"",3
98,5868,1067,0,0,100,"[11,25,4,14,15,24,2,22,35]","",1,"","",1064,"","","","","","",1,1,"","","","",3
99,5741,1096,0,0,100,"[11,25,4,8,15]",5883,"","","","",10247,"","","","","",1,1,"","","","",3
100,5883,1098,0,0,100,"[11,25,4,8,15,24]","",1,"","",1096,10247,"","","","","",1,1,"","","","",3
101,5746,1128,100,0,0,"[9,25,13,7,36]","","","","","","","","","","","",1,1,"","","","",1
102,5880,1130,100,0,0,"[9,25,13,7,36,24]","",1,"","","","","","","","","",1,1,"","","","",1
103,5747,1141,60,0,40,"[9,25,13,8,15,7,36]","","","","","","","","","","","",1,1,"","","","",1
104,5748,7984,0,100,0,"[10,25,13,14,5,6]",5876,"","","","","","","","","","",1,1,"","","","",2
105,5876,7987,0,100,0,"[10,25,13,14,5,24,6]","",1,"","",7984,"","","","","","",1,1,"","","","",2
106,5749,1153,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect, regardless of whether that skill deals damage.",13579,"","","",1,"","","",1,1,"","","","",3
107,5750,1155,0,0,100,"[11,16,8]","","","Supports skills which create Minions.",13506,"","","",1,"","","",1,1,464,"","","",3
108,5751,1156,100,0,0,"[9,16,15]","","","Supports any skill with a duration.",13521,"","","",1,"","","",1,1,"","","","",1
109,5752,1158,60,0,40,"[1,0,9,16]","","","Supports any skill that hits enemies.",13515,"","","",1,"","","",1,1,"","","","",1
110,5753,1159,0,0,100,"[0,11,16]","","","Supports any skill that hits enemies.",13522,"","","",1,"","","",1,1,"","","","",3
111,5754,1161,0,0,100,"[22,11,16,8]","","","Supports skills which create Minions.",13504,"","","",1,"","","",1,1,"","","","",3
112,5755,1162,0,0,100,"[11,16,8]","","","Supports skills which create Minions.",13503,"","","",1,"","","",1,1,"","","","",3
113,5756,1163,60,0,40,"[13,9,16]","","","Supports attack skills.",13500,"","","",1,"","","",1,1,438,"","","",1
114,5757,4155,100,0,0,"[13,33,9,16,7]","","","Supports melee attack skills, causing them to deal more damage against bleeding enemies, but preventing those skills from inflicting bleeding on enemies in any way.",13523,"","","",1,"","","",1,1,"","","","",1
115,5758,1164,100,0,0,"[13,9,16]","","","Supports attack skills.",13524,"","","",1,"","","",1,1,"","","","",1
116,5759,1165,0,0,100,"[11,25,4,14,15,0]","","","","","","","","","","","",1,1,"","","","",3
117,5760,1304,0,60,40,"[10,25,13,5,7,36,2]",5879,"","","","","","","","","","",1,1,"","","","",2
118,5879,7973,0,60,40,"[10,25,13,7,36,15,24,2,5]","",1,"","",1304,"","","","","","",1,1,"","","","",2
119,5761,1359,40,0,60,"[11,25,4,2,18]","","","","","","","","","","","",1,1,"","","","",3
120,5762,1363,100,0,0,"[9,25,4,14,15,0,33,34]",5867,"","","","","","","","","","",1,1,"","","","",1
121,5867,1364,100,0,0,"[9,25,4,14,15,0,33,24,34]","",1,"","",1363,"","","","","","",1,1,"","","","",1
122,5763,1376,0,0,100,"[47,11,25,13,5]",5870,"","","","","","","","","","",1,1,"","","","",3
123,5870,1377,0,0,100,"[47,11,25,13,5,24]","",1,"","",1376,"","","","","","",1,1,"","","","",3
124,5764,1681,0,60,40,"[10,25,13,5,15,7,36,33,6]","","","","","","","","","","","",1,1,"","","","",2
125,5765,1697,0,100,0,"[10,25,13,14,5,2,6]","","","","","","","","","","","",1,1,"","","","",2
126,5767,1706,0,100,0,"[12,10,25,4,14]",5891,"","","","","","","","","","",1,1,"","","","",2
127,5891,1711,0,100,0,"[12,10,25,4,14,15,24]","",1,"","",1706,"","","","","","",1,1,"","","","",2
128,5768,1715,40,0,60,"[12,11,25,4,14]","","","","","","","","","","","",1,1,"","","","",3
129,5769,1717,75,0,0,"[12,9,25,4,14]","","","","","","","","","","","",1,1,"","","","",1
130,5770,1723,0,0,100,"[12,11,25,4,14]",5890,"","","","","","","","","","",1,1,"","","","",3
131,5890,1724,0,0,100,"[12,11,25,4,14,15,24]","",1,"","",1723,"","","","","","",1,1,"","","","",3
132,5771,1728,0,100,0,"[12,10,25,4,14]",5889,"","","","","","","","","","",1,1,"","","","",2
133,5889,1732,0,100,0,"[12,10,25,4,14,15,24]","",1,"","",1728,"","","","","","",1,1,"","","","",2
134,5772,1735,100,0,0,"[12,9,25,4,14,33]","","","","","","","","","","","",1,1,"","","","",1
135,5773,1738,60,0,40,"[12,9,25,4,14,0]","","","","","","","","","","","",1,1,"","","","",1
136,5774,1745,0,60,40,"[12,10,25,4,14,1]","","","","","","","","","","","",1,1,"","","","",2
137,5775,1753,0,0,100,"[12,11,25,4,14,2]","","","","","","","","","","","",1,1,"","","","",3
138,5776,1762,0,100,0,"[10,25,13,5,0,6]",5866,"","","","","","","","","","",1,1,"","","","",2
139,5866,2975,0,100,0,"[10,25,13,5,14,24,0,6]","",1,"","",1762,"","","","","","",1,1,"","","","",2
140,5777,1768,0,0,100,"[1,0,2,11,16,14]","","","Supports any skill that hits enemies, or could otherwise apply elemental ailments.",13577,"","","",1,"","","",1,1,"","","","",3
141,5778,1769,100,0,0,"[12,9,16]","","","Supports any non-blessing skill with a reservation.",13485,"","","",1,"","","",1,1,"","","","",1
142,5779,1775,0,0,75,"[12,11,25,4,14]",5888,"","","","","","","","","","",1,1,"","","","",3
143,5888,1777,0,0,75,"[12,11,25,4,14,15,24]","",1,"","",1775,"","","","","","",1,1,"","","","",3
144,5781,1778,0,100,0,"[10,16]","","","Supports any skill that hits enemies. If enemies are left below 10% of maximum life after being hit by these skills, they will be killed.",13525,"","","",1,"","","",1,1,"","","","",2
145,5782,1779,0,100,0,"[5,13,10,16]","","","Supports projectile skills.",13526,"","","",1,"","","",1,1,"","","","",2
146,5783,1781,100,0,0,"[5,33,9,16]","","","Supports attack skills that fire projectiles, making the increase to physical melee damage from strength also increase their physical projectile damage.",13527,"","","",1,"","","",1,1,"","","","",1
147,5784,1782,100,0,0,"[4,9,16]","","","Supports spell skills, making the increase to physical melee damage from strength also increase their spell damage.",13512,"","","",1,"","","",1,1,"","","","",1
148,5785,1783,100,0,0,"[13,9,16]","","","Supports attack skills, providing a bonus to all damage dealt by those skills while your life is full.",13528,"","","",1,"","","",1,1,"","","","",1
149,5786,1784,60,0,40,"[9,16,4,19]","","","Supports spell skills that are not triggered. Instead of casting that spell, you will summon a totem that casts the spell for you.",13516,"","","",1,"","","",1,1,"","","","",1
150,5787,1794,0,40,60,"[11,16,21]","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a mine that will use the skill for you when you detonate it. Mines cannot use channelling skills.",13494,"","","",1,"","","",1,1,"","","","",3
151,5927,1797,33,33,34,"[29,21,25,4]","","","","","","","","","","","",1,1,"","","","",4
152,5788,1798,100,0,0,"[19,9,25,4,14,33,38]","","","","","","","","","","","",1,1,"","","","",1
153,5789,1808,100,0,0,"[19,12,9,25,4,14]","","","","","","","","","","","",1,1,"","","","",1
154,5790,8966,0,40,60,"[21,47,11,25,4,5,1,12,14]","","","","","","","","","","","",1,1,"","","","",3
155,5791,1814,0,40,60,"[20,11,25,4,15]","","","","","","","","","","","",1,1,"","","","",3
156,5792,1815,0,100,0,"[20,10,25,4,15,33]","","","","","","","","","","","",1,1,"","","","",2
157,5793,1825,0,60,40,"[10,16]","","","Supports any skill that hits enemies.",13514,"","","",1,"","","",1,1,"","","","",2
158,5794,1826,0,60,40,"[20,10,25,4,15,14,0]","","","","","","","","","","","",1,1,"","","","",2
159,5892,1828,0,60,40,"[20,10,25,4,15,14,24,0]","",1,"","","","","","","","","",1,1,"","","","",2
160,5795,1885,100,0,0,"[19,9,25,4,14]","","","","","","","","","","","",1,1,"","","","",1
161,5796,1886,100,0,0,"[19,9,25,4]","","","","","","","","","","","",1,1,"","","","",1
162,5797,1931,0,60,40,"[10,25,4,5,33,15]","","","","","","","","","","","",1,1,"","","","",2
163,5801,1963,0,100,0,"[10,16]","","","Supports any skill that hits enemies.",13508,"","","",1,"","","",1,1,"","","","",2
164,5680,1965,0,100,0,"[10,25,13,5,14,1,6]","","","","","","","","","","","",1,1,"","","","",2
165,5679,1977,0,40,60,"[11,25,4,5,15,14,1]","","","","","","","","","","","",1,1,"","","","",3
166,5766,2001,0,0,100,"[11,25,4,18,2]",5864,"","","","","","","","","","",1,1,"","","","",3
167,5864,2968,0,0,100,"[11,25,4,18,24,2,15]","",1,"","",2001,"","","","","","",1,1,"","","","",3
168,5798,2026,0,60,40,"[10,25,4,15,1]","","","","","","","","","","","",1,1,"","","","",2
169,5799,2026,0,60,40,"[10,25,4,15,1]","","","","","","","","","","","",1,1,"","","","",2
170,5800,2037,60,0,40,"[19,9,25,4,5,0,30,33]","","","","","","","","","","","",1,1,"","","","",1
171,5802,2078,60,40,0,"[6,5,9,16,19]","","","Supports any bow or wand attack skill, causing it to summon a ballista totem that uses the skill for you.",13529,"","","",1,"","","",1,1,"","","","",1
172,5803,2081,100,0,0,"[0,9,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy fire resistance.",13530,"","","",1,"","","",1,1,439,"","","",1
173,5804,2082,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy cold resistance.",13479,"","","",1,"","","",1,1,448,"","","",2
174,5805,2083,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy lightning resistance.",13531,"","","",1,"","","",1,1,463,"","","",3
175,5806,2084,0,0,100,"[11,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy elemental resistances.",13653,"","","",1,"","","",1,1,"","","","",3
176,5807,2085,0,100,0,"[10,16,18,5]","","","Supports projectile skills, and any other skills that chain.",13532,"","","",1,"","","",1,1,447,"","","",2
177,5808,2087,0,100,0,"[10,16,5]","","","","","","","",1,"","","",1,1,"","","","",2
178,5809,2088,0,100,0,"[10,16,5]","","","Supports projectile skills, making their projectiles fork into two projectiles the first time they hit an enemy and don't pierce it.",13486,"","","",1,"","","",1,1,450,"","","",2
179,5810,2089,0,100,0,"[10,16,5]","","","Supports projectile skills.","","","","",1,"","","",1,1,"","","","",2
180,5811,2090,40,0,60,"[11,25,4,14,15,0,17,42]","","","","","","","","","","","",1,1,"","","","",3
181,5812,2103,0,40,60,"[11,25,4,14,15,1,17,42]","","","","","","","","","","","",1,1,"","","","",3
182,5813,2111,0,0,100,"[11,25,4,14,15,2,17,42]","","","","","","","","","","","",1,1,"","","","",3
183,5990,8703,40,0,60,"[14,11,25,4,2,30,15,33]","","","","","","","","","","","",1,1,"","","","",3
184,5814,7981,0,0,100,"[11,25,4,0,30,14]","","","","","","","","","","","",1,1,"","","","",3
185,5815,2205,40,60,0,"[10,25,13,14,22,30,33,7]",5871,"","","","","","","","","","",1,1,"","","","",2
186,5871,2214,40,60,0,"[10,25,13,14,15,24,7,22,30,33]","",1,"","",2205,"","","","","","",1,1,"","","","",2
187,5816,2256,60,40,0,"[13,7,9,16]","","","Supports melee attack skills, making them repeat twice when used, targeting a random enemy each time. Cannot support Vaal skills, channelling skills or triggered skills.",13492,"","","",1,"","","",1,1,443,"","","",1
188,5817,2258,0,0,100,"[4,11,16]","","","Supports spell skills, making them repeat when cast. Cannot support Vaal skills, totem skills, channelling skills, triggered skills, instant skills, or skills with a reservation.",13533,"","","",1,"","","",1,1,466,"","","",3
189,5818,2261,100,0,0,"[9,16,7,13,36,14]","","","Supports melee strike skills, causing their melee strike to deal splash damage around each target hit.",13491,"","","",1,"","","",1,1,442,"","","",1
190,5819,2263,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.",13534,"","","",1,"","","",1,1,"","","","",3
191,5820,2264,60,0,40,"[9,25,4,19,0]","","","","","","","","","","","",1,1,"","","","",1
192,5821,2275,60,0,40,"[0,9,16]","","","Supports any skill that hits enemies, or can deal burning damage directly.",13535,"","","",1,"","","",1,1,437,"","","",1
193,5822,2276,40,0,60,"[11,16,8]","","","Supports skills which create Minions.",13536,"","","",1,"","","",1,1,"","","","",3
194,5823,2284,0,0,100,"[11,16,42,26]","","","Must support both a skill that hits enemies, and a hex curse skill to work. The hex will be applied when enemies are hit by the other skill. Cannot support totems, traps, or mines. Minions cannot apply hexes this way.",13537,2285,"","",1,"","","",1,1,460,"","","",3
195,5824,2317,0,60,40,"[10,25,13,14,7]",5886,"","","","","","","","","","",1,1,"","","","",2
196,5886,2318,0,60,40,"[10,25,13,14,24,7]","",1,"","",2317,"","","","","","",1,1,"","","","",2
197,5825,2392,0,60,40,"[47,10,16,4,26]","","","Must support both an attack skill and a spell skill to work. The attack skill will trigger a spell when it critically strikes an enemy. Cannot support totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",13497,2393,"","",1,"","","",1,1,446,"","","",2
198,5826,2394,60,0,40,"[9,16,7,13,4,26]","","","Must support both a melee attack skill and a spell skill to work. The attack skill will trigger a spell when it kills an enemy. Cannot support totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",13538,2395,"","",1,"","","",1,1,"","","","",1
199,5827,2396,0,60,40,"[10,16,20]","","","Supports traps skills, making them throw extra traps in a line.",13539,"","","",1,"","","",1,1,"","","","",2
200,5828,2397,100,0,0,"[29,48,9,16]","","","Supports any skill gem. Once this gem reaches level 2 or above, will raise the level of supported gems. Cannot support skills that don't come from gems.",13540,"","","",1,"","","",1,1,469,"","","",1
201,5829,2412,0,40,60,"[20,47,11,25,4,5,2]",5900,"","","","","","","","","","",1,1,"","","","",3
202,5900,2414,0,40,60,"[20,47,11,25,4,5,15,24,2]","",1,"","",2412,"","","","","","",1,1,"","","","",3
203,5830,2454,0,60,40,"[21,10,25,4,14,15,22,35,37]","","","","","","","","","","","",1,1,"","",2455,"",2
204,5831,2477,100,0,0,"[9,16,7,13]","","","Supports melee attack skills.",13509,"","","",1,"","","",1,1,"","","","",1
205,5832,2502,60,0,40,"[9,25,4,8,33]","","","","","","","","","","","",1,1,"","","","",1
206,5653,5427,40,60,0,"[10,25,13,5,33]","","","","","","","","","","","",1,1,"","","","",2
207,5833,2504,40,60,0,"[10,25,13,5]",5878,"","","","","","","","","","",1,1,"","","","",2
208,5878,2511,40,60,0,"[10,25,13,5,24]","",1,"","",2504,"","","","","","",1,1,"","","","",2
209,5834,2575,0,100,0,"[10,16,5]","","","Supports projectile skills.",13541,"","","",1,"","","",1,1,"","","","",2
210,5835,2576,100,0,0,"[9,16,15]","","","Supports any skill that has a duration.",13542,"","","",1,"","","",1,1,"","","","",1
211,5836,2579,0,60,40,"[10,16,4,26]","","","Each supported spell skill will be triggered when you die. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",13580,"","","",1,"","","",1,1,"","","","",2
212,5837,2581,60,0,40,"[9,16,4,26]","","","Each supported spell skill will track damage you take, and be triggered when the total damage taken reaches a threshold. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",13543,"","","",1,"","","",1,1,"","","","",1
213,5838,2582,0,40,60,"[11,16,4,26]","","","Each supported spell skill will have a chance to be triggered when you are stunned. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",13498,"","","",1,"","","",1,1,"","","","",3
214,5839,2589,0,60,40,"[10,25,15,8,4,33]","","","","","","","","","","","",1,1,"","","","",2
215,5840,2647,0,100,0,"[29,48,10,16]","","","Supports any skill gem. Once this gem reaches level 2 or above, will raise the quality of supported gems. Cannot support skills that don't come from gems.",13544,"","","",1,"","","",1,1,471,"","","",2
216,5841,2649,60,0,40,"[12,9,25,4,14,0]",5842,"","","","","","","","","","",1,1,"","","","",1
217,5842,7493,60,0,40,"[12,9,25,4,14,15,24,0]","",1,"","",2649,"","","","","","",1,1,"","","","",1
218,5843,2652,0,60,40,"[12,10,25,4,14,1]",5844,"","","","","","","","","","",1,1,"","","","",2
219,5844,7494,0,60,40,"[12,10,25,4,14,15,24,1]","",1,"","",2652,"","","","","","",1,1,"","","","",2
220,5845,2655,0,0,100,"[12,11,25,4,14,2]",5846,"","","","","","","","","","",1,1,"","","","",3
221,5846,7495,0,0,100,"[12,11,25,4,14,15,24,2]","",1,"","",2655,"","","","","","",1,1,"","","","",3
222,5847,2658,0,0,100,"[11,25,4,14,15,2]",5884,"","","","","","","","","","",1,1,"","","","",3
