"rownum","Id","Cost1Currencies","Cost1Values","Cost2Currencies","Cost2Values","Cost3Currencies","Cost3Values","Cost4Currencies","Cost4Values"
29,"Metadata/Items/Currency/Bestiary/BestiaryNet2",[1],[-2],[],[],[],[],[],[]
30,"Metadata/Items/Currency/Bestiary/BestiaryNet3",[16],[-1],[],[],[],[],[],[]
31,"Metadata/Items/Currency/Bestiary/BestiaryNet4",[16],[-2],[],[],[],[],[],[]
32,"Metadata/Items/Currency/Bestiary/BestiaryNet5",[10],[-1],[],[],[],[],[],[]
33,"Metadata/Items/Currency/Bestiary/BestiaryNet6",[10],[-2],[],[],[],[],[],[]
34,"Metadata/Items/Currency/Bestiary/BestiaryNet7",[6],[-1],[],[],[],[],[],[]
35,"Metadata/Items/Currency/Bestiary/BestiaryNet8",[6],[-2],[],[],[],[],[],[]
36,"Metadata/Items/Currency/Bestiary/BestiaryNet9",[6],[-3],[],[],[],[],[],[]
37,"OrbOfTransmutationHardMode",[16],[15],[],[],[],[],[],[]
38,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand1",[1],[1],[1],[2],[2],[1],[2],[5]
39,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand2",[1],[1],[0],[1],[2],[1],[2],[5]
40,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand3",[10],[1],[10],[2],[2],[1],[2],[5]
41,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand4",[10],[1],[15],[1],[2],[1],[2],[5]
42,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand5",[10],[1],[11],[1],[2],[1],[2],[5]
43,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand9",[10],[1],[11],[2],[2],[1],[2],[5]
44,"Metadata/Items/Weapons/OneHandWeapons/Wands/Wand14",[10],[3],[11],[4],[2],[3],[2],[8]
45,"Metadata/Items/Weapons/OneHandWeapons/Claws/Claw2",[0],[1],[10],[1],[2],[1],[2],[5]
46,"Metadata/Items/Weapons/TwoHandWeapons/Staves/Staff15",[10],[1],[11],[4],[2],[3],[2],[8]
47,"Metadata/Items/Weapons/TwoHandWeapon/FishingRods/FishingRod1",[13],[1],[13],[2],[13],[3],[5],[1]
48,"Metadata/Items/Rings/Ring1",[1],[3],[11],[1],[2],[3],[2],[8]
49,"Metadata/Items/Amulets/Amulet1",[10],[1],[7],[1],[2],[3],[2],[8]
50,"Metadata/Items/Belts/Belt1",[1],[2],[10],[1],[2],[3],[2],[8]
51,"Metadata/Items/Armours/Shields/ShieldStr2",[1],[1],[4],[1],[2],[1],[2],[5]
52,"Metadata/Items/Armours/Shields/ShieldStr15",[10],[3],[2],[1],[2],[3],[2],[8]
53,"Metadata/Items/Armours/Shields/ShieldDex1",[1],[1],[1],[2],[2],[3],[2],[8]
54,"Metadata/Items/Armours/Shields/ShieldDex2",[4],[1],[10],[1],[2],[1],[2],[5]
55,"Metadata/Items/Armours/Helmets/HelmetWreath1",[],[],[2],[1],[2],[3],[2],[8]
56,"Metadata/Items/Armours/BodyArmours/BodyInt1",[1],[1],[1],[1],[2],[1],[2],[5]
57,"Metadata/Items/Armours/Gloves/GlovesStr9",[10],[3],[2],[2],[2],[3],[2],[8]
58,"Metadata/Items/Flasks/FlaskLife1",[1],[1],[10],[1],[2],[1],[2],[5]
59,"Metadata/Items/Flasks/FlaskLife2",[1],[3],[10],[3],[2],[1],[2],[5]
60,"Metadata/Items/Flasks/FlaskLife10",[10],[3],[11],[4],[2],[3],[2],[8]
61,"Metadata/Items/Flasks/FlaskLife11",[2],[1],[2],[2],[2],[3],[2],[8]
62,"Metadata/Items/Flasks/FlaskHybrid1",[10],[2],[10],[3],[2],[1],[2],[5]
63,"Metadata/Items/Flasks/FlaskHybrid2",[10],[2],[17],[1],[2],[1],[2],[5]
64,"Metadata/Items/Flasks/FlaskHybrid3",[10],[2],[17],[2],[2],[1],[2],[5]
65,"Metadata/Items/Flasks/FlaskUtility1",[2],[1],[2],[2],[2],[3],[2],[5]
66,"Metadata/Items/Quivers/QuiverNew1",[1],[1],[1],[2],[2],[1],[2],[5]
67,"Metadata/Items/Quivers/QuiverNew2",[10],[1],[10],[3],[2],[1],[2],[5]
68,"Metadata/Items/Quivers/QuiverNew4",[15],[1],[11],[1],[2],[1],[2],[5]
69,"Metadata/Items/Gems/SkillGemThrownShieldProjectile",[7],[1],[],[],[],[],[],[]
70,"Metadata/Items/Gems/SkillGemFireball",[1],[1],[],[],[],[],[],[]
71,"Metadata/Items/Gems/SkillGemIceNova",[10],[1],[],[],[],[],[],[]
72,"Metadata/Items/Gems/SkillGemFrenzy",[11],[1],[],[],[],[],[],[]
73,"Metadata/Items/Gems/SupportGemGreaterMultipleProjectiles",[6],[1],[],[],[],[],[],[]
74,"Metadata/Items/Gems/SupportGemAdditionalLevel",[22],[1],[],[],[],[],[],[]
75,"Metadata/Items/Jewels/Jewel",[],[],[],[],[],[],[2],[8]
76,"Metadata/Items/Maps/MapTier1_1",[7],[1],[7],[2],[7],[3],[2],[10]
77,"Metadata/Items/Maps/MapTier2_1",[7],[2],[7],[3],[7],[4],[2],[10]
78,"Metadata/Items/Maps/MapTier3_1",[6],[1],[6],[2],[6],[3],[2],[10]
79,"Metadata/Items/Maps/MapTier4_1",[6],[2],[6],[3],[6],[4],[2],[10]
80,"Metadata/Items/Maps/MapTier5_1",[2],[1],[2],[2],[2],[3],[2],[10]
81,"Metadata/Items/Maps/MapTier6_1",[2],[2],[2],[3],[2],[4],[2],[10]
82,"Metadata/Items/Maps/MapTier7_1",[2],[3],[2],[4],[2],[5],[2],[10]
83,"Metadata/Items/Maps/MapTier8_1",[2],[4],[2],[5],[2],[6],[2],[10]
84,"Metadata/Items/Maps/MapTier9_1",[2],[6],[2],[8],[2],[10],[13],[1]
85,"Metadata/Items/Maps/MapTier10_1",[2],[10],[13],[1],[13],[2],[13],[4]
86,"Metadata/Items/Maps/MapTier11_1",[13],[1],[13],[2],[13],[3],[13],[6]
87,"Metadata/Items/Maps/MapTier12_1",[13],[2],[13],[3],[13],[4],[13],[8]
88,"Metadata/Items/Maps/MapTier13_1",[13],[4],[13],[5],[13],[8],[13],[10]
89,"Metadata/Items/Maps/Map2Tier5_1",[7],[3],[7],[4],[7],[5],[2],[10]
90,"Metadata/Items/Maps/Map2Tier6_1",[7],[4],[7],[5],[7],[6],[2],[10]
91,"Metadata/Items/Maps/Map2Tier7_1",[6],[1],"[6,7]","[1,1]",[6],[2],[2],[10]
92,"Metadata/Items/Maps/Map2Tier8_1",[6],[2],"[6,7]","[2,1]",[6],[3],[2],[10]
93,"Metadata/Items/Maps/Map2Tier9_1",[6],[3],"[6,7]","[3,1]",[6],[4],[2],[10]
94,"Metadata/Items/Maps/Map2Tier10_1",[6],[4],"[6,7]","[4,1]",[6],[5],[2],[10]
95,"Metadata/Items/Maps/Map2Tier11_1",[6],[5],"[6,7]","[5,1]",[6],[6],[2],[10]
96,"Metadata/Items/Maps/MapWorldsVaalTemple",[33],[30],"[33,7]","[30,1]","[33,6]","[30,1]",[2],[10]
97,"Metadata/Items/DivinationCards/DivinationCardLostWorlds",[7],[1],[],[],[],[],[],[]
98,"Metadata/Items/DivinationCards/DivinationCardGuardiansChallenge",[25],[3],[],[],[],[],[],[]
99,"HeistContractLowLevel",[10],[1],[11],[1],[6],[1],[],[]
100,"HeistContractHighLevel",[7],[1],[6],[1],[2],[1],[],[]
101,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_1",[9377],[1],[],[],[],[],[],[]
102,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_2",[9378],[1],[],[],[],[],[],[]
103,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_3",[9379],[1],[],[],[],[],[],[]
104,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_4",[9380],[1],[],[],[],[],[],[]
105,"MapTier12",[2],[4],"[2,7]","[4,1]","[2,6]","[4,1]",[2],[10]
106,"MapTier13",[2],[5],"[2,7]","[5,1]","[2,6]","[5,1]",[2],[10]
107,"MapTier14",[2],[7],"[2,7]","[7,1]","[2,6]","[7,1]",[2],[10]
108,"MapTier15",[2],[11],"[2,7]","[11,1]","[2,6]","[11,1]",[2],[10]
109,"MapTier16",[2],[25],"[2,7]","[25,1]","[2,6]","[25,1]",[2],[10]
110,"Metadata/Items/MapFragments/Maven/MavenMapAtlas5",[2],[8],[2],[8],[2],[8],[2],[8]
111,"HardModeRingCost",[6],[1],[6],[3],[2],[3],[2],[8]
112,"HardModeAmuletCost",[6],[2],[6],[5],[2],[5],[2],[12]
113,"HardModeBeltCost",[6],[1],[6],[3],[2],[3],[2],[8]
114,"HardModeEquipmentLowCost",[10],[1],[11],[1],[6],[1],[2],[5]
115,"HardModeEquipmentMediumCost",[10],[2],[11],[2],[6],[2],[2],[5]
116,"HardModeEquipmentHighCost",[10],[3],[11],[3],[6],[3],[2],[8]
117,"HardModeFlaskLowCost",[1],[3],[10],[3],[2],[1],[2],[5]
118,"HardModeFlaskHighCost",[10],[3],[11],[4],[2],[3],[2],[8]
119,"HardModeSkillGemCost",[311],[1],[],[],[],[],[],[]
120,"HardModeUnmakingOrbCost",[7],[1],[],[],[],[],[],[]
121,"HardModeMapTier1",[10],[2],[10],[3],[10],[5],[2],[10]
122,"HardModeMapTier2",[10],[2],[10],[3],[10],[5],[2],[10]
123,"HardModeMapTier3",[10],[3],[10],[4],[10],[6],[2],[10]
124,"HardModeMapTier4",[10],[3],[10],[4],[10],[6],[2],[10]
125,"HardModeMapTier5",[10],[4],[10],[5],[10],[7],[2],[10]
126,"HardModeMapTier6",[7],[2],"[7,10]","[2,1]","[7,6]","[2,1]",[2],[10]
127,"HardModeMapTier7",[7],[2],"[7,10]","[2,1]","[7,6]","[2,1]",[2],[10]
128,"HardModeMapTier8",[7],[3],"[7,10]","[3,1]","[7,6]","[3,1]",[2],[10]
129,"HardModeMapTier9",[7],[3],"[7,10]","[3,1]","[7,6]","[3,1]",[2],[10]
130,"HardModeMapTier10",[7],[4],"[7,10]","[4,1]","[7,6]","[4,1]",[2],[10]
131,"HardModeMapTier11",[6],[3],[6],[4],[6],[5],[2],[10]
132,"HardModeMapTier12",[6],[4],[6],[5],[6],[6],[2],[10]
133,"HardModeMapTier13",[6],[5],[6],[6],[6],[7],[2],[10]
134,"HardModeMapTier14",[6],[6],[6],[7],[6],[8],[2],[10]
135,"HardModeMapTier15",[6],[7],[6],[8],[6],[9],[2],[10]
136,"HardModeMapTier16",[6],[8],[6],[9],[6],[10],[2],[10]
