"rownum","string","[rid]","[i32]","string","bool","i32","i32","i32","rid","i32","i32","i32","string","string","string","rid","rid","i32","i32","i32","bool","[rid]","[string]"
27,"AfflictionLoseAllGoldOnFloorComplete",[17104],[1],"Floor Tax",1,-1543503872,47,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTax","","Lose all Aureus on floor completion","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
28,"BoonHealOnRoomComplete",[17105],[15],"Golden Descry",1,1744830464,49,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescry","Recover +15 Resolve on room completion","","","",0,5,0,"",[9291],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
29,"BoonSanctumDamageCooldown",[17107],[1000],"Bronze Descry",1,1409286144,51,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescry","Ignore Resolve lost for 1 second after losing Resolve from a Hit","","","",0,5,0,"",[9292],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
30,"BoonHealOnPercentHealth","[17116,17117]","[20,50]","Glowing Orb",1,-2147483648,53,0,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrb","The next time you go below 20% Resolve, heal for 50% Resolve","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
31,"BoonShieldAtStartOfFloor",[17203],[250],"Gilded Lyre",1,1845493760,55,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyre","Gain +250 Inspiration at the start of each floor","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
32,"BoonShieldOnGainAffliction",[17205],[100],"Rusted Chimes",1,1476395008,57,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimes","Gain +100 Inspiration when you gain an Affliction","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
33,"BoonSanctumDamageTakenWithSanctumShield",[17206],[-40],"Mellifluous Chorus",1,1811939328,59,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluous","40% less Resolve lost while you have Inspiration","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
34,"AfflictionHideRoomAll",[17243],[1],"Veiled Sight",1,1442840576,61,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSight","","Rooms are unknown on the Sanctum Map","","",0,5,0,"",[9305],"[""eIcons/BoonRustyDescry""]"
35,"AfflictionHideRoomEncounter",[17244],[1],"Red Smoke",1,905969664,63,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmoke","","Room types are unknown on the Sanctum Map","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
36,"AfflictionHideRoomReward",[17245],[1],"Golden Smoke",1,67108864,65,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmoke","","Rewards are unknown on the Sanctum Map","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
37,"AfflictionHideRoomAffliction",[17246],[1],"Purple Smoke",1,-536870912,66,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmoke","","Afflictions are unknown on the Sanctum Map","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
38,"AfflictionResolveLossIsFatal3",[17262],[1],"Ghastly Scythe",1,-905969664,68,83886080,16777216,0,39,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScythe","","Losing Resolve ends your Sanctum\r\n(removed after 3 rooms)","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
39,"AfflictionResolveLossIsFatal2",[17262],[1],"Ghastly Scythe",1,-905969664,68,83886080,16777216,0,40,0,"","","Losing Resolve ends your Sanctum\r\n(removed after 2 rooms)","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
40,"AfflictionResolveLossIsFatal1",[17262],[1],"Ghastly Scythe",1,-905969664,68,83886080,16777216,0,0,0,"","","Losing Resolve ends your Sanctum\r\n(removed after 1 room)","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
41,"BoonGainShieldIfNoSanctumDamageTaken2",[],[],"Lilting Melody",1,-2147483648,72,16777216,16777216,0,42,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelody","Gain 400 Inspiration if you complete the next 2 rooms without losing Resolve or Inspiration","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
42,"BoonGainShieldIfNoSanctumDamageTaken1",[17204],[400],"Lilting Melody",1,-2147483648,72,16777216,16777216,0,0,0,"","Gain 400 Inspiration if you complete the next room without losing Resolve or Inspiration","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
43,"BoonDefyDeathOnce",[17260],[75],"Priest's Descry",1,-469762048,75,33554432,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescry","Upon reaching 0 Resolve, recover to 75% Maximum Resolve once","","","",0,5,0,"",[9293],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
44,"BoonDefyDeathRemoveBoon",[17261],[50],"Holy Descry",1,-201326592,77,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescry","Upon reaching 0 Resolve, recover to full Resolve, lose 50% of your current Maximum Resolve, and remove a random Boon","","","",0,5,0,"",[9294],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
45,"BoonPreventMinorAfflictions",[17257],[1],"Crystal Chalice",1,2013265920,80,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChalice","You cannot receive any more Minor Afflictions","","","",0,5,0,"",[9295],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
46,"AfflictionPreventBoons",[17258],[1],"Unassuming Brick",1,1979711488,82,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrick","","You cannot gain any more Boons","","",0,5,0,"",[9306],"[""eIcons/BoonRustyDescry""]"
47,"BoonCannotLoseResolve",[17259],[1],"Prayer Beads",1,1409286144,84,184549376,16777216,0,0,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeads","Resolve cannot be lost in the next room","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
48,"AfflictionLose%ResolveOnRoomCompletion",[17307],[5],"Spiked Exit",1,1140850688,86,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntrance","","Lose 5% of current Resolve on room completion","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
49,"AfflictionNoMinimap","[17308,17315]","[1,-90]","Tattered Blindfold",1,1275068416,88,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfold","","90% reduced Light Radius\r\nMinimap is hidden","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
50,"AfflictionCannotGainGold",[17309],[1],"Cutpurse",1,973078528,90,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurse","","You cannot gain Aureus coins","","",0,5,0,"",[9307],"[""eIcons/BoonRustyDescry""]"
51,"AfflictionDamageTakenOnLowResolve",[17310],[100],"Voodoo Doll",1,234881024,92,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDoll","","100% more Resolve lost while Resolve is below 50%","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
52,"BoonHealFromGold",[17311],[100],"Bronze Coin",1,-503316480,93,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoin","Picking up Aureus coins recovers Resolve","","","",0,5,0,"",[9296],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
53,"BoonDoubleGoldThisFloor",[17313],[1],"Gold Mine",1,-1174405120,95,67108864,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMine","Aureus coins found on this floor are doubled","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
54,"BoonDoubleGold",[17312],[1],"Gold Coin",1,1879048192,97,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoin","Aureus coins found are doubled","","","",0,5,0,"",[9297],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
55,"AfflictionWrongRoom",[17314],[33],"Deceptive Mirror",1,905969664,99,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirror","","You are not always taken to the room you select","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
56,"AfflictionNoResolveRecoveredThisFloor",[17089],[1],"Haemorrhage",1,536870912,101,50331648,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhage","","You cannot recover Resolve (removed after killing the next Floor Boss)","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
57,"BoonRevealWholeFloor",[17317],[1],"All-Seeing Eye",1,805306368,103,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEye","The Sanctum Map is fully revealed","","","",0,5,0,"",[9298],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
58,"BoonTrapSpeed",[17036],[1],"Lustrous Pearl",1,-134217728,104,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearl","Traps are slower","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
59,"BoonMonsterReducedActionSpeed",[17558],[20],"Viscous Ichor",1,-1342177280,106,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchor","Monsters have 20% reduced Action Speed","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
60,"BoonMonsterReducedSanctumDamage",[17088],[-25],"Wooden Effigy",1,-1811939328,108,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigy","Monsters impact 25% reduced Resolve","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
61,"BoonMonsterReducedMaximumLife",[988],[-30],"Sanguine Vial",1,1912602624,110,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVial","Monsters have 30% reduced Maximum Life","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
62,"BoonPlayerMoreDamage",[17590],[50],"Ornate Dagger",1,1073741824,112,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDagger","You and your minions deal 50% more Damage","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
63,"BoonInstaKillGuards10",[17402],[10],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBlade","The next 10 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
64,"BoonInstaKillGuards9",[17402],[9],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 9 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
65,"BoonInstaKillGuards8",[17402],[8],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 8 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
66,"BoonInstaKillGuards7",[17402],[7],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 7 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
67,"BoonInstaKillGuards6",[17402],[6],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 6 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
68,"BoonInstaKillGuards5",[17402],[5],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 5 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
69,"BoonInstaKillGuards4",[17402],[4],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 4 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
70,"BoonInstaKillGuards3",[17402],[3],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 3 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
71,"BoonInstaKillGuards2",[17402],[2],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next 2 Guards you Hit are killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
72,"BoonInstaKillGuards1",[17402],[1],"Assassin's Blade",1,469762048,114,150994944,16777216,0,-16843010,-16843010,"","The next Guard you Hit is killed Instantly","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
73,"BoonIncreasedRelicEffect",[17428],[30],"Enchanted Urn",1,738197504,122,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrn","30% increased Effect of your Relics","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
74,"BoonAureusGainOnLowResolve",[17494],[100],"Tarnished Coin",1,33554432,124,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedCoin","100% increased Aureus coins gained while Resolve is below 50%","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
75,"BoonResolveRecoveryOnLowResolve",[17493],[100],"Engraved Orb",1,369098752,126,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEngravedOrb","100% increased Resolve recovered while Resolve is below 50%","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
76,"BoonResolveRecoveredOnEnterBossRoom",[17495],[50],"Adrenaline Vial",1,738197504,128,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVial","Recover 50% of your Maximum Resolve on entering Boss Room","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
77,"BoonDuplicateARandomDeferredReward",[],[],"Mirror of Fortune",1,1006632960,130,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortune","Duplicate a random Offer Reward","","","",0,2,1,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
78,"BoonArcaneBufferOnShieldBreak",[],[],"Arcane Aegis",1,134217728,132,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonArcaneAegis","Trigger Arcane Buffer when your Inspiration reaches 0","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
79,"BoonExtraMaximumResolve",[],[],"Tarnished Descry",1,-335544320,133,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedDescry","+200 to Maximum Resolve","","","",0,3,200,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
