"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool"
46,"BreachDomainCold5",[6947],1081,"",0,"",0,"","","",[],""
47,"BreachDomainLightning5",[6948],1082,"",0,"",0,"","","",[],""
48,"BreachDomainPhysical5",[6949],1078,"",0,"",0,"","","",[],""
49,"BreachDomainChaos5",[6950],1079,"",0,"",0,"","","",[],""
50,"EndgameLegionMap","[6951,6953,6954,6955,6952,6956,6957,6958,6959,6960]",1294,86,0,"",2,1,"","",[],""
51,"EndgameLegionMap2","[6951,6953,6954,6955,6952,6956,6957,6958,6959,6960]",1295,86,0,"",3,1,"","",[],""
52,"EndgameLegionMap3","[6951,6953,6954,6955,6952,6956,6957,6958,6959,6960]",1296,86,0,"",4,1,"","",[],""
53,"EndgameLegionMap4","[6951,6953,6954,6955,6952,6956,6957,6958,6959,6960]",1297,86,0,"",5,1,"","",[],""
54,"AfflictionBoss",[6961],1501,122,0,"",0,"","","",[],""
55,"MavenFight","[9273,9274,9275,9276,9277,9278,9279,9280,9281,9282,9283]",1726,157,0,"",1,1,"",1,[],""
56,"MavenBoss",[9324],1727,157,0,"",0,1,"",1,[],""
57,"VaalVault",[6968],278,24,0,"",0,"","","",[],""
58,"IncursionTemple",[9350],292,50,0,"",0,"","","",[8347],""
59,"UltimatumTrial",[9351],1737,159,0,"",0,"","",1,[],""
60,"HarvestBoss",[9352],1301,135,0,"",0,"","","",[],""
61,"SirusBoss","[6920,6921,6922,6923]",1630,110,0,"",0,"",1,"",[],""
62,"TangleMiniBossQuest",[9815],1281,197,79,986,0,"","","",[],""
63,"TangleMiniBoss",[9816],1281,197,83,"",0,1,"","",[],""
64,"TangleBossQuest",[9817],1284,198,83,986,0,"","","",[],""
65,"TangleBoss",[9818],1284,198,84,"",0,1,"","",[],""
66,"CleansingFireMiniBossQuest",[9819],1282,195,79,987,0,"","","",[],""
67,"CleansingFireMiniBoss",[9820],1282,195,83,"",0,1,"","",[],""
68,"CleansingFireBossQuest",[9821],1283,196,83,987,0,"","","",[],""
69,"CleansingFireBoss",[9822],1283,196,84,"",0,1,"","",[],""
70,"Lake",[9877],1768,205,0,"",0,"","","",[],""
