"rownum","Mod","i32","string","rid","[string]","bool","bool","i32","i32","i32","i32"
18,6895,15,"Sentinel",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
19,6900,15,"Juggernaut",20,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
20,6892,15,"Vampiric",21,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","","",0,0,0,0
21,6905,15,"Overcharged",22,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
22,6906,15,"Soul Conduit",23,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
23,6907,200,"Opulent",24,"[""outlinecolour:archnemesismodgoldenoutline"",""archnemesismodgolden""]","","",0,0,0,0
24,6908,15,"Malediction",25,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
25,6909,15,"Consecrator",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","","",0,0,0,0
26,6910,15,"Frenzied",27,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","","",0,0,0,0
27,6911,50,"Heralding Minions",28,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","","",0,0,0,0
28,6912,50,"Empowering Minions",29,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
29,6884,50,"Assassin",30,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
30,6887,50,"Trickster",31,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","","",0,0,0,0
31,6893,50,"Necromancer",32,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
32,6903,50,"Rejuvenating",33,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
33,6913,50,"Executioner",34,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","","",0,0,0,0
34,6914,50,"Hexer",35,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]","","",0,0,0,0
35,6915,50,"Drought Bringer",36,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
36,6916,50,"Entangler",37,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
37,6917,50,"Temporal Bubble",38,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
38,6918,50,"Treant Horde",39,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
39,6919,50,"Frost Strider",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","","",0,0,0,0
40,6920,50,"Ice Prison",41,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","","",0,0,0,0
41,6921,50,"Soul Eater",42,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
42,6922,50,"Flame Strider",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","","",0,0,0,0
43,6923,50,"Corpse Detonator",44,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
44,6924,50,"Prismatic",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
45,6925,50,"Magma Barrier",46,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
46,6926,50,"Mirror Image",47,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
47,6927,50,"Storm Strider",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","","",0,0,0,0
48,6928,50,"Mana Siphoner",49,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
49,6929,50,"Corrupter",50,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
50,6930,50,"Benevolent Guardian",51,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","","",0,0,0,0
51,6931,50,"Crystal-skinned",52,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
52,6932,50,"Empowered Elements",53,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
53,6933,50,"Effigy",54,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1,0,0,0,0
54,6935,350,"Lunaris-touched",55,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
55,6936,350,"Solaris-touched",56,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
56,6937,350,"Arakaali-touched",57,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
57,6938,350,"Brine King-touched",58,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
58,6939,350,"Tukohama-touched",59,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
59,6940,350,"Abberath-touched",60,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
60,6941,350,"Shakari-touched",61,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
61,6942,350,"Innocence-touched",62,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
62,6943,350,"Kitava-touched",63,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,"",0,0,0,0
63,6947,15,"Bloodletter",15,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","","",0,0,0,0
64,6948,50,"Heralds of the Obelisk","","[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","","",0,0,0,0
65,6949,50,"Spirit Walkers","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
66,6950,50,"Union of Souls","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
67,6951,50,"Voidspawn of Abaxoth","","[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]","","",0,0,0,0
68,6944,50,"Storm Herald",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","","",0,0,0,0
69,6945,50,"Final Gasp","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
70,6952,15,"Arcane Buffer",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
71,6953,50,"Prismatic",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
72,6954,15,"Deadeye",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
73,6955,15,"Hasted",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
74,6956,15,"Bonebreaker",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
75,6946,15,"Splinterer","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
76,6959,15,"Permafrost",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","","",0,0,0,0
77,6957,15,"Toxic",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]","","",0,0,0,0
78,6958,15,"Incendiary",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","","",0,0,0,0
79,6960,15,"Electrocuting",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","","",0,0,0,0
80,6962,15,"Consecrator",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","","",0,0,0,0
81,6963,50,"Flame Strider",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","","",0,0,0,0
82,6964,50,"Frost Strider",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","","",0,0,0,0
83,6965,50,"Storm Strider",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","","",0,0,0,0
84,6966,50,"Corrupter",50,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","","",0,0,0,0
85,6961,15,"Sentinel",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","","",0,0,0,0
86,31303,30,"Overwhelms Physical Reduction",16,[],"","",250,500,200,500
87,31304,30,"Extra Fire Damage and Exposure",7,[],"","",250,500,200,500
88,31305,30,"Extra Cold Damage and Exposure",2,[],"","",250,500,200,500
89,31306,30,"Extra Lightning Damage and Exposure",11,[],"","",250,500,200,500
90,31307,30,"Extra Chaos Damage",1,[],"","",250,500,200,500
91,31308,30,"Elemental Equilibrium and Random Elemental Damage",45,[],"","",250,500,200,500
92,31309,30,"Physical Resistant",16,[],"","",250,500,200,500
93,31310,30,"Fire and Ignite Resistant",7,[],"","",250,500,200,500
94,31311,30,"Cold, Chill and Freeze Resistant",2,[],"","",250,500,200,500
95,31312,30,"Lightning and Shock Resistant",11,[],"","",250,500,200,500
96,31313,30,"Chaos and Wither Resistant",1,[],"","",250,500,200,500
97,31314,30,"Evasive","",[],"","",250,500,200,500
98,31315,30,"Fast Energy Shield Recharge","",[],"","",250,500,200,500
99,31316,30,"Extra Life","",[],"","",250,500,200,500
100,31317,30,"Accurate","",[],"","",250,500,200,500
101,31318,30,"Extra Crits","",[],"","",250,500,200,500
102,31319,30,"Life Regen","",[],"","",250,500,200,500
103,31320,30,"Ignites",8,[],"","",250,500,200,500
104,31321,30,"Shocks",12,[],"","",250,500,200,500
105,31322,30,"Poisons",0,[],"","",250,500,200,500
106,31323,30,"Bleeds",14,[],"","",250,500,200,500
107,31324,30,"Chance to Freeze",3,[],"","",250,500,200,500
108,31325,30,"Stuns",13,[],"","",250,500,200,500
109,31326,30,"Increased Area of Effect",17,[],"","",250,500,200,500
110,31327,30,"Hasted",4,[],"","",250,500,200,500
111,31328,30,"Triple Actions",10,[],"","",250,500,200,500
112,31329,30,"Extra Projectiles","",[],"","",250,500,200,500
113,31330,30,"Leeches Life",21,[],"","",250,500,200,500
114,31331,30,"Life Cannot Be Leeched",21,[],"","",250,500,200,500
115,31332,30,"Gains Random Charges",22,[],"","",250,500,200,500
116,31333,30,"Endurance Charge when Hit","",[],"","",250,500,200,500
117,31334,30,"Frenzy Charge on Hit","",[],"","",250,500,200,500
118,31335,30,"Power Charge on Cast","",[],"","",250,500,200,500
119,31336,30,"Cannot be Slowed",20,[],"","",250,500,200,500
120,31337,30,"Cannot be Stunned",20,[],"","",250,500,200,500
121,31338,30,"Periodically Enrages",27,[],"","",250,500,200,500
122,31339,30,"Always Crits",30,[],"","",250,500,200,500
123,31340,30,"Blinds","",[],"","",250,500,200,500
124,31341,30,"Crit Resistant","",[],"","",250,500,200,500
125,31342,30,"Hexproof","",[],"","",250,500,200,500
126,31343,30,"Chaining",5,[],"","",250,500,200,500
127,31344,30,"Far Shot",5,[],"","",250,500,200,500
128,31345,30,"Extra Damage to Injured Foes",34,[],"","",250,500,200,500
129,31346,30,"Charge Removal","",[],"","",250,500,200,500
130,31347,30,"Inflicts Corrupted Blood",50,[],"","",250,500,200,500
131,31348,30,"Spell Resistant","",[],"","",250,500,200,500
132,31349,30,"Blocks Attacks","",[],"","",250,500,200,500
133,31350,30,"Reflects Certain Ailments","",[],"","",250,500,200,500
134,31351,30,"Reflects Hexes","",[],"","",250,500,200,500
135,31352,100,"Haste Aura","",[],"","",1000,2000,1500,2000
136,31353,100,"Energy Shield Aura","",[],"","",1000,2000,1500,2000
137,31354,100,"Applies Random Mark","",[],"","",1000,2000,1500,2000
138,31355,100,"Precision Aura","",[],"","",1000,2000,1500,2000
139,31356,100,"Minions Fire Explode on Death",43,[],"","",1000,2000,1500,2000
140,31357,100,"Minions Cold Explode on Death",40,[],"","",1000,2000,1500,2000
141,31358,100,"Minions Lightning Explode on Death",48,[],"","",1000,2000,1500,2000
142,31359,100,"Life Shared with Treant Minions",39,[],"","",1000,2000,1500,2000
143,31360,100,"Inflicts Grasping Vines",37,[],"","",1000,2000,1500,2000
144,31361,100,"Hinder Aura",25,[],"","",1000,2000,1500,2000
145,31362,100,"Extra Physical Damage Aura","",[],"","",1000,2000,1500,2000
146,31363,100,"Revives Nearby Allies on Death",23,[],"","",1000,2000,1500,2000
147,31364,100,"Powerful Minions",39,[],"","",1000,2000,1500,2000
148,31365,100,"Summons Undead","",[],"","",1000,2000,1500,2000
149,31366,100,"Heals Allies and Suppresses Foe Recovery",33,[],"","",1000,2000,1500,2000
150,31367,100,"Prevents Recovery above 50%",34,[],"","",1000,2000,1500,2000
151,31368,100,"Temporal Proximity Shield",38,[],"","",1000,2000,1500,2000
152,31369,100,"Soul Eater",23,[],"","",1000,2000,1500,2000
153,31370,100,"Siphons Mana and Deals Lightning Damage",49,[],"","",1000,2000,1500,2000
154,31371,100,"Invulnerability Aura",51,[],"","",1000,2000,1500,2000
155,31372,100,"Siphons Flask Charges",36,[],"","",1000,2000,1500,2000
156,31373,100,"Gain a Mod on Minion Death","",[],"","",1000,2000,1500,2000
157,31374,100,"Shocked Ground on Death",12,[],"","",1000,2000,1500,2000
158,31375,100,"Burning Ground on Death",8,[],"","",1000,2000,1500,2000
159,31376,100,"Chilled Ground on Death",3,[],"","",1000,2000,1500,2000
160,31377,100,"Consecrated Ground",26,[],"","",1000,2000,1500,2000
161,31378,100,"Trail of Fire",43,[],"","",1000,2000,1500,2000
162,31379,100,"Trail of Cold",40,[],"","",1000,2000,1500,2000
163,31380,100,"Trail of Lightning",48,[],"","",1000,2000,1500,2000
164,31381,100,"Energy Shield Explodes",9,[],"","",1000,2000,1500,2000
165,31382,100,"Inferno Bolt when Hit",43,[],"","",1000,2000,1500,2000
166,31383,100,"Snow Bolt when Hit",40,[],"","",1000,2000,1500,2000
167,31384,100,"Lightning Mirage when Hit",48,[],"","",1000,2000,1500,2000
168,31385,100,"Ice Prison",41,[],"","",1000,2000,1500,2000
169,31386,100,"Caustic Orb on Death",0,[],"","",1000,2000,1500,2000
170,31387,100,"Ambushes",30,[],"","",1000,2000,1500,2000
171,31388,100,"Curses",35,[],"","",1000,2000,1500,2000
172,31389,100,"Mirror Images",47,[],"","",1000,2000,1500,2000
173,31390,100,"Fires Mortars",6,[],"","",1000,2000,1500,2000
174,31391,100,"Explodes Corpses",44,[],"","",1000,2000,1500,2000
175,31392,100,"Molten Shell",46,[],"","",1000,2000,1500,2000
176,31393,100,"Exploding Orbs",46,[],"","",1000,2000,1500,2000
177,31394,100,"Lightning Storm",12,[],"","",1000,2000,1500,2000
178,31395,100,"Exploding Crystals when Hit",52,[],"","",1000,2000,1500,2000
179,31396,100,"Lightning Totem Minions",28,[],"","",1000,2000,1500,2000
180,31397,100,"Temporarily Revives","",[],"","",1000,2000,1500,2000
181,31398,100,"Enrages as Life Lost",18,[],"","",1000,2000,1500,2000
182,31399,100,"Cycling Resistances",53,[],"","",1000,2000,1500,2000
183,31400,100,"Creates Voodoo Doll",54,[],"","",1000,2000,1500,2000
184,31401,100,"Creates Frost Walls and Flees",31,[],"","",1000,2000,1500,2000
185,31402,400,"Lunaris-touched",55,[],"","",2500,15000,6000,3500
186,31403,400,"Solaris-touched",56,[],"","",2500,15000,6000,3500
187,31404,400,"Arakaali-touched",57,[],"","",2500,15000,6000,3500
188,31405,400,"Brine King-touched",58,[],"","",2500,15000,6000,3500
189,31406,400,"Tukohama-touched",59,[],"","",2500,15000,6000,3500
190,31407,400,"Abberath-touched",60,[],"","",2500,15000,6000,3500
191,31408,400,"Shakari-touched",61,[],"","",2500,15000,6000,3500
192,31409,400,"Innocence-touched",62,[],"","",2500,15000,6000,3500
193,31410,400,"Kitava-touched",63,[],"","",2500,15000,6000,3500
194,31411,30,"Spirit Walkers","",[],"","",0,500,0,0
195,31412,30,"Empowers Allies",29,[],"","",250,500,200,0
