"rownum","rid","Tier","Text","i32","[rid]","[i32]","i32","RuneItem","[i32]","Stats","StatsValues","UpgradeTextAudio"
55,5,1,"Establish Disenchanting",1397,[],[],373,[],[],"[20422,20423]","[3,1]",18579
56,5,2,"Can Disenchant Rare Items",1398,[],[],1008,[],[],[20423],[1],18451
57,5,3,"15% increased Disenchanting Speed",1399,[20],[1000],2753,[],[],[20402],[15],18452
58,5,4,"+1 to Maximum Disenchanters",1400,"[20,10]","[1500,20]",5484,[],[],[20422],[1],18453
59,5,5,"1% increased Thaumaturgic Dust per Item Quality",1401,[20],[5000],11507,[],[],[20612],[1],18454
60,5,6,"+1 to Maximum Disenchanters",1402,[20],[15000],19500,[],[],[20422],[1],18460
61,5,7,"20% increased Disenchanting Speed",1403,[20],[35000],24347,[],[],[20402],[20],18456
62,5,8,"+1 to Maximum Disenchanters",1404,"[20,11]","[50000,100]",30254,[],[],[20422],[1],18457
63,5,9,"50% increased Thaumaturgic Dust per Corruption Implicit",1405,[20],[75000],37441,[],[],[20614],[50],18458
64,5,10,"50% increased Thaumaturgic Dust per Influence Type",1406,[20],[125000],44375,[],[],[20613],[50],18459
65,5,11,"Can Disenchant Unique Items",1407,[20],[300000],71740,[],[],[20423],[1],18455
66,6,1,"Establish Mapping",1408,"[20,19]","[2500,20]",5323,[],[],"[20430,20431,20485]","[1,2,5]",18155
67,6,2,"Map Devices have +2 Portals",1409,"[20,19]","[5000,30]",7465,[],[],[20431],[2],18156
68,6,3,"Atlas Runners can run Yellow Maps",1410,"[20,19]","[10000,45]",12952,[],[],[20485],[5],18158
69,6,4,"15% increased Mapping Speed",1411,"[20,19]","[15000,65]",15310,[],[],[20404],[15],18163
70,6,5,"+1 Map Device",1412,"[20,19]","[20000,75]",19355,[],[],[20430],[1],18161
71,6,6,"Atlas Runners can run Red Maps",1413,"[20,19]","[25000,90]",22552,[],[],"[20485,20791]","[6,1]",18159
72,6,7,"20% increased effect of Explicit Modifiers on Maps",1414,"[20,19]","[30000,100]",28161,[],[],[20793],[20],18164
73,6,8,"Map Devices have +2 Portals",1415,"[20,19]","[40000,110]",32467,[],[],[20431],[2],18157
74,6,9,"+1 Map Device",1416,"[20,19]","[60000,140]",40175,[],[],[20430],[1],18162
75,6,10,"Tier 16+ Maps have either Maven, Searing Exarch or Eater of Worlds Influence",1417,"[20,19]","[75000,180]",44180,[],[],[20792],[1],18160
76,6,11,"Atlas Runners can run Purple Maps",1418,"[20,19]","[100000,250]",89425,[],[],[20485],[1],18165
77,7,1,"Establish Runesmithing",1419,[],[],35,[],[],[20779],[1],18675
78,7,2,"Can Runesmith using Bound Runes",1420,[],[],249,[4974],[1],[20779],[1],18667
79,7,3,"Can Runesmith using Life Runes",1421,[],[],670,[4975],[1],[20779],[1],18667
80,7,4,"Can Runesmith using War Runes",1422,[],[],2587,[4976],[1],[20779],[1],18676
81,7,5,"Can Runesmith using River Runes",1423,[],[],5117,[4977],[1],[20779],[1],18677
82,7,6,"Can Runesmith using Bounty Runes",1424,[],[],10664,[4978],[1],[20779],[1],18678
83,7,7,"Can Runesmith using Journey Runes",1425,[],[],17965,[4979],[1],[20779],[1],18679
84,7,8,"Can Runesmith using Mountain Runes",1426,[],[],22324,[4980],[1],[20779],[1],18680
85,7,9,"Can Runesmith using Time Runes",1441,[],[],27626,[4981],[1],[20779],[1],18681
86,7,10,"Can Runesmith using Power Runes",1442,[],[],49120,[4982],[1],[20779],[1],18682
87,8,1,"Establish Recombination",1427,[20],[500],433,[],[],[20591],[1],18148
88,8,2,"Can Recombinate Armour",1428,[20],[1000],4024,[],[],[20591],[1],18149
89,8,3,"Can Recombinate Jewellery and Idols",1429,[20],[5000],11958,[],[],[20591],[1],18150
90,8,4,"25% reduced Recombination Cost",1430,[20],[50000],20051,[],[],[20484],[-25],18151
91,8,5,"5% chance for Modifiers to upgrade tier",1431,[20],[100000],24814,[],[],[20592],[5],18152
92,8,6,"Rarer Modifiers are more likely to be retained",1432,[20],[250000],44115,[],[],[20593],[1],18153
93,9,1,"Establish Fishing",1470,[],[],108111110,[],[],[20432],[1],""
94,9,2,"+12% Effishency",1470,[],[],10332115,[],[],[20406],[20],""
95,9,3,"+28% Effishency",1470,[],[],10197115,[],[],[20406],[20],""
96,9,4,"+98% Effishency",1470,[],[],111110,[],[],[20406],[20],""
97,10,1,"Request Idols at the Black Market",634,[19],[200],100000,[],[],[20844],[1],""
