"rownum","string","string","string","string","string","[rid]"
25,"LabDefenceLeo2","","","Modify a Flask's quality to 24%","set_quality flask 24",[]
26,"LabDefenceLeo3","","","Modify a Flask's quality to 26%","set_quality flask 26",[]
27,"LabDefenceLeo4","","","Modify a Flask's quality to 28%","set_quality flask 28",[]
28,"LabDefenceJorgin1","Transform a non-unique Amulet into a Tier 1 Talisman","transform_into_talisman 1","Transform a non-unique Amulet into a Tier 1 Talisman","transform_into_talisman 1",[8521]
29,"LabDefenceJorgin2","Transform a non-unique Amulet into a Tier 2 Talisman","transform_into_talisman 2","Transform a non-unique Amulet into a Tier 2 Talisman","transform_into_talisman 2",[8521]
30,"LabDefenceJorgin3","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3",[8521]
31,"LabDefenceJorgin4","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3","Transform a non-unique Amulet into a Tier 3 Talisman","transform_into_talisman 3",[8521]
32,"LabDefenceTora1","Add 20m experience to a Gem","add_gem_experience 20000000","Add 10m experience to a Gem","add_gem_experience 10000000",[]
33,"LabDefenceTora2","Add 70m experience to a Gem","add_gem_experience 70000000","Add 35m experience to a Gem","add_gem_experience 35000000",[]
34,"LabDefenceTora3","Add 200m experience to a Gem","add_gem_experience 200000000","Add 70m experience to a Gem","add_gem_experience 70000000",[]
35,"LabDefenceTora4","Add 200m experience to a Gem","add_gem_experience 200000000","Add 150m experience to a Gem","add_gem_experience 150000000",[]
36,"LabDefenceVorici1","Modify an item to have 1 White Socket","roll_white_sockets 0","Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 10 links",[]
37,"LabDefenceVorici2","Modify an item to have 1-2 White Sockets","roll_white_sockets 1","Reforge the links between sockets on an item 15 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 15 links",[]
38,"LabDefenceVorici3","Modify an item to have 1-3 White Sockets","roll_white_sockets 2","Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 20 links",[]
39,"LabDefenceVorici4","Modify an item to have 1-6 White Sockets","roll_white_sockets 5","Reforge the links between sockets on an item 30 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 30 links",[]
40,"CartEscortVorici1","Reforge the colours of sockets on an item 50 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 50 colours","Reforge the colours of sockets on an item 10 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 10 colours",[]
41,"CartEscortVorici2","Reforge the number of sockets on an item 50 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 50 sockets","Reforge the colours of sockets on an item 20 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 20 colours",[]
42,"CartEscortVorici3","Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 50 links","Reforge the colours of sockets on an item 30 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 30 colours",[]
43,"CartEscortVorici4","Reforge the links between sockets on an item 50 times, using the outcome with the greatest number of linked sockets","modify_sockets_N_times 50 links","Reforge the colours of sockets on an item 40 times, using the outcome with the greatest number of less-common socket colours","modify_sockets_N_times 40 colours",[]
44,"BaseDefenceVorici1","","","Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 10 sockets",[]
45,"BaseDefenceVorici2","","","Reforge the number of sockets on an item 20 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 20 sockets",[]
46,"BaseDefenceVorici3","","","Reforge the number of sockets on an item 30 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 30 sockets",[]
47,"BaseDefenceVorici4","","","Reforge the number of sockets on an item 40 times, using the outcome with the greatest number of sockets","modify_sockets_N_times 40 sockets",[]
48,"LabDefenceRin1","","","Modify a Map's quality to 22%","set_quality map 22",[]
49,"LabDefenceRin2","","","Modify a Map's quality to 24%","set_quality map 24",[]
50,"LabDefenceRin3","","","Modify a Map's quality to 26%","set_quality map 26",[]
51,"LabDefenceRin4","","","Modify a Map's quality to 28%","set_quality map 28",[]
