"rownum","Id","Base_ENVFile","[string]","[string]","[rid]","[i32]","rid","rid","bool"
50,"2_14_2","Metadata/EnvironmentSettings/1_2_14_2.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_2.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
51,"2_14_3","Metadata/EnvironmentSettings/1_2_14_3.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_3.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
52,"2_14_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","",""
53,"2_14_3_boss","Metadata/EnvironmentSettings/1_2_14_boss.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_boss.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
54,"2_14_3_boss_leadup","Metadata/EnvironmentSettings/1_2_14_boss_leadup.env","[""Metadata/EnvironmentSettings/corrupted/1_2_14_boss_leadup.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
55,"2_15","Metadata/EnvironmentSettings/1_2_15.env",[],[],[],[],"","",""
56,"2_15_reaper","Metadata/EnvironmentSettings/1_2_15_reaper.env",[],[],[],[],"","",""
57,"2_town","Metadata/EnvironmentSettings/1_2_town.env","[""Metadata/EnvironmentSettings/corrupted/1_2_town.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
58,"designertest","Metadata/EnvironmentSettings/designertest.env",[],[],[],[],"","",""
59,"designertest_arena","Metadata/EnvironmentSettings/designertest_arena.env",[],[],[],[],"","",""
60,"Desert_1","Metadata/EnvironmentSettings/Desert_1.env",[],[],[],[],"","",""
61,"ParticleShower","Metadata/EnvironmentSettings/ParticleShower.env",[],[],[],[],"","",""
62,"AtlasExilesZana","Metadata/EnvironmentSettings/AtlasExiles1_1.env",[],[],[],[],"","",""
63,"AtlasExiles1_1","Metadata/EnvironmentSettings/AtlasExiles1_1.env",[],[],[],[],"","",""
64,"AtlasExiles1_BossFight","Metadata/EnvironmentSettings/AtlasExiles1_BossFight.env",[],[],[],[],"","",""
65,"AtlasExiles1_Completed","Metadata/EnvironmentSettings/AtlasExiles1_Completed.env",[],[],[],[],"","",""
66,"AtlasExiles2_1","Metadata/EnvironmentSettings/AtlasExiles2_1.env",[],[],[],[],"","",""
67,"AtlasExiles2_1_Rotate","Metadata/EnvironmentSettings/AtlasExiles2_1.env","[""Metadata/EnvironmentSettings/AtlasExiles2_1_Entrance.env""]",[],[],[],0,"",""
68,"AtlasExiles2_BossFight","Metadata/EnvironmentSettings/AtlasExiles2_BossFight.env",[],[],[],[],"","",""
69,"AtlasExiles2_Completed","Metadata/EnvironmentSettings/AtlasExiles2_Completed.env",[],[],[],[],"","",""
70,"AtlasExiles3_1","Metadata/EnvironmentSettings/AtlasExiles3_1.env","[""Metadata/EnvironmentSettings/AtlasExiles3_1_foggier.env""]",[],[],[],0,"",""
71,"AtlasExiles3_BossFight","Metadata/EnvironmentSettings/AtlasExiles3_BossFight.env","[""Metadata/EnvironmentSettings/AtlasExiles3_BossFight_foggier.env""]",[],[],[],0,"",""
72,"AtlasExiles3_Completed","Metadata/EnvironmentSettings/AtlasExiles3_Completed.env","[""Metadata/EnvironmentSettings/AtlasExiles3_Completed_foggier.env""]",[],[],[],0,"",""
73,"AtlasExiles4_1","Metadata/EnvironmentSettings/AtlasExiles4_1.env",[],[],[],[],"","",""
74,"AtlasExiles4_BossFight","Metadata/EnvironmentSettings/AtlasExiles4_BossFight.env",[],[],[],[],"","",""
75,"AtlasExiles4_Completed","Metadata/EnvironmentSettings/AtlasExiles4_Completed.env",[],[],[],[],"","",""
76,"AtlasExiles5_1","Metadata/EnvironmentSettings/AtlasExiles5_1.env",[],[],[],[],"","",""
77,"AtlasExiles5_2","Metadata/EnvironmentSettings/AtlasExiles5_2.env",[],[],[],[],"","",""
78,"AtlasExiles5_Lab","Metadata/EnvironmentSettings/AtlasExiles5_Lab.env",[],[],[],[],"","",""
79,"AtlasExiles5_LabFoyer","Metadata/EnvironmentSettings/AtlasExiles5_LabFoyer.env",[],[],[],[],"","",""
80,"AtlasExiles5_Square","Metadata/EnvironmentSettings/AtlasExiles5_Square.env",[],[],[],[],"","",""
81,"AtlasExiles5_SquareBurning1","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning1.env",[],[],[],[],"","",""
82,"AtlasExiles5_SquareBurning2","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning2.env",[],[],[],[],"","",""
83,"AtlasExiles5_SquareBurning3","Metadata/EnvironmentSettings/AtlasExiles5_SquareBurning3.env",[],[],[],[],"","",""
84,"AtlasExiles5_Completed","Metadata/EnvironmentSettings/AtlasExiles5_Completed.env",[],[],[],[],"","",""
85,"3_1","Metadata/EnvironmentSettings/1_3_1.env",[],[],[],[],"","",""
86,"3_2","Metadata/EnvironmentSettings/1_3_2.env",[],[],[],[],"","",""
87,"3_3_1","Metadata/EnvironmentSettings/1_3_3_1.env",[],[],[],[],"","",""
88,"3_4","Metadata/EnvironmentSettings/1_3_4.env",[],[],[],[],"","",""
89,"3_5","Metadata/EnvironmentSettings/1_3_5.env",[],[],[],[],"","",""
90,"3_6_1","Metadata/EnvironmentSettings/1_3_6_1.env",[],[],[],[],"","",""
91,"3_7","Metadata/EnvironmentSettings/1_3_7.env",[],[],[],[],"","",""
92,"3_8_1","Metadata/EnvironmentSettings/1_3_8_1.env",[],[],[],[],"","",""
93,"3_8_2","Metadata/EnvironmentSettings/1_3_8_2.env",[],[],[],[],"","",""
94,"3_9","Metadata/EnvironmentSettings/1_3_9.env",[],[],[],[],"","",""
95,"3_10_0","Metadata/EnvironmentSettings/1_3_10_0.env",[],[],[],[],"","",""
96,"3_10_1","Metadata/EnvironmentSettings/1_3_10_1.env",[],[],[],[],"","",""
97,"3_10_2","Metadata/EnvironmentSettings/1_3_10_2.env",[],[],[],[],"","",""
98,"3_10_3","Metadata/EnvironmentSettings/1_3_10_3.env",[],[],[],[],"","",""
99,"3_13","Metadata/EnvironmentSettings/1_3_13.env",[],[],[],[],"","",""
100,"3_14_1","Metadata/EnvironmentSettings/1_3_14_1.env",[],[],[],[],"","",""
101,"3_14_1_synthesis","Metadata/EnvironmentSettings/1_3_14_1_synthesis.env",[],[],[],[],"","",""
102,"3_14_2","Metadata/EnvironmentSettings/1_3_14_2.env",[],[],[],[],"","",""
103,"3_14_3","Metadata/EnvironmentSettings/1_3_14_3.env",[],[],[],[],"","",""
104,"3_14_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","",""
105,"3_14_3_boss","Metadata/EnvironmentSettings/1_3_14_3_boss.env",[],[],[],[],"","",""
106,"3_15","Metadata/EnvironmentSettings/1_3_15.env",[],[],[],[],"","",""
107,"3_16","Metadata/EnvironmentSettings/1_3_16.env",[],[],[],[],"","",""
108,"3_17_1","Metadata/EnvironmentSettings/1_3_17_1.env",[],[],[],[],"","",""
109,"3_17_2","Metadata/EnvironmentSettings/1_3_17_2.env",[],[],[],[],"","",""
110,"3_18_1","Metadata/EnvironmentSettings/1_3_18_1.env",[],[],[],[],"","",""
111,"3_18_1_entrance","Metadata/EnvironmentSettings/1_3_18_1_entrance.env",[],[],[],[],"","",""
112,"3_18_2","Metadata/EnvironmentSettings/1_3_18_2.env",[],[],[],[],"","",""
113,"3_18_3","Metadata/EnvironmentSettings/1_3_18_3.env",[],[],[],[],"","",""
114,"3_18_3_bossmusic","Metadata/EnvironmentSettings/1_3_18_3_bossmusic.env",[],[],[],[],"","",""
115,"3_18_3_demon","Metadata/EnvironmentSettings/1_3_18_3_demon.env",[],[],[],[],"","",""
116,"3_18_3_demon_rain","Metadata/EnvironmentSettings/1_3_18_3_demon_rain.env",[],[],[],[],"",49,""
117,"3_18_3_silent","Metadata/EnvironmentSettings/1_3_18_3_silent.env",[],[],[],[],"","",""
118,"3_town","Metadata/EnvironmentSettings/1_3_town.env",[],[],[],[],"","",""
119,"3_town_v2","Metadata/EnvironmentSettings/1_3_town_v2.env",[],[],[],[],"","",""
120,"3_town_v2_clean","Metadata/EnvironmentSettings/1_3_town_v2_clean.env",[],[],[],[],"","",""
121,"3_town_v2_toxic","Metadata/EnvironmentSettings/1_3_town_v2_toxic.env",[],[],[],[],"","",""
122,"4_1","Metadata/EnvironmentSettings/1_4_1.env",[],[],[],[],"","",""
123,"4_2_silent","Metadata/EnvironmentSettings/1_4_2.env",[],[],[],[],"","",""
124,"4_2","Metadata/EnvironmentSettings/1_4_2.env",[],[],[],[],"","",""
125,"4_3_1","Metadata/EnvironmentSettings/1_4_3_1.env",[],[],[],[],"","",""
126,"4_3_2","Metadata/EnvironmentSettings/1_4_3_2.env",[],[],[],[],"","",""
127,"4_3_3","Metadata/EnvironmentSettings/1_4_3_3.env",[],[],[],[],"","",""
128,"4_3_3_prophecy","Metadata/EnvironmentSettings/1_4_3_3_prophecy.env",[],[],[],[],"","",""
129,"4_4_1","Metadata/EnvironmentSettings/1_4_4_1.env",[],[],[],[],"","",""
130,"4_4_2","Metadata/EnvironmentSettings/1_4_4_2.env",[],[],[],[],"","",""
131,"4_4_3","Metadata/EnvironmentSettings/1_4_4_3.env",[],[],[],[],"","",""
132,"4_4_3_outside_silent","Metadata/EnvironmentSettings/1_4_4_3.env",[],[],[],[],"","",""
133,"4_4_3_boss","Metadata/EnvironmentSettings/1_4_4_3_boss.env",[],[],[],[],"","",""
134,"4_4_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","",""
135,"4_5_1","Metadata/EnvironmentSettings/1_4_5_1.env",[],[],[],[],"","",""
136,"4_5_2_inside","Metadata/EnvironmentSettings/1_4_5_2_inside.env",[],[],[],[],"","",""
137,"4_5_2_inside_silent","Metadata/EnvironmentSettings/1_4_5_2_inside.env",[],[],[],[],"","",""
138,"4_5_2_outside","Metadata/EnvironmentSettings/1_4_5_2_outside.env",[],[],[],[],"","",""
139,"4_5_2_outside_silent","Metadata/EnvironmentSettings/1_4_5_2_outside.env",[],[],[],[],"","",""
140,"4_5_2_bossarena","Metadata/EnvironmentSettings/1_4_5_2_bossarena.env",[],[],[],[],"","",""
141,"4_5_2_mumble","Metadata/EnvironmentSettings/1_4_5_2_bossarena.env",[],[],[],[],"","",""
142,"4_5_2_bossarena_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","",""
143,"4_6_1","Metadata/EnvironmentSettings/1_4_6_1.env",[],[],[],[],"","",""
144,"4_6_2","Metadata/EnvironmentSettings/1_4_6_2.env",[],[],[],[],"","",""
145,"4_6_3","Metadata/EnvironmentSettings/1_4_6_3.env",[],[],[],[],"","",""
146,"4_6_3_boss1","Metadata/EnvironmentSettings/1_4_6_3_boss1.env",[],[],[],[],"","",""
147,"4_6_3_boss1_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
148,"4_6_3_boss2","Metadata/EnvironmentSettings/1_4_6_3_boss2.env",[],[],[],[],"","",""
149,"4_6_3_boss2_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
150,"4_7","Metadata/EnvironmentSettings/1_4_7.env",[],[],[],[],"","",""
151,"4_town_silent","Metadata/EnvironmentSettings/1_4_town.env",[],[],[],[],"","",""
152,"4_town","Metadata/EnvironmentSettings/1_4_town.env",[],[],[],[],"","",""
153,"5_town","Metadata/EnvironmentSettings/1_5_town.env",[],[],[],[],"","",""
154,"5_1","Metadata/EnvironmentSettings/1_5_1.env",[],[],[],[],"","",""
155,"5_2","Metadata/EnvironmentSettings/1_5_2.env",[],[],[],[],"","",""
156,"5_3","Metadata/EnvironmentSettings/1_5_3.env",[],[],[],[],"","",""
157,"5_4","Metadata/EnvironmentSettings/1_5_4.env",[],[],[],[],"","",""
158,"5_4b","Metadata/EnvironmentSettings/1_5_4b.env",[],[],[],[],"","",""
159,"5_4b_synthesis","Metadata/EnvironmentSettings/1_5_4b_synthesis.env",[],[],[],[],"","",""
160,"5_5","Metadata/EnvironmentSettings/1_5_5.env",[],[],[],[],"","",""
161,"5_5_boss","Metadata/EnvironmentSettings/1_5_5_boss.env",[],[],[],[],"","",""
162,"5_5_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
163,"5_3b","Metadata/EnvironmentSettings/1_5_3b.env",[],[],[],[],"","",""
164,"5_6","Metadata/EnvironmentSettings/1_5_6_ossuary.env",[],[],[],[],"","",""
165,"5_7","Metadata/EnvironmentSettings/1_5_7_reliquary.env",[],[],[],[],"","",""
166,"5_8","Metadata/EnvironmentSettings/1_5_8_CathedralRoof.env",[],[],[],[],"","",""
167,"5_8_synthesis","Metadata/EnvironmentSettings/1_5_8_synthesis.env",[],[],[],[],"","",""
168,"5_8_boss","Metadata/EnvironmentSettings/1_5_8_Boss.env",[],[],[],[],"","",""
169,"5_8_boss_end","Metadata/EnvironmentSettings/1_5_8_BossEnd.env",[],[],[],[],"","",""
170,"5_8_sin","Metadata/EnvironmentSettings/1_5_8_SinDock.env",[],[],[],[],"","",""
171,"6_town","Metadata/EnvironmentSettings/2_6_town.env",[],[],[],[],"","",""
172,"AfflictionTown","Metadata/EnvironmentSettings/AfflictionTown.env",[],[],[],[],"","",""
173,"6_1","Metadata/EnvironmentSettings/2_6_1.env",[],[],[],[],"","",""
174,"6_2","Metadata/EnvironmentSettings/2_6_2.env",[],[],[],[],"","",""
175,"6_3","Metadata/EnvironmentSettings/2_6_3.env",[],[],[],[],"","",""
176,"6_4","Metadata/EnvironmentSettings/2_6_4.env",[],[],[],[],"","",""
177,"6_4_synthesis","Metadata/EnvironmentSettings/2_6_4_synthesis.env",[],[],[],[],"","",""
178,"6_5","Metadata/EnvironmentSettings/2_6_5.env",[],[],[],[],"","",""
179,"6_5_boss","Metadata/EnvironmentSettings/2_6_5_boss.env",[],[],[],[],"","",""
180,"6_5_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
181,"6_6","Metadata/EnvironmentSettings/2_6_6.env",[],[],[],[],"","",""
182,"6_7_1","Metadata/EnvironmentSettings/2_6_7_1.env",[],[],[],[],"","",""
183,"6_7_2","Metadata/EnvironmentSettings/2_6_7_2_Env1.env",[],[],[],[],"","",""
184,"6_7_2_boss","Metadata/EnvironmentSettings/2_6_7_2_boss.env",[],[],[],[],"","",""
185,"6_7_2_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
186,"6_8","Metadata/EnvironmentSettings/2_6_8.env",[],[],[],[],"","",""
187,"6_8_boss","Metadata/EnvironmentSettings/2_6_8_boss.env",[],[],[],[],"","",""
188,"6_8_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
189,"6_9","Metadata/EnvironmentSettings/2_6_9.env",[],[],[],[],"","",""
190,"6_10","Metadata/EnvironmentSettings/2_6_10.env",[],[],[],[],"","",""
191,"6_11","Metadata/EnvironmentSettings/2_6_11.env",[],[],[],[],"","",""
192,"6_11_boss","Metadata/EnvironmentSettings/2_6_11_boss.env",[],[],[],[],"","",""
193,"6_11_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
194,"6_12","Metadata/EnvironmentSettings/2_6_12.env",[],[],[],[],"","",""
195,"6_13","Metadata/EnvironmentSettings/2_6_13.env",[],[],[],[],"","",""
196,"6_14","Metadata/EnvironmentSettings/2_6_14.env","[""Metadata/EnvironmentSettings/2_6_14Black.env""]",[],[1160],[],"","",""
197,"2_6_15","Metadata/EnvironmentSettings/2_6_15.env",[],[],[],[],"","",""
198,"2_6_15_preboss","Metadata/EnvironmentSettings/2_6_15_preboss.env",[],[],[],[],"","",""
199,"2_6_15_boss","Metadata/EnvironmentSettings/2_6_15_boss.env",[],[],[],[],"","",""
200,"2_6_15_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
201,"7_town","Metadata/EnvironmentSettings/2_2_town.env",[],[],[],[],"","",""
202,"7_1","Metadata/EnvironmentSettings/2_2_1.env",[],[],[],[],"","",""
203,"7_2","Metadata/EnvironmentSettings/2_2_2.env",[],[],[],[],"","",""
204,"7_3","Metadata/EnvironmentSettings/2_2_3.env",[],[],[],[],"","",""
205,"7_4","Metadata/EnvironmentSettings/2_2_4.env",[],[],[],[],"","",""
206,"7_5_1","Metadata/EnvironmentSettings/2_2_5_1.env",[],[],[],[],"","",""
207,"7_5_2","Metadata/EnvironmentSettings/2_2_5_2.env",[],[],[],[],"","",""
208,"7_5_map","Metadata/EnvironmentSettings/2_2_5_map.env",[],[],[],[],"","",""
209,"7_5_map_boss","Metadata/EnvironmentSettings/2_2_5_map_boss.env",[],[],[],[],"","",""
210,"7_5_map_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
211,"7_6","Metadata/EnvironmentSettings/2_2_6.env",[],[],[],[],"","",""
212,"7_7","Metadata/EnvironmentSettings/2_2_7.env",[],[],[],[],"","",""
213,"7_7_boss","Metadata/EnvironmentSettings/2_2_7_boss.env",[],[],[],[],"","",""
214,"7_7_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
215,"7_8","Metadata/EnvironmentSettings/2_2_8.env",[],[],[],[],"","",""
216,"7_9","Metadata/EnvironmentSettings/2_2_9.env",[],[],[],[],"","",""
217,"7_9_boss","Metadata/EnvironmentSettings/2_2_9_despairboss.env",[],[],[],[],"","",""
218,"7_9_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
219,"7_10","Metadata/EnvironmentSettings/2_2_10.env",[],[],[],[],"","",""
220,"7_10_synthesis","Metadata/EnvironmentSettings/2_2_10_synthesis.env",[],[],[],[],"","",""
221,"7_11","Metadata/EnvironmentSettings/2_2_11.env",[],[],[],[],"","",""
222,"7_12_1","Metadata/EnvironmentSettings/2_2_12_1.env",[],[],[],[],"","",""
223,"7_12_1_synthesis","Metadata/EnvironmentSettings/2_2_12_1_synthesis.env",[],[],[],[],"","",""
224,"7_12_2a","Metadata/EnvironmentSettings/2_2_12_2a.env",[],[],[],[],"","",""
225,"7_12_2b","Metadata/EnvironmentSettings/2_2_12_2b.env",[],[],[],[],"","",""
226,"7_12_2c","Metadata/EnvironmentSettings/2_2_12_2c.env",[],[],[],[],"","",""
227,"7_12_2_boss","Metadata/EnvironmentSettings/2_2_12_2_boss.env",[],[],[],[],"","",""
228,"7_12_2_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
229,"8_1","Metadata/EnvironmentSettings/2_3_1.env",[],[],[],[],"","",""
230,"8_town","Metadata/EnvironmentSettings/2_3_town_toxic.env","[""Metadata/EnvironmentSettings/2_3_town_clean.env""]",[],[1423],[],"","",""
231,"8_2_1","Metadata/EnvironmentSettings/2_3_2_default.env","[""Metadata/EnvironmentSettings/2_3_2_clean.env""]",[],[1423],[],"","",""
232,"8_2_2","Metadata/EnvironmentSettings/2_3_2_default.env","[""Metadata/EnvironmentSettings/2_3_2_clean.env""]",[],[1423],[],"","",""
233,"8_2_2_boss","Metadata/EnvironmentSettings/2_3_2_2_boss.env",[],[],[],[],"","",""
234,"8_2_2_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
235,"8_3","Metadata/EnvironmentSettings/2_3_3.env",[],[],[],[],"","",""
236,"8_4","Metadata/EnvironmentSettings/2_3_4.env",[],[],[],[],"","",""
237,"8_4_boss","Metadata/EnvironmentSettings/2_3_4_boss.env",[],[],[],[],"","",""
238,"8_4_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
239,"8_5","Metadata/EnvironmentSettings/2_3_5.env",[],[],[],[],"","",""
240,"8_6","Metadata/EnvironmentSettings/2_3_6.env",[],[],[],[],"","",""
241,"8_7_1","Metadata/EnvironmentSettings/2_3_7_1.env",[],[],[],[],"","",""
242,"8_7_2","Metadata/EnvironmentSettings/2_3_7_2.env",[],[],[],[],"","",""
243,"8_8","Metadata/EnvironmentSettings/2_3_8.env",[],[],[],[],"","",""
244,"8_9","Metadata/EnvironmentSettings/2_3_9.env",[],[],[],[],"","",""
245,"8_10","Metadata/EnvironmentSettings/2_3_10.env",[],[],[],[],"","",""
246,"8_10_synthesis","Metadata/EnvironmentSettings/2_3_10_synthesis.env",[],[],[],[],"","",""
247,"8_11","Metadata/EnvironmentSettings/2_3_11.env",[],[],[],[],"","",""
248,"8_12_1","Metadata/EnvironmentSettings/2_3_12_1.env",[],[],[],[],"","",""
249,"8_12_2","Metadata/EnvironmentSettings/2_3_12_2.env",[],[],[],[],"","",""
250,"8_13_preboss","Metadata/EnvironmentSettings/2_3_13.env",[],[],[],[],"","",""
251,"8_13_boss","Metadata/EnvironmentSettings/2_3_13_boss.env",[],[],[],[],"","",""
252,"8_13_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
253,"8_13","Metadata/EnvironmentSettings/2_3_13_moon.env","[""Metadata/EnvironmentSettings/2_3_13_sun.env""]",[],[],[],0,"",""
254,"9_1","Metadata/EnvironmentSettings/2_9_1.env",[],[],[],[],"","",""
255,"9_town","Metadata/EnvironmentSettings/2_9_town.env",[],[],[],[],"","",""
256,"9_2","Metadata/EnvironmentSettings/2_9_2.env",[],[],[],[],"","",""
257,"9_3","Metadata/EnvironmentSettings/2_9_3.env",[],[],[],[],"","",""
258,"9_3_event","Metadata/EnvironmentSettings/2_9_3_event.env",[],[],[],[],"","",""
259,"9_4","Metadata/EnvironmentSettings/2_9_4.env",[],[],[],[],"","",""
260,"9_4_boss1","Metadata/EnvironmentSettings/2_9_4_boss1.env",[],[],[],[],"","",""
