"rownum","Id","PosX","PosY","Order","SizeX","SizeY","bool","Tab","i32","IsDisabled","Subtab","FragmentItems","bool","string","i32"
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",491,579,49,1,1,"",2,75,"",0,[9252],"","",0
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",592,579,50,1,1,"",2,75,"",0,[9253],"","",0
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",693,579,51,1,1,"",2,75,"",0,[9254],"","",0
52,"Metadata/Items/Scarabs/ScarabTorment1",68,284,52,1,1,"",2,75,"",0,[9256],"","",0
53,"Metadata/Items/Scarabs/ScarabTorment2",169,284,53,1,1,"",2,75,"",0,[9257],"","",0
54,"Metadata/Items/Scarabs/ScarabTorment3",270,284,54,1,1,"",2,75,"",0,[9258],"","",0
55,"Metadata/Items/Scarabs/ScarabStrongbox1",68,675,55,1,1,"",2,75,"",0,[9260],"","",0
56,"Metadata/Items/Scarabs/ScarabStrongbox2",169,675,56,1,1,"",2,75,"",0,[9261],"","",0
57,"Metadata/Items/Scarabs/ScarabStrongbox3",270,675,57,1,1,"",2,75,"",0,[9262],"","",0
58,"Metadata/Items/Scarabs/ScarabHarbinger1",491,384,58,1,1,"",2,75,"",0,[9264],"","",0
59,"Metadata/Items/Scarabs/ScarabHarbinger2",592,384,59,1,1,"",2,75,"",0,[9265],"","",0
60,"Metadata/Items/Scarabs/ScarabHarbinger3",693,384,60,1,1,"",2,75,"",0,[9266],"","",0
61,"Metadata/Items/Scarabs/ScarabPerandus1",491,189,61,1,1,"",2,75,"",0,[9268],"","",0
62,"Metadata/Items/Scarabs/ScarabPerandus2",592,189,62,1,1,"",2,75,"",0,[9269],"","",0
63,"Metadata/Items/Scarabs/ScarabPerandus3",693,189,63,1,1,"",2,75,"",0,[9270],"","",0
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",335,375,64,1,1,"",0,70,"",0,[7182],"","",0
65,"Metadata/Items/MapFragments/CurrencyLegionFragmentMaraketh",627,375,65,1,1,"",0,70,"",0,[7183],"","",0
66,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternal",238,375,66,1,1,"",0,70,"",0,[7184],"","",0
67,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplar",530,375,67,1,1,"",0,70,"",0,[7185],"","",0
68,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaal",433,375,68,1,1,"",0,70,"",0,[7186],"","",0
69,"Metadata/Items/Currency/CurrencyLegionKaruiShard",335,281,69,1,1,1,0,70,"",0,[197],"","",0
70,"Metadata/Items/Currency/CurrencyLegionMarakethShard",627,281,70,1,1,1,0,70,"",0,[198],"","",0
71,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",238,281,71,1,1,1,0,70,"",0,[199],"","",0
72,"Metadata/Items/Currency/CurrencyLegionTemplarShard",530,281,72,1,1,1,0,70,"",0,[200],"","",0
73,"Metadata/Items/Currency/CurrencyLegionVaalShard",433,281,73,1,1,1,0,70,"",0,[201],"","",0
74,"Metadata/Items/Scarabs/ScarabLegion1",68,577,74,1,1,"",2,75,"",0,[9272],"","",0
75,"Metadata/Items/Scarabs/ScarabLegion2",169,577,75,1,1,"",2,75,"",0,[9273],"","",0
76,"Metadata/Items/Scarabs/ScarabLegion3",270,577,76,1,1,"",2,75,"",0,[9274],"","",0
77,"Metadata/Items/MapFragments/CurrencyElderFragment1",220,697,77,1,1,"",0,70,"",0,[7141],"","",0
78,"Metadata/Items/MapFragments/CurrencyElderFragment2",220,791,78,1,1,"",0,70,"",0,[7142],"","",0
79,"Metadata/Items/MapFragments/CurrencyElderFragment3",122,791,79,1,1,"",0,70,"",0,[7143],"","",0
80,"Metadata/Items/MapFragments/CurrencyElderFragment4",122,697,80,1,1,"",0,70,"",0,[7144],"","",0
81,"Metadata/Items/MapFragments/CurrencyUberElderFragment1",744,697,81,1,1,"",0,70,"",0,[7146],"","",0
82,"Metadata/Items/MapFragments/CurrencyUberElderFragment2",744,791,82,1,1,"",0,70,"",0,[7147],"","",0
83,"Metadata/Items/MapFragments/CurrencyUberElderFragment3",647,791,83,1,1,"",0,70,"",0,[7148],"","",0
84,"Metadata/Items/MapFragments/CurrencyUberElderFragment4",647,697,84,1,1,"",0,70,"",0,[7149],"","",0
85,"Metadata/Items/Scarabs/ScarabMetamorph1",68,479,85,1,1,"",2,75,"",0,[9276],"","",0
86,"Metadata/Items/Scarabs/ScarabMetamorph2",169,479,86,1,1,"",2,75,"",0,[9277],"","",0
87,"Metadata/Items/Scarabs/ScarabMetamorph3",270,479,87,1,1,"",2,75,"",0,[9278],"","",0
88,"Metadata/Items/MapFragments/CurrencyMavenKey",744,420,88,1,1,"",0,70,"",0,[9600],"","",0
89,"Metadata/Items/MapFragments/CurrencyMavenKeyFragment",744,326,89,1,1,"",0,70,"",0,[9601],"","",0
90,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire2",228,433,90,1,1,"",1,74,"",0,[7162],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsChargedBreachstoneInvSlots",15
91,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire3",228,551,91,1,1,"",1,74,"",0,[7167],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsEnrichedBreachstoneInvSlots",20
92,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire4",228,668,92,1,1,"",1,74,"",0,[7172],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsPureBreachstoneInvSlots",25
93,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold2",329,433,93,1,1,"",1,74,"",0,[7163],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsChargedBreachstoneInvSlots",16
94,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold3",329,551,94,1,1,"",1,74,"",0,[7168],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsEnrichedBreachstoneInvSlots",21
95,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold4",329,668,95,1,1,"",1,74,"",0,[7173],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsPureBreachstoneInvSlots",26
96,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning2",430,433,96,1,1,"",1,74,"",0,[7164],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsChargedBreachstoneInvSlots",17
97,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning3",430,551,97,1,1,"",1,74,"",0,[7169],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsEnrichedBreachstoneInvSlots",22
98,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning4",430,668,98,1,1,"",1,74,"",0,[7174],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsPureBreachstoneInvSlots",27
99,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical2",532,433,99,1,1,"",1,74,"",0,[7165],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/UulNetolsChargedBreachstoneInvSlots",18
100,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical3",532,551,100,1,1,"",1,74,"",0,[7170],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/UulNetolsEnrichedBreachstoneInvSlots",23
101,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical4",532,668,101,1,1,"",1,74,"",0,[7175],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/UulNetolsPureBreachstoneInvSlots",28
102,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos2",633,433,102,1,1,"",1,74,"",0,[7166],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/ChayulasChargedBreachstoneInvSlots",19
103,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos3",633,551,103,1,1,"",1,74,"",0,[7171],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/ChayulasEnrichedBreachstoneInvSlots",24
104,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos4",633,668,104,1,1,"",1,74,"",0,[7176],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/ChayulasPureBreachstoneInvSlots",29
105,"Metadata/Items/Scarabs/ScarabBlight1",68,774,105,1,1,"",2,75,"",0,[9280],"","",0
106,"Metadata/Items/Scarabs/ScarabBlight2",169,774,106,1,1,"",2,75,"",0,[9281],"","",0
107,"Metadata/Items/Scarabs/ScarabBlight3",270,774,107,1,1,"",2,75,"",0,[9282],"","",0
108,"Metadata/Items/Scarabs/ScarabBlight4",370,774,108,1,1,"",2,75,"",0,[9283],"","",0
109,"Metadata/Items/Scarabs/ScarabBreach4",793,677,109,1,1,"",2,75,"",0,[9223],"","",0
110,"Metadata/Items/Scarabs/ScarabMaps4",793,287,110,1,1,"",2,75,"",0,[9227],"","",0
111,"Metadata/Items/Scarabs/ScarabUniques4",370,186,111,1,1,"",2,75,"",0,[9231],"","",0
112,"Metadata/Items/Scarabs/ScarabBeasts4",370,89,112,1,1,"",2,75,"",0,[9235],"","",0
113,"Metadata/Items/Scarabs/ScarabShaperRares4",793,89,113,1,1,"",2,75,"",0,[9243],"","",0
114,"Metadata/Items/Scarabs/ScarabElderRares4",793,482,114,1,1,"",2,75,"",0,[9247],"","",0
115,"Metadata/Items/Scarabs/ScarabSulphite4",370,382,115,1,1,"",2,75,"",0,[9251],"","",0
116,"Metadata/Items/Scarabs/ScarabDivinationCards4",793,579,116,1,1,"",2,75,"",0,[9255],"","",0
117,"Metadata/Items/Scarabs/ScarabTorment4",370,284,117,1,1,"",2,75,"",0,[9259],"","",0
118,"Metadata/Items/Scarabs/ScarabStrongbox4",370,675,118,1,1,"",2,75,"",0,[9263],"","",0
119,"Metadata/Items/Scarabs/ScarabHarbinger4",793,384,119,1,1,"",2,75,"",0,[9267],"","",0
120,"Metadata/Items/Scarabs/ScarabPerandus4",793,189,120,1,1,"",2,75,"",0,[9271],"","",0
121,"Metadata/Items/Scarabs/ScarabLegion4",370,577,121,1,1,"",2,75,"",0,[9275],"","",0
122,"Metadata/Items/Scarabs/ScarabMetamorph4",370,479,122,1,1,"",2,75,"",0,[9279],"","",0
123,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessDedication",371,584,123,1,1,"",0,70,"",0,[7196],"","",0
124,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessGift",495,584,124,1,1,"",0,70,"",0,[7195],"","",0
125,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddessTribute",619,584,125,1,1,"",0,70,"",0,[7194],"","",0
126,"Metadata/Items/Scarabs/ScarabAbyss1",491,774,126,1,1,"",2,75,"",0,[9284],"","",0
127,"Metadata/Items/Scarabs/ScarabAbyss2",592,774,127,1,1,"",2,75,"",0,[9285],"","",0
128,"Metadata/Items/Scarabs/ScarabAbyss3",693,774,128,1,1,"",2,75,"",0,[9286],"","",0
129,"Metadata/Items/Scarabs/ScarabAbyss4",793,774,129,1,1,"",2,75,"",0,[9287],"","",0
130,"Metadata/Items/Currency/CurrencyRitualSplinter",122,326,130,1,1,"",0,70,"",0,[301],"","",0
131,"Metadata/Items/Currency/CurrencyRitualStone",122,420,131,1,1,"",0,70,"",0,[302],"","",0
132,"Metadata/Items/MapFragments/CurrencyHarvestBossKey",744,584,132,1,1,"",0,70,"",0,[9628],"","",0
133,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternalUber",238,469,133,1,1,"",0,70,"",0,[7189],"","",0
134,"Metadata/Items/MapFragments/CurrencyLegionFragmentKaruiUber",335,469,134,1,1,"",0,70,"",0,[7187],"","",0
135,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaalUber",433,469,135,1,1,"",0,70,"",0,[7191],"","",0
136,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplarUber",530,469,136,1,1,"",0,70,"",0,[7190],"","",0
137,"Metadata/Items/MapFragments/CurrencyLegionFragmentMarakethUber",627,469,137,1,1,"",0,70,"",0,[7188],"","",0
138,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire",228,78,138,1,1,"",1,74,"",0,[192],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachUpgraderFireInvSlots",0
139,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold",329,78,139,1,1,"",1,74,"",0,[193],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachUpgraderColdInvSlots",1
140,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning",430,78,140,1,1,"",1,74,"",0,[194],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachUpgraderLightningInvSlots",2
141,"Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical",532,78,141,1,1,"",1,74,"",0,[195],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachUpgraderPhysicalInvSlots",3
142,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos",633,78,142,1,1,"",1,74,"",0,[196],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachUpgraderChaosInvSlots",4
143,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire5",228,785,143,1,1,"",1,74,"",0,[7177],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/XophsFlawlessBreachstoneInvSlots",30
144,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold5",329,785,144,1,1,"",1,74,"",0,[7178],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/TulsFlawlessBreachstoneInvSlots",31
145,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning5",430,785,145,1,1,"",1,74,"",0,[7179],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/EshsFlawlessBreachstoneInvSlots",32
146,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical5",532,785,146,1,1,"",1,74,"",0,[7180],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/UulNetolsFlawlessBreachstoneInvSlots",33
147,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos5",633,785,147,1,1,"",1,74,"",0,[7181],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/ChayulasFlawlessBreachstoneInvSlots",34
148,"Metadata/Items/MapFragments/CurrencySirusFragment1",482,74,148,1,1,"",0,70,"",0,[7151],"","",0
149,"Metadata/Items/MapFragments/CurrencySirusFragment2",482,169,149,1,1,"",0,70,"",0,[7152],"","",0
150,"Metadata/Items/MapFragments/CurrencySirusFragment3",385,169,150,1,1,"",0,70,"",0,[7153],"","",0
151,"Metadata/Items/MapFragments/CurrencySirusFragment4",385,74,151,1,1,"",0,70,"",0,[7154],"","",0
152,"MavenInvitations",70,445,0,72,1,"",3,66,"",1,"[9549,9550,9551,9552,9553,9554,9559]","","",0
153,"PrimordialBosses",70,445,0,72,1,"",3,66,"",2,"[10096,10098,10092,10094]","","",0
