"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32","rid"
88,9,10,"The Bandit Scourge","[16,0]","[83,0]",[53],"",53,5,"",53,[85],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
89,9,11,"The Bandit Scourge",[18],"[83,0,0]",[53],"",53,5,"",53,[86],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
90,9,12,"The Bandit Scourge","[18,0]","[83,0]",[53],"",53,5,"",53,[87],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
91,9,13,"The Bandit Scourge","[18,0]","[83,0]",[53],"",53,5,"",53,[88],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
92,9,14,"Bandit Lords","[16,0,0]","[54,0,0]",[57],"",57,3,"",57,[89],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
93,9,15,"Bandit Amulets","[77,0,0,0]","[122,0]",[808],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );\r\ntriggerer.SetQuestFlag(\""a2q7-QuestRewardTaken\"", \""a2b-DeliveredAmulets\"");",122,5,"",122,[90],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
94,9,16,"Bandit Amulets",[122],[260],[260],"",260,5,"",260,[91],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
95,9,17,"Take the Apex","[16,0,0,0]","[76,0]",[69],"",69,6,17,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
96,9,18,"Oak",[18],"[16,0]",[312],"","",3,"",312,[92],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
97,9,19,"Alira",[17],"[16,0]",[312],"","",3,"",312,[93],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
98,9,20,"Kraityn",[16],"[17,0]",[312],"","",3,"",312,[94],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
99,9,21,"Oak","[16,0]",[18],[315],"","",3,"",315,[95],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
100,9,22,"Alira","[16,0]",[17],[315],"","",3,"",315,[96],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
101,9,23,"Kraityn","[17,0]",[16],[315],"","",3,"",315,[97],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
102,9,24,"The Darkness",[88],[85],[235],"",235,3,"",235,[98],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
103,9,25,"The Light",[85],[],[318],"",318,3,"",318,[99],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
104,9,26,"The Baleful Gem",[98],[],[319],"","",3,"",319,[100],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
105,9,27,"Maligaro's Spike",[95],[99],[320],"","",3,"",320,[101],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
106,9,28,"Maligaro's Creations","[98,0]",[],[321],"","",3,"",321,[102],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
107,9,29,"Ancient Gateway",[100],[],[322],"","",3,"",322,[103],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
108,9,30,"Lorrata",[99],[],[323],"","",3,"",323,[104],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
109,9,31,"Fellshrine Ruins",[138],[],[324],"","",3,"",324,[105],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
110,9,32,"The Dark Altar",[234],[76],[262],"",262,5,"",262,[106],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
111,9,33,"Yeena's Vision",[253],[85],[254],"",254,5,"",254,[107],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
112,9,34,"Blocked Passage",[230],[233],[325],"","",3,"",325,[108],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
113,9,35,"The Chamber of Sins",[97],[],[153],"","",3,"",153,[109],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
114,9,36,"Dominus",[],[],[160],"","",3,"",160,[110],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
115,9,37,"Claim Passive Skill Point",[83],"[54,0,0,0]",[122],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );",122,5,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
116,9,38,"Change Bandit Reward",[],[],[],"","",8,33,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
117,10,0,"Introduction",[],[],[91],"",91,3,"",91,[111],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
118,10,1,"Eramir",[75],[],[327],"","",3,"",327,[112],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
119,10,2,"Greust",[92],[],[328],"","",3,"",328,[113],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
120,10,3,"Silk",[93],[],[329],"","",3,"",329,[114],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
121,10,4,"Helena",[243],[],[330],"","",3,"",330,[115],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
122,10,5,"Blood Apes",[],[],[331],"","",3,"",331,[116],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
123,10,6,"Vipers",[139],[],[332],"","",3,"",332,[117],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
124,10,7,"Elementals",[134],[],[333],"","",3,"",333,[118],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
125,10,8,"Maligaro's Spike",[258],"[94,0]",[334],"","",3,"",334,[119],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
126,10,9,"Lorrata",[99],[],[335],"","",3,"",335,[120],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
127,10,10,"Chamber of Sins",[101],"[99,0]",[336],"","",3,"",336,[121],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
128,10,11,"The Great White Beast",[],[246],[244],"",244,5,"",244,[122],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
129,10,12,"The Great White Beast",[246],[248],[249],"",249,5,"",249,[123],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
130,10,13,"Great White Beast Reward",[249],[248],[247],"",247,6,14,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
131,10,14,"The Fellshrine Hand","[247,0]",[87],[96],"",96,5,"",96,[124],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
132,10,15,"The Fellshrine Hand",[86],[87],"[70,0]","",87,5,"",87,[125],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
133,10,16,"The Fellshrine Hand",[87],"[103,0]",[],"","",5,"",87,[125],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
134,10,17,"Fellshrine Reward",[87],"[103,0]",[102],"",102,6,12,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
135,10,18,"The Darkness","[84,0]",[85],[253],"",253,5,"",253,[126],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
136,10,19,"The Darkness",[76],[85],[253],"",253,5,"",253,[126],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
137,10,20,"The Darkness",[88],"[85,0,0]",[236],"",236,3,"",236,[127],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
138,10,21,"The Light",[85],[],[421],"",421,3,"",421,[128],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
139,10,22,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
140,10,23,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
141,11,0,"Introduction",[],[],[92],"",92,3,"",92,[129],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
142,11,1,"Eramir",[75],[],[337],"","",3,"",337,[130],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
143,11,2,"Yeena",[91],[],[338],"","",3,"",338,[131],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
144,11,3,"Silk",[93],[],[339],"","",3,"",339,[132],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
145,11,4,"Blood Apes",[],[],[340],"","",3,"",340,[133],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
146,11,5,"Vipers",[139],[],[341],"","",3,"",341,[134],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
147,11,6,"Elementals",[134],[],[342],"","",3,"",342,[135],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
148,11,7,"Maligaro's Spike",[258],"[99,0]",[343],"","",3,"",343,[136],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
149,11,8,"Blackguards",[808],[243],[97],"",97,5,"",97,[137],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
150,11,9,"Helena",[243],[108],[110],"",110,5,"",110,[138],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
151,11,10,"Helena",[108],[],[344],"","",3,"",344,[139],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
152,11,11,"Blackguard Reward",[110],[108],[107],"",107,6,13,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
153,11,12,"Chamber of Sins",[97],"[98,0]",[345],"","",3,"",345,[140],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
154,11,13,"Bandit Lords",[53],[122],[346],"","",3,"",346,[141],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
155,11,14,"Bandit Lords",[122],[],[364],"","",3,"",364,[142],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
156,11,15,"The Darkness",[88],[85],[237],"",237,3,"",237,[143],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
157,11,16,"The Light",[85],[],[420],"",420,3,"",420,[144],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
158,11,17,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
159,11,18,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
160,11,19,"Join PvP",[],[],[],"","",28,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
161,4,0,"Introduction",[],[],[62],"",62,5,"",62,[145],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
162,4,1,"Marooned",[],[],[349],"triggerer.SetQuestFlag(\""a1q6-ReceivedQuest\"");\r\ntriggerer.ClearQuestFlag(\""a1q6-DeliveredAllFlame\"");",45,5,"",349,[146],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
163,4,2,"The Allflame",[],[],[350],"","",3,"",350,[147],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
164,4,3,"The Real Fairgraves",[68],[],[351],"","",3,"",351,[148],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
165,4,4,"Merveil",[],[9],[67],"","",3,"",67,[149],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
166,4,5,"Merveil's Necklace",[67],[],[352],"","",3,"",352,[150],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
167,4,6,"Thank You",[61],[],[63],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(\""a1q6-FairgravesAggro\"");",63,5,"",63,[151],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
168,4,7,"Thank You",[63],"[47,0]",[],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(\""a1q6-FairgravesAggro\"");",47,5,"",71,[152],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
169,4,8,"Allflame Reward",[71],[47],[],"triggerer.FinishNPCChat(); ForEachInRange( 100, { IfVarietyContains( Fairgraves, { Transition(); } ); } );",47,5,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
170,6,0,"Exiled",[],[],[],"triggerer.TalkToWoundedExile(8.2, 22.8);",120,3,"",71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
171,6,1,"_no_weapon_",[],[],[64],"triggerer.FinishNPCChat();","",3,"",71,[156],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
172,6,2,"_have_weapon1_",[],[],[64],"triggerer.FinishNPCChat(); Transition();","",3,"",71,[154],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
173,6,3,"_have_weapon2_",[],[],[64],"triggerer.FinishNPCChat(); Transition();","",3,"",71,[155],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
174,12,0,"Introduction",[],[],[93],"",93,3,"",93,[157],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
175,12,1,"Eramir",[75],[],[354],"","",3,"",354,[158],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
176,12,2,"Yeena",[91],[],[355],"","",3,"",355,[159],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
177,12,3,"Greust",[92],[],[356],"","",3,"",356,[160],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
178,12,4,"Helena",[243],[],[357],"","",3,"",357,[161],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
179,12,5,"Maligaro's Spike",[95],"[94,0]",[258],"",258,5,"",258,[162],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
180,12,6,"Maligaro's Spike",[94],[109],"[109,0]","",109,5,"",109,[163],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
181,12,7,"Maligaro's Spike",[99],[109],[109],"",109,5,"",109,[163],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
182,12,8,"Maligaro's Spike Reward",[109],[106],[105],"",105,6,15,105,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
183,12,9,"The Darkness",[88],[85],[238],"",238,3,"",238,[164],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
184,12,10,"The Great White Beast",[244],[246],[360],"","",3,"",360,[165],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
185,12,11,"The Great White Beast",[246],[],[361],"","",3,"",361,[166],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
186,12,12,"Blocked Passage",[230],[233],[232],"",232,5,"",232,[167],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
187,12,13,"Reopened Passage",[233],[],[363],"","",3,"",363,[168],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
188,12,14,"The Light",[85],[],[480],"",480,3,"",480,[169],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
