"rownum","Id","i32","AchievementItemsKey","i32","bool","bool","i32"
92,"KillVarheshInTerraceWithoutBecomingFearful",1,6871,0,"",1,0
93,"KillEnticerOfRotAndAvatarOfRotWithin5Seconds",2,6872,1,"",1,0
94,"KillFallenQueenAfterBrokenPrinceAndHollowLady",1,"",2,1,"",0
95,"KillStalkerOfEndlessDunesWithoutBeingAffectedBySandstorm",1,7018,0,"",1,0
96,"KillSallazzangWithoutSuppressingFire",1,7019,0,"",1,0
97,"KillPortentiaTheFoulAfter3Transforms",1,"",2,1,"",1
98,"KillPortentiaTheFoulWithoutBeingAffectedByEffluents",1,7137,0,"",1,0
99,"KillChimeraAfterSearching25Clouds",1,"",24,1,"",1
100,"KillShaperWithoutDamageFromNonMelee",1,7140,0,"",1,0
101,"KillOshabiWithoutBeingAffectedBySacredSuffering",1,7191,0,"",1,0
102,"KillOshabiWithoutBeingHitByOrbOfThorns",1,7192,0,"",1,0
103,"KillOshabiWithoutBeingHitByVineHammer",1,7193,0,"",1,0
104,"KillOshabiWithoutBeingHitByVolatileOrchard",1,7194,0,"",1,0
105,"KillHallowedHuskAfter3BloodRains",1,"",2,1,"",1
106,"KillHallowedHuskWithoutStandingInProximityShield",1,7418,0,"",1,0
107,"KillVaalTempleBossesInReverse",1,"",2,1,"",0
108,"KillChayulaAfter3ChaosCyclones",1,"",2,1,"",1
109,"KillChayulaWithoutBeingHitByChaosCycloneProjectiles",1,9112,0,"",1,0
110,"KillHighTemplarWithoutBeingAffectedByColdBeam",1,7273,0,"",1,0
111,"KillAdmiralDarnawWithoutBeingHitByOceansWave",1,7423,0,"",1,0
112,"KillUnbreakableMk1WithoutBeingAffectedByMagneticStorm",1,7424,0,"",1,0
113,"KillNashtaTheUsurperWithoutDetonatingVolatileEmberstorms",1,7425,0,"",1,0
114,"KillVoxTwinsWithoutBecomingImmobilised",1,7426,0,"",1,0
115,"KillVoxTwins",1,"",1,1,"",0
116,"KillVoxTwinsWithoutTwinsSwappingPositions",1,7427,0,"",1,0
117,"Complete4RitualsInAnArea",1,7465,4,1,"",0
118,"KillCaptainClayborneWithoutDefeatingDrownedCrew",1,7491,0,"",1,0
119,"KillOrmudFiendOfTheFloodWithoutBeingHitByWaterVortexOrCollapsingOrb",1,7492,0,"",1,0
120,"KillBramblefallBossesWithoutBeingHitBySlamScreechSpikesBossDead",1,"",2,1,"",1
121,"KillBramblefallBossesWithoutBeingHitBySlamScreechSpikes",1,7632,0,"",1,0
122,"KillFoundryMapBossesWithinThreeSecondsOfOneAnother",1,"",1,"","",0
123,"KillFoundryMapBossesWithoutBeingHitByCorpseRain",1,7631,0,"",1,0
124,"DefeatTheMavenWithoutMoreThan16VolatilesEver",1,7660,0,"",1,0
125,"DefeatTheMavenWithoutFailingMemoryGame",1,7662,0,"",1,0
126,"DefeatTheMavenWithoutBeingHitByElasticBeams",1,7663,0,"",1,0
127,"KillPromenadeBossesWhileAffectedByConductivity",1,"",0,1,"",1
128,"KillNightmaresOmenWhile8RuneTrapsAreActive",1,7746,7,1,1,1
129,"KillMirageOfBonesWhile3ClonesAreActive",1,7747,2,1,1,1
130,"KillThePrimalOneWithoutBeingHitBySunder",1,7904,0,"",1,0
131,"PhysicalBreachSpawnerTriggered",1,"",3,1,"",1
132,"KillTrialmasterWithoutBeingHitByBloodOrb",1,7921,0,"",1,0
133,"KillTrialmasterWithoutBeingHitBySpearPulse",1,7922,0,"",1,0
134,"KillTrialmasterAfterCollectingAllCurrencyFromShrines",1,"",4,1,"",1
135,"KillTrialmasterWithoutBeingHitByHeart",1,7924,0,"",1,0
136,"KillGnarBeforeStonebeak",1,"",1,1,"",0
137,"KillGnarBeforeDamagingStonebeak",1,8007,0,"",1,0
138,"DefeatTrioCrystalOreMapWhileAffectedByRighteousFire",1,"",1,1,"",1
139,"KillUhtredWithoutBeingAffectedByGlimpseOfInfinityOrIndifferenceOfTheCosmos",1,8206,0,"",1,0
140,"KillUhtredWithoutTriggeringSeekingStar",1,8209,0,"",1,0
141,"KillMedvedAfterFiveArachnidFamiliarSummons",1,"",4,1,"",1
142,"KillMedvedAfterKilling3CultistsWithin5Seconds",1,"",1,"","",0
143,"KillMedvedWithoutKillingAnyCultists",1,8201,0,"",1,0
144,"KillVoranaWithoutCausingAnyOrbitingStarsToCollapse",1,8203,0,"",1,0
145,"KillVoranaAfterCausingAtLeast25OrbitingStarsToCollapse",1,"",24,1,"",1
146,"KillVoranaWithoutBeingHitByCollapsingOrbitingStarsOrTheirProjectiles",1,8205,0,"",1,0
147,"KillOlrothWhileBothRunicGatewaysAreActive",1,8210,0,"",1,0
148,"KillOlrothWhileBothCrystalStarsAreActive",1,8211,0,"",1,0
149,"KillOlrothWithoutBeingHitByCageOfLight",1,8212,0,"",1,0
150,"KillOlrothWithoutBeingAffectedByExterminatingFlames",1,8212,0,"",1,0
151,"KillStoneOfTheCurrentsWhile15FloodOrbsAreAlive",1,"",14,1,"",1
152,"KillAulWithoutBeingHitByAbyssSlam",1,9109,0,"",1,0
153,"KillUberElderWithoutBeingHitByBeamOrTentacles",1,8404,0,"",1,0
154,"KillUberAtziriWithoutBeingHitByStormCall",1,9450,0,"",1,0
155,"KillSirus8WithoutBeingHitByEndlessFire",1,8406,0,"",1,0
156,"KillMavenWithoutBeingHitByCascade",1,8407,0,"",1,0
157,"KillCrusaderWithoutBeingHitBySlam",1,8343,0,"",1,0
158,"KillHunterWithoutBeingHitByStabSlam",1,8344,0,"",1,0
159,"KillRedeemerWithoutBeingHitByTornadoes",1,8345,0,"",1,0
160,"KillWarlordWithoutBeingHitByBanners",1,8346,0,"",1,0
161,"KillBlackStarWithoutBeingHitByMeteors",1,8629,0,"",1,0
162,"KillInfiniteHungerWithoutBeingTeleported",1,8631,2,1,1,2
163,"KillEaterOfWorldsWithoutDrowning",1,8633,0,"",1,0
164,"KillSearingExarchWithoutBeingHitByRollingMeteors",1,8635,0,"",1,0
165,"KillShaperWithoutBeingAffectedByShaperBeam",1,8836,0,"",1,0
166,"KillBlackStarWith30StacksOfAnnihilatingLightAndWithoutGainingStacksOfCrushingDarkness",1,8845,0,"",1,0
167,"KillBlackStarWith30StacksOfCrushingDarknessAndWithoutGainingStacksOfAnnihilatingLight",1,8846,0,"",1,0
168,"KillBlackStarWithoutGainingMoreThan5StacksOfCrushingDarknessOrAnnihilatingLight",1,8844,0,"",1,0
169,"KillInfiniteHungerWithoutBeingHitByVomit",1,8848,0,"",1,0
170,"KillInfiniteHungerWithoutGainingMoreThan20StacksOfCorrosiveHunger",1,8850,0,"",1,0
171,"KillInfiniteHungerAfterBeingPulledUnder3Times",1,"",2,1,"",1
172,"KillSearingExarchWithoutBeingAffectedByCauterisedFlesh",1,8852,0,"",1,0
173,"KillSearingExarchWithoutBeingHitByAnnihilation",1,8854,0,"",1,0
174,"KillEaterOfWorldsAfterBeginningToDrownAtLeast10Times",1,"",9,1,"",1
175,"KillEaterOfWorldsWithoutBeingAffectedByMoreThan10StacksOfInescapableDoom",1,8857,0,"",1,0
176,"KillUberElderAfterDefeating3MadnessPropagatorsWithin5Seconds",1,"",1,"","",0
177,"KillUberElderWithoutTakingDamageFromShaperBeam",1,8864,0,"",1,0
178,"KillUberElderWithoutDetonatingVolatileAnomalies",1,8865,0,"",1,0
179,"KillUberElderAfterDetonatingAtLeast20VolatileAnomalies",1,"",19,1,"",1
180,"KillMavenWithoutBeingHitByCascadeOfPain",1,8867,0,"",1,0
181,"KillMavenAfterCompleting5MemoryGames",1,"",4,1,"",1
182,"KillMavenWithoutBeingAffectedByGravityWell",1,8870,0,"",1,0
183,"KillUberAtziriWithoutBeingHitByFlameblast",1,9108,0,"",1,0
184,"KillVaalOmnitectWithoutDamageFromFlameThrower",1,9111,0,"",1,0
185,"KillVaalOmnitectAfterUsingFlameThrower",1,"",1,1,"",1
186,"KillCortexBossWithoutBeingHitByWormholeSlam",1,9254,0,"",1,0
187,"KillTheEaterOfWorldsAfterCompletingInescapableDoom5Times",1,"",4,1,"",1
188,"KillSanctumBossVarakathWithoutBeingHitByFlamethrower",1,"",0,"","",0
189,"KillSanctumBossXenatharWithoutBeingHitByLasers",1,"",0,"","",0
190,"KillSanctumBossUnholyHereticWithoutBeingAffectedByTheirGroundDegen",1,"",0,"","",0
191,"KillSanctumBossBraomAfterUzarWasKilledWithOverHalfHealth",1,"",1,1,"",0
192,"KillSanctumBossUzarAfterBraomWasKilledWithOverHalfHealth",1,"",1,1,"",0
193,"Kill3CrucibleUniquesSingleArea",1,9519,5,1,"",0
194,"Kill10CrucibleRaresSingleArea",1,9518,10,1,"",0
195,"KillIzaroWithoutBeingHitByCascade",1,9451,0,"",1,0
196,"KillChayulaAfter3BreachesActivated",1,9452,2,1,"",1
197,"Kill10Tier3HarvestMonstersSingleArea",1,9371,10,1,"",0
