"rownum","string","rid","i32","string","string","rid","[rid]","i32"
67,"Shrine1",64,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconShrine",16,[],63412
68,"Shrine2",65,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconShrine",16,[],24451
69,"Shrine3",66,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconShrine",16,[],27678
70,"Quest1",67,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconQuestEncounter8",17,[],36591
71,"Metamorph1",68,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMetamorph",18,[],3699
72,"Metamorph2",69,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMetamorph",18,[],57850
73,"Metamorph3",70,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMetamorph",18,[],55676
74,"Abyss1",71,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconAbyss",19,[],38892
75,"Abyss2",72,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconAbyss",19,[],57101
76,"Abyss3",73,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconAbyss",19,[],34457
77,"Bestiary1",74,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBestiary",20,[],55569
78,"Bestiary2",75,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBestiary",20,[],18816
79,"Bestiary3",76,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBestiary",20,[],29224
80,"Expedition1",77,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",21,[],43128
81,"Expedition2",78,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",21,[],9662
82,"Expedition3",79,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",21,[],64561
83,"Expedition4",80,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",21,[],60034
84,"Legion1",81,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",22,[],403
85,"Legion2",82,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",22,[],32968
86,"Legion3",83,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",22,[],34796
87,"Scourge1",84,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",23,[],62360
88,"Scourge2",85,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",23,[],28500
89,"Scourge3",86,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",23,[],24232
90,"Torment1",87,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",24,[],53950
91,"Torment2",88,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",24,[],25049
92,"Torment3",89,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",24,[],25480
93,"Delve1",90,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",25,[],18737
94,"Delve2",91,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",25,[],45086
95,"Delve3",92,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",25,[],40031
96,"Untainted1",93,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconUntaintedParadise",26,[],50846
97,"Fishing1",94,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFishing",26,[],40794
