"rownum","Id","CharactersKey","PassiveSkillTreeURL","AscendancyClassName","Description","UIImageFile","TutorialVideo_BKFile","i32","f32","f32","BackgroundImageFile","IsTemporary","bool","ArchetypeImage","bool","bool"
14,"StrDexArchetypeB",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQCAAUtFewaVS0wL8xFqUd-TUZan2EhYuxlTWa2dO1674TZhO-ZK7kdvTa9gb6nwYLKkNrB","Gladiator","Whether you're wielding a shield or any combination of weapons, you're ready to tackle any challenge. The key to victory is simply to outlast.","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/Gladiator","http://down.qq.com/poe/videos/archetype/Gladiator.BK2",1,33,1,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/DuelistBG","",1,"","",""
15,"StrDexArchetypeC",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQDAAUtBTxAoEd-SHheE185YVJlTXTteu-E2YTvh2qK8JBsmy2pJ6mUvTa-p8VTypDawdwy6UbvTg==","Champion","Mix might with mettle, and take down the strongest foes you come across. The bigger they are, the harder they fall.","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/Champion","http://down.qq.com/poe/videos/archetype/Champion.BK2",3,424,223,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/DuelistBG","",1,"","",""
16,"DexIntArchetypeA",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYCAA5IE20UCRa_G8gmiCaVNj1VS2HiYqxqjGyMbWx2gp2qotmw2LTRtUi3MMgMyBTjhPVv","Trickster","Use every trick in the book to debilitate your foes and keep them from ever getting close to you.","Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/Trickster","http://down.qq.com/poe/videos/archetype/Trickster.BK2",1,4,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/ShadowBG","",1,"","",""
17,"DexIntArchetypeB",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYDAAbnH0ErCjIYNj1HBlMxVEdVS13yYeJirGyMbWxwUX2wjDaU8ZhTnaqexKQFpr6zA7Q4tMW1SLd12-flGetj7hX4l_v1","Saboteur","Master the art of explosives! A field of carefully laid traps and mines can bring down even the toughest of foes.","Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/Saboteur","http://down.qq.com/poe/videos/archetype/Saboteur.BK2",3,695,80,"Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/ShadowBG","",1,"","",""
18,"DexIntArchetypeC",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYBAA3RDkgWvyLYJpUqCyzhRwZVS13yYeJjQ2qMcFKJ04w2otmsZrDYuT7IFNh244Ty4fVv","Assassin","Get the jump on your enemies and obliterate them with critical strikes before they even know what is happening.","Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/Assasin","http://down.qq.com/poe/videos/archetype/Assassin.BK2",2,236,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/ShadowBG","",1,"","",""
19,"TemporaryArchetype1",6,"https://www.pathofexile.com/passive-skill-tree/3.0.2/AAAABAUCAQOaBAcEUQSzBUIHHgj0CaoLYQ5IDlwPxBDMEZYWQBZvFr8dFB8CIG4kqiaVKgsqEysmLJwtHzLRNsU26ToWOlg64Tt8PC1BlkVHRX5FnUlPSVFMs06uUDBRdFNSVUtVxlhtWOVaK13yXyph4mQzZp5oWmjyakNq-nBSeyB_xoNfg8yD24PzhTKFfYaCidOLjIw2jmSO6Y9Gj_qVIJUuly2a4KIAoqOj8qZXppmnCK4SrrOvbLE2tvq3PrjKuZO8qrzqwGbAmsHzwwnGrtAf0PXYJNi92fzjauvk6-7r9e_r8B_w1fId8kX3pviT-d360v4K_oc=","Killer Frost","Killer Frost is naturally attuned to the power of primordial magic. Able to summon totems, releasing a large pulse of freezing air, he can stand at a safe distance and vanquish any of Wraeclast's monsters with ease.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Cold","http://down.qq.com/poe/videos/build/3.3_FreezePulseTotem.BK2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ColdBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ColdClass","",""
20,"TemporaryArchetype2",1,"https://www.pathofexile.com/passive-skill-tree/3.0.2/AAAABAMCAQN1BAcEswceCPQOSBGWFm8WvxpsHNwfAiGwIvQkqiTYJpUnLyj6Ko0snC6UNPc1kjbFNtg26TpYOtg64TwFPV9Bh0SrRZ1GUkkbSVFMi0yzTeNSU1NSVEdVS1WuVcZWSF3yXwRfKmHiZlRo8mpDa3psC20ZfEt_xoIQgpuCx4PbhW2Fe4w2jxqPppBVkPqTJ5UulnSXhZeVl_SaO5rgnWOdrp7En9-hL6IAplemvqcIrJi3PriTvOq-isBmyL_QH9WB1abYJNi9323fsONq5CLr5Ovu7DjsVe0870vvfO_r8B_w1fFs8kX56PxM_gr-jw==","Saint of Ashes","People say when she arrived on this damned isle, that she was just a girl. Fate had different plans for her when she accidentally fell into a portal connecting to the Ancient Vaal Era. She was exposed to the Vaal Pyramid's power of fire, and since then fire has become her. Fire kills...and also gives anew.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Fire","http://down.qq.com/poe/videos/build/3.3_Incinerate.BK2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/FireBG",1,"","Art/2DArt/UIImages/Common/Archetypes/FireClass","",""
21,"TemporaryArchetype3",5,"https://www.pathofexile.com/passive-skill-tree/3.0.2/AAAABAYDAQNlBAcEswVCBbUGQAZ3Bx4I1Aj0DkgRLREvEZYT3xa_G-Ac3B9bIG4mlSj6KgsqWysKLJwtHzLROuE9X0GHQZZCLEVHRZ1HBklPSVFMs1AwUlNS7FMxU1JVS1XGV9hd8mHiYqxjQ2SdZ05qQ2wIbIxvd3BRcFJzbXZvefZ7X3yDfll-sH_GgseD24PxhTKJ04w2jb-PGo_6kA2U8ZUglS6XLZeVmAaa4KB5ogCio6ZXrrO0xbc-t3W4k7mTvKq86sBmwfPC7MMJ0B_Q0ND11CPYVNi92-fr7uv17hXv6_Af8NXw-fGK8h3yRfJ18uH4l_no_Ur-Cg==","Spectral Assassin","His ancestors were once in the service of an Ancient Vaal Assassination Cult, the skills of assassination flows in his blood. A master at traps, he savours his victory... from the shadows.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Lightning","http://down.qq.com/poe/videos/build/3.3_LightningTrap.BK2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/LightningBG",1,"","Art/2DArt/UIImages/Common/Archetypes/LightClass","",""
22,"TemporaryArchetype4",6,"https://www.pathofexile.com/passive-skill-tree/AAAABgUDeQGkAosEswthDc0QUREtEY4R2BZvFy8aOBpsGzcczh4II70kTiSqJy8qmCtQLJwuLDLRNZI26TrGOuE66TwtQWlC50VHRZ1G_kqfTLNMuU3PTeNTUlWpVdZWLlnzWpFg-GL0ZOdmVGaeZ3Fo8moBakNqrGvbcbJyqXasfIN82X3xffV-bICkgOCDX4PMhXuG-IhAibyLjJAzkFWTCZe0mE2a4JswnEqg5qHHogCmrKh9qn-qqayqrY2vbK-ntz64XbzqwGbE9saKxq7PftP71kHXati92b_jauoY6-7sOOyK8B_yKPJF9zL53frS_gr-VP6PAAmGT7hdR32TCft9oce6Gn3xS95C5y3L1kGciap_okjyKLlFhvg=","Guardian: Dominating Blow","Use dominating blow to cause melee damage, applying a debuff to an enemy. If you kill the enemy within the debuff duration, the enemy will turn into a sentinel that will fight for you. When you hit an unique enemy you also have a chance to summon a sentinel.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19DomBlow","http://down.qq.com/poe/videos/archetype/S19DomBlow.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19DomBlow",1,"","Art/2DArt/UIImages/Common/Archetypes/S19DomBlow","",""
23,"TemporaryArchetype5",3,"https://www.pathofexile.com/passive-skill-tree/AAAABAIDAABeAdwFLQW1BnAGoQceCC4IiQ5IES8RlhR1Fe0WvxmOGbQj0yP2JJ0mlSsKLiMuUzBxMHw1kjY9N0w31DpCOuFDMUd-SVFKfUt4TP9Nkk3jTipQAFFHVL1VS1b6W69cQF1oXfJh4mJaYqxlTWegaoxqk2yMbydvO3Ttdf1313fjeA16f3rvfXV_K3-Af5aEb4TZh3aMNo19jb-PYI_6lQWVLpaLmmqa8ZuNnaqfbaLZpMKmV6lusNi0xbVItfK9Nr6nwBrC7MedyBTKqdNv037UI9RC1bnYvdrB3ajjn-tj7T_tg-4O73rw1fJF9W_-Cv6P_rr_EA","Pathfinder: Toxic Rain","Fire arrows towards the sky, they will land at the targeted location, dealing damage to enemies that are hit and creating a spore where they landed. Every spore does chaos damage over time to nearby enemies and reduce their movement speed. After a short delay, the spores explode, dealing area of effect damage.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Toxic","http://down.qq.com/poe/videos/build/3.4_ToxicRain.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ToxicBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ToxicClass","",""
24,"TemporaryArchetype6",4,"https://www.pathofexile.com/passive-skill-tree/AAAABAQDAASzBS0FPAd1CZYLYQ48EMwQ8BQgFE0UcRXsGJEaOBtGG6ohVSW8JyAnLyoTLKcs-zkOOlI8BTwtPfxAoEa3R35IeErEUEdYY1nzWiteE18_YVJjF2VNZlRmnmebaGVo8nIPcql07XaseHp673sge9SBOoIHg1-ElITZhO-GYIdqiXGKIorwi6aMz5BVlG-XeaIAo_KpJ6mUrKqtja4-r2y5HbyfvTa-p8BmwKbBB8MTxPbFU8auypDPftNv137ZfNrB20_cMtw93offv-DD5FHpRuoY7FzvDu9O73zwH_Am8lrz3fZI9q73MviT-Ov8S_6H","Champion: Vaal Ancestral Warchief","Ancestral Warchief was always a starting skill for players, you can let your totem be both your vanguard and bodyguard. Now we have the powerful Vaal version of this skill at our disposal, be it a single enemy or multiple packs of enemies, neither can stand against the power of Vaal Ancestral Warchief.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Chieftain","http://down.qq.com/poe/videos/build/3.4_VaalAncestralCall.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ChieftainBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ChieftanClass","",""
25,"TemporaryArchetype7",1,"https://www.pathofexile.com/passive-skill-tree/3.5.0/AAAABAMCAALjA-4EBwSzB6UI9A5cEFgRDxEtF1QYVho4HNwdviKBIvQmlScvKPosnDCXMPgy0TOHNZI5ijpYOtg64TsNPAU8LT1fQYdFR0V-RZ1GUkbXSbFJskwtTItMs03jUEJSU1M1U1JT1FRHVUtVxlZIVkpZ82HiZlRodGpDavpremwLbRlxhXIPfIOCEIKbgseDX4PMg9uMNo2CjjyPGpBVkPqTJ5Rvl5WX9JrgnqGfAaEvogCmV6a-pwiu_6-bsUK3PriTvOq-isBmyL_QH9Hk18_YJNi92mLa3d9t37Dr7u9L73zviO_r8B_yRfMR-Tf56PxM_gr-jw==","Elementalist: Winter Orb","Use the newly-reworked Ice Spear skill to unleash deadly freezing projectiles at enemies. Attain the new Winter Orb skill at later levels to channel an icy orb above your character that rapidly lobs projectile explosions at nearby enemies.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/IceWitch","http://down.qq.com/poe/videos/build/3.5_FrostWitch.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/IceWitchBG",1,"","Art/2DArt/UIImages/Common/Archetypes/IceWitchClass","",""
26,"TemporaryArchetype8",6,"https://www.pathofexile.com/passive-skill-tree/3.5.0/AAAABAUCAAOaBAcEswj0C2EQzBEPES0UIBZvGjgc3CcvKhMrJiycLX0w-DLRNZI6WDrYOuE7DTwtPV89_EVHRZ1G10lPTLNN41BHUlNTUlXGVkhXKVhjWfNaK18qXz9mVGaeZ5to8mpDbRlxaXGFcg90pXsgfIN-r4GPgpuDX4PMg9uEg4Uyi4yMz40ZjxqQVZRvlfOXLZeVl_Sa4J4-ogClZ6ZXpwiuPq79rv-vbLFCtYW3PryqvOrAZsG0wxPGrskkyvLQH9Wm2CTYvdlf2rndjOAS42rkUeZ96-Tr7uwu7w7vIe9Q7-vwH_JF9kj4k_nd-tL-Cv6H_o8=","Hierophant: Storm Brand","Use the new Brand skills to attach damaging effects to enemies. Storm Brand zaps nearby enemies with lightning damage, detaching and re-attaching to another enemy if it's recipient dies.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/LightningTemplar","http://down.qq.com/poe/videos/build/3.5_LightningTemplar.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/LightningTemplarBG",1,"","Art/2DArt/UIImages/Common/Archetypes/LightningTemplarClass","",""
27,"TemporaryArchetype9",4,"https://www.pathofexile.com/passive-skill-tree/AAAABgQDeQHnBS0HdQ48E8kUIBRNFHEV7BiRG_og6iFVIuIl3ycLKk0wdzGeMeEyfjQ-NZI26DpSPE49_D8nR35H4krITeNQR1hjWK9Z_loyXhNfP2FSYbNkUmVNZU5l8GoEaqVr1G2HbqpvO3Fqc2d07XVOdqx4DXloeu971HzZfVuCB4N5g7aElITZhO-GYIbRh2qJLolximyK8IzPkGyRzqHZpBmkOaaNqSepbqmUqs2sR62NtfK5HbvtvJ-9Nr6nwBrApsEEwaPEpMqQz37Yvdl83D3iYeRR6UbqGOp_7FzvDu9O8kH0fPZI9zL46_qA_Ev9MP6PAAe6GvR8-31hs4ZP-oAA6W2HS96DeYr-ZU57TIku","Champion: Spectral Helix","Slice your enemies with a flurry of blades that orbit you at high speeds.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19SpectralHelix","http://down.qq.com/poe/videos/archetype/S19SpectralHelix.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19SpectralHelix",1,"","Art/2DArt/UIImages/Common/Archetypes/S19SpectralHelix","",""
28,"TemporaryArchetype10",5,"https://www.pathofexile.com/passive-skill-tree/3.6.0/AAAABAYCAAPuBbUG5wceCPQNHw5ID6sRLRGWE20UCRa_GGoc3B2-H0Ei9CSLJogmlSepKPosnDBxM4czozWSNj06QjrhPCg8tkGHRZ1JE0lPSVFJsUt4TeNObVNSVUtYB1q5XEBd8mHiYqxqQ2qMbAtsjG0ZbWxw1HWedoJ4L3yDfOV_xoLHhTKHy4ngiw6Nv48aj0aP-pMfkyeVLpctmFOa4JuhnDKcvp2qotmjo6QFpcSmV6cIp5uw2LTFtNG1SLcwtz64k7yqvOrC7MM6yAzIFM8V1CPXz9i92jvdqOZY6-7sGO-I8NXyRfVv-Tf5pPno_gr-jw==","Trickster: Chaos Shadow","Inflict the new Soulrend skill on enemies with deadly chaos damage over time projectiles weaving across the battlefield. Apply curses with the new Bane skill to bring down bosses and tougher enemies.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Soulrend","http://down.qq.com/poe/videos/build/3.6_ChaosTrickster.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/SoulrendBG",1,"","Art/2DArt/UIImages/Common/Archetypes/DivineClass","",""
29,"TemporaryArchetype11",6,"https://www.pathofexile.com/passive-skill-tree/3.6.0/AAAABAUBAAKWBAcEswVCBucHHgj0DkgQWBEtEZYWbxa_FvMZ2Bo4GmwbtB2DH0EgaCL0JKomPCaVJy8pDymLKgsrCCycL50wWzD4MtE2PTbpOUk62EFnQZZFR0WdSVFMs1NSVUtVxlnzXfJh4mpDbAtsjG0ZbWxwUnGFcg92EXyDf8aAMIKbg9uEg4cAidOLjIw2j_qQVZJukyeVLphTmuCbbp2qna6iAKQFpwisl607rrOu_68YtUi5k7vdvFa86sBmwwnEzsiby3_Q9dJ81abfhuGS42rmfevu6_XvIfAf8NXyHfKO9Br53frS","Inquisitor: Holy Templar","Devastate the battlefield with the new Divine Ire skill, charging up damage from nearby enemies to inflict a beam of destructive energy.","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Divine","http://down.qq.com/poe/videos/build/3.6_DivineInquisitor.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/DivineBG",1,"","Art/2DArt/UIImages/Common/Archetypes/SoulrendClass","",""
30,"TemporaryArchetype12",1,"https://www.pathofexile.com/passive-skill-tree/3.6.0/AAAABAMCAALjA-4EBwSzBbUHpQj0DkgQWBEPEZYUsBa_GjgbyBzcHb4fAiL0JNgmlScvJ6ko-ipbLJwtfTD4MjQy0TOHNZI2PTaJNsU6WDrYOuE8BUGHRUdFnUZSSbJMLUyLTeNS7FNSVEdVS1XGVkhd8mHiYqxnvWpDa3psC2yMbRl2EXn2fq9_xoIQgpuCx4PbhW2MNo0Zjb-PGpBVkPqTJ5rgnaqexKIApAWmV6a-pwismK7_sQW0xbWFtz64k7jQuQK86sBmwbTC7Mi_1CPVgdWm2CTYvdlf2jrdjN9t37DgEuOE5Ozr7u9L71DvfPJF9On56PxM_gr-jw==","Elementalist: Lightning Witch","Experiment with the new self-cast spell supports with this Self-Cast Lightning Witch build. Use the new Unleash support gem with Spark to saturate the battlefield with deadly lightning projectiles. ","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Spark","http://down.qq.com/poe/videos/build/3.6_LightningElementalist.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/SparkBG",1,"","Art/2DArt/UIImages/Common/Archetypes/SparkClass","",""
31,"ChaosDoTTrickster",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYCAAPuBbUG5wceCPQNHw5ID6sRLRGWE20UCRa_GGoc3B2-H0Ei9CSLJogmlSepKPosnDBxM4czozWSNj06QjrhPCg8tkGHSRNJUUmxS3hMg03jTm1VS1gHXEBd8mHiYqxqQ2qMbAtsjG0ZbWxw1HSBdZ52gngvfIN85X_GgseFMofLieCNv48aj0aP-pMfkyeVLphTm6GcMpy-naqi2aOjpAWlxKZXpwinm7DYtMW00bVItzC3PriTvOrC7MM6yAzIFM8V1CPXz9i92jvdqOZY6-7sGO-I8NXyRfVv-Tf5pPno_gr-jw==","Trickster: Chaos Damage over Time","Wield the destructive powers of the Void and watch as enemies melt away.","","",0,0,0,"","",1,"",1,""
32,"ToxicRainPathfinder",3,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAIDAABeA6IFtQZwBqEG5wceCC4IiQ2NDkgPqxGWE20UCRUgFr8Zjhm0H0Ej9iSLJogmlS2DLiMwcTB8Nj06Qj9sRA1HfkkTSVFKfUt4TZJQAFFHVUtcQF1oXfJh4mKsZU1noGyMbWxxoXGwdZ52gnp_fXV_gH-WgCKHdofLieCMNo19jb-PT4_6kx-VBZUumFOa8ZuNnaqet59to4qkBaebp9Sv67TFtNG1CLVItzC74702vqfC7MM6xKLIDMjwyqnPFdN-1CPdqOOf5ljtg-4O73rw1fFt9qP8xf66_sj_EA==","Pathfinder: Toxic Rain","Rain death across your enemies, and entangle them in toxic vines.","","",0,0,0,"","",1,"",1,""
33,"DoubleStrikeChampion",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQDAAAGAdwDhwUtBiAGogxzDY0Q8BHVEjAUIBRxFewV9hfcGO8bRhuqG60j9iT9KCouUzB8MbA0PjWSOuE9PkMxR35KfUz_TZJN404qUEdRR1bJVvpXl1uvXz9gQWJ5YxdjcGVNZ6BvO3SgdO12rHeid9d343gNeWh67311gTqCB4SUhNmFUod2ivCLT4umjX2SfZVml3mYb5stm2qh2aOKplepbq2NsbO18rkdvTa-p8AawQTBB8qQy_XPftNv037UUtd-2L3ZYdl82sHcI9y93ofjn-RR5c_nD-dU6Ubp2uoY7FzuDu8O8CbyQfJF8lr3Mvjr_gr-j_66_94=","Champion: Double Strike","Overwhelm enemies with your martial prowess. Leave no one standing!","","",0,0,0,"","",1,"",1,""
