"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string"
111,"ChargePowerCrystalGhostflame",6463,[],[],"orb_finish","","orb_appear","orb_idle"
112,"ChargeFrenzyCrystalGhostflame",6464,[],[],"orb_finish","","orb_appear","orb_idle"
113,"ChargePowerEldritchVoidBattery",6471,[],[],"orb_finish","","",""
114,"ChargePowerFrenzyScalingHelmet1",6492,[],[],"orb_finish","","",""
115,"ChargePowerFrenzyScalingHelmet2",6493,[],[],"orb_finish","","",""
116,"ChargePowerFrenzyScalingHelmet3",6494,[],[],"orb_finish","","",""
117,"ChargePowerFrenzyScalingHelmet4",6495,[],[],"orb_finish","","",""
118,"ChargePowerFrenzyScalingHelmet5",6496,[],[],"orb_finish","","",""
119,"ChargePowerFrenzyScalingHelmet6",6497,[],[],"orb_finish","","",""
120,"ChargePowerFrenzyScalingHelmet7",6498,[],[],"orb_finish","","",""
121,"ShrineBrineKing",6574,[],[],"orb_finish","","",""
122,"ShrineLunaris",6575,[],[],"orb_finish","","",""
123,"ShrineSolaris",6576,[],[],"orb_finish","","",""
124,"ShrineArakaali",6577,[],[],"orb_finish","","",""
125,"TricksterHeartstopperHit",6578,[],[],"","","",""
126,"TricksterHeartstopperDot",6579,[],[],"","","",""
127,"ChargeEndurancePredatorFarruls",6581,[],[],"orb_finish","","orb_appear","orb_idle"
128,"ChargePowerPredatorFarruls",6582,[],[],"orb_finish","","orb_appear","orb_idle"
129,"ChargeFrenzyPredatorFarruls",6583,[],[],"orb_finish","","orb_appear","orb_idle"
130,"MarkSunprismAlchemistsMark",6596,[],[],"","","",""
131,"StarfallBloodScytheCharge",6682,[],[],"orb_finish","","",""
132,"ChargeFireChargeHelmet",6702,[],[],"orb_finish","","orb_appear","orb_idle"
133,"MTXGullHarpyShrineSymbolWing",6831,[],[],"orb_finish","","",""
134,"MTXGullHarpyShrineSymbolFist",6832,[],[],"orb_finish","","",""
135,"MTXGullHarpyShrineSymbolPlus",6833,[],[],"orb_finish","","",""
136,"MTXGullHarpyShrineSymbolResistance",6834,[],[],"orb_finish","","",""
137,"MTXGullHarpyShrineSymbolMassive",6835,[],[],"orb_finish","","",""
138,"MTXGullHarpyShrineSymbolShield",6836,[],[],"orb_finish","","",""
139,"MTXDruidGloveChargeEndurance",6941,[],[],"orb_finish","","",""
140,"MTXDruidGloveChargePower",6942,[],[],"orb_finish","","",""
141,"MTXDruidGloveChargeFrenzy",6943,[],[],"orb_finish","","",""
142,"MTXPlanetaryOrbEndurance",6980,[-1],[],"fade","","startup","idle"
143,"MTXPlanetaryOrbPower",6981,[-1],[],"fade","","startup","idle"
144,"MTXPlanetaryOrbFrenzy",6982,[-1],[],"fade","","startup","idle"
145,"MTXEldritchPlanetaryOrbEndurance",6983,[-1],[],"fade","","startup","idle"
146,"MTXEldritchPlanetaryOrbPower",6984,[-1],[],"fade","","startup","idle"
147,"MTXEldritchPlanetaryOrbFrenzy",6985,[-1],[],"fade","","startup","idle"
148,"MTXVoidEmperorPlanetaryOrbEndurance",6986,[-1],[],"fade","","startup","idle"
149,"MTXVoidEmperorPlanetaryOrbPower",6987,[-1],[],"fade","","startup","idle"
150,"MTXVoidEmperorPlanetaryOrbFrenzy",6988,[-1],[],"fade","","startup","idle"
151,"MTXDarkrayAltFrenzy",7007,[],[],"orb_finish","","orb_appear","orb_idle"
152,"MTXSkullChargeEndurance",7015,[],[],"orb_finish","","orb_appear","orb_idle"
153,"MTXSkullChargePower",7016,[],[],"orb_finish","","orb_appear","orb_idle"
154,"MTXSkullChargeFrenzy",7017,[],[],"orb_finish","","orb_appear","orb_idle"
