"rownum","Level","f32","f32","i32","i32","f32","f32","HeistValueScalingKey1","HeistValueScalingKey2","HeistValueScalingKey3","HeistValueScalingKey4","HeistValueScalingKey5","f32","f32","f32","f32","HeistValueScalingKey6","HeistValueScalingKey7","f32","f32","i32"
30,31,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,292,1,140
31,32,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,302,1,140
32,33,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,312,1,140
33,34,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,321,1,140
34,35,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,331,1,140
35,36,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,341,1,140
36,37,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,351,1,140
37,38,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,360,1,140
38,39,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,370,1,140
39,40,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,380,1,140
40,41,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,390,1,140
41,42,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,400,1,140
42,43,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,409,1,140
43,44,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,419,1,140
44,45,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,429,1,140
45,46,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,439,1,140
46,47,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,449,1,140
47,48,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,459,1,140
48,49,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,468,1,140
49,50,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,478,1,140
50,51,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,488,1,140
51,52,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,498,1,140
52,53,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,508,1,140
53,54,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,518,1,140
54,55,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,528,1,140
55,56,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,538,1,140
56,57,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,547,1,140
57,58,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,557,1,140
58,59,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,567,1,140
59,60,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,577,1,140
60,61,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,587,1,140
61,62,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,597,1,140
62,63,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,607,1,140
63,64,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,617,1,140
64,65,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,627,1,140
65,66,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,637,1,140
66,67,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,647,1,140
67,68,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,657,1,140
68,69,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,694,1,145
69,70,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,732,1,150
70,71,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,771,1,155
71,72,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,811,1,160
72,73,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,851,1,165
73,74,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,893,1,170
74,75,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,935,1,175
75,76,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,978,1,180
76,77,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1022,1,185
77,78,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1067,1,190
78,79,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1112,1,195
79,80,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1159,1,200
80,81,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1206,1,205
81,82,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1254,1,210
82,83,5,5,90,110,2,4,0,1,2,3,4,20,300,75,30,5,6,1303,1,215
