"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect","row"
27,2,7,[23],[],"Look around the Mud Flats for more clues as to the purpose of the strange glyph.","","Find a use for the strange glyph in the Mud Flats",[4],0,"[""Explore the Mud Flats""]",[4],[],"",[],[],10,"",216
28,2,8,[29],[],"Tarkleigh has suggested that Rhoas like to collect shiny objects. Investigate their nests in the Mud Flats.","","Investigate the Rhoa Nests in the Mud Flats",[4],0,"[""Investigate the Rhoa Nests""]",[4],[],"",[],[],10,"",216
29,1,0,[41],[],"Quest Complete - You have given the Medicine Chest to Nessa and have received a reward.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
30,1,1,[42],[],"You have given the medicine chest to Nessa. Talk to her for a reward.","","",[0],0,[],[],[],"",[],[],10,"",216
31,1,2,[49],[],"You have found the medicine chest that Nessa wanted. Take it back to town for a reward.","","Take the Medicine Chest to Nessa",[0],0,"[""Talk to Nessa for your reward""]",[0],[],"",[],[],10,"",216
32,1,3,"[44,0]",[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","",[3],0,"[""Find the Medicine Chest""]",[3],[],"",[],[],10,"",216
33,1,4,[44],[],"Bestel has informed you that his ship, beached on the Tidal Island, contained a medicine chest. Find it and take it back to Nessa in town.","","Find the Medicine Chest on the Tidal Island",[3],0,"[""Travel to the Tidal Island\nFind the Medicine Chest""]",[],[],"",[],[],10,"",216
34,1,5,[39],[],"Nessa needs a medicine chest to heal the wounded in town. See if you can find one.","","Talk to Bestel",[0],0,"[""Talk to Bestel""]",[0],[],"",[],[],10,"",216
35,6,0,[46],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
36,6,1,[498],[],"Quest Complete - You have slain Fairgraves. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
37,6,2,[499],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],[],10,"",216
38,6,3,[47],[],"You have killed Captain Fairgraves. Talk to Bestel in town for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],10,"",216
39,6,4,[74],[],"Captain Fairgraves needs your life force to kindle the Allflame and has attacked you. Kill him in the Ship Graveyard.","","Kill Fairgraves",[12],0,"[""Kill Fairgraves""]",[12],[],"",[],[],10,"",216
40,6,5,[63],[],"You have delivered the Allflame to Captain Fairgraves. Talk to him for a reward.","","",[12],0,"[""Talk to Fairgraves""]",[12],[],"",[],[],10,"",216
41,6,6,"[45,0]",[61],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere inside the Ship Graveyard Cave.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[13],[],"",[],[],10,"",216
42,6,7,[45],[61],"Captain Fairgraves wants you to find the mythical lantern, the Allflame. It should be somewhere around the Ship Graveyard.","","Find the Allflame",[13],0,"[""Find the Allflame""]",[12],[],"",[],[],10,"",216
43,6,8,[61],[45],"Search the Ship Graveyard to find the purpose of the Allflame.","","Investigate the Allflame",[12],0,"[""Explore the Ship Graveyard""]",[12],[],"",[],[],10,"",216
44,6,9,"[45,0]",[],"Captain Fairgraves wants the mythical lantern, the Allflame. Bring it to him in the Ship Graveyard.","","Bring the Allflame to Fairgraves",[12],0,"[""Bring the Allflame to Fairgraves""]",[12],[],"",[],[],10,"",216
45,6,10,"[198,0]",[47],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],10,"",216
46,6,11,[198],[47],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],10,"",216
47,6,12,[199],[47],"Search the Ship Graveyard for Captain Fairgraves.","","",[12],0,"[""Find Fairgraves""]",[12],[],"",[],[],10,"",216
48,4,0,[116],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
49,4,1,[494],[],"Quest Complete - You have slain The Dweller of the Deep. Tarkleigh has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
50,4,2,[359],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],10,"",216
51,4,3,[115],[],"You have killed the Dweller of the Deep. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,"",216
52,4,4,[114],[],"Kill the Dweller of the Deep, a giant crab lurking in the Flooded Depths.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],[],10,"",216
53,4,5,[113],[],"Tarkleigh has asked you to dispatch the Dweller of the Deep, a giant crab lurking in the depths below the Submerged Passage.","","Kill the Dweller of the Deep",[6],0,"[""Kill the Dweller of the Deep""]",[6],[],"",[],[],10,"",216
54,3,0,[228],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with two Passive Respec Points.",1,"Quest Complete",[],0,[],[],[],"",[],[],10,"",216
55,3,1,[507],[],"Quest Complete - You have cleared the Fetid Pool of the necromancer and his undead minions. Tarkleigh has rewarded you with a Skill Book. Use it to gain two Passive Respec Points.","","",[],0,[],[],[],"",[],[],10,"",216
56,3,2,[506],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","",[0],0,"[""Talk to Tarkleigh for your reward""]",[],[],"",[],[],10,"",216
57,3,3,[227],[],"You have cleared the Fetid Pool of the necromancer and his undead minions. Talk to Tarkleigh for a reward.","","Talk to Tarkleigh for your reward",[0],0,"[""Talk to Tarkleigh for your reward""]",[0],[],"",[],[],10,"",216
58,3,4,[226],[],"Wipe out the remaining monsters in the Fetid Pool.","","Wipe out the remaining monsters",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],10,"",216
59,3,5,[225],[],"Kill the Necromancer and all his minions in the Fetid Pool.","","Kill the Necromancer and his minions",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],10,"",216
60,3,6,[127],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters.","","Clear the Fetid Pool",[5],0,"[""Kill all the monsters in the Fetid Pool""]",[5],[],"",[],[],10,"",216
61,3,7,"[224,0]",[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Search the Mud Flats for the entrance to the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Search the Mud Flats for the entrance to the Fetid Pool\nKill all monsters in the Fetid Pool""]",[],[],"",[],[],10,"",216
62,3,8,"[224,0]",[367],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Take the waypoint to the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Take the waypoint to the Coast and enter the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[4],"",[],[],10,"",216
63,3,9,"[224,0]",[367],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],[],10,"",216
64,3,10,[224],[],"Tarkleigh wants you to clear the Fetid Pool of all undead and any other monsters. Travel up the Coast and enter the Mud Flats, then search for the Fetid Pool.","","Clear the Fetid Pool",[5],0,"[""Travel up the Coast to the Mud Flats\nEnter the Fetid Pool and kill all the monsters there""]",[],[],"",[],[],10,"",216
65,8,0,[263],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
66,8,1,[500],[],"Quest Complete - You have opened the blocked pass between the Western Forest and Prisoner's Gate. Bestel has rewarded you with a Skill Book. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,"",216
67,8,2,[268],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in town for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[],[],"",[],[],10,"",216
68,8,3,[233],[],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","Talk to Bestel for your reward",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],10,"",216
69,8,4,"[230,0]",[232],"The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","",[15],0,"[""Find another way to the forest""]",[15],[],"",[],[],10,"",216
70,8,5,[230],"[10,0]","The Emperor's Road, which leads to the Western Forest, has been blocked by Piety. Find another way around.","","Find another way to the forest",[15],3000,"[""Find another way to the forest""]",[],[],"",[],[],10,"",216
71,8,6,[229],"[10,0,0,0,232,0,0]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to. Search the Mud Flats for the entrance to the Submerged Passage to progress.","","Enter the Submerged Passage in the Mud Flats",[4],0,"[""Enter the Submerged Passage in the Mud Flats""]",[],[],"",[],[],10,"",216
72,8,7,[229],"[10,0]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[16],0,"[""Follow the Emperor's Road""]",[11],[],"",[],[],10,"",216
73,9,0,[233],[263],"You have opened the blocked pass between the Western Forest and Prisoner's Gate. Talk to Bestel in Lioneye's Watch for a reward.","","",[0],0,"[""Talk to Bestel for your reward""]",[0],[],"",[],[],10,"",216
74,9,1,[121],[263],"Use the Thaumetic Emblem to trigger the Thaumetic Seal and open the blocked pass.","","Activate the Thaumetic Seal",[27],0,"[""Activate the Thaumetic Seal""]",[27],[],"",[],[],10,"",216
75,9,2,[512],[263],"Take the Thaumetic Emblem from Captain Arteri in the Western Forest.","","Take the Thaumetic Emblem",[27],0,"[""Take the Thaumetic Emblem""]",[27],[],"",[],[],10,"",216
76,9,3,[511],[263],"Kill the Blackguards guarding the blocked pass.","","Kill the Blackguards",[27],0,"[""Kill the Blackguards""]",[27],[],"",[],[],10,"",216
77,9,4,"[232,0]",[263],"Open the blocked pass back to Prisoner's Gate from the Western Forest.","","Open the blocked pass",[27],0,"[""Open the blocked pass""]",[27],[],"",[],[],10,"",216
78,9,5,"[133,0]",[263],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],[],10,"",216
79,9,6,"[10,0,0]",[263],"You have made your way to the forest. Find someone who knows where the other side of the blocked pass is.","","",[17],0,"[""Talk to Silk""]",[17],[],"",[],[],10,"",216
80,9,7,"[10,0]",[263],"You have made your way to the forest. Find the encampment and look for someone who knows where the other side of the blocked pass is.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],[],10,"",216
81,9,8,[133],"[263,0]","Tarkleigh wants you to find a path to the Emperor's Road and the inland forest it leads to.","","Find the Emperor's Road",[27],0,"[""Find the Emperor's Road""]",[27],[],"",[],[],10,"",216
82,9,9,[10],[263],"You have made your way to the forest. Find the encampment.","","Find the Forest Encampment",[17],0,"[""Find the Forest Encampment""]",[],[],"",[],[],10,"",216
83,16,0,"[54,0]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,"",216
84,16,1,"[54,0]",[],"Quest Complete - You have slain Oak and Alira. Kraityn has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,"",216
85,16,2,[54],[],"Quest Complete - You have slain Oak and Alira. Talk to Kraityn to get the Apex. He has rewarded you with {0}.",1,"",[24],0,"[""Talk to Kraityn""]",[24],[],"",[],[],0,"",216
86,16,3,"[19,0]",[],"Quest Abandoned - You have slain Kraityn.","","",[],0,[],[],[],1,[],[],10,"",216
87,16,4,"[19,0]",[],"Quest Abandoned - You have slain Kraityn.","","You have slain Kraityn, and can no longer ally with him",[],0,[],[],[],1,[],[],10,"",216
88,16,5,"[19,0,0]",[],"You have obtained the amulets of Kraityn's rivals. He can be found at the Broken Bridge, east of town. Kraityn will reward you with {0}.","","You have the amulets. Talk to Kraityn for your reward",[24],0,"[""Talk to Kraityn for your reward""]",[24],[],"",[],[],0,"",216
89,16,6,"[19,0]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. You have slain Oak and have his amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],[],0,"",216
90,16,7,"[19,0]",[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Oak can be found in the Wetlands, west of town. You have slain Alira and have her amulet. Kraityn will reward you with {0}.","","Acquire the amulet of Kraityn's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],[],0,"",216
91,16,8,[19],[],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Alira can be found in the Western Forest. Oak can be found in the Wetlands, west of town. Kraityn will reward you with {0}.","","Acquire the amulets of Kraityn's rivals - Alira and Oak","[27,30]",0,"[""Acquire Alira's amulet"",""Acquire Oak's amulet""]","[27,30]",[],"",[],[],0,"",216
92,16,9,"[120,0]",[16],"Kraityn wants you to bring him the amulets of his rivals - Alira and Oak. Kraityn will reward you with {0}.","","",[24],0,"[""Talk to Kraityn and decide if you want to help him""]",[],[30],"",[],[],0,"",216
93,17,0,"[56,0]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,"",216
94,17,1,"[56,0]",[],"Quest Complete - You have slain Oak and Kraityn. Alira has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,"",216
95,17,2,[56],[],"Quest Complete - You have slain Oak and Kraityn. Talk to Alira to get the Apex. She has rewarded you with {0}.",1,"",[27],0,"[""Talk to Alira""]",[27],[],"",[],[],0,"",216
96,17,3,"[20,0]",[],"Quest Abandoned - You have slain Alira.","","",[],0,[],[],[],1,[],[],10,"",216
97,17,4,"[20,0]",[],"Quest Abandoned - You have slain Alira.","","You have slain Alira, and can no longer ally with her",[],0,[],[],[],1,[],[],10,"",216
98,17,5,"[20,0,0]",[],"You have obtained the amulets of Alira's rivals. She can be found in the Western Forest, and will reward you with {0}.","","You have the amulets. Talk to Alira for your reward",[27],0,"[""Talk to Alira for your reward""]",[27],[],"",[],[],0,"",216
99,17,6,"[20,0]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. You have slain Oak and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],[],0,"",216
100,17,7,"[20,0]",[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Oak can be found in the Wetlands, west of town. You have slain Kraityn and have his amulet. Alira will reward you with {0}.","","Acquire the amulet of Alira's rival - Oak",[30],0,"[""Acquire Oak's amulet""]",[30],[],"",[],[],0,"",216
101,17,8,[20],[],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Kraityn can be found at the Broken Bridge, east of town. Oak can be found in the Wetlands, west of town. Alira will reward you with {0}.","","Acquire the amulets of Alira's rivals - Kraityn and Oak","[24,30]",0,"[""Acquire Kraityn's amulet"",""Acquire Oak's amulet""]","[24,30]",[],"",[],[],0,"",216
102,17,9,"[120,0]",[17],"Alira wants you to bring her the amulets of her rivals - Kraityn and Oak. Alira will reward you with {0}.","","",[27],0,"[""Talk to Alira and decide if you want to help her""]",[],[33],"",[],[],0,"",216
103,18,0,"[89,0]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,"",216
104,18,1,"[89,0]",[],"Quest Complete - You have slain Alira and Kraityn. Oak has rewarded you with {0}.",1,"",[],0,[],[],[],"",[],[],0,"",216
105,18,2,[89],[],"Quest Complete - You have slain Alira and Kraityn. Talk to Oak to get the Apex. He has rewarded you with {0}.",1,"",[30],0,"[""Talk to Oak""]",[30],[],"",[],[],0,"",216
106,18,3,"[21,0]",[],"Quest Abandoned - You have slain Oak.","","",[],0,[],[],[],1,[],[],10,"",216
107,18,4,"[21,0]",[],"Quest Abandoned - You have slain Oak.","","You have slain Oak, and can no longer ally with him",[],0,[],[],[],1,[],[],10,"",216
108,18,5,"[21,0,0]",[],"You have obtained the amulets of Oak's rivals. He can be found in the Wetlands, west of town. Oak will reward you with {0}.","","You have the amulets. Talk to Oak for your reward",[30],0,"[""Talk to Oak for your reward""]",[30],[],"",[],[],0,"",216
109,18,6,"[21,0]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. You have slain Kraityn and have his amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Alira",[27],0,"[""Acquire Alira's amulet""]",[27],[],"",[],[],0,"",216
110,18,7,"[21,0]",[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Kraityn can be found at the Broken Bridge, east of town. You have slain Alira and have her amulet. Oak will reward you with {0}.","","Acquire the amulet of Oak's rival - Kraityn",[24],0,"[""Acquire Kraityn's amulet""]",[24],[],"",[],[],0,"",216
111,18,8,[21],[],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Alira can be found in the Western Forest. Kraityn can be found at the Broken Bridge, east of town. Oak will reward you with {0}.","","Acquire the amulets of Oak's rivals - Kraityn and Alira","[24,27]",0,"[""Acquire Kraityn's amulet"",""Acquire Alira's amulet""]","[24,27]",[],"",[],[],0,"",216
112,18,9,"[120,0]",[18],"Oak wants you to bring him the amulets of his rivals - Alira and Kraityn. Oak will reward you with {0}.","","",[30],0,"[""Talk to Oak and decide if you want to help him""]",[],[36],"",[],[],0,"",216
113,15,0,[122],[],"Quest Complete - You have slain the Bandit Lords. Eramir has rewarded you with {0}.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,"",216
114,15,1,[83],[],"Quest Abandoned - You have aided a Bandit Lord.","","",[],0,[],[],[],1,[],[],10,"",216
115,15,2,"[77,0,0,0]",[],"You have killed all the Bandit Lords and obtained their amulets. Bring them to Eramir for {0}.","","Take the amulets back to Eramir",[17],0,"[""Talk to Eramir for your reward""]",[17],[],"",[],[],0,"",216
116,15,3,"[79,0,0]",[],"You have killed Kraityn and Alira, but Oak continues to harass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[30],0,"[""Eramir wants you to kill Oak""]",[30],[],"",[],[],0,"",216
117,15,4,"[79,0,0]",[],"You have killed Kraityn and Oak, but Alira continues to harass the Forest Encampment. If you kill her, Eramir will reward you with {0}.","","",[27],0,"[""Eramir wants you to kill Alira""]",[27],[],"",[],[],0,"",216
118,15,5,"[77,0,0]",[],"You have killed Alira and Oak, but Kraityn continues to harrass the Forest Encampment. If you kill him, Eramir will reward you with {0}.","","",[24],0,"[""Eramir wants you to kill Kraityn""]",[24],[],"",[],[],0,"",216
119,15,6,"[77,0]",[],"You have killed Alira, but Kraityn and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Oak""]","[24,30]",[],"",[],[],0,"",216
120,15,7,"[78,0]",[],"You have killed Oak, but Kraityn and Alira continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[24,27]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira""]","[24,27]",[],"",[],[],0,"",216
121,15,8,"[79,0]",[],"You have killed Kraityn, but Alira and Oak continue to harass the Forest Encampment. If you kill them, Eramir will reward you with {0}.","","","[27,30]",0,"[""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[27,30]",[],"",[],[],0,"",216
122,15,9,[53],[],"The Forest Encampment is under constant attack by three bandit factions led by Kraityn, Alira and Oak. If you find a way to prevent these attacks, Eramir will reward you with {0}.","","Stop the bandit lords from attacking","[24,27,30]",0,"[""Eramir wants you to kill Kraityn"",""Eramir wants you to kill Alira"",""Eramir wants you to kill Oak""]","[24,27,30]",[],"",[],[],0,"",216
123,15,10,[77],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,"",216
124,15,11,[78],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,"",216
125,15,12,[79],[],"Talk to Eramir in the Forest Encampment about the bandits.","","Talk to Eramir",[17],0,"[""Talk to Eramir""]",[17],[],"",[],[],10,"",216
126,19,0,[150],[],"Quest Complete - You have vanquished the Vaal Oversoul. You are now able to travel to Act 3.",1,"",[],0,[],[],[],"",[],[],10,"",216
127,19,1,[149],[],"Quest Complete - You have vanquished the Vaal Oversoul. You are now able to travel to Act 3.",1,"Find the Sarn encampment",[34],0,"[""Find the Sarn encampment""]",[],[],"",[],[],10,"",216
128,19,2,[473],[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],10,"",216
129,19,3,"[85,0]",[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],10,"",216
130,19,4,"[85,0]",[],"You have killed the Vaal Oversoul and banished the darkness. The exit at the top of the Ancient Pyramid is now open.","","The pyramid's exit is now open",[32],20000,"[""Find the exit to Act 3""]",[32],[],"",[],[],10,"",216
131,19,5,[76],[],"Kill the Vaal Oversoul atop the Ancient Pyramid to banish the darkness.","","Kill the Vaal Oversoul",[32],25000,"[""Kill the Vaal Oversoul""]",[32],[],"",[],[],10,"",216
