"rownum","string","[rid]","[i32]","string","string","rid","i32","bool","i32","i32","string","string","string","rid","rid","i32","i32","i32","bool","[rid]","[string]","i32","i32","i32","i32"
10,"BoonMoreGold",[17070],[50],"Gold Magnet","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnetIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnet","50% more Aureus coins found","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
11,"BoonGainGoldWhenDamaged",[17071],[20],"Silver Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoinIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoin","Gain 20 Aureus coins when you lose Resolve from a Hit","","","",0,5,0,"",[9288],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
12,"AfflictionLoseGoldWhenDamaged",[17073],[20],"Spilt Purse","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurseIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurse","","Lose 20 Aureus coins when you lose Resolve from a Hit","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
13,"AfflictionLoseGoldOnRoomComplete",[17074],[30],"Door Tax","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTaxIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTax","","Lose 30 Aureus coins on room completion","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
14,"AfflictionNoGoldFromMonsters",[17075],[1],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Monsters no longer drop Aureus coins","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
15,"AfflictionLoseResolveInXRooms8",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",16,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 8 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
16,"AfflictionLoseResolveInXRooms7",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",17,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 7 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
17,"AfflictionLoseResolveInXRooms6",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",18,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 6 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
18,"AfflictionLoseResolveInXRooms5",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",19,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 5 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
19,"AfflictionLoseResolveInXRooms4",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",20,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 4 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
20,"AfflictionLoseResolveInXRooms3",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",21,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 3 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
21,"AfflictionLoseResolveInXRooms2",[],[],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",22,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing 2 rooms","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
22,"AfflictionLoseResolveInXRooms1",[17683],[250],"Death Toll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathTollIcon",11,0,"",0,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Lose 250 Resolve after completing the next room","","",0,5,0,"",[9303],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",15,0,5,0
23,"AfflictionNoGoldFromChests",[17076],[1],"Empty Trove","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTroveIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTrove","","Chests no longer drop Aureus coins","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
24,"AfflictionMonsterLife",[988],[30],"Spiked Shell","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShellIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShell","","Monsters have 30% more Maximum Life","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
25,"AfflictionMonsterSanctumDamage",[17663],[25],"Hungry Fangs","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangsIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs","","Monsters impact 25% more Resolve","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
26,"AfflictionNoSanctumHealthRecovery",[17078],[1],"Demonic Skull","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkullIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkull","","Cannot recover Resolve","","",0,5,0,"",[9304],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
27,"AfflictionSanctumRecovery",[17081],[-50],"Unquenched Thirst","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirstIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirst","","50% reduced Resolve recovered","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
28,"BoonSanctumRecovery",[17081],[50],"Rusted Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescryIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescry","50% increased Resolve recovered","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
29,"AfflictionViewRoomsAhead",[17082],[-1],"Black Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmokeIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmoke","","You can see one fewer room ahead on the Sanctum Map","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
30,"BoonViewRoomsAhead",[17082],[1],"Scrying Crystal","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystalIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystal","You can see an additional room ahead on the Sanctum Map","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
31,"AfflictionMerchantCost",[17087],[50],"Unhallowed Ring","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRingIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRing","","50% increased Merchant prices","","",0,5,0,1,[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
32,"BoonMerchantCost",[17087],[-50],"Silver Tongue","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongueIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongue","50% reduced Merchant prices","","","",0,5,0,1,[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
33,"BoonDisableTraps",[17086],[1],"Imperial Seal","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSealIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSeal","Traps are Disabled","","","",0,5,0,"",[9289],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
34,"BoonBlockXHitsEachRoom",[17092],[1],"Silver Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescryIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescry","Ignore the first Resolve lost from Hits in each room","","","",0,5,0,"",[9290],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
35,"AfflictionLoseAllGoldOnFloorComplete",[17093],[1],"Floor Tax","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTaxIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTax","","Lose all Aureus on floor completion","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
36,"BoonHealOnRoomComplete",[17094],[15],"Golden Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescryIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescry","Recover +15 Resolve on room completion","","","",0,5,0,"",[9291],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
37,"BoonSanctumDamageCooldown",[17096],[1000],"Bronze Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescryIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescry","Ignore Resolve lost for 1 second after losing Resolve from a Hit","","","",0,5,0,"",[9292],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
38,"BoonHealOnPercentHealth","[17105,17106]","[20,50]","Glowing Orb","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrbIcon",0,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrb","The next time you go below 20% Resolve, heal for 50% Resolve","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
39,"BoonShieldAtStartOfFloor",[17192],[250],"Gilded Lyre","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyreIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyre","Gain +250 Inspiration at the start of each floor","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
40,"BoonShieldOnGainAffliction",[17194],[100],"Rusted Chimes","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimesIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimes","Gain +100 Inspiration when you gain an Affliction","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
41,"BoonSanctumDamageTakenWithSanctumShield",[17195],[-40],"Mellifluous Chorus","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluousChorusIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluous","40% less Resolve lost while you have Inspiration","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
42,"AfflictionHideRoomAll",[17232],[1],"Veiled Sight","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSightIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSight","","Rooms are unknown on the Sanctum Map","","",0,5,0,"",[9305],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
43,"AfflictionHideRoomEncounter",[17233],[1],"Red Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmokeIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmoke","","Room types are unknown on the Sanctum Map","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
44,"AfflictionHideRoomReward",[17234],[1],"Golden Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmokeIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmoke","","Rewards are unknown on the Sanctum Map","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
45,"AfflictionHideRoomAffliction",[17235],[1],"Purple Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmokeIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmoke","","Afflictions are unknown on the Sanctum Map","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
46,"AfflictionResolveLossIsFatal3",[17251],[1],"Ghastly Scythe","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,0,"",47,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScythe","","Losing Resolve ends your Sanctum\r\n(removed after 3 rooms)","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
47,"AfflictionResolveLossIsFatal2",[17251],[1],"Ghastly Scythe","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,0,"",48,0,"","","Losing Resolve ends your Sanctum\r\n(removed after 2 rooms)","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",46,0,5,0
48,"AfflictionResolveLossIsFatal1",[17251],[1],"Ghastly Scythe","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,0,"",0,0,"","","Losing Resolve ends your Sanctum\r\n(removed after 1 room)","","",0,5,0,"",[],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",46,0,5,0
49,"BoonGainShieldIfNoSanctumDamageTaken2",[],[],"Lilting Melody","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelodyIcon",1,0,"",50,0,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelody","Gain 400 Inspiration if you complete the next 2 rooms without losing Resolve or Inspiration","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
50,"BoonGainShieldIfNoSanctumDamageTaken1",[17193],[400],"Lilting Melody","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelodyIcon",1,0,"",0,0,"","Gain 400 Inspiration if you complete the next room without losing Resolve or Inspiration","","","",0,5,0,"",[],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",49,0,5,0
51,"BoonDefyDeathOnce",[17249],[75],"Priest's Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescryIcon",2,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescry","Upon reaching 0 Resolve, revive with 75% of Maximum Resolve once","","","",0,5,0,"",[9293],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
52,"BoonDefyDeathRemoveBoon",[17250],[50],"Holy Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescryIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescry","Upon reaching 0 Resolve, revive with full Resolve, lose 50% of your current Maximum Resolve, and remove a random Boon","","","",0,5,0,"",[9294],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
53,"BoonPreventMinorAfflictions",[17246],[1],"Crystal Chalice","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChaliceIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChalice","You cannot receive any more Minor Afflictions","","","",0,5,0,"",[9295],"[""唀䤀䤀洀愀最攀猀⼀䤀渀䜀愀洀攀⼀匀愀渀挀琀甀洀⼀䈀漀漀渀䌀甀爀猀攀䤀挀漀渀猀⼀䌀甀爀猀攀䠀甀渀最爀礀䘀愀渀最猀""]",-16843010,-16843010,5,0
54,"AfflictionPreventBoons",[17247],[1],"Unassuming Brick","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrickIcon",11,0,"",-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrick","","You cannot gain any more Boons","","",0,5,0,"",[9306],"[""UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs""]",-16843010,-16843010,5,0
