"rownum","Id","Name","TradeMarketCategory","ItemClassCategory","RemovedIfLeavesArea","[rid]","IdentifyAchievements","AllocateToMapOwner","AlwaysAllocate","CanHaveVeiledMods","PickedUpQuest","i32","AlwaysShow","CanBeCorrupted","CanHaveIncubators","CanHaveInfluence","CanBeDoubleCorrupted","CanHaveAspects","CanTransferSkin","ItemStance","CanScourge","CanUpgradeRarity","bool","bool","MaxInventoryDimensions","Flags","IsUnmodifiable","CanBeFractured","EquipAchievements","bool"
20,"Quiver","Quivers",19,17,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,9,1,1,1,1,"[2,3]",[3],"",1,"",""
21,"Belt","Belts",23,18,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,"",1,1,1,1,"[2,1]",[6],"",1,"",""
22,"Gloves","Gloves",0,19,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,"",1,1,1,1,"[2,2]",[5],"",1,"",""
23,"Boots","Boots",1,20,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,"",1,1,1,1,"[2,2]",[5],"",1,"",""
24,"Body Armour","Body Armours",2,21,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,"",1,1,1,1,"[2,3]",[5],"",1,"",""
25,"Helmet","Helmets",3,22,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,"",1,1,1,1,"[2,2]",[5],"",1,"",""
26,"Shield","Shields",20,23,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,10,1,1,1,1,"[2,4]","[3,5]","",1,"",""
27,"SmallRelic","Small Relics","","","",[],[],"","","","",1308,"","","","","","","","","","","",1,[],[],"","","",""
28,"MediumRelic","Medium Relics","","","",[],[],"","","","",1308,"","","","","","","","","","","",1,[],[],"","","",""
29,"LargeRelic","Large Relics","","","",[],[],"","","","",1308,"","","","","","","","","","","",1,[],[],"","","",""
30,"StackableCurrency","Stackable Currency",38,5,"",[],[],"",1,"","",1308,"","","","","","","","","","","","","[1,1]",[7],"","","",""
31,"QuestItem","Quest Items","",24,"",[],[],"","","","",1308,1,"","","","","","","","","","","",[],[],"","","",""
32,"Sceptre","Sceptres",11,1,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,3,1,1,1,1,"[2,3]","[1,2,0]","",1,"",""
33,"UtilityFlask","Utility Flasks",31,0,"",[],[],"","","","",1308,"","","","","","",1,"","","","",1,"[1,2]",[4],"",1,8882,""
34,"UtilityFlaskCritical","Critical Utility Flasks",31,0,"",[],[],"","","","",1308,"","","","","","",1,"","","","",1,"[1,2]",[4],"",1,8882,""
35,"Map","Maps",33,25,"",[],[8883],"",1,"",1782,1308,"",1,"","","","","","",1,"","",1,"[1,1]",[],"",1,"",1
36,"Unarmed","","","","",[],[],"","","","",1308,"","","","","","",1,"","","","","",[],"[1,2]","","","",""
37,"FishingRod","Fishing Rods","",26,"",[],[8883],"","","","",1308,"",1,1,"",1,1,1,7,1,1,"",1,"[2,3]",[],"",1,"",""
38,"MapFragment","Map Fragments",36,27,"",[],[],1,1,"","",1308,"","","","","","","","","","","","","[1,1]",[],"","","",1
39,"HideoutDoodad","Hideout Doodads","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
40,"Microtransaction","Microtransactions",52,"","",[],[],"","","","",1308,"","","","","","","","","","","","","[2,2]",[],"","","",""
41,"Jewel","Jewels",34,28,"",[],[8883],"",1,"",1775,1308,"",1,"","",1,"","","","","","",1,"[1,1]",[],"",1,"",""
42,"DivinationCard","Divination Cards",39,29,"",[],[],"",1,"",1776,1308,"","","","","","","","","","","","","[1,1]",[],"","","",""
43,"LabyrinthItem","Labyrinth Items","",30,1,[],[],"","","","",1308,1,"","","","","","","","","","","",[],[],"","","",""
44,"LabyrinthTrinket","Labyrinth Trinkets","",31,1,[],[],"","","","",1308,1,"","","","","","","","","","","",[],[],"","","",""
45,"LabyrinthMapItem","Labyrinth Map Items","",27,"",[],[],1,1,"","",1308,"","","","","","","","","","","",1,[],[],"","","",""
46,"MiscMapItem","Misc Map Items",37,32,"",[],[],"",1,"","",1308,"",1,"","","","","","","","","","","[1,1]",[],"","","",1
47,"Leaguestone","Leaguestones",32,33,"",[],[],"",1,"","",1308,"","","","","","","","","","","",1,"[1,1]",[],"","","",""
48,"PantheonSoul","Pantheon Souls","",34,"",[],[],"","","","",1308,1,"","","","","","","","","","","","[2,1]",[],"","","",1
49,"UniqueFragment","Pieces",40,35,"",[],[],1,1,"","",1308,"","","","","","","","","","","",1,"[2,4]",[],"","","",""
50,"AbyssJewel","Abyss Jewels",35,36,"",[],[8883],"",1,"","",1308,"",1,"","",1,"","","","","","",1,"[1,1]",[],"",1,"",""
51,"IncursionItem","Incursion Items","",37,1,[],[],1,"","","",1308,1,"","","","","","","","","","","",[],[],"","","",""
52,"DelveSocketableCurrency","Delve Socketable Currency",42,38,"",[],[],"",1,"","",1308,"","","","","","","","","","","","","[2,2]",[],"","","",""
53,"Incubator","Incubators",44,39,"",[],[],"",1,"","",1308,"","","","","","","","","","","",1,"[1,1]",[],"","","",""
54,"UniqueShard","Shards","","","",[],[],"","","","",1308,"","","","","","","","","","","",1,"[1,1]",[],"","","",""
55,"UniqueShardBase","Shard Hearts","","","",[],[],"","","","",1308,"","","","","","","","","","","",1,"[2,1]",[],"","","",""
56,"Rune Dagger","Rune Daggers",12,3,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,1,1,1,1,1,"[1,3]","[1,2,0]","",1,"",""
57,"Warstaff","Warstaves",18,4,"",[],[8883],"","",1,"",1308,"",1,1,1,1,1,1,6,1,1,1,1,"[2,4]","[2,0]","",1,"",""
58,"DelveStackableSocketableCurrency","Delve Stackable Socketable Currency",42,38,"",[],[],"",1,"","",1308,"","","","","","","","","","","","","[2,2]",[],"","","",""
59,"AtlasUpgradeItem","Atlas Upgrade Items","",40,"",[],[],"","","","",607,"","","","","","","","","","","",1,"[1,1]",[],"","","",""
60,"MetamorphosisDNA","Metamorph Samples",46,41,"",[],[],1,1,"","",1308,"","","","","","","","","","","",1,"[1,1]",[],"","","",""
61,"HiddenItem","Hidden Items","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
62,"DONOTUSE1","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
63,"DONOTUSE2","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
64,"DONOTUSE3","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
65,"HeistContract","Contracts",47,42,"",[],[8883],"",1,"","",1308,"",1,"","","","","","","","","",1,"[1,1]",[],"",1,"",""
66,"HeistEquipmentWeapon","Heist Gear",47,43,"",[],[8883],"","","","",1308,"","","","","","",1,"","","","",1,"[2,2]",[],"",1,"",""
67,"HeistEquipmentTool","Heist Tools",47,44,"",[],[8883],"","","","",1308,"","","","","","",1,"","","","",1,"[2,2]",[],"",1,"",""
68,"HeistEquipmentUtility","Heist Cloaks",47,45,"",[],[8883],"","","","",1308,"","","","","","",1,"","","","",1,"[2,2]",[],"",1,"",""
69,"HeistEquipmentReward","Heist Brooches",47,46,"",[],[8883],"","","","",1308,"","","","","","",1,"","","","",1,"[1,1]",[],"",1,"",""
70,"HeistBlueprint","Blueprints",47,47,"",[],[8883],"",1,"","",1308,"",1,"","","","","","","","","",1,"[1,1]",[],"",1,"",""
71,"Trinket","Trinkets",25,48,"",[],[],"","","","",1308,"",1,1,"","","","","","","","",1,"[1,1]",[],"","","",""
72,"HeistObjective","Heist Targets","",49,"",[],[],"","","","",1308,1,"","","","","","","","","","","","[2,2]",[],"","","",""
73,"ExpeditionLogbook","Expedition Logbooks",48,50,"",[],[8883],"","","","",1308,"",1,"","","","","","","","","",1,"[1,1]",[],"",1,"",""
74,"IncubatorStackable","Incubators",44,39,"",[],[],"",1,"","",1308,"","","","","","","","","","","","","[1,1]",[],"","","",""
75,"ArchnemesisMod","Archnemesis Mods","","","",[],[],"",1,"","",1308,1,"","","","","","","","","","","","[1,1]",[],"","","",""
76,"DONOTUSE4","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
77,"DONOTUSE5","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
78,"DONOTUSE6","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
79,"DONOTUSE7","","","","",[],[],"","","","",1308,"","","","","","","","","","","","",[],[],"","","",""
80,"InstanceLocalItem","Instance Local Items","",51,1,[],[],"","","","",1308,1,"","","","","","","","","","","",[],[],"","","",""
81,"SentinelDrone","Sentinels",50,52,"",[],[],"","","","",1308,"",1,"","","","","","","","","","","[2,2]",[],1,"","",""
82,"MemoryLine","Memories",51,54,"",[],[],"","","","",1308,"","","","","","","","","","","","","[1,1]",[],1,"","",""
83,"Relic","Relics",53,53,"",[],[],1,1,"","",1308,1,1,"","","","","","","","","","","[4,4]",[],1,"","",""
84,"SanctumSpecialRelic","Sanctified Relics","",53,"",[],[],1,1,"","",1308,1,1,"","","","","","","","","","","[1,2]",[],1,"","",""
85,"Breachstone","Breachstones",36,55,"",[],[],1,1,"","",1308,"","","","","","","","","","","","","[1,1]",[],"","","",1
86,"GiftBox","","","","",[],[],"","","","",1308,1,"","","","","","","","","","","",[],[],"","","",""
87,"VaultKey","Vault Keys",37,56,"",[],[],"",1,"","",1308,1,"","","","","","","","","","","","[1,1]",[],"","","",1
