"rownum","Id","QuestStates","[i32]","AchievementItems","NPCs","bool"
72,"PantheonUpgradeAbberath",[1402],[],[],[312],""
73,"PantheonUpgradeGruthkul",[1405],[],[],[312],""
74,"PantheonUpgradeYugul",[1406],[],[],[312],""
75,"PantheonUpgradeTukohama",[1401],[],[],[312],""
76,"PantheonUpgradeRalakesh",[1404],[],[],[312],""
77,"PantheonUpgradeGarukhan",[1408],[],[],[312],""
78,"PantheonUpgradeRyslatha",[1403],[],[],[312],""
79,"PantheonUpgradeShakari",[1407],[],[],[312],""
80,"PantheonUpgradeBrineKingFull","[1389,0,0]",[],[8352],[312],""
81,"PantheonUpgradeArakaaliFull","[1392,0,0]",[],[8353],[312],""
82,"PantheonUpgradeSolarisFull","[1395,0,0]",[],[8354],[312],""
83,"PantheonUpgradeLunarisFull","[1398,0,0]",[],[8355],[312],""
84,"DefeatAllGods","[1164,0,0,0,1175,0,0,0,1193,0,0]",[],[4229],[312],""
85,"FullyUpgradePantheon","[1389,0,0,0,1390,0,0,0,1391,0,0,0,1392,0,0,0,1393,0,0,0]",[],[4230],[312],""
86,"CompleteAllOptionalQuests","[227,0,0,0,115,0,0,0,47,0,0,0,87,0,0,0,246,0,0,0,458,0,0,0,490,0,0,0,532,0]",[],[1020],[],""
87,"CaptureAnyBeast",[],[112],[],"[171,169,173]",""
88,"QuestCompleteDelveTutorial",[],[18],[],"[329,330,331,332]",""
89,"QuestCompleteSynthesisTutorial1",[2077],[],[],"[371,372,373,374]",""
90,"QuestCompleteSynthesisTutorial2",[2081],[],[],"[371,372,373,374]",""
91,"QuestCompleteSynthesisTutorial3",[2083],[],[],"[371,372,373,374]",""
92,"QuestCompleteSynthesisChangeover",[2088],[],[],"[371,372,373,374]",""
93,"DefeatCatarina",[],[536],[],"[335,337]",""
94,"CraftingUnlockMovementSpeed1",[],[146],[],[390],""
95,"CraftingUnlockSpellDamage1",[],[161],[],[390],""
96,"CraftingUnlockAttackCastSpeed1",[],[168],[],[390],""
97,"CraftingUnlockSocketNumbers1",[],[245],[],[390],""
98,"CraftingUnlockAccuracy1",[],[183],[],[390],""
99,"CraftingUnlockSpellDamage3",[],[163],[],[390],""
100,"CraftingUnlockPhysicalDamage3",[],[160],[],[390],""
101,"CraftingUnlockDefences2",[],[188],[],[390],""
102,"CraftingUnlockEnergyShieldRecharge1",[],[198],[],[390],""
103,"CraftingUnlockMinions2",[],[229],[],[390],""
104,"UnlockedMapDevice",[],[350],[8450],"[408,406]",""
105,"KillAtziri",[184],[],[1585],[],""
106,"KillUberAtziri",[977],[],[],[],""
107,"DefeatSirusTheAwakener",[],[347],[],"[408,406]",""
108,"DefeatOshabi",[2182],[1097],[7186],"[408,406]",""
109,"ContractStolenLockpicks",[],[800],[7399],"[453,451,470]",""
110,"ContractKarstsRevenge",[],[801],[7400],"[453,451,470]",""
111,"ContractCreditWhereCreditsDue",[],[802],[7401],"[453,451,470]",""
112,"ContractFindingOpal",[],[803],[7402],"[453,451,470]",""
113,"ContractOpalsJewels",[],[804],[7403],"[453,451,470]",""
114,"ContractEnochsWhereabouts",[],[805],[7404],"[453,451,470]",""
115,"ContractEnochsRemains",[],[806],[7405],"[453,451,470]",""
116,"ContractGroceryList",[],[807],[7406],"[453,451,470]",""
117,"ContractTheVinderiBomb",[],[808],[7407],"[453,451,470]",""
118,"ContractTheNamelessPlay",[],[809],[7408],"[453,451,470]",""
119,"ContractTheFinestCostumes",[],[810],[7409],"[453,451,470]",""
120,"ContractTheWeddingDress",[],[811],[7410],"[453,451,470]",""
121,"ContractDisengagement",[],[812],[7411],"[453,451,470]",""
122,"ContractRationalTools",[],[813],[7412],"[453,451,470]",""
123,"ContractAMundaneSample",[],[814],[7413],"[453,451,470]",""
124,"ContractTheTwins",[],[832],[7417],"[453,451,470]",""
125,"ContractBreakingTheUnbreakable",[],[819],[7414],"[453,451,470]",""
126,"ContractHeartOfGlory",[],[822],[7415],"[453,451,470]",""
127,"ContractDeathToNarnaw",[],[828],[7416],"[453,451,470]",""
128,"TheMaven",[],[885],"[7676,7907]","[408,406]",""
129,"ExpeditionTutorial1",[],[1096],[7940],"[507,508,509,510,515,516,517,518]",""
130,"ExpeditionTutorial2",[],[1154],[7941],"[507,508,509,510,515,516,517,518]",""
131,"ScourgeTutorial",[],[1159],[8241],"[524,525,526]",""
132,"FavouriteMaps",[],"[355,356,357,358,359,360,361,362,363,364,365,366]","[8592,9240]",[],1
133,"Unlock5SlotMapDevice",[],[6],[8943],"[408,406]",""
134,"LakeQuestReroll",[],"[1216,1217,1218]",[8931],"[408,406]",""
135,"LakeQuestSkip",[],"[1219,1220,1221]",[8932],"[408,406]",""
136,"LakeQuestBanish",[],"[1222,1223,1274]",[8933],"[408,406]",""
137,"SanctumUnlockRelics",[],[1011],[9121],[552],""
138,"SanctumUnlockAllRelics",[],"[1011,1013,1023,1024,1025,1014,1015,1016,1017,1018,1020,1021,1022]",[9230],[552],""
