"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_44","string_45","i32_53","i32_57","i32_61","bool_65"
39,"Metadata/Items/SoulCores/RuneSpecial1",547,598,268,54,1,1,1,"uneFireLesser",0,0,0,""
40,"Metadata/Items/SoulCores/RuneSpecial2",548,678,268,55,1,1,1,"uneFireLesser",0,0,0,""
41,"Metadata/Items/SoulCores/RuneSpecial3",549,758,268,56,1,1,1,"uneFireLesser",0,0,0,""
42,"Metadata/Items/SoulCores/RuneSpecial4",550,838,268,57,1,1,1,"uneFireLesser",0,0,0,""
43,"Metadata/Items/SoulCores/RuneSpecial5",551,518,348,69,1,1,1,"uneFireLesser",0,0,0,""
44,"Metadata/Items/SoulCores/RuneSpecial6",552,598,348,70,1,1,1,"uneFireLesser",0,0,0,""
45,"Metadata/Items/SoulCores/RuneSpecial25",571,678,348,71,1,1,1,"uneFireLesser",0,0,0,""
46,"Metadata/Items/SoulCores/RuneSpecial8",554,718,428,72,1,1,1,"uneFireLesser",0,0,0,""
47,"Metadata/Items/SoulCores/RuneSpecial9",555,798,428,73,1,1,1,"uneFireLesser",0,0,0,""
48,"Metadata/Items/SoulCores/RuneSpecial10",556,838,348,74,1,1,1,"uneFireLesser",0,0,0,""
49,"Metadata/Items/SoulCores/RuneSpecial11",557,238,428,75,1,1,1,"uneFireLesser",0,0,0,""
50,"Metadata/Items/SoulCores/RuneSpecial24",570,318,428,76,1,1,1,"uneFireLesser",0,0,0,""
51,"Metadata/Items/SoulCores/RuneSpecial13",559,38,348,77,1,1,1,"uneFireLesser",0,0,0,""
52,"Metadata/Items/SoulCores/RuneSpecial18",564,78,428,78,1,1,1,"uneFireLesser",0,0,0,""
53,"Metadata/Items/SoulCores/RuneSpecial15",561,398,428,79,1,1,1,"uneFireLesser",0,0,0,""
54,"Metadata/Items/SoulCores/RuneSpecial16",562,478,428,80,1,1,1,"uneFireLesser",0,0,0,""
55,"Metadata/Items/SoulCores/RuneSpecial17",563,558,428,81,1,1,1,"uneFireLesser",0,0,0,""
56,"Metadata/Items/SoulCores/RuneSpecial19",565,438,348,82,1,1,1,"uneFireLesser",0,0,0,""
57,"Metadata/Items/SoulCores/RuneSpecial14",560,758,348,83,1,1,1,"uneFireLesser",0,0,0,""
58,"Metadata/Items/SoulCores/RuneSpecial20",566,638,428,84,1,1,1,"uneFireLesser",0,0,0,""
59,"Metadata/Items/SoulCores/RuneSpecial21",567,118,348,85,1,1,1,"uneFireLesser",0,0,0,""
60,"Metadata/Items/SoulCores/RuneSpecial22",568,198,348,86,1,1,1,"uneFireLesser",0,0,0,""
61,"Metadata/Items/SoulCores/RuneSpecial23",569,278,348,87,1,1,1,"uneFireLesser",0,0,0,""
62,"Metadata/Items/SoulCores/RuneSpecial7",553,358,348,88,1,1,1,"uneFireLesser",0,0,0,""
63,"Metadata/Items/SoulCores/RuneSpecial12",558,158,428,89,1,1,1,"uneFireLesser",0,0,0,""
64,"Metadata/Items/SoulCores/SoulCoreElemental",603,38,518,39,1,1,1,"uneFireLesser",0,0,0,""
65,"Metadata/Items/SoulCores/SoulCoreChaos",594,118,518,40,1,1,1,"uneFireLesser",0,0,0,""
66,"Metadata/Items/SoulCores/SoulCoreBleed",595,198,518,41,1,1,1,"uneFireLesser",0,0,0,""
67,"Metadata/Items/SoulCores/SoulCoreMaxLife",596,278,518,42,1,1,1,"uneFireLesser",0,0,0,""
68,"Metadata/Items/SoulCores/SoulCoreMaxMana",597,358,518,43,1,1,1,"uneFireLesser",0,0,0,""
69,"Metadata/Items/SoulCores/SoulCoreEnlighten",598,438,518,44,1,1,1,"uneFireLesser",0,0,0,""
70,"Metadata/Items/SoulCores/SoulCoreIgnite",599,518,518,45,1,1,1,"uneFireLesser",0,0,0,""
71,"Metadata/Items/SoulCores/SoulCoreFreeze",600,598,518,46,1,1,1,"uneFireLesser",0,0,0,""
72,"Metadata/Items/SoulCores/SoulCoreShock",601,678,518,47,1,1,1,"uneFireLesser",0,0,0,""
73,"Metadata/Items/SoulCores/SoulCoreSpeed",604,758,518,48,1,1,1,"uneFireLesser",0,0,0,""
74,"Metadata/Items/SoulCores/SoulCoreCrit",605,838,518,49,1,1,1,"uneFireLesser",0,0,0,""
75,"Metadata/Items/SoulCores/SoulCoreStrength",606,38,598,50,1,1,1,"uneFireLesser",0,0,0,""
76,"Metadata/Items/SoulCores/SoulCoreDexterity",607,118,598,51,1,1,1,"uneFireLesser",0,0,0,""
77,"Metadata/Items/SoulCores/SoulCoreIntelligence",608,198,598,52,1,1,1,"uneFireLesser",0,0,0,""
78,"Metadata/Items/SoulCores/SoulCoreLight",602,278,598,53,1,1,1,"uneFireLesser",0,0,0,""
79,"Metadata/Items/SoulCores/SoulCoreSpecial4",582,598,598,90,1,1,1,"uneFireLesser",0,0,0,""
80,"Metadata/Items/SoulCores/SoulCoreSpecial1",579,678,598,91,1,1,1,"uneFireLesser",0,0,0,""
81,"Metadata/Items/SoulCores/SoulCoreSpecial2",580,758,598,92,1,1,1,"uneFireLesser",0,0,0,""
82,"Metadata/Items/SoulCores/SoulCoreSpecial3",581,838,598,93,1,1,1,"uneFireLesser",0,0,0,""
83,"Metadata/Items/SoulCores/SoulCoreSpecial13",591,438,678,94,1,1,1,"uneFireLesser",0,0,0,""
84,"Metadata/Items/SoulCores/SoulCoreSpecial5",583,598,678,95,1,1,1,"uneFireLesser",0,0,0,""
85,"Metadata/Items/SoulCores/SoulCoreSpecial6",584,678,678,96,1,1,1,"uneFireLesser",0,0,0,""
86,"Metadata/Items/SoulCores/SoulCoreSpecial7",585,758,678,97,1,1,1,"uneFireLesser",0,0,0,""
87,"Metadata/Items/SoulCores/SoulCoreSpecial8",586,38,678,98,1,1,1,"uneFireLesser",0,0,0,""
88,"Metadata/Items/SoulCores/SoulCoreSpecial9",587,118,678,99,1,1,1,"uneFireLesser",0,0,0,""
89,"Metadata/Items/SoulCores/SoulCoreSpecial10",588,198,678,100,1,1,1,"uneFireLesser",0,0,0,""
90,"Metadata/Items/SoulCores/SoulCoreSpecial11",589,838,678,101,1,1,1,"uneFireLesser",0,0,0,""
91,"Metadata/Items/SoulCores/SoulCoreSpecial12",590,518,678,102,1,1,1,"uneFireLesser",0,0,0,""
92,"Metadata/Items/SoulCores/SoulCoreSpecial15",593,278,678,103,1,1,1,"uneFireLesser",0,0,0,""
93,"Metadata/Items/SoulCores/SoulCoreSpecial14",592,358,678,104,1,1,1,"uneFireLesser",0,0,0,""
94,"Metadata/Items/SoulCores/TalismanSnake",609,38,768,58,1,1,1,"uneFireLesser",0,0,0,""
95,"Metadata/Items/SoulCores/TalismanMonkey",610,118,768,59,1,1,1,"uneFireLesser",0,0,0,""
96,"Metadata/Items/SoulCores/TalismanOwl",611,198,768,60,1,1,1,"uneFireLesser",0,0,0,""
97,"Metadata/Items/SoulCores/TalismanCat",612,278,768,61,1,1,1,"uneFireLesser",0,0,0,""
98,"Metadata/Items/SoulCores/TalismanWolf",613,358,768,62,1,1,1,"uneFireLesser",0,0,0,""
99,"Metadata/Items/SoulCores/TalismanStag",614,438,768,63,1,1,1,"uneFireLesser",0,0,0,""
100,"Metadata/Items/SoulCores/TalismanBoar",615,518,768,64,1,1,1,"uneFireLesser",0,0,0,""
101,"Metadata/Items/SoulCores/TalismanBear",616,598,768,65,1,1,1,"uneFireLesser",0,0,0,""
102,"Metadata/Items/SoulCores/TalismanOx",617,678,768,66,1,1,1,"uneFireLesser",0,0,0,""
103,"Metadata/Items/SoulCores/TalismanRabbit",618,758,768,67,1,1,1,"uneFireLesser",0,0,0,""
104,"Metadata/Items/SoulCores/TalismanFox",619,838,768,68,1,1,1,"uneFireLesser",0,0,0,""
105,"Metadata/Items/SoulCores/TalismanSpecial1",572,598,848,105,1,1,1,"uneFireLesser",0,0,0,""
106,"Metadata/Items/SoulCores/TalismanSpecial2",573,198,848,106,1,1,1,"uneFireLesser",0,0,0,""
107,"Metadata/Items/SoulCores/TalismanSpecial3",574,678,848,107,1,1,1,"uneFireLesser",0,0,0,""
108,"Metadata/Items/SoulCores/TalismanSpecial4",575,358,848,108,1,1,1,"uneFireLesser",0,0,0,""
109,"Metadata/Items/SoulCores/TalismanSpecial5",576,438,848,109,1,1,1,"uneFireLesser",0,0,0,""
110,"Metadata/Items/SoulCores/TalismanSpecial6",577,278,848,110,1,1,1,"uneFireLesser",0,0,0,""
111,"Metadata/Items/SoulCores/TalismanSpecial7",578,518,848,111,1,1,1,"uneFireLesser",0,0,0,""
