"rownum","SkillGem","Supports"
54,314,"[327,305,11,225,505,19,467,591,621]"
55,317,"[168,6,528,43,97,302,271,465,670]"
56,34,"[35,573,100,97,574,499,497,501,595]"
57,307,"[210,7,22,94,340,46,84,575,649]"
58,513,"[73,12,168,206,574,163,473,15,575]"
59,550,"[377,491,669,665,492,667]"
60,322,"[490,265,493,582,622,650]"
61,334,"[5,264,110,46,98,464,263,266,270]"
62,384,"[490,264,492,493,506,668]"
63,309,"[210,22,81,266,267,268,269,270,271]"
64,324,"[72,49,188,266,268,269,270,661,606]"
65,201,"[73,81,35,206,55,353,129,561,359]"
66,389,"[332,165,81,163,572,566,567,471,84]"
67,117,"[168,266,268,269,270,11,264,506,271]"
68,205,"[378,379,265,506,267,268,269,270,271]"
69,541,"[490,264,267,473,664,669]"
70,21,"[22,73,566,333,84,338,353,584,333]"
71,0,"[72,335,106,55,47,466,568,337,606]"
72,393,"[165,14,81,561,566,555,562,471,50]"
73,118,"[339,329,27,482,267,268,483,471,271]"
74,316,"[7,210,106,340,46,268,269,84,50]"
75,76,"[49,332,168,350,561,206,302,338,465]"
76,83,"[7,57,488,47,561,84,337,562,712]"
77,315,"[35,332,81,340,46,575,84,331,572]"
78,44,"[49,106,81,206,350,48,338,84,473]"
79,74,"[210,7,49,94,340,55,269,270,271]"
80,32,"[106,371,372,264,48,620,712,473,554]"
81,75,"[165,11,114,55,559,47,84,15,337]"
82,62,"[335,212,27,340,94,568,84,353,163]"
83,183,"[14,378,123,266,267,268,473,270,271]"
84,51,"[168,11,119,367,267,504,270,529,609]"
85,53,"[168,11,119,367,267,504,270,529,609]"
86,52,"[573,168,364,367,368,504,170,271,609]"
87,28,"[11,366,364,368,367,529,504,271,609]"
88,318,"[339,106,163,55,15,84,567,81,606]"
89,24,"[329,11,207,506,564,521,84,338,466]"
90,172,"[339,163,55,47,15,84,337,498,633]"
91,37,"[168,332,339,46,561,16,464,84,360]"
92,64,"[11,57,106,561,574,163,562,473,465]"
93,127,"[81,22,561,84,466,472,8,555,303]"
94,130,"[339,81,163,48,15,84,620,633,473]"
95,54,"[212,81,559,211,353,471,268,600,641]"
96,45,"[72,490,16,492,493,669]"
97,518,"[165,168,492,267,471,472]"
98,413,"[9,352,6,18,569,107,15,124,271]"
99,278,"[165,489,266,492,269,270]"
100,527,"[489,491,266,267,493,270]"
101,67,"[489,9,43,348,661,606]"
102,38,"[12,206,304,505,374,571,411,620,625]"
103,296,"[332,164,11,26,572,15,497,522,587]"
104,298,"[72,11,207,505,563,84,466,337,659]"
105,184,"[377,371,374,107,101,372,124,360,577]"
106,293,"[7,100,226,497,8,555,499,501,475]"
107,161,"[188,71,463,569,505,466,124,84,631]"
108,295,"[12,377,487,163,107,101,84,124,15]"
109,171,"[35,163,487,553,271,9,636,605,606]"
110,292,"[73,206,463,107,271,6,569,129,124]"
111,514,"[6,573,167,577,97,268,474,19,497]"
112,148,"[354,6,577,97,565,270,271,11,632]"
113,158,"[188,207,163,71,271,572,574,575,497]"
114,480,"[378,379,168,267,268,269,270,271,587]"
115,479,"[16,500,553,353,11,6,73,566,84]"
116,294,"[168,304,14,97,333,505,360,359,84]"
117,143,"[35,164,572,101,411,124,497,629,651]"
118,185,"[207,71,573,572,43,566,497,472,466]"
119,552,"[12,11,470,101,107,465,359,701,620]"
120,20,"[6,487,304,107,124,565,632,681,688]"
121,512,"[9,11,168,43,47,84,15,337,574]"
122,478,"[166,100,101,528,226,501,565,590,629]"
123,297,"[22,49,104,555,43,268,567,562,271]"
124,373,"[490,264,582,623,650,666]"
125,383,"[165,11,354,499,55,565,567,271,594]"
126,382,"[488,265,266,267,268,269,270,27,353]"
127,39,"[27,265,266,267,268,269,270,271,377]"
128,4,"[271,81,11,498,365,55,561,84,464]"
129,131,"[266,267,268,269,270,271,168,81,584]"
130,29,"[364,119,366,367,368,170,504,271,609]"
131,328,"[168,305,327,410,365,268,471,467,271]"
132,306,"[168,369,110,350,365,501,565,15,100]"
133,358,"[8,27,104,560,556,521,567,474,271]"
134,361,"[111,536,370,112,26,501,497,565,616]"
135,86,"[111,536,370,112,97,26,501,497,565]"
136,89,"[305,376,11,110,471,467,50,585,586]"
137,92,"[11,7,210,110,46,476,464,211,585]"
138,78,"[168,481,482,485,483,484,599,618,596]"
139,291,"[168,335,56,266,267,268,578,522,579]"
140,357,"[168,335,56,521,520,268,476,578,579]"
141,300,"[351,335,95,55,499,225,567,496,700]"
142,80,"[168,481,369,482,485,483,484,474,618]"
143,299,"[335,369,100,163,499,15,565,496,555]"
144,3,"[339,11,210,561,55,365,84,464,211]"
145,13,"[304,111,362,365,110,112,501,98,476]"
146,356,"[11,377,27,365,485,482,483,529,596]"
147,31,"[364,119,366,367,368,170,529,268,271]"
148,103,"[168,119,366,367,368,268,170,504,353]"
149,65,"[11,111,27,520,521,268,578,476,579]"
150,120,"[11,369,163,572,268,15,270,567,599]"
151,87,"[362,100,110,501,476,124,616,611,213]"
152,90,"[11,111,488,466,472,50,585,586,110]"
153,91,"[11,73,81,333,110,84,465,302,586]"
154,88,"[169,100,112,565,124,6,616,645,644]"
155,93,"[111,27,370,506,268,476,270,271,616]"
156,23,"[611,269,645,370,56,111,110,476,644]"
157,549,"[168,490,474,666,664,668]"
158,69,"[11,491,266,267,270,271]"
159,540,"[490,264,270,476,664,666]"
160,41,"[491,490,492,267,493,270]"
161,386,"[491,492,267,493,270,168]"
162,58,"[491,490,492,267,493,668]"
163,59,"[491,490,492,267,493,667]"
164,60,"[491,490,492,267,493,669]"
165,61,"[491,490,492,664,493,231]"
166,277,"[168,377,266,267,269,270]"
167,432,"[12,96,354,17,535,43,497,501,19]"
168,394,"[533,352,7,163,555,500,468,565,700]"
169,395,"[100,570,531,532,97,226,497,501,50]"
170,396,"[573,533,5,225,505,566,98,575,271]"
171,397,"[100,49,164,17,461,410,353,50,269]"
172,398,"[11,7,210,163,94,505,330,98,534]"
173,399,"[5,531,212,46,340,94,211,330,534]"
174,400,"[5,7,6,535,340,555,50,98,702]"
175,401,"[9,329,71,564,505,500,84,534,591]"
176,402,"[22,188,9,47,43,107,84,534,50]"
177,403,"[570,6,9,505,107,47,84,466,534]"
178,404,"[207,7,488,535,107,505,84,50,497]"
179,405,"[12,533,7,505,532,534,84,620,353]"
180,406,"[12,531,6,107,505,333,84,302,465]"
181,407,"[11,533,7,505,566,107,84,465,302]"
182,408,"[12,533,6,505,535,97,84,534,302]"
183,286,"[35,7,505,506,225,558,98,464,588]"
184,287,"[35,352,114,97,506,269,558,501,627]"
185,288,"[11,488,114,559,506,497,501,557,621]"
186,289,"[327,305,11,461,410,225,84,467,557]"
187,290,"[12,114,505,506,268,558,302,557,588]"
188,524,"[5,505,506,566,558,84,588,271,704]"
189,519,"[378,168,506,266,270,271]"
190,182,"[100,488,351,556,107,560,565,522,672]"
191,113,"[332,5,339,556,505,46,497,98,522]"
192,530,"[489,491,492,266,472,471]"
193,517,"[489,491,665,492,668,669]"
194,509,"[11,168,491,266,267,492,493,270,671]"
195,511,"[11,168,491,266,267,492,493,270,671]"
196,510,"[11,168,491,266,267,492,493,270,671]"
197,428,"[108,107,496,501,497,683,100,635,26]"
198,429,"[108,107,496,501,497,683,100,635,26]"
199,730,"[167,108,336,43,648,601,353,686,652]"
200,430,"[634,555,591,353,639,646,95,638,500]"
201,134,"[629,36,657,625,565,506,97,589,706]"
202,135,"[684,36,26,679,101,647,678,571,573]"
203,137,"[488,100,11,26,686,694,695,700,636]"
204,139,"[374,12,500,206,646,612,99,593,465]"
205,343,"[5,505,332,46,464,210,702,636,211]"
206,344,"[11,6,108,499,642,501,636,271,639]"
207,345,"[638,168,114,505,500,566,84,620]"
208,346,"[166,670,11,101,657,620,84,129,589]"
209,140,"[9,165,487,566,639,505,575,702,84]"
210,136,"[100,6,488,26,642,678,660,676,592]"
211,133,"[638,635,670,655,107,649,124,619,708]"
212,341,"[8,7,592,612,591,500,168,686,16]"
213,719,"[487,634,125,593,566,84,359,685,271]"
214,720,"[332,11,10,565,661,520,522,634,555]"
215,721,"[463,12,620,333,505,653,84,124,167]"
216,723,"[72,71,9,47,630,575,571,107,653]"
217,724,"[100,339,684,660,500,636,700,589,676]"
218,725,"[125,26,619,468,100,670,651,565,703]"
219,722,"[377,6,670,639,651,627,124,677,678]"
220,726,"[100,354,17,647,496,475,684,107,707]"
221,729,"[12,573,333,620,84,593,465,339,129]"
222,731,"[11,635,632,505,568,84,339,639,571]"
223,728,"[634,5,636,505,500,211,464,411,11]"
224,727,"[488,168,267,268,270,271]"
225,548,"[100,491,97,492,647,348]"
226,734,"[489,491,665,492,667,669]"
227,735,"[7,489,694,663,695,475]"
228,732,"[56,370,111,110,644,689,476,501,686]"
229,436,"[491,490,582,623,650,622]"
230,437,"[5,35,7,505,107,559,84,211,98]"
231,438,"[12,35,7,505,107,559,84,129,331]"
232,439,"[9,35,7,505,107,559,84,337,359]"
233,440,"[96,376,7,107,225,467,19,359,637]"
234,441,"[95,100,7,107,225,499,468,496,501]"
235,442,"[335,167,506,267,268,269,270,271,336]"
236,443,"[81,11,168,506,225,43,84,338,360]"
237,444,"[264,265,266,267,472,471,473,168,688]"
238,445,"[111,56,362,94,110,501,476,645,689]"
239,446,"[491,490,506,492,493,270]"
240,447,"[114,11,168,506,267,268,269,270,271]"
241,448,"[114,167,336,506,267,268,269,270,271]"
242,449,"[168,165,265,266,267,268,269,270,271]"
243,450,"[491,490,263,506,492,268,493,270,271]"
244,451,"[263,264,263,266,267,268,471,472,473]"
245,452,"[491,490,492,493,263,582,623,622,650]"
246,507,"[81,352,125,506,225,43,84,338,337]"
247,453,"[56,111,100,110,112,26,497,501,496]"
248,454,"[168,336,365,506,167,268,269,270,271]"
249,455,"[100,11,618,665,475,667]"
250,457,"[36,6,95,632,110,97,700,497,645]"
251,736,"[11,35,638,606,10,505,575,84,271]"
252,458,"[5,378,379,505,601,506,84,471,98]"
253,460,"[378,168,379,506,267,268,269,270,271]"
254,459,"[35,638,354,585,586,506,645,476,565]"
255,456,"[491,489,265,664,581,268,576,583,471]"
256,738,"[263,581,583,473,264,266]"
257,216,"[263,264,581,267,576,583]"
258,218,"[263,264,581,267,576,583]"
259,219,"[263,264,581,267,576,583]"
260,220,"[263,264,581,267,576,583]"
261,221,"[263,264,581,267,576,583]"
262,222,"[263,264,581,267,576,583]"
263,273,"[263,264,581,267,576,583]"
264,275,"[263,264,581,267,576,583]"
265,375,"[263,264,581,267,576,583]"
266,551,"[263,264,581,267,576,583]"
267,733,"[490,491,581,664,583,667]"
268,217,"[263,264,581,267,580,576]"
269,272,"[263,264,581,267,580,576]"
270,516,"[263,264,581,267,580,576]"
271,539,"[263,264,581,267,580,576]"
272,739,"[168,490,664,506,669,667]"
273,742,"[638,11,305,637,500,97,467,565,700]"
274,744,"[168,304,266,685,270,269]"
275,745,"[35,125,7,10,606,505,605,466,642]"
276,743,"[168,35,498,561,47,84,466,15]"
277,746,"[490,488,492,664,493,667]"
