"rownum","BaseItemType","Critical","rid_20","Speed","DamageMin","DamageMax","RangeMax","ReloadTime"
121,1898,1500,1,645,16,55,10,0
122,1899,1500,1,645,22,52,10,0
123,1900,1500,1,645,21,62,10,0
124,1901,1000,10,714,7,12,13,0
125,1902,1000,10,714,9,18,13,0
126,1903,1150,10,714,16,26,13,0
127,1904,1000,10,714,13,54,13,0
128,1905,1000,10,667,19,39,13,0
129,1906,1000,10,714,28,51,13,0
130,1907,1000,10,714,29,60,13,0
131,1908,1000,10,714,33,55,13,0
132,1909,1000,10,741,39,80,13,0
133,1910,0,10,667,62,84,13,0
134,1911,1000,10,714,47,79,13,0
135,1912,1000,10,714,47,87,13,0
136,1913,1000,10,714,57,94,13,0
137,1914,1000,13,690,6,9,11,0
138,1915,1000,13,690,8,14,11,0
139,1916,1000,13,690,10,17,11,0
140,1917,1000,13,690,14,23,11,0
141,1918,1000,13,714,8,18,11,0
142,1919,800,13,667,19,32,11,0
143,1920,1000,13,690,23,38,11,0
144,1921,1000,13,690,23,44,11,0
145,1922,1000,13,714,31,57,11,0
146,1923,1000,13,690,24,55,11,0
147,1924,1250,13,714,27,56,11,0
148,1925,1000,13,690,35,58,11,0
149,1926,1000,13,690,36,66,11,0
150,1954,500,0,833,6,9,120,0
151,1955,500,0,800,7,14,120,0
152,1956,500,0,870,12,18,120,0
153,1957,500,0,909,15,31,120,0
154,1958,500,0,833,19,31,120,0
155,1959,500,0,909,16,31,120,0
156,1960,500,0,833,36,59,120,0
157,1961,500,0,833,31,47,120,0
158,1962,500,0,870,39,72,120,0
159,1963,500,0,833,38,57,120,0
160,1964,650,0,870,40,82,120,0
161,1965,500,0,833,42,63,120,0
162,1966,500,0,833,45,75,120,0
163,1967,500,12,625,7,12,120,800
164,1968,500,12,625,8,15,120,850
165,1969,500,12,645,11,26,120,750
166,1970,500,12,625,12,36,120,800
167,1971,500,12,625,9,37,120,1100
168,1972,500,12,588,12,50,120,700
169,1973,500,12,606,14,56,120,750
170,1974,500,12,625,18,72,120,800
171,1975,700,12,625,20,80,120,850
172,1976,500,12,606,20,82,120,850
173,1977,500,12,625,19,76,120,900
174,1978,700,12,645,25,99,120,850
175,1979,500,12,625,28,113,120,800
176,2441,500,3,690,38,64,11,0
177,2442,500,3,645,33,50,11,0
178,2443,700,3,690,35,47,11,0
179,2444,500,3,714,34,70,11,0
180,2445,500,3,690,45,61,11,0
181,2446,500,3,714,49,60,11,0
182,2447,500,6,952,59,109,13,0
183,2448,500,6,952,84,113,13,0
184,2449,500,6,952,62,83,13,0
185,2450,500,6,833,60,125,13,0
186,2451,500,6,909,94,127,13,0
187,2452,500,6,909,93,114,13,0
188,2453,1000,10,714,35,72,13,0
189,2454,1150,10,714,43,72,13,0
190,2455,1000,10,714,30,57,13,0
191,2456,1000,10,667,40,83,13,0
192,2457,1000,10,714,45,94,13,0
193,2458,1000,10,714,49,82,13,0
194,2459,500,0,800,29,54,120,0
195,2460,500,0,870,35,53,120,0
196,2461,500,0,833,36,61,120,0
197,2462,500,0,833,29,54,120,0
198,2463,500,0,833,41,69,120,0
199,2464,500,0,833,46,69,120,0
200,2465,500,12,625,20,79,120,850
201,2466,500,12,645,22,89,120,750
202,2467,500,12,625,23,92,120,800
203,2468,500,12,625,21,83,120,1100
204,2469,500,12,606,23,90,120,750
205,2470,500,12,625,27,109,120,800
206,2471,500,11,625,27,50,15,0
207,2472,500,11,645,29,54,15,0
208,2473,500,11,625,28,53,15,0
209,2474,500,11,625,32,59,15,0
210,2475,650,11,625,33,61,15,0
211,2476,500,11,667,38,70,15,0
212,2704,500,3,645,45,67,11,0
213,2705,500,3,714,43,89,11,0
214,2706,500,3,690,61,101,11,0
215,2707,700,3,690,49,66,11,0
216,2708,500,3,714,60,73,11,0
217,2709,500,3,690,51,84,11,0
218,2710,500,6,952,112,151,13,0
219,2711,500,6,833,76,158,13,0
220,2712,500,6,952,94,174,13,0
221,2713,500,6,952,89,120,13,0
222,2714,500,6,909,113,138,13,0
223,2715,500,6,909,119,161,13,0
224,2716,1150,10,714,55,92,13,0
225,2717,1000,10,667,50,103,13,0
226,2718,1000,10,714,53,111,13,0
227,2719,1000,10,714,43,172,13,0
228,2720,1000,10,714,58,97,13,0
229,2721,1000,10,714,65,108,13,0
230,2722,500,0,800,41,76,120,0
231,2723,500,0,833,49,82,120,0
232,2724,500,0,870,53,80,120,0
233,2725,500,0,833,39,73,120,0
234,2726,500,0,833,52,87,120,0
235,2727,500,0,833,56,84,120,0
236,2728,500,12,645,30,119,120,750
237,2729,500,12,625,31,124,120,800
238,2730,500,12,625,32,127,120,850
239,2731,500,12,625,28,112,120,1100
240,2732,500,12,606,29,115,120,750
241,2733,500,12,625,33,132,120,800
242,2734,500,11,625,38,70,15,0
243,2735,500,11,625,40,75,15,0
244,2736,500,11,645,44,82,15,0
245,2737,500,11,625,41,76,15,0
246,2738,500,11,667,46,85,15,0
247,2739,650,11,625,41,76,15,0
