"rownum","BaseItemTypesKey","Regular_WorldAreasKey","Unique_WorldAreasKey","MapUpgrade_BaseItemTypesKey","MonsterPacksKeys","AchievementItem","Regular_GuildCharacter","Unique_GuildCharacter","Tier","Shaped_Base_MapsKey","Shaped_AreaLevel","UpgradedFrom_MapsKey","MapsKey2","MapsKey3","MapSeriesKey","bool","bool","bool"
31,7186,797,"",7192,"[856,857,858,859,860,861,862]",195,"Ü","",5,"",0,"",338,"",1,"","",""
32,7187,798,"",7193,[727],196,"Ö","",5,"",0,"",342,"",1,"","",""
33,7188,799,"",7192,[935],"","Ä","",5,"",0,"",344,"",1,"","",""
34,7189,800,801,7195,"[888,889,890]",197,"Ë","ß",6,"",0,"",356,413,1,"","",""
35,7190,802,"",7194,"[830,831,832,833,834,835]",198,"Ï","",6,"",0,"",352,"",1,"","",""
36,7191,803,804,7196,"[865,866]",199,"Æ","È",6,"",0,"",352,350,1,"","",""
37,7192,805,"",7197,"[762,763,764,765]",200,"Œ","",6,"",0,"",355,"",1,"","",""
38,7193,806,"",7198,"[874,875,876]",201,"Ñ","@",6,"",0,"",356,"",1,"","",""
39,7194,808,809,7200,"[880,881,882]",202,"Ÿ","#",7,"",0,"",372,445,1,"","",""
40,7195,810,"",7199,[901],203,"1","",7,"",0,"",367,"",1,"","",""
41,7196,811,"",7201,"[832,833]",204,"2","",7,"",0,"",367,"",1,"","",""
42,7197,812,"",7202,"[823,824,825]",205,"3","",7,"",0,"",370,"",1,"","",""
43,7198,813,"",7201,[],"","4","",7,"",0,"",370,"",1,"","",""
44,7199,814,"",7203,"[806,800,809,810,801,802,803,804,805,807,808]",206,"5","",8,"",0,"",383,"",1,"","",""
45,7200,815,"",7205,"[893,894]",207,"6","",8,"",0,"",373,"",1,"","",""
46,7201,816,"",7206,[927],208,"7","",8,"",0,"",378,"",1,"","",""
47,7202,817,"",7204,"[786,784,785]",209,"8","",8,"",0,"",374,"",1,"","",""
48,7203,818,"",7208,[829],210,"9","",9,"",0,"",393,"",1,"","",""
49,7204,819,820,7207,"[839,840]",211,"0","$",9,"",0,"",390,390,1,"","",""
50,7205,821,"",7209,"[751,752,755]",212,"?","",9,"",0,"",391,"",1,"","",""
51,7206,822,"",7208,[932],"","!","",9,"",0,"",394,"",1,"","",""
52,7207,823,824,7211,"[766,767,768,769,772,902]",213,"(","p",10,"",0,"",401,446,1,"","",""
53,7208,825,"",7210,"[800,809,810,801,802,803,804,805,807,808]",214,")","",10,"",0,"",396,"",1,"","",""
54,7209,826,"",7212,[],215,"-","",10,"",0,"",396,"",1,"","",""
55,7210,827,"",7214,"[897,898]",216,"/","",11,"",0,"",413,"",1,"","",""
56,7211,828,"",7213,[916],217,"\\","",11,"",0,"",406,"",1,"","",""
57,7212,829,"",7213,[915],"","|","",11,"",0,"",413,"",1,"","",""
58,7213,830,"",7215,"[740,741,742]",218,"=","",12,"",0,"",423,"",1,"","",""
59,7214,831,"",7216,"[877,878]",219,"*","%",12,"",0,"",426,"",1,"","",""
60,7215,833,"","","[930,929]","","†","",13,"",0,"",436,"",1,"","",""
61,7216,834,"","","[925,926]","","‡","",13,"",0,"",450,"",1,"","",""
62,7217,835,"","",[842],"","§","",14,"",0,"",447,"",1,1,"",""
63,7218,836,837,7225,"[806,800,809,810,801,802,803,804,805,807,808]","","A","Å",1,"",0,"",329,426,2,"","",""
64,7219,838,"",7226,"[766,767,768,769,770,771,772,902]","","E","",1,"",0,"",326,"",2,"","",""
65,7220,839,"",7227,"[731,732,733,734,735,737]","","I","",1,"",0,"",329,"",2,"","",""
66,7221,840,"",7228,[783],"","O","",1,"",0,"",327,"",2,"","",""
67,7222,841,"",7229,[],"","U","",1,"",0,"",326,"",2,"","",""
68,7223,842,843,7230,"[756,757,758,759,760]","","T","^",1,"",0,"",328,404,2,"","",""
69,7224,844,"",7231,[942],"","N","",1,"",0,"",327,"",2,"","",""
70,7225,845,"",7232,"[884,887]","","S","",2,"",0,"",331,"",2,"","",""
71,7226,846,"",7233,[940],"","H","",2,"",0,"",335,"",2,"","",""
72,7227,847,"",7234,"[823,824,825]","","R","",2,"",0,"",334,"",2,"","",""
73,7228,848,849,7235,"[746,744,745,747,748]","","D","Ç",2,"",0,"",336,381,2,"","",""
74,7229,850,"",7236,"[856,857,858,859,860,861,862]","","L","",2,"",0,"",331,"",2,"","",""
75,7230,851,"",7237,[],"","C","",2,"",0,"",335,"",2,"","",""
76,7231,852,"",7238,[895],"","M","",2,"",0,"",336,"",2,"","",""
77,7232,853,"",7239,[916],"","W","",3,"",0,"",338,"",2,"","",""
78,7233,854,"",7240,"[830,831,832,833,834,835]","","F","",3,"",0,"",341,"",2,"","",""
79,7234,855,856,7241,"[739,841]","","G","g",3,"",0,"",344,398,2,"","",""
80,7235,857,858,7242,[983],"","Y","À",3,"",0,"",342,467,2,"","",""
81,7236,859,"",7243,"[819,947]","","P","",3,"",0,"",341,"",2,"","",""
82,7237,860,"",7244,"[773,774,777]","","B","",3,"",0,"",344,"",2,"","",""
83,7238,861,"",7239,"[738,928]","","V","",3,"",0,"",342,"",2,"","",""
84,7239,862,"",7246,[958],"","K","",4,"",0,"",356,"",2,"","",""
85,7240,863,864,7247,[],"","J","Ô",4,"",0,"",355,441,2,"","",""
86,7241,865,"",7248,[],"","X","",4,"",0,"",353,"",2,"","",""
87,7242,866,"",7249,"[781,782,783]","","Q","",4,"",0,"",352,"",2,"","",""
88,7243,867,"",7250,"[830,831,832,833,834,835]","","Z","",4,"",0,"",349,"",2,"","",""
89,7244,868,869,7251,[],"","Ó","Ù",4,"",0,"",356,428,2,"","",""
90,7245,870,"",7246,"[963,964]","","+","",4,"",0,"",348,"",2,"","",""
91,7246,871,872,7252,"[788,789,790,791,792,793]","","É","æ",5,"",0,"",370,391,2,"","",""
92,7247,873,"",7253,[917],"","Á","",5,"",0,"",371,"",2,"","",""
93,7248,874,"",7254,[936],"","Í","",5,"",0,"",364,"",2,"","",""
94,7249,875,"",7255,"[856,857,858,859,860,861,862]","","Ú","",5,"",0,"",372,"",2,"","",""
95,7250,876,"",7256,[727],"","Ü","",5,"",0,"",369,"",2,"","",""
96,7251,877,"",7257,[935],"","Ö","",5,"",0,"",370,"",2,"","",""
97,7252,878,879,7258,"[888,889,890]","","Ä","ß",6,"",0,"",375,413,2,"","",""
98,7253,880,"",7259,"[830,831,832,833,834,835]","","Ë","",6,"",0,"",378,"",2,"","",""
99,7254,881,882,7260,"[865,866]","","Ï","È",6,"",0,"",374,350,2,"","",""
100,7255,883,"",7261,"[762,763,764,765]","","Æ","",6,"",0,"",382,"",2,"","",""
101,7256,884,"",7262,"[874,875,876]","","Œ","@",6,"",0,"",383,"",2,"","",""
102,7257,886,887,7258,[],"","Ñ","$",6,"",0,"",373,390,2,"","",""
103,7258,888,889,7263,"[880,881,882]","","Ÿ","#",7,"",0,"",391,445,2,"","",""
104,7259,890,"",7264,[901],"","1","",7,"",0,"",390,"",2,"","",""
105,7260,891,"",7265,"[832,833]","","2","",7,"",0,"",390,"",2,"","",""
106,7261,892,"",7266,"[823,824,825]","","3","",7,"",0,"",391,"",2,"","",""
107,7262,893,"",7267,[],"","4","",7,"",0,"",387,"",2,"","",""
108,7263,894,"",7268,"[806,800,809,810,801,802,803,804,805,807,808]","","5","",8,"",0,"",395,"",2,"","",""
109,7264,895,"",7269,"[893,894]","","6","",8,"",0,"",401,"",2,"","",""
110,7265,896,"",7270,[927],"","7","",8,"",0,"",405,"",2,"","",""
111,7266,897,"",7271,"[786,784,785]","","8","",8,"",0,"",402,"",2,"","",""
112,7267,898,"",7268,[924],"","9","",8,"",0,"",402,"",2,"","",""
113,7268,899,"",7273,[829],"","0","",9,"",0,"",408,"",2,"","",""
114,7269,900,"",7274,"[794,795,796]","","?","",9,"",0,"",413,"",2,"","",""
115,7270,901,"",7275,"[751,752,755]","","!","",9,"",0,"",408,"",2,"","",""
116,7271,902,"",7276,[932],"","(","",9,"",0,"",406,"",2,"","",""
117,7272,903,"",7277,[962],"","\""","",9,"",0,"",407,"",2,"","",""
118,7273,904,905,7278,"[766,767,768,769,772,902]","",")","¿",10,"",0,"",423,446,2,"","",""
119,7274,906,"",7279,"[800,809,810,801,802,803,804,805,807,808]","","-","",10,"",0,"",423,"",2,"","",""
120,7275,907,"",7280,[],"","/","",10,"",0,"",426,"",2,"","",""
121,7276,908,"",7281,[955],"","\\","",10,"",0,"",421,"",2,"","",""
122,7277,909,910,7278,[],"","Û","™",10,"",0,"",426,351,2,"","",""
123,7278,911,"",7282,"[897,898]","","|","",11,"",0,"",428,"",2,"","",""
124,7279,912,"",7283,[916],"","=","",11,"",0,"",428,"",2,"","",""
125,7280,913,"",7284,[915],"","*","",11,"",0,"",436,"",2,"","",""
126,7281,914,"",7285,"[723,867,724,725,726,727]","","†","",11,"",0,"",433,"",2,"","",""
127,7282,915,"",7286,"[740,741,742]","","‡","",12,"",0,"",440,"",2,"","",""
128,7283,916,"",7287,"[879,880,881,882]","","§","",12,"",0,"",442,"",2,"","",""
129,7284,917,"",7288,"[957,961]","","[","",12,"",0,"",441,"",2,"","",""
130,7285,918,"",7289,"[899,900,946]","","]","",12,"",0,"",442,"",2,"","",""
131,7286,919,"",7290,[946],"","_","",13,"",0,"",450,"",2,"","",""
132,7287,920,921,7291,"[925,926]","","~","²",13,"",0,"",452,401,2,"","",""
133,7288,922,"",7292,[949],"","{","",13,"",0,"",453,"",2,"","",""
134,7289,923,"",7294,[939],"","}","",13,"",0,"",456,"",2,"","",""
135,7290,924,"",7295,"[930,929]","","©","",14,"",0,"",461,"",2,"","",""
136,7291,925,"",7296,"[877,878]","","€","%",14,"",0,"",462,"",2,"","",""
137,7292,927,"",7297,"[839,840]","","<","",14,"",0,"",457,"",2,"","",""
138,7293,928,"",7295,[842],"",">","",14,"",0,"",462,"",2,1,"",""
139,7294,929,"",7296,[],"",":","",14,"",0,"",461,"",2,"","",""
140,7295,930,"","","[965,966]","","•","",15,"",0,"",465,"",2,"","",""
141,7296,931,"","","[951,952,953]","","µ","",15,"",0,"",468,"",2,"","",""
142,7297,932,"","",[959],"","»","",15,"",0,"",464,"",2,"","",""
143,7298,934,"",7310,"[1665,1673]","","C","",1,"",0,"",326,"",3,"","",""
144,7299,934,"",7384,"[1665,1673]","","C","",6,143,73,"",326,"",3,"","",""
145,7300,935,"",7308,[1676],"","X","",1,"",0,"",329,"",3,"","",""
146,7301,935,"",7386,[1676],"","X","",6,145,73,"",329,"",3,"","",""
147,7302,936,"",7312,[1677],"","N","",1,"",0,"",327,"",3,"","",""
148,7303,936,"",7378,[1677],"","N","",6,147,73,"",327,"",3,"","",""
149,7304,937,"",7306,[1678],"","3","",1,"",0,"",328,"",3,"","",""
150,7305,937,"",7376,[1678],"","3","",6,149,73,"",328,"",3,"","",""
151,7306,938,"",7326,[1679],"","a","",2,"",0,"",336,"",3,"","",""
152,7307,938,"",7404,[1679],"","a","",7,151,74,"",336,"",3,"","",""
153,7308,939,"",7318,[1681],"","b","",2,"",0,"",335,"",3,"","",""
154,7309,939,"",7398,[1681],"","b","",7,153,74,"",335,"",3,"","",""
155,7310,940,"",7324,[1683],"","W","",2,"",0,"",331,"",3,"","",""
156,7311,940,"",7392,[1683],"","W","",7,155,74,"",331,"",3,"","",""
157,7312,941,"",7314,[1685],"","c","",2,"",0,"",334,"",3,"","",""
158,7313,941,"",7396,[1685],"","c","",7,157,74,"",334,"",3,"","",""
159,7314,942,"",7332,[1686],"","?","",3,"",0,"",337,"",3,"","",""
160,7315,942,"",7410,[1686],"","?","",8,159,75,"",337,"",3,"","",""
161,7316,943,"",7340,[1693],"","2","",3,"",0,"",341,"",3,"","",""
162,7317,943,"",7416,[1693],"","2","",8,161,75,"",341,"",3,"","",""
163,7318,944,"",7330,[999],"","H","",3,"",0,"",340,"",3,"","",""
164,7319,944,"",7418,[999],"","H","",8,163,75,"",340,"",3,"","",""
165,7320,945,"",7338,[1698],"","I","",3,"",0,"",342,"",3,"","",""
166,7321,945,"",7412,[1698],"","I","",8,165,75,"",342,"",3,"","",""
167,7322,946,"",7326,[1706],"","d","",3,"",0,"",344,"",3,"","",""
168,7323,946,"",7408,[1706],"","d","",8,167,75,"",344,"",3,"","",""
169,7324,947,"",7334,[1666],"","S","",3,"",0,"",338,"",3,"","",""
170,7325,947,"",7414,[1666],"","S","",8,169,75,"",338,"",3,"","",""
171,7326,948,949,7336,"[1709,1712]","","G","g",3,"",0,"",339,398,3,"","",""
172,7327,948,949,7420,"[1709,1712]","","G","g",8,171,75,"",339,398,3,"","",""
173,7328,950,"",7354,[1667],"","*","",4,"",0,"",355,"",3,"","",""
174,7329,950,"",7430,[1667],"","*","",9,173,76,"",355,"",3,"","",""
175,7330,952,"",7348,"[1707,1699]","","e","",4,"",0,"",352,"",3,"","",""
176,7331,952,"",7434,"[1707,1699]","","e","",9,175,76,"",352,"",3,"","",""
177,7332,953,"",7346,[1716],"","E","",4,"",0,"",350,"",3,"","",""
178,7333,953,"",7426,[1716],"","E","",9,177,76,"",350,"",3,"","",""
179,7334,954,933,7356,"[1717,1699]","","Ú","Ð",4,"",0,"",349,382,3,"","",""
180,7335,954,933,7430,"[1717,1699]","","Ú","Ð",9,179,76,"",349,382,3,"","",""
181,7336,955,"",7342,"[1745,1746,1747]","","+","",4,"",0,"",348,"",3,"","",""
182,7337,955,"",7436,"[1745,1746,1747]","","+","",9,181,76,"",348,"",3,"","",""
183,7338,956,"",7344,"[1749,1750]","","Ö","",4,"",0,"",356,"",3,"","",""
184,7339,956,"",7428,"[1749,1750]","","Ö","",9,183,76,"",356,"",3,"","",""
185,7340,957,"",7348,"[1751,1752]","","1","",4,"",0,"",353,"",3,"","",""
186,7341,957,"",7424,"[1751,1752]","","1","",9,185,76,"",353,"",3,"","",""
187,7342,958,"",7372,"[1688,1699]","","f","",5,"",0,"",372,"",3,"","",""
188,7343,958,"",7441,"[1688,1699]","","f","",10,187,77,"",372,"",3,"","",""
189,7344,959,"",7374,"[1753,1701]","","8","",5,"",0,"",371,"",3,"","",""
190,7345,959,"",7439,"[1753,1701]","","8","",10,189,77,"",371,"",3,"","",""
191,7346,960,"",7368,[1758],"","O","",5,"",0,"",369,"",3,"","",""
192,7347,960,"",7444,[1758],"","O","",10,191,77,"",369,"",3,"","",""
193,7348,961,"",7360,"[1685,1761]","","h","",5,"",0,"",367,"",3,"","",""
194,7349,961,"",7438,"[1685,1761]","","h","",10,193,77,"",367,"",3,"","",""
195,7350,962,"",7362,"[1762,1763]","","U","",5,"",0,"",366,"",3,"","",""
196,7351,962,"",7438,"[1762,1763]","","U","",10,195,77,"",366,"",3,"","",""
197,7352,964,"",7358,"[1746,1747,1748]","","i","",5,"",0,"",364,"",3,"","",""
198,7353,964,"",7442,"[1746,1747,1748]","","i","",10,197,77,"",364,"",3,"","",""
199,7354,965,"",7366,"[1764,1765]","","F","",5,"",0,"",370,"",3,"","",""
200,7355,965,"",7440,"[1764,1765]","","F","",10,199,77,"",370,"",3,"","",""
201,7356,966,"",7366,"[1718,1719]","","j","",5,"",0,"",365,"",3,"","",""
202,7357,966,"",7443,"[1718,1719]","","j","",10,201,77,"",365,"",3,"","",""
203,7358,967,"",7380,[1768],"","6","",6,"",0,"",373,"",3,"","",""
204,7359,967,"",7448,[1768],"","6","",11,203,78,"",373,"",3,"","",""
205,7360,968,"",7386,"[819,947]","","P","",6,"",0,"",381,"",3,"","",""
206,7361,968,"",7451,"[819,947]","","P","",11,205,78,"",381,"",3,"","",""
207,7362,969,"",7382,"[1772,1773]","","k","",6,"",0,"",383,"",3,"","",""
208,7363,969,"",7451,"[1772,1773]","","k","",11,207,78,"",383,"",3,"","",""
209,7364,970,"",7388,[1774],"","l","",6,"",0,"",379,"",3,"","",""
210,7365,970,"",7446,[1774],"","l","",11,209,78,"",379,"",3,"","",""
211,7366,971,"",7384,"[1766,1765]","","Z","",6,"",0,"",377,"",3,"","",""
212,7367,971,"",7452,"[1766,1765]","","Z","",11,211,78,"",377,"",3,"","",""
213,7368,972,973,7378,"[865,866]","","Ï","È",6,"",0,"",374,350,3,"","",""
214,7369,972,973,7445,"[865,866]","","Ï","È",11,213,78,"",374,350,3,"","",""
215,7370,974,"",7388,"[1778,1779,1713]","","R","",6,"",0,"",378,"",3,"","",""
216,7371,974,"",7447,"[1778,1779,1713]","","R","",11,215,78,"",378,"",3,"","",""
217,7372,975,"",7380,"[1712,1720]","","m","",6,"",0,"",382,"",3,"","",""
218,7373,975,"",7450,"[1712,1720]","","m","",11,217,78,"",382,"",3,"","",""
219,7374,976,"",7378,"[1780,1781]","","M","",6,"",0,"",375,"",3,"","",""
220,7375,976,"",7446,"[1780,1781]","","M","",11,219,78,"",375,"",3,"","",""
221,7376,977,"",7406,"[1766,1767,837]","","n","",7,"",0,"",390,"",3,"","",""
222,7377,977,"",7458,"[1766,1767,837]","","n","",12,221,79,"",390,"",3,"","",""
223,7378,978,"",7396,"[1754,1783,1702]","","[","",7,"",0,"",387,"",3,"","",""
224,7379,978,"",7454,"[1754,1783,1702]","","[","",12,223,79,"",387,"",3,"","",""
225,7380,979,980,7404,[1721],"","Ñ","$",7,"",0,"",386,390,3,"","",""
226,7381,979,980,7457,[1721],"","Ñ","$",12,225,79,"",386,390,3,"","",""
227,7382,981,"",7390,"[1681,1718,1668]","","5","",7,"",0,"",388,"",3,"","",""
228,7383,981,"",7460,"[1681,1718,1668]","","5","",12,227,79,"",388,"",3,"","",""
229,7384,982,"",7400,"[1775,1788]","","o","",7,"",0,"",394,"",3,"","",""
230,7385,982,"",7453,"[1775,1788]","","o","",12,229,79,"",394,"",3,"","",""
231,7386,983,"",7390,"[1701,1793,1797]","","Æ","",7,"",0,"",391,"",3,"","",""
232,7387,983,"",7456,"[1701,1793,1797]","","Æ","",12,231,79,"",391,"",3,"","",""
233,7388,984,"",7402,"[1707,1699,1800]","","B","",7,"",0,"",393,"",3,"","",""
234,7389,984,"",7455,"[1707,1699,1800]","","B","",12,233,79,"",393,"",3,"","",""
235,7390,985,"",7416,"[1771,1767,1766,1804]","","Ë","",8,"",0,"",400,"",3,"","",""
236,7391,985,"",7463,"[1771,1767,1766,1804]","","Ë","",13,235,80,"",400,"",3,"","",""
237,7392,986,"",7414,"[1773,1769]","","K","",8,"",0,"",395,"",3,"","",""
238,7393,986,"",7464,"[1773,1769]","","K","",13,237,80,"",395,"",3,"","",""
239,7394,987,"",7410,"[1807,1801,1802]","","Í","",8,"",0,"",405,"",3,"","",""
240,7395,987,"",7466,"[1807,1801,1802]","","Í","",13,239,80,"",405,"",3,"","",""
241,7396,988,"",7410,"[1754,1699,1717]","","L","",8,"",0,"",401,"",3,"","",""
242,7397,988,"",7466,"[1754,1699,1717]","","L","",13,241,80,"",401,"",3,"","",""
243,7398,989,"",7418,"[1797,1798,1809]","","q","",8,"",0,"",399,"",3,"","",""
244,7399,989,"",7465,"[1797,1798,1809]","","q","",13,243,80,"",399,"",3,"","",""
245,7400,990,991,7422,"[1810,1811,1759]","","D","Ç",8,"",0,"",398,381,3,"","",""
246,7401,990,991,7462,"[1810,1811,1759]","","D","Ç",13,245,80,"",398,381,3,"","",""
247,7402,992,"",7400,"[1781,1752,1803]","","Á","",8,"",0,"",396,"",3,"","",""
248,7403,992,"",7462,"[1781,1752,1803]","","Á","",13,247,80,"",396,"",3,"","",""
249,7404,993,"",7408,"[1760,1808]","","Q","",8,"",0,"",402,"",3,"","",""
250,7405,993,"",7461,"[1760,1808]","","Q","",13,249,80,"",402,"",3,"","",""
251,7406,994,995,7408,"[1706,1714]","","T","^",8,"",0,"",397,404,3,"","",""
252,7407,994,995,7461,"[1706,1714]","","T","^",13,251,80,"",397,404,3,"","",""
253,7408,996,"",7432,"[1694,850]","","Ü","",9,"",0,"",409,"",3,"","",""
254,7409,996,"",7468,"[1694,850]","","Ü","",14,253,81,"",409,"",3,"","",""
255,7410,997,998,7426,[1722],"","A","Å",9,"",0,"",414,426,3,"","",""
256,7411,997,998,7469,[1722],"","A","Å",14,255,81,"",414,426,3,"","",""
257,7412,999,951,7428,"[1667,1723]","","V","Õ",9,"",0,"",413,415,3,"","",""
258,7413,999,951,7469,"[1667,1723]","","V","Õ",14,257,81,"",413,415,3,"","",""
259,7414,1000,"",7422,"[1749,1750,1817,1819]","","9","",9,"",0,"",411,"",3,"","",""
260,7415,1000,"",7467,"[1749,1750,1817,1819]","","9","",14,259,81,"",411,"",3,"","",""
261,7416,1001,1002,7434,"[1820,1789]","","J","Ô",9,"",0,"",407,441,3,"","",""
262,7417,1001,1002,7471,"[1820,1789]","","J","Ô",14,261,81,"",407,441,3,"","",""
263,7418,1003,1004,7424,"[1775,1776]","","Ó","Ù",9,"",0,"",406,428,3,"","",""
264,7419,1003,1004,7470,"[1775,1776]","","Ó","Ù",14,263,81,"",406,428,3,"","",""
265,7420,1005,1006,7436,[983],"","Y","À",9,"",0,"",408,403,3,"","",""
266,7421,1005,1006,7468,[983],"","Y","À",14,265,81,"",408,403,3,"","",""
267,7422,1007,1008,7430,"[1750,1823,1822,1821]","","Ä","ß",9,"",0,"",415,413,3,"","",""
268,7423,1007,1008,7467,"[1750,1823,1822,1821]","","Ä","ß",14,267,81,"",415,413,3,"","",""
269,7424,1009,"",7438,"[1823,1822,1821,1777]","","Œ","@",10,"",0,"",420,"",3,"","",""
270,7425,1009,"",7473,"[1823,1822,1821,1777]","","Œ","@",15,269,82,"",420,"",3,"","",""
271,7426,1010,"",7439,"[1817,1665,1674]","","]","",10,"",0,"",425,"",3,"","",""
272,7427,1010,"",7475,"[1817,1665,1674]","","]","",15,271,82,"",425,"",3,"","",""
273,7428,1011,1012,7444,"[1761,1713,1691]","","~","²",10,"",0,"",426,401,3,"","",""
274,7429,1011,1012,7475,"[1761,1713,1691]","","~","²",15,273,82,"",426,401,3,"","",""
275,7430,1013,"",7440,"[1824,1708,1700]","","\""","",10,"",0,"",421,"",3,"","",""
276,7431,1013,"",7474,"[1824,1708,1700]","","\""","",15,275,82,"",421,"",3,"","",""
277,7432,1014,"",7441,"[1780,1781,1803]","","r","",10,"",0,"",423,"",3,"","",""
278,7433,1014,"",7472,"[1780,1781,1803]","","r","",15,277,82,"",423,"",3,"","",""
279,7434,1015,"",7438,"[1713,1817,1753,1749]","","4","",10,"",0,"",427,"",3,"","",""
280,7435,1015,"",7473,"[1713,1817,1753,1749]","","4","",15,279,82,"",427,"",3,"","",""
281,7436,1016,1017,7443,"[1698,1803,1703,1710]","","É","æ",10,"",0,"",419,391,3,"","",""
282,7437,1016,1017,7474,"[1698,1803,1703,1710]","","É","æ",15,281,82,"",419,391,3,"","",""
283,7438,1018,"",7451,"[1685,1669,1675,1684]","","/","",11,"",0,"",434,"",3,"","",""
284,7439,1019,1020,7446,"[1724,1725,1726,1805]","","Û","™",11,"",0,"",436,351,3,"","",""
285,7440,1021,"",7447,"[1712,1771,1755,1711]","","{","",11,"",0,"",432,"",3,"","",""
286,7441,1022,"",7449,"[1683,1817,1685]","","=","",11,"",0,"",429,"",3,"","",""
287,7442,1023,1024,7450,"[1727,1728,1729,1716]","","Ÿ","#",11,"",0,"",428,445,3,"","",""
288,7443,1025,"",7452,"[1755,1767,1704,1794]","","0","",11,"",0,"",433,"",3,"","",""
289,7444,1026,"",7445,"[1685,1761,1825,1827]","","_","",11,"",0,"",437,"",3,"","",""
290,7445,1027,"",7459,"[1670,1719]","","|","",12,"",0,"",441,"",3,"","",""
291,7446,1028,"",7454,"[1796,1715,1781,1682]","","s","",12,"",0,"",444,"",3,"","",""
292,7447,1029,1030,7453,"[1695,1722,1730]","",")","¿",12,"",0,"",442,446,3,"","",""
293,7448,1031,"",7458,"[1794,1769,1770,1795]","","-","",12,"",0,"",446,"",3,"","",""
294,7449,1032,"",7457,"[1749,1750,1819,1761,1753]","","t","",12,"",0,"",447,"",3,"","",""
295,7450,1033,"",7448,"[1806,1671]","","(","",12,"",0,"",439,"",3,"","",""
296,7451,1034,"",7460,"[1803,1780,1752,1731]","","‡","",12,"",0,"",445,"",3,"","",""
297,7452,1035,"",7455,"[1672,1732,1733]","","u","",12,"",0,"",443,"",3,"","",""
298,7453,1036,"",7462,"[1778,1779,1799]","","v","",13,"",0,"",453,"",3,"","",""
299,7454,1037,"",7466,"[1810,1811,1793,1734]","","w","",13,"",0,"",448,"",3,"","",""
300,7455,1038,"",7464,"[1794,1810]","","!","",13,"",0,"",449,"",3,"","",""
