"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool","i32","[rid]"
36,"BreachDomainChaos2",[7713],1067,"",0,"",0,"","","",[],"",1344,[]
37,"BreachDomainFire3",[7714],1073,"",0,"",0,"","","",[],"",1344,[]
38,"BreachDomainCold3",[7715],1074,"",0,"",0,"","","",[],"",1344,[]
39,"BreachDomainLightning3",[7716],1075,"",0,"",0,"","","",[],"",1344,[]
40,"BreachDomainPhysical3",[7717],1071,"",0,"",0,"","","",[],"",1344,[]
41,"BreachDomainChaos3",[7718],1072,"",0,"",0,"","","",[],"",1344,[]
42,"BreachDomainFire4",[7719],1078,"",0,"",0,"","","",[],"",1344,[]
43,"BreachDomainCold4",[7720],1079,"",0,"",0,"","","",[],"",1344,[]
44,"BreachDomainLightning4",[7721],1080,"",0,"",0,"","","",[],"",1344,[]
45,"BreachDomainPhysical4",[7722],1076,"",0,"",0,"","","",[],"",1344,[]
46,"BreachDomainChaos4",[7723],1077,"",0,"",0,"","","",[],"",1344,[]
47,"BreachDomainFire5",[7724],1083,"",0,"",0,"","","",[],"",1344,[]
48,"BreachDomainCold5",[7725],1084,"",0,"",0,"","","",[],"",1344,[]
49,"BreachDomainLightning5",[7726],1085,"",0,"",0,"","","",[],"",1344,[]
50,"BreachDomainPhysical5",[7727],1081,"",0,"",0,"","","",[],"",1344,[]
51,"BreachDomainChaos5",[7728],1082,"",0,"",0,"","","",[],"",1344,[]
52,"EndgameLegionMap","[7729,7731,7732,7733,7730,7734,7735,7736,7737,7738]",1303,86,0,"",2,1,"","",[],"",1344,[]
53,"EndgameLegionMap2","[7729,7731,7732,7733,7730,7734,7735,7736,7737,7738]",1304,86,0,"",3,1,"","",[],"",1344,[]
54,"EndgameLegionMap3","[7729,7731,7732,7733,7730,7734,7735,7736,7737,7738]",1305,86,0,"",4,1,"","",[],"",1344,[]
55,"EndgameLegionMap4","[7729,7731,7732,7733,7730,7734,7735,7736,7737,7738]",1306,86,0,"",5,1,"","",[],"",1344,[]
56,"AfflictionBoss",[7739],1510,122,0,"",0,"","","",[],"",1344,[]
57,"MavenFight","[10300,10301,10302,10303,10304,10305,10306,10307,10308,10309,10311]",1745,157,0,"",1,1,"",1,[],"",1344,[]
58,"MavenBoss",[10352],1746,157,0,"",0,1,"",1,[],"",1344,[]
59,"VaalVault",[7746],280,24,0,"",0,"","","",[],"",1344,[]
60,"IncursionTemple",[10385],295,50,0,"",0,"","","",[8347],"",1344,[]
61,"UltimatumTrial",[10386],1756,159,0,"",0,"","",1,[],"",1344,[]
62,"HarvestBoss",[10387],1310,135,0,"",0,"","","",[],"",1344,[]
63,"SirusBoss","[7698,7699,7700,7701]",1649,110,0,"",0,"",1,"",[],"",1344,[]
64,"TangleMiniBossQuest",[10850],1290,197,79,986,0,"","","",[],"",1344,[]
65,"TangleMiniBoss",[10851],1290,197,83,"",0,1,"","",[],"",1344,[]
66,"TangleBossQuest",[10852],1293,198,83,986,0,"","","",[],"",1344,[]
67,"TangleBoss",[10853],1293,198,84,"",0,1,"","",[],"",1344,[]
68,"CleansingFireMiniBossQuest",[10854],1291,195,79,987,0,"","","",[],"",1344,[]
69,"CleansingFireMiniBoss",[10855],1291,195,83,"",0,1,"","",[],"",1344,[]
70,"CleansingFireBossQuest",[10856],1292,196,83,987,0,"","","",[],"",1344,[]
71,"CleansingFireBoss",[10857],1292,196,84,"",0,1,"","",[],"",1344,[]
72,"Lake",[10919],1787,205,0,"",0,"","","",[],"",1344,[]
73,"Crucible",[7643],1858,"",0,"",0,"","","",[],"",1344,[]
74,"CrucibleUber",[7644],1859,"",0,"",0,"","","",[],"",1344,[]
75,"UberBossShaper","[10354,10354,10354,10354,10354]",1250,20,85,"",0,"","","",[],"",318,[8252]
76,"UberBossUberElder","[10355,10355,10355,10355,10355]",1289,20,85,"",0,"","","",[],"",319,[8252]
77,"UberBossSirus","[10356,10356,10356,10356,10356]",1649,110,85,"",0,"","","",[],"",347,[8252]
78,"UberBossCortex","[10357,10357,10357,10357,10357]",453,"",85,"",0,"","","",[],"",91,"[20648,21874,21877,21879,8252]"
79,"UberBossMaven","[10358,10358,10358,10358,10358]",1746,157,85,"",0,"","","",[],"",885,[8252]
80,"UberBossEater","[10359,10359,10359,10359,10359]",1293,198,85,"",0,"","","",[],"",212,[8252]
81,"UberBossExarch","[10360,10360,10360,10360,10360]",1292,196,85,"",0,"","","",[],"",328,[8252]
