"rownum","Id","bool","bool","bool","i32","i32","i32","i32","bool","rid","i32","i32","bool","i32","i32","[rid]"
36,"SpellBuffFire","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
37,"SpellBuffCold","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
38,"SpellBuffLightning","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
39,"SpellBuffChaos","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
40,"Throw","","","",-16843010,-16843010,99,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
41,"Flurry","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
42,"LayTrap","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
43,"Emerge","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
44,"DualStrike","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
45,"Snipe","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
46,"Block","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
47,"GlacialHammer","","","",-16843010,-16843010,48,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
48,"OffGlacialHammer","","","",47,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
49,"Emerge2","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
50,"Emerge3","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
51,"HeavyStrike","","","",-16843010,-16843010,52,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
52,"OffHeavyStrike","","","",51,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
53,"RainOfArrows","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
54,"BlastRain","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
55,"CloneShot","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
56,"Backstab","","","",-16843010,-16843010,57,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
57,"OffBackstab","","","",56,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
58,"Frenzy","","","",-16843010,-16843010,59,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
59,"OffFrenzy","","","",58,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
60,"PowerShot","","","",-16843010,-16843010,61,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
61,"OffPowerShot","","","",60,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
62,"Taunt","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
63,"ChangeToStance1","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
64,"ChangeToStance2","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
65,"ChangeToStance3","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
66,"Revive","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
67,"ShadowProjectiles","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
68,"HookOut","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
69,"HookIn","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
70,"Dance",1,"","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
71,"Channel",1,1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
72,"AttackChannel",1,1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
73,"Cyclone",1,1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
74,"Hide","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
75,"Hide2","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
76,"Hide3","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
77,"BarrageStart","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
78,"BarrageFireMain","","","",-16843010,-16843010,79,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
79,"BarrageFireOff","","","",78,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
80,"LongOpen",1,"","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
81,"Submerge","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
82,"Puncture","","","",-16843010,-16843010,83,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
83,"OffPuncture","","","",82,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
84,"DodgeLeft","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
85,"DodgeRight","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
86,"DodgeForward","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
87,"DodgeBack","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
88,"SpellBuffFast","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
89,"IncreasingPulses","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
90,"Pant","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
91,"CastFast","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
92,"ChannelEnd","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
93,"ChannelUnleash","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
94,"ChannelAttackUnleash","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
95,"SpectralThrow","","","",-16843010,-16843010,96,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
96,"SpectralThrowOff","","","",95,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
97,"Teleport","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
98,"Knockdown","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
99,"ThrowOff","","","",40,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
100,"IdleRelaxed",1,"","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
101,"ChannelBow","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
102,"ChannelBowEnd","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
103,"RainOfSpores","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
104,"GroundSlamOffhand","","","",13,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
105,"LeapSlamOffhand","","","",14,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
106,"DoubleStrikeOffhand","","","",15,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
107,"AttackChannelEnd","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
108,"ChangeToStance4","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
109,"ChainStrikeThrow","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
110,"SliceAndDice","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
111,"ChargeStart","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
112,"CoilingAssault","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
113,"AttackProjectileUpward","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
114,"MetamorphosisSkill1","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
115,"MetamorphosisSkill2","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
116,"MetamorphosisSkill3","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
117,"ChannelBowUpwards","",1,"",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
118,"ChannelBowUpwardsEnd","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
119,"DeathFromDegen",1,"","",6,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
120,"DeathWhileMoving",1,"","",6,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
121,"DeathForward",1,"","",6,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
122,"DeathBackward",1,"","",6,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
123,"DeathLeft",1,"","",6,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
124,"DeathRight",1,"","",6,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
125,"TakeHitForward",1,"","",5,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
126,"TakeHitBackward",1,"","",5,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
127,"TakeHitLeft",1,"","",5,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
128,"TakeHitRight",1,"","",5,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
129,"Warcry","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
130,"RunBackwards",1,"",1,4,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
131,"ChangeToStance5","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
132,"RunLeft",1,"",1,4,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
133,"RunRight",1,"",1,4,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
134,"ShieldBash","","","",99,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
135,"ReviveFromDegen","","","",66,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
136,"ReviveWhileMoving","","","",66,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
137,"ReviveForward","","","",66,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
138,"ReviveBackward","","","",66,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
139,"ReviveLeft","","","",66,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
140,"ReviveRight","","","",66,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
141,"Fling","","","",40,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
142,"ChargeEndLeft","","","",11,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
143,"ChargeEndRight","","","",11,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
144,"ChargeEnd180","","","",11,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
145,"RingOfIce","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
146,"RingOfIceStatueWindup","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
147,"RingOfIceStatueAttack","","","",-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
148,"CrucibleChannel",1,"","",71,0,151,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
149,"CrucibleChannelEnd","","","",92,0,152,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
150,"CrucibleChannelStart","","","",82,0,153,0,"","",-16843010,-16843010,"",-16843010,-16843010,[]
151,"CrucibleChannelOff",1,"","",148,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
152,"CrucibleChannelEndOff","","","",149,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
153,"CrucibleChannelStartOff","","","",150,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
154,"CrucibleChannelShield",1,"","",151,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
155,"CrucibleChannelEndShield","","","",152,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
156,"CrucibleChannelStartShield","","","",153,0,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
157,"FixedRun",1,"",1,-16843010,-16843010,-16843010,-16843010,"","",-16843010,-16843010,"",-16843010,-16843010,[]
158,"LookLeft","","","",-16843010,-16843010,-16843010,-16843010,1,"",-16843010,-16843010,"",-16843010,-16843010,[]
159,"LookRight","","","",-16843010,-16843010,-16843010,-16843010,1,"",-16843010,-16843010,"",-16843010,-16843010,[]
