"rownum","rid_0","[rid]_16","[i32]_32"
201,3025,[18221],[15]
202,3054,[543],[150]
203,3055,[543],[25]
204,3073,[18223],[40]
205,3081,[18224],[40]
206,3241,[18627],[-50]
207,3291,[2538],[25]
208,3293,[480],[4]
209,3335,[24],[10]
210,3363,[20267],[-10]
211,3365,[20267],[22]
212,3433,[19257],[100]
213,3568,[20035],[2]
214,3583,[1606],[1]
215,3612,[4777],[100]
216,3613,[18138],[10]
217,3615,[19347],[50]
218,3617,[1193],[1]
219,3619,[19068],[100]
220,3627,[15772],[1]
221,3628,[17029],[12]
222,3629,[19047],[1]
223,3784,[21713],[1]
224,2466,[118],[-20]
225,2894,[119],[750]
226,2897,[119],[273]
227,2944,[3018],[500]
228,2961,[101],[5]
229,3016,[210],[12]
230,3211,[18417],[25]
231,3213,[18229],[15]
232,3251,[153],[12]
233,3301,[739],[1]
234,3327,[196],[-50]
235,3328,[9613],[50]
236,3330,"[12587,12725]","[1,1]"
237,3341,[19406],[1]
238,3364,[20267],[7]
239,3425,[18412],[12]
240,3432,[2038],[1]
241,3441,[7751],[25]
242,3542,[18107],[35]
243,3546,[1400],[4000]
244,3564,[1993],[-30]
245,3582,[5076],[1]
246,3643,[8180],[1]
247,3644,[8178],[1]
248,3645,[8188],[1]
249,3705,[7393],[1]
250,3706,[7697],[-1]
251,3917,[1475],[100]
252,3918,[18013],[100]
253,3923,[19796],[100]
254,2253,[138],[40]
255,2534,[127],[50]
256,2890,[119],[570]
257,3164,[947],[4]
258,3303,[17020],[75]
259,3310,[1886],[1]
260,3428,[16858],[1]
261,3434,[5491],[-5]
262,3435,[5492],[15]
263,3579,[4888],[300]
264,3580,[20295],[1]
265,3449,[19597],[1]
266,3450,[19582],[40]
267,3451,[19585],[1]
268,3347,[18782],[1]
269,3588,[20171],[1]
270,2954,[99],[15]
271,2956,[99],[30]
272,3218,[18768],[40]
273,3461,[19674],[1]
274,3462,[19623],[1]
275,3584,[20759],[1]
276,3587,[18899],[100]
277,3593,[4011],[10000]
278,3206,[18228],[100]
279,3299,[2322],[1]
280,3586,[20016],[100]
281,2955,[99],[12]
282,2968,[101],[12]
283,3008,[210],[7]
284,3295,[20742],[1]
285,3487,[19034],[25]
286,3638,[18979],[25]
287,2957,[99],[7]
288,3011,[210],[15]
289,3012,[210],[15]
290,3017,[210],[15]
291,3205,[18228],[100]
292,3208,[18417],[100]
293,2953,[99],[25]
294,2965,[101],[15]
295,2986,[70],[50]
296,3179,[168],[3]
297,3230,[169],[25]
298,3296,[170],[50]
299,3297,[1080],[-50]
300,3491,[1128],[2]
301,2966,[101],[5]
302,3210,[18417],[40]
303,3590,[19195],[-30]
304,3591,[20733],[100]
305,3594,[4381],[2]
306,3940,[193],[30]
307,3463,[19681],[50]
308,3553,[958],[1]
309,3838,[22207],[1]
310,3728,[21058],[10]
311,2364,[135],[12]
312,2365,[135],[12]
313,2366,[135],[35]
314,2367,[135],[10]
315,2369,[135],[15]
316,2372,[135],[15]
317,3767,[696],[1]
318,3823,"[21141,21143,21144]","[1,60,5000]"
319,3178,[18902],[20]
320,3765,[8014],[1]
321,3764,[12479],[1]
322,3781,[21698],[1]
323,3320,[9037],[50]
324,3403,[3266],[15]
325,3806,[21060],[100]
326,3373,[1082],[20]
327,3322,[21157],[20]
328,3799,[21585],[1]
329,3840,[21865],[1]
330,3739,[21528],[1]
331,3780,[3118],[1]
332,3498,[7389],[25]
333,3766,[1617],[1]
334,3832,[21689],[6000]
335,3830,[22375],[2]
336,2398,[144],[20]
337,2400,[144],[20]
338,3941,[193],[25]
339,3511,[9486],[1]
340,3512,[9487],[1]
341,3851,[15813],[1]
342,2312,[140],[25]
343,2313,[140],[30]
344,2314,[140],[25]
345,2315,[140],[30]
346,2318,[140],[25]
347,3727,[21522],[1]
348,3831,[21688],[1]
349,3826,[21939],[1]
350,3812,[21541],[10]
351,3762,[21156],[4]
352,3748,[471],[25]
353,3791,[21714],[15]
354,3233,[9018],[7]
355,3736,[21229],[1]
356,3724,[1326],[1]
357,3718,[21165],[1]
358,3497,[2229],[20]
359,3864,[585],[10]
360,3863,[21839],[1]
361,3729,[21059],[5]
362,3731,[21163],[1]
363,3732,[21161],[100]
364,3730,[21063],[10]
365,3716,[21167],[1]
366,3865,[2609],[1]
367,3853,[22034],[100]
368,3419,[133],[40]
369,3802,[21062],[10000]
370,3174,[132],[40]
371,3175,[132],[75]
372,3176,[132],[1000]
373,3807,[21858],[100]
374,3790,[1233],[150]
375,3916,[18015],[100]
376,2280,[138],[30]
377,2283,[138],[25]
378,3836,[21740],[1]
379,3486,[19034],[15]
380,3822,[451],[1]
381,3888,[451],[1]
382,3825,[21938],[1]
383,3010,[210],[20]
384,2531,[113],[125]
385,3552,[160],[-25]
386,3800,[5685],[1]
387,2972,[335],[5]
388,3829,[21700],[1]
389,2945,[3013],[650]
390,2946,[3013],[1000]
391,2947,[3013],[800]
392,3763,[14762],[5000]
393,3745,[21622],[1]
394,2904,[119],[2700]
395,2905,[119],[900]
396,2906,[119],[750]
397,2907,[119],[600]
398,2909,[119],[450]
399,2910,[119],[1800]
400,2911,[119],[1350]
401,2912,[119],[300]
402,3919,[1478],[100]
403,2341,[142],[40]
404,2344,[142],[30]
405,2346,[142],[30]
406,2832,[1105],[15]
407,2842,[1107],[50]
408,3348,[4822],[1]
409,3835,[21542],[1]
410,3862,[22156],[1]
411,3843,[21963],[40]
412,3839,[21868],[32]
413,3778,[2764],[15]
414,3779,[2764],[20]
415,2999,[70],[25]
416,2987,[70],[10]
417,3847,[18544],[25]
418,3872,[22236],[1]
419,3769,[104],[1]
420,3458,[4629],[5]
421,3300,[5153],[100]
422,3219,[18768],[175]
423,3747,[12652],[1]
424,3717,[21168],[1]
425,3719,[21166],[1]
426,3776,[19871],[-20]
427,3768,[1245],[1]
428,3253,[153],[-50]
429,3798,[15940],[1]
430,3852,[21940],[1]
431,3513,[9484],[1]
432,3514,[9485],[1]
433,3808,[21874],[1]
434,3844,[21871],[50]
435,3845,[21871],[100]
436,3811,[21872],[50]
437,3242,[18627],[-50]
438,3243,[18627],[45]
439,3846,[21965],[1]
440,3231,[169],[25]
441,3810,[15735],[1]
442,3720,[21138],[1]
443,3554,[1276],[1]
444,3161,[14119],[-40]
445,3162,[14119],[-50]
446,3154,[201],[40]
447,3158,[14118],[-50]
448,3212,[18229],[75]
449,3738,[19393],[25]
450,3783,[20746],[4]
451,3550,[2398],[1]
452,3770,[21555],[25]
453,3746,[21492],[1]
454,3725,[21495],[1]
455,3777,[20191],[1]
456,10100,[3239],[22]
