"rownum","BaseItemType","Scaling","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
54,1148,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
55,1149,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
56,1150,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
57,1151,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
58,1152,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
59,1153,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
60,1154,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
61,1155,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
62,1156,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
63,1157,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
64,1158,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
65,1159,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
66,1160,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
67,1161,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
68,1162,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
69,1163,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
70,1164,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
71,1165,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
72,1166,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
73,1167,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
74,1169,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
75,1170,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
76,1171,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
77,1172,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
78,1173,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
79,1174,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
