"rownum","Id","ExorciseIcon","Name","i32","[rid]","IllustratuionIcon","UniqueCraft","BaseItem","TextAudioLong","bool","bool","Achievements","TextAudioShort"
20,"Warstaff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWarStaff","Warstaff",1,[57],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWarStaff","","",17025,1,1,10309,17077
21,"Claw","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconClaw","Claw",1,[6],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationClaw","","",17027,1,1,10301,17079
22,"Wand","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWand","Wand",1,[8],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWand","","",17028,1,1,10311,17080
23,"PerandusUnique","","Perandus",1,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPerandus",0,"",17030,"","","",17030
24,"PhreciaUnique","","Phrecia",1,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPhrecia",1,"",17032,"","","",17032
25,"VerusoUnique","","Veruso",1,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationVeruso",2,"",17034,"","","",17034
26,"NevaliusUnique","","Nevalius",1,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationNavalius",3,"",17036,"","","",17036
27,"GrattusUnique","","Grattus",1,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGrattus",4,"",17038,"","","",17038
28,"BreachRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Breach Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5658,17001,"","",10307,17053
29,"StygianVise","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconBelt","Stygian Vise",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationBelt","",5730,16997,"","",10297,17049
30,"Talisman","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAmulet","Talisman",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet","","",16999,"","",10295,17051
31,"BoneRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Bone Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5637,17001,"","",10307,17053
32,"VermillionRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Vermillion Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5654,17001,"","",10307,17053
33,"SteelRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Steel Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5652,17001,"","",10307,17053
34,"OpalRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Opal Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5653,17001,"","",10307,17053
35,"IoliteRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Iolite Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5656,17001,"","",10307,17053
36,"CeruleanRing","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconRing","Cerulean Ring",2,[],"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationRing","",5655,17001,"","",10307,17053
