"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
70,11218,9898,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate",3
71,11219,9899,"Causes Bleeding\r\nNearby enemies have 50% reduced Life Regeneration rate\r\nCan inflict Bleeding on an Enemy up to 16 times\r\nBleeding does not deal extra Damage while the enemy is moving",3
72,11220,9891,"Summons constructs\r\n5% increased Attack Damage per 450 Armour",2
73,11221,9892,"Summons constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby constructs with 100% increased Damage and 30% Attack and Cast Speed",2
74,11222,9893,"Summons constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby constructs with 100% increased Damage and 30% Attack and Cast Speed\r\nNearby allies gain 20% of Physical Damage as Extra Lightning Damage",2
75,11223,9868,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life",1
76,11224,9869,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent",1
77,11225,9870,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent\r\nWhile on Low Life nearby allies gain spell damage",1
78,11226,9871,"",1
79,11227,9872,"",1
80,11228,9873,"",1
81,11229,9912,"Summons Spiders\r\n",4
82,11230,9913,"Summons Spiders\r\nAlly spiders deal additional chaos damage with attacks",4
83,11231,9914,"Summons Spiders\r\nAlly spiders deal additional chaos damage with attacks\r\nOwner gains 20% increased Effect of Withered",4
84,11232,9885,"Must be linked to be powered",2
85,11233,9886,"Must be Linked to be powered\r\n100% effects of Links on this",2
86,11234,9887,"Must be linked to be powered\r\n100% effects of Links on this\r\nOwner gains 20% increased Skill Effect Duration",2
87,11235,9906,"High Life",3
88,11236,9907,"Higher Life\r\nReleases a caustic cloud when hit",3
89,11237,9908,"Highest Life\r\nReleases a caustic cloud when hit\r\nOwner's minions have 40% increased maximum Life",3
90,11238,9850,"Casts channelled Lightning Beam\r\nCannot inflict Shock",0
91,11239,9851,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion",0
92,11240,9852,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion\r\nCasts Purity of Lightning",0
93,11241,9915,"5% increased Attack Damage per 450 Evasion Rating",4
94,11242,9916,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit",4
95,11243,9917,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit\r\nCasts Haste",4
96,11244,9918,"Buffs Owner with Rongokurai's Boon",4
97,11245,9919,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction",4
98,11246,9920,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction\r\nCasts Determination",4
99,11247,9879,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams",2
100,11248,9880,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite",2
101,11249,9881,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite\r\nLightning Beam has 20% Maximum Effect of Shock",2
102,11250,9921,"Cyclones\r\nUses Molten Fissure",5
103,11251,9922,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike",5
104,11252,9923,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike\r\nNearby allies have Onslaught",5
