"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","TagsKeys","ExperienceMultiplier","[i32]","i32","i32","i32","CriticalStrikeChance","i32","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool","i32","i32","i32","i32","i32","i32","i32","bool","string","KillWhileOnslaughtIsActive_AchievementItemsKey","MonsterSegmentsKey","MonsterArmoursKey","KillWhileTalismanIsActive_AchievementItemsKey","Part1_ModsKeys","Part2_ModsKeys","Endgame_ModsKeys","rid","i32","i32","[rid]","[rid]","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","i32","EPKFile","i32","MonsterConditionalEffectPacksKey","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","AddonMonsterTypeIndex","i32","i32","i32","i32","i32","bool"
10,"Metadata/Monsters/Bandits/BanditBowPoisonArrow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,638,11029]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Alira's Deadeye",144,108,1995,[8205],[7127],7522,13,"","",0,[],[],[646],1,1,6,100,0,0,100,60587,"","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
11,"Metadata/Monsters/Bandits/BanditCaster",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,638]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Shadow Archer",144,108,1995,[8205],[7127],7522,13,"","",0,[],[],[643],1,1,6,100,0,0,100,30870,"","","",0,1,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
12,"Metadata/Monsters/Bandits/BanditCasterSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,638]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Shadow Archer",60,96,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,36706,"","","",0,1,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
13,"Metadata/Monsters/Bandits/BanditBowBossBlackwood",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowUnique","[3973,7745,13603]",1,"","",130,3,6,4,1,0,"[750,806,786,71,48,768,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,"[4333,1982,3001,1844,391]","Metadata/Monsters/Bandits/BanditBowBossBlackwood.ais","[6105,6111]","",1,"Targa, Beast Poacher",120,200,1995,[8205],[7127],7522,13,"","",0,[],[8344],[],"",1,6,100,0,0,100,53545,"","","",3,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,200,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
14,"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",[3973],1,"","",130,3,6,4,1,0,"[750,806,786,71,48,829,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,[391],"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone.ais","[6105,6111]","",1,"Targa, Beast Poacher",120,200,1995,[8205],[7127],7522,13,"","",0,[],[8344],[],"",1,6,100,0,0,100,15964,"","","",3,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,200,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
15,"Metadata/Monsters/Bandits/BanditGuardMeleeChaos",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6207,20448]",1,"","",100,3,6,1,1,0,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,11028]","Metadata/Monsters/Bandits/BanditMelee.ais","[6105,6111]","",1,"Alira's Blood Hand",90,115,1350,"[7111,7091]","[9192,9193]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,14395,"","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
16,"Metadata/Monsters/Bandits/BanditGuardMeleePuncture",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20448],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1824,11028]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6105,6111]","",1,"Kraityn's Stalwart",90,115,1350,"[7111,7091]","[7237,7238]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,42664,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
17,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6544,20448]",1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1824,11028]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6105,6111]","",1,"Kraityn's Stalwart",90,115,1350,"[7111,7091]","[7237,7238]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,36906,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
18,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20448],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1824,11028]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6105,6111]","",1,"Guard Stalwart",80,100,1350,"[7111,7091]","[7237,7238]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,37632,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,100,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
19,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMark",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20448],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1103,11028]","Metadata/Monsters/Bandits/BanditMelee.ais","[6105,6111]","",1,"Oak's Fist",90,115,1350,"[7111,7091]","[7237,7238]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,50929,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
20,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6544,20448]",1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1103,11028]","Metadata/Monsters/Bandits/BanditMelee.ais","[6105,6111]","",1,"Oak's Fist",90,115,1350,"[7111,7091]","[7237,7238]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,2988,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
21,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20448],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1103,11028]","Metadata/Monsters/Bandits/BanditMelee.ais","[6105,6111]","",1,"Guard Stalwart",80,100,1350,"[7111,7091]","[7237,7238]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,31991,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,100,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
22,"Metadata/Monsters/Bandits/BanditGuardBow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,4943]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Oak's Guardian",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,55283,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
23,"Metadata/Monsters/Bandits/BanditGuardBow2",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Treacherous Deserter",144,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,3170,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
24,"Metadata/Monsters/Bandits/BanditGuardBowSpawner",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[6544],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,4943]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Oak's Guardian",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,9355,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
25,"Metadata/Monsters/Bandits/BanditGuardBowSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,4943]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Guard Archer",60,96,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,62894,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
26,"Metadata/Monsters/Bandits/BanditGuardBowBurningArrow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,1920]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Kraityn's High Guard",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,7362,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
27,"Metadata/Monsters/Bandits/BanditGuardBowBurningArrowSpawner",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[6544],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11029,1920]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Kraityn's High Guard",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,5228,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
28,"Metadata/Monsters/Bandits/BanditGuardBowExplosiveArrow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1037,11029]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Kraityn's High Guard",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,15700,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
29,"Metadata/Monsters/Bandits/BanditGuardBowExplosiveArrowSpawner",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[6544],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1037,11029]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Kraityn's High Guard",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,49489,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
30,"Metadata/Monsters/Bandits/BanditGuardBowExplosiveArrowSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1037,11029]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Guard Archer",60,96,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,55506,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
31,"Metadata/Monsters/Bandits/BanditGuardBowPoison",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,638,11029]","Metadata/Monsters/Bandits/BanditBow.ais","[6105,6111]","",1,"Alira's Souleye",72,108,1995,[8205],[7127],7522,13,"","",0,[],[],[],"",1,6,100,0,0,100,32972,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
32,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira",484,30,2,6,35,"[""Metadata/Monsters/BanditLeaderInt/BanditLeaderInt.act""]","[""Metadata/Monsters/BanditLeaderInt/BanditLeaderInt.ao""]","Metadata/Monsters/BanditLeaderInt/BanditLeaderInt","[20453,22732,3892]",1,"","",100,3,6,8,2,0,"[750,34,766,783,71,48,807,796,803,30,29,765,32,118]",120,[],105,105,700,500,0,"[390,8663]","Metadata/Monsters/BanditLeaderInt/BanditLeaderInt.ais",[],"Relaxed",1,"Alira Darktongue",144,540,1245,[9188],[7253],"",8,26,"",0,[],[],[],"",1,6,100,0,0,100,52862,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,540,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,""
