"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","Armour","Difficulty","MinionDamage","AltLife1","AltDamage1","AltDamage2","AltLife2","EvasiveEvasion","AilmentThreshold","StunThreshold","i32"
23,"24",45.57,106,204,366,968,1005,126,1,47.74,213,0,0,21,6000,17,0,0
24,"25",47.8,111,214,400,1058,1066,137,1,51.11,223,0,0,22,6000,17,0,0
25,"26",50.09,117,224,434,1153,1130,149,1,54.66,234,0,0,23,6000,17,0,0
26,"27",52.45,122,234,472,1252,1195,161,1,58.39,245,0,0,23,6000,17,0,0
27,"28",54.88,128,245,510,1407,1262,174,1,62.3,256,0,0,24,6000,17,0,0
28,"29",57.37,134,256,551,1573,1332,189,1,66.41,268,0,0,25,6000,17,0,0
29,"30",59.94,140,267,593,1750,1404,204,1,70.72,280,0,0,26,6000,17,0,0
30,"31",62.59,146,279,637,1941,1478,220,1,75.24,292,0,0,27,6099,17,0,248
31,"32",65.31,152,291,683,2142,1555,237,1,79.98,304,0,0,28,6255,17,0,638
32,"33",68.1,158,304,731,2361,1634,255,1,84.96,317,0,0,29,6395,17,0,987
33,"34",70.98,165,317,790,2587,1716,274,1,90.17,330,0,0,30,6566,17,0,1416
34,"35",73.94,171,330,853,2831,1800,295,1,95.64,343,0,0,31,6734,17,0,1835
35,"36",76.98,178,344,921,3092,1887,317,1,101.37,356,0,0,32,6898,17,0,2246
36,"37",80.11,185,358,995,3360,1977,340,1,107.38,370,0,0,32,7054,17,0,2634
37,"38",83.32,191,372,1074,3646,2069,364,1,113.67,383,0,0,33,7205,17,0,3013
38,"39",86.63,199,387,1160,3958,2165,391,1,120.26,398,0,0,34,7354,17,0,3384
39,"40",90.02,206,403,1253,4259,2263,418,1,127.16,412,0,0,35,7497,17,0,3742
40,"41",93.51,213,419,1353,4586,2365,448,1,134.38,427,0,0,36,7631,17,0,4077
41,"42",97.1,221,435,1462,4940,2470,479,1,141.95,442,0,0,37,7762,17,0,4405
42,"43",100.79,228,452,1578,5279,2578,512,1,149.86,457,0,0,38,7887,17,0,4717
43,"44",104.57,236,470,1705,5652,2689,547,1,158.14,473,0,0,39,8009,17,0,5022
44,"45",108.46,244,488,1841,6045,2804,585,1,166.81,489,0,0,40,8123,17,0,5307
45,"46",112.46,252,506,1967,6466,2922,624,2,175.88,505,0,0,41,8181,17,0,5453
46,"47",116.57,261,526,2101,6909,3044,666,2,185.36,522,0,0,41,8240,17,0,5601
47,"48",120.78,269,545,2244,7390,3169,711,2,195.28,538,0,0,42,8300,17,0,5749
48,"49",125.12,278,566,2395,7894,3299,758,2,205.65,556,0,0,43,8357,17,0,5892
49,"50",129.56,286,587,2556,8439,3432,808,2,216.49,573,0,0,44,8415,17,0,6038
50,"51",134.13,295,608,2726,9018,3569,861,2,227.83,591,0,0,45,8471,17,0,6178
51,"52",138.82,304,630,2909,9641,3710,917,2,239.67,609,0,0,46,8526,17,0,6314
52,"53",143.64,314,653,3102,10300,3856,976,2,252.05,628,0,0,47,8581,17,0,6453
53,"54",148.58,323,677,3307,10997,4006,1039,2,264.99,647,0,0,48,8634,17,0,6586
54,"55",153.66,333,701,3525,11751,4160,1105,2,278.51,666,0,0,49,8687,17,0,6718
55,"56",158.87,343,726,3756,12546,4319,1176,2,292.63,686,0,0,50,8739,17,0,6848
56,"57",164.21,353,752,4002,13393,4483,1250,2,307.37,706,0,0,50,8789,17,0,6973
57,"58",169.7,363,778,4264,14302,4652,1329,2,322.78,727,0,0,51,8839,17,0,7097
58,"59",175.34,373,806,4540,15267,4825,1412,2,338.86,747,0,0,52,8887,17,0,7218
59,"60",181.12,384,834,4834,16300,5004,1500,2,355.65,769,0,0,53,8935,17,0,7336
60,"61",187.05,395,863,5147,17402,5187,1594,2,373.19,790,0,0,54,8981,17,0,7453
61,"62",193.14,406,892,5478,18576,5376,1692,2,391.49,812,0,0,55,9026,17,0,7565
62,"63",199.38,417,923,5829,19825,5571,1796,2,410.6,835,0,0,56,9070,17,0,7674
63,"64",205.79,429,955,6203,21161,5771,1906,2,430.54,858,0,0,57,9112,17,0,7781
64,"65",212.36,440,987,6513,21507,5977,2023,2,451.34,881,0,0,58,9153,17,0,7884
65,"66",219.11,452,1020,6904,23667,6189,2146,2,473.06,905,0,0,62,9201,20,7,8003
66,"67",226.03,464,1055,7318,26020,6407,2276,2,495.71,929,0,0,66,9247,40,14,8119
67,"68",233.12,477,1090,7757,28634,6631,2413,3,519.35,954,0,0,70,9291,60,20,8227
68,"69",240.4,489,1126,8222,31491,6862,2558,3,544,979,0,0,74,9333,80,27,8332
69,"70",247.86,502,1164,8716,34639,7099,2712,3,569.72,1004,0,0,78,9373,100,34,8432
70,"71",255.52,515,1202,9239,38100,7343,2874,3,596.54,1030,0,0,82,9411,120,40,8528
71,"72",263.37,528,1242,9793,41931,7594,3044,3,624.51,1057,0,0,86,9448,140,47,8619
72,"73",271.42,542,1283,10381,46103,7852,3225,3,653.68,1084,0,0,90,9483,160,54,8706
73,"74",279.68,556,1324,11003,50688,8117,3416,3,684.09,1112,0,0,94,9516,180,61,8789
74,"75",288.14,570,1368,11664,55765,8390,3617,3,715.8,1140,0,0,98,9547,200,67,8867
75,"76",296.82,584,1412,12363,61373,8670,3829,3,748.86,1168,0,0,102,9577,220,74,8942
76,"77",305.72,598,1457,13105,67522,8959,4053,3,783.31,1197,0,0,106,9605,240,81,9013
77,"78",314.84,613,1504,13892,74226,9255,4290,3,819.23,1227,0,0,110,9632,260,87,9080
78,"79",324.19,628,1552,14725,81664,9560,4540,3,856.66,1257,0,0,114,9657,280,94,9144
79,"80",333.78,644,1602,15609,100000,9873,4803,3,895.68,1288,0,0,118,9681,300,100,9204
80,"81",343.6,659,1653,16545,100000,10195,5081,3,936.33,1319,0,0,118,9705,300,100,9262
81,"82",353.67,675,1705,17538,100000,10525,5375,3,978.69,1351,0,0,118,9726,300,100,9316
82,"83",364,691,1759,18590,100000,10865,5684,3,1022.83,1383,0,0,118,9747,300,100,9367
83,"84",374.58,708,1814,19705,100000,11214,6011,3,1068.8199,1416,0,0,118,9766,300,100,9415
84,"85",385.42,724,1871,20888,100000,11573,6355,3,1116.73,1449,0,0,118,9784,300,100,9460
85,"86",396.53,742,1930,22141,100000,11942,6718,3,1166.63,1484,0,0,118,9801,300,100,9502
86,"87",407.92,759,1990,23469,100000,12321,7101,3,1218.61,1518,0,0,118,9817,300,100,9542
87,"88",419.58,777,2052,24878,100000,12710,7505,3,1272.76,1554,0,0,118,9831,300,100,9579
88,"89",431.54,795,2115,26370,100000,13110,7930,3,1329.15,1590,0,0,118,9845,300,100,9613
89,"90",443.79,813,2180,27953,100000,13521,8379,3,1387.87,1626,0,0,118,9858,300,100,9645
90,"91",456.34,832,2247,29630,100000,13943,8852,3,1449.03,1664,0,0,118,9870,300,100,9675
91,"92",469.2,850,2316,31407,100000,14376,9351,3,1512.7,1701,0,0,118,9881,300,100,9703
92,"93",482.38,870,2387,33292,100000,14821,9877,3,1579.01,1740,0,0,118,9891,300,100,9729
93,"94",495.87,889,2460,35289,100000,15278,10431,3,1648.04,1779,0,0,118,9901,300,100,9752
94,"95",509.7,909,2535,37407,100000,15748,11015,3,1719.91,1819,0,0,118,9910,300,100,9775
95,"96",523.86,930,2612,39651,100000,16230,11630,3,1794.73,1860,0,0,118,9918,300,100,9795
96,"97",538.37,951,2690,42030,100000,16726,12279,3,1872.61,1902,0,0,118,9925,300,100,9814
97,"98",553.23,972,2772,44552,100000,17234,12962,3,1953.6801,1944,0,0,118,9932,300,100,9831
98,"99",568.46,993,2855,47225,100000,17756,13682,3,2038.05,1987,0,0,118,9939,300,100,9847
99,"100",584.05,1015,2941,50059,0,18293,14441,3,2125.8701,2030,0,0,118,9945,300,100,9861
