"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string","i32"
150,"MTXVoidEmperorPlanetaryOrbFrenzy",6992,[-1],[],"fade","","startup","idle",0
151,"MTXDarkrayAltFrenzy",7012,[],[],"orb_finish","","orb_appear","orb_idle",0
152,"MTXSkullChargeEndurance",7020,[],[],"orb_finish","","orb_appear","orb_idle",3
153,"MTXSkullChargePower",7021,[],[],"orb_finish","","orb_appear","orb_idle",3
154,"MTXSkullChargeFrenzy",7022,[],[],"orb_finish","","orb_appear","orb_idle",3
155,"VineBloodScytheCharge",7027,[],[],"orb_finish","","orb_appear","orb_idle",0
156,"MTXSentinelChargeEndurance",7038,[],[],"submerge","","emerge","idle",0
157,"MTXSentinelChargePower",7039,[],[],"submerge","","emerge","idle",0
158,"MTXSentinelChargeFrenzy",7040,[],[],"submerge","","emerge","idle",0
159,"MTXCurrencyChargeChaos",7098,[],[],"fadeout_01","","fadein_01","idle_01",0
