"rownum","Id","bool","bool","Message (English)","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32","bool","bool"
10,"PartyMemberJoined","",1,"Party Member Joined","Quelqu'un rejoint votre groupe","Gruppenmitglied ist beigetreten","パーティメンバーが参加しました","파티원 참가","Membro do Grupo Entrou","Игрок вступил в группу","Un compañero se ha unido al grupo","สมาชิกปาร์ตี้เข้าร่วม","隊伍成員加入","","","","","","","","","","",257,"",""
11,"PartyMemberLeft","",1,"Party Member Left","Quelqu'un quitte votre groupe","Gruppenmitglied hat Gruppe verlassen","パーティメンバーが離脱しました","파티원 떠남","Membro do Grupo Saiu","Игрок покинул группу","Un compañero ha abandonado el grupo","สมาชิกปาร์ตี้ออก","隊伍成員離開","","","","","","","","","","",257,"",""
12,"PartyMemberPromotedToLeader","",1,"Party Member Promoted","Quelqu'un devient le chef du groupe","Gruppenmitglied wurde befördert","パーティメンバーが昇進しました","파티원 진급","Membro do Grupo Promovido","Изменение статуса игрока в группе","Se ha ascendido a un compañero del grupo","สมาชิกปาร์ตี้ถูกยกตำแหน่ง","隊伍成員提升","","","","","","","","","","",1,"",""
13,"PartyMemberNowOnline","",1,"Party Member Now Online","Un membre de votre groupe vient de se connecter","Gruppenmitglied ist jetzt online","パーティーメンバーがオンラインです","파티원 현재 온라인","Membro do Grupo Offline","Участник группы вошёл в игру","Un compañero se ha conectado","สมาชิกปาร์ตี้กำลังออนไลน์","隊伍成員現在上線","","","","","","","","","","",1,"",""
14,"PartyMemberNowOffline","",1,"Party Member Now Offline","Un membre de votre groupe vient de se connecter","Gruppenmitglied ist jetzt offline","パーティーメンバーがオフラインです","파티원 현재 오프라인","Membro do Grupo Offline","Участник группы вышел из игры","Un compañero se ha desconectado","สมาชิกปาร์ตี้กำลังออฟไลน์","隊伍成員現在離線","","","","","","","","","","",1,"",""
15,"GuildInvite",1,1,"Guild Invite","Vous êtes invité à une Guilde","Gildeneinladung","ギルドへ招待","길드 초대","Convite para Guilda","Приглашение в гильдию","Invitación a hermandad","คำเชิญเข้าร่วมกิลด์","邀請加入公會","","","","","","","","","","",257,"",""
16,"GuildJoined","",1,"Guild Joined","Vous rejoignez une Guilde","Gilde beigetreten","ギルドに参加しました","길드 합류","Guilda Entrou","Вступил в гильдию","Te has unido a la hermandad","เข้าร่วมกิลด์","已加入公會","","","","","","","","","","",257,"",""
17,"GuildLeft","",1,"Guild Left","Vous quittez une Guilde","Gilde verlassen","ギルドを離脱しました","길드 퇴장","Guilda Saiu","Покинул гильдию","Has abandonado la hermandad","ออกจากกิลด์","已離開公會","","","","","","","","","","",257,"",""
18,"GuildRankChanged","",1,"Guild Rank Changed","Vous changez de rang dans la Guilde","Gildenrang geändert","ギルドランクが変更されました","길드 계급 변경","Rank da Guilda Mudou","Изменение статуса в гильдии","Tu rango de hermandad ha cambiado","เปลี่ยนยศในกิลด์","公會階級變更","","","","","","","","","","",257,"",""
19,"GuildMemberInvited",1,1,"Guild Member Invited","Quelqu'un est invité à la Guilde","Gildenmitglied wurde eingeladen","ギルドメンバーを招待","길드원 초대","Membro da Guilda Convidado","Игрок приглашён в гильдию","Se ha invitado a un compañero a la hermandad","สมาชิกกิลด์ถูกเชิญ","已邀請公會成員","","","","","","","","","","",257,"",""
20,"GuildMemberJoined",1,1,"Guild Member Joined","Quelqu'un rejoint la Guilde","Gildenmitglied ist beigetreten","ギルドメンバーが参加しました","길드원 참가","Membro da Guilda Entrou","Игрок вступил в гильдию","Un compañero se ha unido a la hermandad","สมาชิกกิลด์เข้าร่วม","已加入公會成員","","","","","","","","","","",257,"",""
21,"GuildMemberLeft",1,1,"Guild Member Left","Quelqu'un quitte la Guilde","Gildenmitglied hat Gilde verlassen","ギルドメンバーが離脱しました","길드원 떠남","Membro da Guilda Saiu","Игрок покинул гильдию","Un compañero ha abandonado la hermandad","สมาชิกกิลด์ออก","已離開公會成員","","","","","","","","","","",257,"",""
22,"GuildMemberRankChanged",1,1,"Guild Member Rank Changed","Quelqu'un change de rang dans la Guilde","Gildenmitglied hat neuen Rang","ギルドメンバーランクが変更されました","길드원 계급 변경","Rank do Membro da Guilda Mudou","Изменение статуса игрока в гильдии","Un compañero ha cambiado de rango de hermandad","สมาชิกกิลด์เปลี่ยนยศ","已變更階級公會成員","","","","","","","","","","",257,"",""
23,"GiftReceived",1,1,"Gift Received","Vous recevez un cadeau","Geschenk erhalten","ギフトを受け取りました","선물 수령","Presente Recebido","Получен подарок","Regalo recibido","ได้รับของขวัญ","收到禮物","","","","","","","","","","",1,"",""
24,"TradeRequest",1,1,"Trade Request","Demande d'échange","Handelsanfrage","トレードリクエスト","거래 요청","Solicitação de Negociação","Запрос на торговлю","Solicitud de comercio","คำขอการแลกเปลี่ยน","交易要求","","","","","","","","","","",257,"",""
25,"PlayerJoinedMyHideout","",1,"Player Joined Your Hideout","Un joueur à rejoint votre Repaire","Spieler hat dein Versteck betreten","プレイヤーが隠れ家に訪問しました","플레이어가 당신의 은신처에 입장했습니다","Um Visitante Entrou no seu Refúgio","Игрок вошёл в ваше убежище","Un jugador ha entrado en tu guarida","ผู้เล่นเข้าที่ซ่อนของคุณ","玩家加入你的藏身處","","","","","","","","","","",257,"",""
26,"JoinHideoutInvitation",1,1,"Join Hideout Invitation","Invitation à rejoindre le Repaire","Versteckeinladung annehmen","隠れ家の招待に参加しました","은신처 초대","Convite para o Refúgio","Приглашение в убежище","Invitación a entrar en la guarida","คำเชิญเข้าที่ซ่อน","加入藏身處邀請","","","","","","","","","","",257,"",""
27,"AchievementComplete","",1,"Achievement Complete","Vous terminez un succès","Errungenschaft abgeschlossen","実績達成","도전과제 완료","Conquista Completa","Достижение выполнено","Logro completado","ภารกิจความสำเร็จเสร็จสมบูรณ์","成就達成","","","","","","","","","","",257,"",""
28,"AchievementItemComplete","",1,"Achievement Item Complete","Vous progressez dans un succès","Teil der Errungenschaft abgeschlossen","実績アイテム達成","도전과제 항목 완료","Item da Conquista Completo","Часть достижения выполнена","Objeto de logro completado","ส่วนประกอบของภารกิจความสำเร็จเสร็จสมบูรณ์","成就項目達成","Displays notification when part of an achievement is completed","Affiche une notification lorsque vous atteignez une étape d'un succès ou d'un défi.","Zeigt einen Hinweis an, wenn ein Teil einer Errungenschaft abgeschlossen wurde.","実績が達成されたときに、ディスプレイ通知が表示されます","도전과제의 일부 항목을 완료했을 때 알림 표시","Exibi uma notificação quando parte de uma conquista é completa","Показывает уведомление при выполнении части достижения","Muestra una notificación cuando se completa una parte de un logro","แสดงการแจ้งเตือนเมื่อผ่านส่วนหนึ่งของภารกิจความสำเร็จเรียบร้อยแล้ว","完成成就項目時顯示通知訊息。",257,"",""
29,"AchievementItemFailed","",1,"Tracked Achievement Item Failed","Vous échouez un succès","Teil der Errungenschaft nicht abgeschlossen","追跡実績アイテム失敗","목표로 한 도전과제 항목 실패","Item da Conquista Rastreado Falhou","Не выполнено условие отслеживаемого достижения","El objeto de logro en seguimiento ha fallado","ส่วนประกอบของภารกิจความสำเร็จที่ติดตามล้มเหลว","追蹤成就物品失敗","","","","","","","","","","",257,"",""
30,"PVPDuelChallenge",1,1,"PvP Duel Challenge","Quelqu'un vous défie en duel PvP","PvP-Duell-Herausforderung","PvP決闘の申し込み","PvP 결투 도전","Desafio de Duelo PvP","Вызов на дуэль","Desafío de duelo JcJ","การท้าดวล PvP","PvP 決鬥挑戰","","","","","","","","","","",1,"",""
31,"PVPEvent",1,1,"PvP Event","Événement PvP en cours","PvP-Event","PvPイベント","PvP 이벤트","Evento PvP","PVP событие","Evento JcJ","กิจกรรม PvP","PvP 活動","","","","","","","","","","",1,"",""
32,"LeagueEvent",1,1,"League Event","Événement de ligue en cours","Liga-Event","リーグイベント","리그 이벤트","Evento da Liga","Событие","Evento de liga","กิจกรรมลีก","聯盟活動","","","","","","","","","","",257,"",""
33,"MarketNotifications",1,1,"Market Notifications","Notifications du marché","Markt-Benachrichtigungen","マーケット通知","상점 알림","Notificações do Mercado","Уведомления рынка","Notificaciones de mercado","การแจ้งเตือนตลาด","市集通知","Displays notification when you receive offers, when they are accepted or when they are rejected.","Affiche une notification lorsque vous recevez une offre, lorsqu'elle est acceptée ou lorsqu'elle est rejetée.","Zeigt einen Hinweis, wenn du Angebote erhältst und diese angenommen oder abgelehnt wurden.","オファーを受け取ったとき、承認されたとき、拒否されたときにディスプレイ通知が表示されます","매물이 승인되었거나 거절당했을 때 알림 표시","Exibi uma notificação quando você receber ofertas, quando elas forem aceitas ou quando forem rejeitadas.","Показывает уведомление при получении предложений, когда они приняты или отклонены.","Muestra una notificación cuando recibes ofertas, cuando son aceptadas y cuando son rechazadas.","การแจ้งเตือนจะปรากฏขึ้นเมื่อคุณได้รับข้อเสนอ และเมื่อมีการยอมรับหรือปฏิเสธข้อเสนอต่างๆ","當你收到報價、同意或拒絕時，收到市集通知訊息。",257,"",""
34,"BestiaryRecipeNotification",1,1,"Bestiary Recipe","Vous apprenez une recette du Bestiaire","Bestiarium-Rezept","ベスティアリーレシピ","야수 도감 조합법","Receita do Bestiário","Рецепты Бестиария","Receta de Bestiario","สูตรสมุดรวมสัตว์","獻祭獵譜","","","","","","","","","","",257,"",""
35,"RewardNotifications",1,1,"Reward Notifications","Vous obtenez une récompense","Benachrichtigungen zu Belohnungen","報酬通知","보상 알림","Notificações de Recompensas","Уведомления о наградах","Notificaciones de recompensas","การแจ้งเตือนของรางวัล","獎勵提示","Displays challenge reward notifications.","Affiche une notification lorsque vous obtenez une récompense de défi.","Zeigt an, wenn du eine Herausforderungsbelohnung freigespielt hast.","チャレンジ報酬通知を表示します","도전과제 보상 알림을 표시합니다.","Mostra as notificações das recompensas recebidas.","Показывает уведомление при получении награды за выполнений испытаний.","Muestra las notificaciones de las recompensas de los desafíos.","แสดงการแจ้งเตือนเมื่อได้รับของรางวัลจากภารกิจท้าทาย","顯示挑戰獎勵提示。",257,"",""
36,"LeagueInGame",1,"","Harvest In-game Notifications","Notifs de Harvest en jeu","Benachrichtigungen zu Harvest","ハーベストゲーム内通知","수확 게임 내 알림","Notificações do Jogo da Harvest","Внутриигровые уведомления Жатвы","Notificaciones de Harvest dentro del juego","การแจ้งเตือนฮาร์เวสต์ภายในเกม","遊戲內收割提示","Displays Harvest related in-game notifications","Affiche les notifications de Harvest en jeu.","Zeigt Benachrichtigungen zu Harvest an.","ハーベストに関するゲーム内通知を表示します","수확에 관련된 게임 내 알림 표시","Mostra as notificações relaciondas à Harvest no jogo","Показыает внутриигровые уведомления Жатвы","Muestra las notificaciones relacionadas con Harvest de dentro del juego","แสดงการแจ้งเตือนเกี่ยวกับฮาร์เวสต์ภายในเกม","顯示遊戲內收割相關提示",1,"",""
37,"ConsoleServerMessages","",1,"Server Messages","Messages du serveur","Servernachrichten","サーバーメッセージ","서버 메시지","Mensagens do Servidor","Серверные сообщения","Mensajes del servidor","ข้อความจากเซิร์ฟเวอร์","伺服器訊息","Show server messages as popups as well as in the chatbox","Affiche les messages du serveur sous forme de pop-up ainsi que dans la fenêtre de tchat.","Zeigt Servernachrichten sowohl als Pop-Ups als auch im Chat an.","チャットボックスと、ポップアップにてサーバーメッセージを表示します","서버 메시지를 채팅창과 팝업으로 표시합니다","Mostrar mensagens do servidor como pop-ups assim como no chat","Дублирует всплывающие серверные сообщения в окне чата ","Muestra los mensajes del servidor como ventanas emergentes y en la ventana del chat","แสดงข้อความจากเซิร์ฟเวอร์ทั้งในหน้าต่างแยกและในหน้าต่างแชท","顯示伺服器訊息跳窗，同時顯示於對話窗",131329,"",""
38,"ConsolePlayerLevelUp","",1,"Level Up","Gain de niveau","Hochstufen","レベルアップ","레벨 업","Subiu de Nível","Повышение уровня","Has subido de nivel","เพิ่มเลเวล","升級","","","","","","","","","","",131329,"",""
39,"ConsoleGemLevelUp","",1,"Skill Gem Level Up","Gain de niveau (gemme)","Gemme hochstufen","スキルジェムレベルアップ","스킬 젬 레벨 업","Gema de Habilidade Subiu de Nível","Уровень камня повышен","La gema de habilidad ha subido de nivel","หินสกิลเพิ่มเลเวล","技能寶石升級","","","","","","","","","","",131329,"",""
40,"ConsoleGemReadyToLevelUp","",1,"Skill Gem Ready to Level Up","Gain de niveau (gemme)","Gemme bereit zum Hochstufen","スキルジェムのレベルアップ準備完了","스킬 젬 레벨 올릴 수 있음","Gema de Habilidade Pronta para Subir de Nível","Камень готов к повышению уровня","Gema de habilidad lista para subir de nivel","หินสกิลพร้อมเพิ่มเลเวล","技能寶石準備升級","","","","","","","","","","",131329,"",""
