"rownum","Id","AlternateTreeVersionsKey","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","PassiveType","StatsKeys","Stat1Min","Stat1Max","Stat2Min","Stat2Max","i32","i32","i32","i32","i32","i32","i32","i32","SpawnWeight","i32","RandomMin","RandomMax","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","DDSIcon","AchievementItemsKeys","i32","i32"
10,"vaal_small_attack_damage",1,"Attack Damage","Dégâts des attaques","Angriffsschaden","アタックダメージ","공격 피해","Danod e Ataque","Урон от атак","Daño de ataques","ความเสียหายโจมตี","攻擊傷害","[1,2]",[2603],7,12,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
11,"vaal_small_spell_damage",1,"Spell Damage","Dégâts des sorts","Zauberschaden","スペルダメージ","주문 피해","Dano Mágico","Урон от чар","Daño de hechizos","ความเสียหายเวท","法術傷害","[1,2]",[25],7,12,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
12,"vaal_small_area_damage",1,"Area Damage","Dégâts de zone","Flächenschaden","範囲ダメージ","범위 피해","Dano em Área","Урон по области","Daño de área","ความเสียหายพื้นที่","範圍傷害","[1,2]",[619],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
13,"vaal_small_projectile_damage",1,"Projectile Damage","Dégâts des projectiles","Projektilschaden","投射物ダメージ","투사체 피해","Dano de Projétil","Урон снарядами","Daño de proyectiles","ความเสียหายกระสุน","投射物傷害","[1,2]",[498],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
14,"vaal_small_damage_over_time",1,"Damage Over Time","Dégâts sur la durée","Schaden über Zeit","継続ダメージ","지속 피해","Dano Degenerativo","Постепенный урон","Daño degenerativo","ความเสียหายต่อเนื่อง","持續傷害","[1,2]",[1973],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
15,"vaal_small_area_of_effect",1,"Area of Effect","Zone d'effet","Wirkungsbereich","効果範囲","효과 범위","Área de Efeito","Область действия","Área de efecto","พื้นที่ส่งผล","範圍效果","[1,2]",[434],4,7,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
16,"vaal_small_projectile_speed",1,"Projectile Speed","Vitesse des projectiles","Projektilgeschwindigkeit","投射物スピード","투사체 속도","Velocidade de Projétil","Скорость снарядов","Velocidad de proyectiles","ความเร็วกระสุน","投射物速度","[1,2]",[175],7,12,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
17,"vaal_small_critical_strike_chance",1,"Critical Strike Chance","Chances de Coup critique","Kritische Trefferchance","クリティカル率","치명타 확률","Chance de Acerto Crítico","Шанс критического удара","Probabilidad de golpe crítico","โอกาสคริติคอล","暴擊率","[1,2]",[554],7,14,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
18,"vaal_small_critical_strike_multiplier",1,"Critical Strike Multiplier","Multiplicateur de Coup critique","Multiplikator für kritische Treffer","クリティカルダメージ倍率","치명타 피해 배율","Multiplicador de Acerto Crítico","Множитель критического удара","Multiplicador de golpe crítico","ตัวคูณคริติคอล","暴擊加成","[1,2]",[95],6,10,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
19,"vaal_small_attack_speed",1,"Attack Speed","Vitesse d'attaque","Angriffsgeschwindigkeit","アタックスピード","공격 속도","Velocidade de Ataque","Скорость атаки","Velocidad de ataque","ความเร็วในการโจมตี","攻擊速度","[1,2]",[70],3,4,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
20,"vaal_small_cast_speed",1,"Cast Speed","Vitesse d'incantation","Zaubergeschwindigkeit","キャストスピード","시전 속도","Velocidade de Conjuração","Скорость сотворения чар","Velocidad de lanzamiento de hechizos","ความเร็วในการร่าย","施放速度","[1,2]",[216],2,3,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
21,"vaal_small_movement_speed",1,"Movement Speed","Vitesse de déplacement","Bewegungsgeschwindigkeit","移動スピード","이동 속도","Velocidade de Movimento","Скорость передвижения","Velocidad de movimiento","ความเร็วในการเคลื่อนที่","移動速度","[1,2]",[177],2,3,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
22,"vaal_small_chance_to_ignite",1,"Ignite Chance","Chances d'Embraser","Chance auf Entzünden","発火確率","점화 확률","Chance de Incendiar","Шанс поджечь","Probabilidad de quemar","โอกาสลุกไหม้","點燃機率","[1,2]",[611],3,6,0,0,0,0,0,0,0,0,0,0,25,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
23,"vaal_small_chance_to_freeze",1,"Freeze Chance","Chances de Geler","Chance auf Einfrieren","凍結確率","동결 확률","Chance de Congelar","Шанс заморозить","Probabilidad de congelar","โอกาสแช่แข็ง","冰凍機率","[1,2]",[455],3,6,0,0,0,0,0,0,0,0,0,0,25,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
24,"vaal_small_chance_to_shock",1,"Shock Chance","Chances d'Électrocuter","Chance auf Schocken","感電確率","감전 확률","Chance de Eletrizar","Шанс наложить шок","Probabilidad de electrocutar","โอกาสช็อค","感電機率","[1,2]",[659],3,6,0,0,0,0,0,0,0,0,0,0,25,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
25,"vaal_small_duration",1,"Skill Duration","Durée des aptitudes","Fertigkeitsdauer","スキル持続時間","스킬 지속시간","Duração de Habilidade","Длительность умения","Duración de habilidad","ระยะเวลาของสกิล","技能持續時間","[1,2]",[215],4,7,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
26,"vaal_small_life",1,"Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命","[1,2]",[124],2,4,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
27,"vaal_small_mana",1,"Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力","[1,2]",[128],4,6,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
28,"vaal_small_mana_regeneration",1,"Mana Regeneration","Régénération de Mana","Manaregeneration","マナ自動回復","마나 재생","Regeneração de Mana","Регенерация маны","Regeneración de maná","การฟื้นฟูมานา","魔力回復","[1,2]",[130],12,17,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
29,"vaal_small_armour",1,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","เกราะ","護甲","[1,2]",[117],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
30,"vaal_small_evasion",1,"Evasion","Évasion","Ausweichen","回避力","회피","Evasão","Уклонение","Evasión","หลบหลีก","閃避","[1,2]",[120],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
31,"vaal_small_energy_shield",1,"Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾","[1,2]",[134],3,5,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
32,"vaal_small_attack_block",1,"Block","Blocage","Blocken","ブロック","막기","Bloqueio","Блок","Bloqueo","บล็อค","格擋","[1,2]",[1081],1,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
33,"vaal_small_spell_block",1,"Spell Block","Blocage des sorts","Zauber blocken","スペルブロック","주문 막기","Bloqueio Mágico","Блок чар","Bloqueo de hechizos","บล็อคเวท","法術格擋","[1,2]",[2089],1,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
34,"vaal_small_attack_dodge",1,"Avoid Elemental Ailments","Prévention contre les Altérations élémentaires","Elementare Beeinträchtigungen vermeiden","元素系状態異常無効化","원소 상태 이상 긴급회피","Evitar Afecções Elementais","Избегание стихийных состояний","Evitar estados alterados elementales","หลีกเลี่ยงเจ็บป่วยธาตุ","避免元素異常狀態","[1,2]",[620],3,3,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
35,"vaal_small_spell_dodge",1,"Spell Suppression","Répression des sorts","Zauber unterdrücken","スペル抑制","주문 억제","Supressão Mágica","Подавление чар","Atenuación de hechizos","ยับยั้งเวท","法術壓抑","[1,2]",[14755],2,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
36,"vaal_small_aura_effect",1,"Aura Effect","Effet des Auras","Aurawirkung","オーラ効果","오라 효과","Efeito de Aura","Эффект ауры","Efecto de auras","ผลของออร่า","光環效果","[1,2]",[3835],2,4,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
37,"vaal_small_curse_effect",1,"Curse Effect","Effet des Malédictions","Fluchwirkung","呪い効果","저주 효과","Efeito da Maldição","Эффект проклятия","Efecto de maldiciones","ผลของคำสาป","詛咒效果","[1,2]",[1386],2,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
38,"vaal_small_fire_resistance",1,"Fire Resistance","Résistance au feu","Feuerwiderstand","火耐性","화염 저항","Resistência a Fogo","Сопротивление огню","Resistencia al fuego","ค่าต้านทานไฟ","火焰抗性","[1,2]",[144],9,14,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
39,"vaal_small_cold_resistance",1,"Cold Resistance","Résistance au froid","Kältewiderstand","冷気耐性","냉기 저항","Resistência a Gelo","Сопротивление холоду","Resistencia al hielo","ค่าต้านทานน้ำแข็ง","冰冷抗性","[1,2]",[146],9,14,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
40,"vaal_small_lightning_resistance",1,"Lightning Resistance","Résistance à la foudre","Blitzwiderstand","雷耐性","번개 저항","Resistência a Raio","Сопротивление молнии","Resistencia al rayo","ค่าต้านทานสายฟ้า","閃電抗性","[1,2]",[148],9,14,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
41,"vaal_small_chaos_resistance",1,"Chaos Resistance","Résistance au chaos","Chaoswiderstand","混沌耐性","카오스 저항","Resistência a Caos","Сопротивление хаосу","Resistencia al caos","ค่าต้านทานเคออส","混沌抗性","[1,2]",[150],6,10,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalDefensive.dds",[],0,100
42,"vaal_notable_fire_damage_1",1,"Ritual of Immolation","Rituel de l'immolation","Ritual der Opferung","いけにえの儀式","제물의 의식","Ritual da Imolação","Ритуал сожжения","Ritual de inmolación","Ritual of Immolation","獻祭儀式",[3],"[42,593]",25,35,2,4,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
43,"vaal_notable_fire_damage_2",1,"Revitalising Flames","Flammes ravitalisantes","Wiederbelebende Flammen","復活の炎","되살아나는 화염","Chamas Revitalizantes","Возрождающее пламя","Llamas revitalizantes","Revitalising Flames","復甦業火",[3],"[42,3104]",25,35,20,20,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
44,"vaal_notable_fire_damage_3",1,"Flesh to Flames","De la Chair aux flammes","Fleisch zu Flammen","肉体から炎へ","육체 화염화","Carne às Chamas","Предание огню","De carne a fuego","Flesh to Flames","獄火焚身",[3],"[42,482]",25,35,10,10,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
45,"vaal_notable_cold_damage_1",1,"Ritual of Stillness","Rituel de la quiétude","Ritual der Stille","沈黙の儀式","정지의 의식","Ritual da Quietude","Ритуал безмолвия","Ritual de quietud","Ritual of Stillness","靜默儀式",[3],"[49,594]",25,35,2,4,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
46,"vaal_notable_cold_damage_2",1,"Revitalising Frost","Givre revitalisant","Wiederbelebender Frost","復活の霜","되살아나는 서리","Geada Revitalizante","Возрождающая стужа","Escarcha revitalizante","Revitalising Frost","復甦寒霜",[3],"[49,3105]",25,35,20,20,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
47,"vaal_notable_cold_damage_3",1,"Flesh to Frost","De la Chair au givre","Fleisch zu Frost","肉体から霜へ","육체 서리화","Carne à Geada","Предание хладу","De carne a hielo","Flesh to Frost","寒霜凍身",[3],"[49,483]",25,35,10,10,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
48,"vaal_notable_lightning_damage_1",1,"Ritual of Thunder","Rituel de l'orage","Ritual des Donners","雷の儀式","천둥의 의식","Ritual do Trovão","Ритуал грома","Ritual de trueno","Ritual of Thunder","雷霆儀式",[3],"[56,595]",25,35,2,4,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
49,"vaal_notable_lightning_damage_2",1,"Revitalising Lightning","Foudre revitalisante","Wiederbelebender Blitz","復活の雷","되살아나는 번개","Raio Revitalizante","Возрождающие разряды","Rayos revitalizantes","Revitalising Lightning","復甦雷霆",[3],"[56,3106]",25,35,20,20,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
50,"vaal_notable_lightning_damage_3",1,"Flesh to Lightning","De la Chair à la foudre","Fleisch zu Blitz","肉体から雷へ","육체 번개화","Carne ao Raio","Предание молнии","De carne a rayo","Flesh to Lightning","雷霆灌身",[3],"[56,484]",25,35,10,10,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
51,"vaal_notable_physical_damage_1",1,"Ritual of Might","Rituel de la puissance","Ritual der Macht","精力の儀式","완력의 의식","Ritual da Força","Ритуал мощи","Ritual de poder","Ritual of Might","權勢儀式",[3],"[26,5807]",25,35,2,4,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
52,"vaal_notable_physical_damage_2",1,"Revitalising Winds","Vents revitalisants","Wiederbelebender Sturm","復活の風","되살아나는 바람","Ventos Revitalizantes","Живительные ветра","Vientos revitalizantes","Revitalising Winds","復甦狂風",[3],"[26,3103]",25,35,20,20,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
53,"vaal_notable_physical_damage_3",1,"Bloody Savagery","Sauvagerie sanglante","Blutige Grausamkeit","血まみれの獰猛さ","피로 물든 야만성","Selvageria Sanguinária","Кровавая жестокость","Salvajismo sangriento","Bloody Savagery","血腥殘暴",[3],"[26,9080]",25,35,10,10,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
54,"vaal_notable_chaos_damage_1",1,"Ritual of Shadows","Rituel des ombres","Ritual der Schatten","影の儀式","그림자의 의식","Ritual das Sombras","Ритуал теней","Ritual de sombras","Ritual of Shadows","暗影儀式",[3],"[63,9761]",25,35,25,25,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
55,"vaal_notable_chaos_damage_2",1,"Revitalising Darkness","Ténèbres revitalisantes","Wiederbelebende Dunkelheit","復活の闇","되살아나는 어둠","Escuridão Revitalizante","Возрождающая тьма","Oscuridad revitalizante","Revitalising Darkness","復甦暗黑",[3],"[63,2131]",25,35,20,20,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
56,"vaal_notable_spell_damage_1",1,"Thaumaturgical Aptitude","Capacités thaumaturgiques","Thaumaturgisches Talent","ソーマタージーの才","마석학 적성","Aptidão Taumatúrgica","Склонность к магии","Aptitud taumatúrgica","Thaumaturgical Aptitude","奇術之資",[3],"[25,556]",25,35,35,50,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
57,"vaal_notable_minion_damage_1",1,"Hierarchy","Hiérarchie","Hierarchie","ヒエラルキー","계층","Hierarquia","Иерархия","Jerarquía","Hierarchy","階級體制",[3],"[488,159]",25,35,15,20,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
58,"vaal_notable_damage_over_time_1",1,"Exquisite Pain","Douleur exquise","Außergewöhnlicher Schmerz","最上級の痛み","정교한 고통","Dor Excruciante","Изысканная боль","Dolor exquisito","Exquisite Pain","極苦之痛",[3],"[1973,215]",25,35,7,11,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableOffensive.dds",[],0,100
59,"vaal_notable_life_1",1,"Ritual of Flesh","Rituel de la chair","Ritual des Fleisches","肉体の儀式","육체의 의식","Ritual da Carne","Ритуал плоти","Ritual de carne","Ritual of Flesh","血肉儀式",[3],"[124,451]",6,10,42,72,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableDefensive.dds",[],0,100
60,"vaal_notable_life_2",1,"Flesh Worship","Vénération de la chair","Verehrung des Fleisches","肉体の崇拝","육체 숭배","Adoração da Carne","Поклонение плоти","Adoración de la carne","Flesh Worship","肉體崇拜",[3],"[124,2691]",6,10,40,40,0,0,0,0,0,0,0,0,100,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalNotableDefensive.dds",[],0,100
