"rownum","Id","Command (English)","Command (French)","Command (German)","Command (Japanese)","Command (Korean)","Command (Portuguese)","Command (Russian)","Command (Spanish)","Command (Thai)","Command (Traditional Chinese)","bool","EnglishCommand","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","bool"
14,"Debug","debug","débug","debug","debug","디버그","debug","дебаг","debug","debug","除錯",1,"debug","","","","","","","","","","",1
15,"Ignore1","ignore","ignorer","ignorieren","ignore","차단","ignorar","игнор","ignorar","ignore","黑名單","","ignore","/ignore ignores an account by character name","/ignorer : permet d'ignorer un compte d'après le nom du personnage.","/ignorieren ignoriert das Konto eines Charakters.","/ignore キャラクター名で指定したアカウントを無視します。","/차단 또는 /ignore 와 캐릭터 이름을 입력하면 해당 캐릭터를 차단합니다","/ignorar ignora uma conta pelo nome de personagem","/игнор игнорирует аккаунт по имени персонажа","/ignorar ignora una cuenta por nombre de personaje","/ignore บล็อคบัญชีโดยใช้ชื่อตัวละครเป็นหลัก","/黑名單（/ignore）將該玩家加入黑名單。",1
16,"Ignore2","squelch","écarter","unterdrücken","squelch","차단2","silenciar","бан","silenciar","squelch","忽略","","squelch","","","","","","","","","","",1
17,"Unignore1","unignore","neplusignorer","ignorieren_aufheben","unignore","차단해제","naoignorar","разыгнор","quitarignorar","unignore","解除黑名單","","unignore","/unignore stops ignoring an account by character name","/neplusignorer : retire un compte de votre liste noire d'après le nom du personnage.","/ignorieren_aufheben hebt die Kontosperrung für einen Charakter wieder auf.","/unignore キャラクター名で指定したアカウントの無視を解除します。","/차단해제 또는 /unignore 와 캐릭터 이름을 입력하면 해당 캐릭터 차단을 취소합니다","/naoignorar para de ignorar uma conta pelo nome de personagem","/разыгнор прекращает игнорировать аккаунт по имени персонажа","/quitarignorar deja de ignorar una cuenta por nombre de personaje","/unignore ปลดบล็อคบัญชีโดยใช้ชื่อตัวละครเป็นหลัก","/解除黑名單（/unignore）將該玩家移出黑名單。",1
18,"Unignore2","unsquelch","neplusécarter","unterdrücken_aufheben","unsquelch","차단해제2","naosilenciar","разбан","quitarsilencio","unsquelch","解除忽略","","unsquelch","","","","","","","","","","",1
19,"ClearIgnoreList","clear_ignore_list","effacer_liste_noire","ignorierliste_leeren","clear_ignore_list","차단초기화","limpar_lista_ignorados","очистить_игнор","limpiar_ignorados","clear_ignore_list","清除黑名單","","clear_ignore_list","/clear_ignore_list removes all accounts from your ignore list","/effacer_liste_noire : supprime tous les comptes de votre liste noire.","/ignorierliste_leeren entfernt alle Konten aus deiner Ignorieren-Liste.","/clear_ignore_list あなたの無視リストから全てのアカウントを外します。","/차단초기화 또는 /clear_ignore_list 를 입력하면 캐릭터 차단 목록에 있는 계정을 모두 삭제합니다","/limpar_lista_ignorados remove todas as contas da sua lista de ignorados","/очистить_игнор удаляет все контакты из списка игнорирования","/limpiar_ignorados elimina todas las cuentas de tu lista de ignorados","/clear_ignore_list ลบบัญชีทั้งหมดออกจากรายชื่อการบล็อคของคุณ","/清除黑名單（/clear_ignore_list）移除黑名單內所有的玩家。",1
20,"SetStatus","status","statut","status","status","상태","status","статус","estado","status","狀態","","status","","","","","","","","","","",1
21,"ShowPassives","passives","passifs","punkte","passives","패시브","passivas","пассивки","pasivas","passives","天賦","","passives","/passives displays a breakdown of your Passive Skill points","/passif : affiche la répartition de vos points de talents passifs.","/punkte zeigt eine Aufstellung deiner passiven Fertigkeitspunkte an.","/passives あなたのパッシブスキルポイントの内訳を表示します。","/패시브 또는 /passives 는를 입력하면 내 패시브 스킬 포인트 내역이 표시됩니다.","/passivas exibe uma quebra de seus pontos de Habilidades Passivas","/пассивки отображает распределение очков пассивных умений","/pasivas muestra un desglose de tus puntos de habilidades pasivas","/passives แสดงการวิเคราะห์แต้มพาสซีฟของคุณ","/天賦（/passives）顯示所獲得天賦點的相關訊息。",1
22,"ShowAtlasPassives","atlaspassives","passifsatlas","atlaspunkte","atlaspassives","아틀라스패시브","passivasdoatlas","пассивкиатласа","pasivasatlas","atlaspassives","輿圖天賦","","atlaspassives","/atlaspassives displays a breakdown of your Atlas Passive Skill points","/passif : affiche la répartition de vos points de talents de l'Atlas.","/atlaspunkte zeigt eine Aufstellung deiner passiven Atlas-Fertigkeitspunkte an.","/atlaspassives アトラスパッシブスキルポイントの内訳を表示します。","/아틀라스패시브 또는 /atlaspassives 를 입력하면 내 아틀라스 패시브 스킬 포인트 내역이 표시됩니다.","/passivasdoatlas mostra um detalhamento dos seus pontos da Árvore Passiva do Atlas","/пассивкиатласа отображает распределение очков пассивных умений Атласа","/pasivasatlas muestra un desglose de tus puntos de habilidades pasivas del atlas","/atlaspassives แสดงการวิเคราะห์แต้มพาสซีฟสมุดแผนที่ของคุณ","/輿圖天賦（/atlaspassives）顯示所獲得輿圖天賦點的相關訊息。",1
23,"InviteToParty","invite","inviter","einladen","invite","파티초대","convidar","пригласить","invitar","invite","邀請","","invite","/invite invites someone to your party by name","/inviter : permet d'inviter quelqu'un dans votre groupe d'après son nom.","/einladen lädt jemanden namentlich in deine Gruppe ein.","/invite 名前で指定した人物をあなたのパーティに招待します。","/파티초대 또는 /invite 와 캐릭터 이름을 입력하면 해당 캐릭터를 파티에 초대합니다","/convidar convida alguém por nome para seu grupo","/пригласить Приглашает игрока в вашу группу по имени персонажа","/invitar invita a alguien a tu grupo por su nombre ","/invite เชิญคนเข้าร่วมปาร์ตี้ของคุณโดยใช้ชื่อ","/邀請（/invite）將該玩家邀請至隊伍裡。",""
24,"AddFriend","friend","ami","befreunden","friend","친구추가","amigo","добавить_друга","amigo","friend","加為好友","","friend","/friend adds a friend to your list by name","/ami : ajoute un ami à votre liste d'après son nom.","/befreunden fügt namentlich Freunde zu deiner Liste hinzu.","/friend 名前で指定した人物をあなたのフレンドリストに追加します。","/친구추가 또는 /friend 와 캐릭터 이름을 입력하면 해당 캐릭터를 친구 목록에 추가합니다","/amigo adiciona um amigo por nome à sua lista.","/добавить_друга Добавляет друга по имени","/amigo agrega a un amigo a tu lista por su nombre","/friend เพิ่มเพื่อนลงในรายชื่อของคุณโดยใช้ชื่อ","/加為好友（/friend）將該玩家加入好友名單。",""
25,"RemoveFriend","unfriend","plusami","entfreunden","unfriend","친구삭제","removeramigo","удалить_друга","quitaramigo","unfriend","解除好友","","unfriend","","","","","","","","","","",""
26,"AcceptFriend","accept","accepter","annehmen","accept","친구 수락","aceitar","принять","aceptar","accept","同意好友邀請","","accept","","","","","","","","","","",""
27,"KickPartyMember","kick","renvoyer","rauswerfen","kick","파티추방","remover","кик","echar","kick","移出隊伍","","kick","","","","","","","","","","",1
28,"SetPartyDescription","party_description","description_groupe","gruppe","party_description","파티상태","descricao_grupo","описание_группы","descripcion_grupo","party_description","隊伍描述","","party_description","","","","","","","","","","",1
29,"InitiateTrade","tradewith","échanger","handelmit","tradewith","거래신청","negociar","торговать","comerciarcon","tradewith","交易","","tradewith","","","","","","","","","","",1
30,"ClearMessage1","cls","eff","leeren","cls","채팅정리","cls","очистить_поле","cls","cls","清除對話","","cls","","","","","","","","","","",1
31,"ClearMessage2","clear","effacer","löschen","clear","채팅정리2","limpar","очистить","limpiar","clear","清除對話","","clear","","","","","","","","","","",1
32,"ToggleNoChat1","nochat","pasdetchat","keinchat","nochat","채팅중지","semchat","безчата","nochat","nochat","關閉聊天","","nochat","","","","","","","","","","",1
33,"ToggleNoChat2","togglenochat","supprimertchat","keinchatumschalt","togglenochat","채팅중지2","alternarsemchat","выкл_чат","quitarnochat","togglenochat","聊天關閉","","togglenochat","","","","","","","","","","",1
34,"AutoReply","autoreply","réponseauto","antwort","autoreply","자동응답","autoresposta","автоответ","autorespuesta","autoreply","自動回覆",1,"autoreply","/autoreply [message] Autoreply to whispers with a custom message.","/réponseauto [texte] : vous permet de répondre automatiquement aux messages privés par un texte de votre choix.","/antwort [Nachricht] Sendet eine selbstgewählte automatische Antwort an Flüsterer.","/autoreply [メッセージ] 任意のメッセージでウィスパーに自動返信します。","/자동응답 또는 /autoreply [메시지 내용] 을 입력하면 귓속말 수신 시 맞춤 메시지로 답신합니다.","/autoresposta [mensagem] Responde automaticamente a sussurros com uma mensagem personalizada.","/autoreply [сообщение] Автоматически отвечает заданным сообщением на личные сообщения.","/autorespuesta [mensaje] responde automáticamente a susurros con un mensaje personalizado.","/autoreply [message] Autoreply เพื่อกระซิบด้วยข้อความที่พิมพ์ไป","/自動回覆 [訊息] 以自動回覆客製化密語。",1
35,"SetAFK","afk","absent","afk","afk","자리비움","ldt","афк","aus","afk","暫離",1,"afk","/afk [message] Autoreply to whispers that you are AFK. Performing any action, including chatting, will cancel AFK mode.","/absent [message] : réponse automatique aux messages privés signalant que vous êtes absent. Toute action effectuée, y compris écrire dans le tchat, annule le mode Absent.","/afk [Nachricht] Automatische Antwort auf Flüsternachricht, dass du AFK bist. Das Ausführen einer beliebigen Aktion, inklusive Chatten, bricht den AFK-Modus ab.","/afk [メッセージ] ウィスパーに対してあなたが退席中であることを自動返信します。チャットを含む何らかの行動を行うことで退席モードは解除されます。","/자리비움 또는 /afk [메시지 내용] 을 입력하면 자리비움 시 자동으로 답신합니다. 채팅 등의 활동을 하면 자리비움이 해제됩니다.","/ldt [mensagem] Responde automaticamente a sussurros que você está LDT. Executar uma ação, incluindo conversar, cancelará o modo LDT.","/афк [сообщение] Авто-ответ на личные сообщения. Любое действие, даже использование чата, снимет статус \""отошёл\"".","/aus [mensaje] responde automáticamente a los susurros que estás ausente. Realizar cualquier acción, incluso usar el chat, cancelará el modo ausente.","/afk [message] ตอบกลับอัตโนมัติโดยส่งข้อความว่าคุณกำลัง AFK การกระทำใดๆ รวมถึงการสนทนา จะยกเลิกโหมด AFK","/暫離 [訊息] 以自動回覆密語者你正處於暫離狀態。任何動作包括對話都會使你離開暫離狀態。 ",1
36,"DoNotDisturb1","dnd","npd","dnd","dnd","방해금지","np","занят","nm","dnd","勿擾",1,"dnd","/dnd [message] Autoreply to whispers that you are DND and ignore all incoming messages.","/npd [message] : réponse automatique aux messages privés signalant que vous ne voulez pas que l'on vous dérange. En mode NDP, tous les messages entrants sont ignorés.","/dnd [Nachricht] Automatische Antwort auf Flüsternachricht, dass du nicht gestört werden möchtest. Alle eingehenden Nachrichten werden ignoriert.","/dnd [メッセージ] ウィスパーに対してあなたが取り込み中であることを自動返信し、全ての受信メッセージを無視します。","/방해금지 또는 /dnd [메시지 내용] 을 입력하면 방해 금지 상태일 때 귓속말에 맞춤 메시지로 답신하고, 모든 메시지를 무시합니다.","/np [mensagem] Responde automaticamente a sussurros para não te perturbar e ignorará todas as mensagens recebidas.","/dnd [сообщение] Авто-ответ с уведомлением о том, что вы в статусе \""недоступен\"". Также, полное игнорирование всех сообщений.","/nm [mensaje] responde automáticamente a los susurros que te encuentras en modo No molestar e ignora todos los mensajes entrantes.","/dnd [message] ตอบกลับอัตโนมัติโดยส่งข้อความว่าคุณกำลัง DND และบล็อคข้อความขาเข้าทั้งหมด","/勿擾 [訊息] 以自動回覆密語者你正處於勿擾狀態。忽略所有給你的訊息。",1
37,"DoNotDisturb2","donotdisturb","nepasdéranger","donotdisturb","donotdisturb","방해금지2","naoperturbe","занят","nomolestar","donotdisturb","勿擾模式",1,"donotdisturb","","","","","","","","","","",1
38,"ExitToCharacterSelection","exit","quitter","beenden","exit","캐릭터선택창","sair","выход","salir","exit","回到角色選單","","exit","","","","","","","","","","",1
39,"SpectatePvP","spectate","observer","zuschauen","spectate","pvp관전","assistir","наблюдать","observar","spectate","觀戰",1,"spectate","","","","","","","","","","",""
40,"SpectatePvPReturn","town","ville","stadt","town","pvp관전종료","vila","город","pueblo","town","離開觀戰",1,"town","","","","","","","","","","",1
41,"SetGlobalChatChannel","global","global","global","global","글로벌","global","общий","global","global","世界頻道","","global","/global X changes to global chat channel X.","/global X : vous fait passer sur le canal X du tchat global.","Mit /global x kannst du zum globalen Chatkanal x wechseln.","/global X グローバルチャットチャンネルXに移動します。","/글로벌 또는 /global X 를 입력하면 채널 X의 전체 채팅으로 전환합니다.","/global X muda para o canal de chat global X.","/общий X изменяет глобальный чат на канал X.","/global X cambia al canal de chat global X.","/global X เปลี่ยนเป็นช่องแชทสาธารณะ X","/global X 將聊天頻道切換至指定分流 X 。",1
42,"SetTradeChatChannel","trade","échange","handel","trade","거래","negociar","торговля","comercio","trade","交易頻道","","trade","/trade X changes to trade chat channel X.","/échange X : vous fait passer sur le canal X du tchat d'échanges.","Mit /handel x kannst du zum globalen Handels-Chat x wechseln.","/trade X トレードチャットチャンネルXに移動します。","/거래 또는 /trade X 를 입력하면 채널 X의 거래 채팅으로 전환합니다.","/negociar X muda para o canal de chat de comércio X.","/торговля X изменяет чат Торговли на канал X.","/comercio X cambia al canal de chat de comercio X.","/trade X เปลี่ยนเป็นช่องแชทเพื่อแลกเปลี่ยน X","/trade X 將交易頻道切換至指定分流 X。",1
43,"RecheckAchievements","recheck_achievements","vérifier_succès","errungenschaften","recheck_achievements","업적확인","checar_conquistas","достижения","revisar_logros","recheck_achievements","重新檢查成就",1,"recheck_achievements","/recheck_achievements Forces a recheck of certain achievements","/vérifier_succès : force le jeu à revérifier certains succès.","/errungenschaften Erzwingt eine erneute Überprüfung bestimmter Errungenschaften.","/recheck_achievements 一部の実績の再確認を実行します。","/업적확인 또는 /recheck_achievements 를 입력하면 특정 도전과제를 강제로 재확인합니다.","/checar_conquistas Força uma nova verificação de algumas conquistas","/recheck_achievements перепроверяет наличие достижений.","/revisar_logros fuerza una comprobación de ciertos logros.","/recheck_achievements เพื่อบังคับให้ตรวจสอบภารกิจความสำเร็จบางอย่างอีกครั้ง","/重新檢查成就 強制重新檢查某些成就。",1
44,"WarpToHideout","hideout","repaire","versteck","hideout","은신처","refúgio","убежище","guarida","hideout","藏身處",1,"hideout","","","","","","","","","","",1
45,"WarpToGuildHideout","guild","guilde","gilde","guild","길드","guilda","гильдия","hermandad","guild","公會",1,"guild","","","","","","","","","","",1
46,"ResetExperiencePerHour","reset_xp","réinit_xp","xp_zurück","reset_xp","경험치계산초기화","resetar_xp","опыт","reiniciar_exp","reset_xp","重置經驗計算","","reset_xp","/reset_xp Resets your experience per hour calculation.","/réinit_xp : réinitialise le calcul de votre expérience par heure.","/xp_zurück setzt deine Erfahrung pro Stunde zurück.","/reset_xp あなたの時間あたりの経験値の計算をリセットします。","/경험치계산초기화 또는 /reset_xp 를 입력하면 시간당 획득 경험치 계산량을 초기화합니다.","/resetar_xp Redefine seu cálculo de experiência por hora.","/опыт сбросит счётчик опыта в секунду.","/reiniciar_exp reinicia el cálculo de tu experiencia por hora.","/reset_xp รีเซ็ตการคำนวณค่าประสบการณ์ต่อชั่วโมงของคุณ","/reset_xp 重置的的每小時獲得經驗計算。",1
47,"WarpToMenagerie","menagerie","ménagerie","menagerie","menagerie","야수관","menagerie","зверинец","animalario","menagerie","獸園",1,"menagerie","","","","","","","","","","",1
48,"WarpToDelveMineHub","delve","mine","delve","delve","광산","delve","спуск","delve","delve","掘獄",1,"delve","","","","","","","","","","",1
49,"SaveHideout","save_hideout","sauvegarder_repaire","versteck_speichern","save_hideout","은신처저장","salvar_refúgio","сохранить_убежище","guardar_guarida","save_hideout","儲存藏身處",1,"save_hideout","/save_hideout Saves the current Hideout layout to a file that can be later loaded or shared.","/sauvegarder_repaire : crée un fichier de sauvegarde de l'aménagement du Repaire actuel pour le partager ou le charger plus tard.","/versteck_speichern Speichert das derzeitige Versteck-Layout als Datei, die zu einem späteren Zeitpunkt geladen oder geteilt werden kann.","/save_hideout 現在の隠れ家のレイアウトをロードや共有できるファイルに保存します。","/은신처저장 또는 /save_hideout 을 입력하면 현재 은신처의 구조를 불러오기 및 공유가 가능한 파일 형태로 저장합니다.","/salvar_refúgio Salva o Refúgio atual em um arquivo que pode ser carregado ou compartilhado depois.","/сохранить_убежище сохранит текущую раскладку убежища в файл, который позднее можно загрузить или поделиться с кем-либо.","/guardar_guarida guarda la estructura de la guarida actual en un archivo que puede ser cargado o compartido.","/save_hideout จะบันทึกแปลนที่ซ่อนปัจจุบันเป็นไฟล์ที่สามารถโหลดที่หลังหรือแบ่งปันให้ผู้อื่นได้","/save_hideout 保存目前藏身處的版面至資料夾中，以便之後讀檔或分享。",""
50,"RecoverOldCraftingBenchItem","recoveroldcraftingbenchitem","récupérerobjetdétabli","recoveroldcraftingbenchitem","recoveroldcraftingbenchitem","작업대복구","recuperaritememmesaantiga","вернуть_предмет","recoveroldcraftingbenchitem","recoveroldcraftingbenchitem","回復舊工藝台內物品",1,"recoveroldcraftingbenchitem","","","","","","","","","","",1
51,"WarpToSynthesisHub","synthesis","nexus","synthesis","synthesis","결합","synthesis","синтез","synthesis","synthesis","追憶",1,"synthesis","","","","","","","","","","",1
52,"WarpToMetamorphosisLab","metamorph","labo","metamorph","metamorph","변형","metamorph","метаморф","metamorph","metamorph","鍊魔",1,"metamorph","","","","","","","","","","",1
53,"ForceResyncPlayer","oosme","oscour","oosme","oosme","oosme","oosme","синхрон_меня","oosme","oosme","同步",1,"oosme","","","","","","","","","","",1
54,"SetItemFilter","itemfilter","filtre","gegenstandsfilter","itemfilter","아이템필터","itemfilter","фильтр","filtrodeobjetos","itemfilter","物品篩選","","itemfilter","/itemfilter allows you to specify a filter by name to instantly switch to using it","/filtre : vous permet de spécifier le nom d'un filtre d'objets afin de l'utiliser immédiatement.","/gegenstandsfilter ermöglicht den sofortigen Wechsel zu einem bestimmten Gegenstandsfilter.","/itemfilter フィルターを名前で指定し、瞬時にそのフィルターを使用している状態に変更できます。","/아이템필터 또는 /itemfilter를 입력하면 이름으로 필터를 명시하고 즉시 해당 필터를 사용하도록 전환할 수 있습니다.","/itemfilter permite que você especifique um filtro por nome para trocar de forma instantânea e utilizá-lo","/фильтр позволяет мгновенно переключиться на нужный фильтр предметов по его названию","/filtrodeobjetos te permite especificar un filtro por nombre para pasar a usarlo instantáneamente","/itemfilter ทำให้คุณสามารถระบุชื่อฟิลเตอร์เพื่อสลับไปใช้ฟิลเตอร์นั้นโดยทันที","/itemfilter 允許你按名稱指定篩選器以立即切換到使用它",1
55,"WarpToKiracVault","","","","","","","","","","",1,"","","","","","","","","","","",1
56,"ShowKills","kills","tués","tötungen","kill","처치","mortes","убийства","asesinatos","kills","擊殺",1,"kills","/kills displays how many experience granting kills you have accrued","/tués : affiche le nombre de monstres que vous avez tués (ceux qui ne rapportent pas d'expérience ne sont pas comptés).","/tötungen zeigt an, wie viele Monster du getötet hast, die Erfahrung gewähren.","/kill これまでに倒したの経験値を獲得できる敵の数を表示します。","/처치 또는 /kills 를 입력하면 경험치를 주는 처치를 몇 회 했는지 표시됩니다.","/kills mostra quantas mortes que concederam experiência você já conseguiu","/убийства отображает число совершённых вами убийств, дарующих опыт","/asesinatos muestra cuantos asesinatos que te hayan dado experiencia has acumulado","/kills แสดงจำนวนการสังหารทั้งหมดของคุณที่ให้ค่าประสบการณ์","/kills 顯示你累積的擊殺經驗",1
57,"Feedback","feedback","feedback","feedback","feedback","피드백","feedback","отзыв","comentario","feedback","反饋","","feedback","/feedback submits feedback to the dev team","/feedback : vous permet d'envoyer directement votre feedback à l'équipe des développeurs","/feedback übermittelt Feedback an das Entwicklerteam.","/feedback フィードバックを開発チームに提出します。","/피드백 또는 feedback을 입력하면 개발 팀에 피드백을 제출합니다.","/feedback envia feedback para a equipe de desenvolvimento","/отзыв отправляет отзыв команде разработчиков","/comentario envía un comentario al equipo de desarrollo del juego","/feedback ส่งความเห็นของคุณไปยังทีมพัฒนา","/feedback 提交你的意見",1
58,"Flip","flip","retourner","werfen","flip","뒤집기","jogar","бросить","voltear","flip","翻動",1,"flip","","","","","","","","","","",1
59,"LeaveParty","leave","quitter","verlassen","leave","떠나기","sair","покинуть","abandonar","leave","離開","","leave","/leave Leaves the current party","/quitter : vous permet de quitter le groupe dans lequel vous êtes actuellement.","Mit /verlassen verlässt du die derzeitige Gruppe.","/leave 現在のパーティーから離脱します","/떠나기 현재 파티를 떠납니다","/sair Deixa o grupo atual","/покинуть Покидает текущую группу","/abandonar abandona el grupo actual","/leave ออกจากปาร์ตี้ปัจจุบัน","/leave 離開目前隊伍",1
