"rownum","Id","SkillGemInfoKey1","SkillGemInfoKey2","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","International_BK2File","SkillGemsKey","China_BK2File","CharactersKey"
10,"ViperStrike","[60,64,63]","[61,65,62]","A melee single target attack skill that converts 25% of physical damage to chaos damage and has a high chance to poison the targeted enemy.","Une attaque de mêlée monocible qui convertit 25% de ses Dégâts physiques en Dégâts de chaos. Cette aptitude a de grandes chances d'Empoisonner l'ennemi ciblé.","Ein Nahkampfangriff, der sich gegen Einzelziele richtet und 25% des physischen Schadens in Chaosschaden umwandelt. Die Fertigkeit verfügt über eine hohe Chance, das gegnerische Ziel zu vergiften.","物理ダメージの25%を混沌ダメージに変換し、対象の敵に対して高い毒付与確率を持つ、近接単体アタックスキル。","물리 피해의 25%를 카오스 피해로 전환하고, 높은 확률로 대상을 중독시키는 단일 대상 근접 공격 스킬입니다.","Um habiliade de ataque corpo a corpo de alvo único que converte 25% do dano físico para dano de caos e possui uma alta chance de envenenar o inimigo alvo.","Умение атаки ближнего боя по одиночной цели, которая переводит 25% физического урона в урон хаосом и имеет высокий шанс отравить цель.","Una habilidad de ataque cuerpo a cuerpo de un solo objetivo que convierte el 25% del daño físico a daño de caos y tiene una alta probabilidad de envenenar al enemigo objetivo.","สกิล​โจมตี​ประชิด​เป้าหมาย​เดียว​ที่​แปลง​ความ​เสียหาย กายภาพ 25% เป็น เคออส และมี​โอกาส​ที่​จะ​สร้าง​สถานะ พิษ ​สูง​ต่อ​ศัตรู​ที่​เป็น​เป้าหมาย","近戰單體攻擊技能，轉化 25% 的物理傷害至混沌傷害，並有高機率使目標敵人中毒。","http://web.poecdn.com/public/videos/ViperStrike/ViperStrikeFullDemo.bk2",80,"http://down.qq.com/poe/videos/skills/ViperStrike/ViperStrikeFullDemo.bk2","[2,4,5,3]"
11,"SpectralThrow","[67,70,68]","[66,71,150]","Throws a copy of your weapon as a projectile at enemies. The projectile pierces enemies and returns back to the player, potentially hitting an enemy a second time.","Cette attaque envoie une réplique de votre arme sous forme de projectile vers vos ennemis. Ce projectile Transperce tous les ennemis sur son chemin avant de revenir vers vous en les touchant potentiellement une seconde fois.","Schleudert ein Projektil auf Gegner, das auf einer Kopie der Waffe des Charakters basiert. Das Projektil durchbohrt Gegner und kehrt zum Charakter zurück, wodurch ein Gegner ein zweites Mal getroffen werden kann.","自身の武器のコピーを投射物として敵に投げる。投射物は敵を貫通、プレイヤーに回帰し、同じ敵に2回ヒットする可能性がある。","적들에게 무기의 복제품을 투사체 형태로 투척합니다. 투사체는 적들을 관통한 후 플레이어에게 돌아오면서, 하나의 적을 두 번 명중시킬 수도 있습니다.","Arremessa uma cópia da sua arma como projétil aos inimigos. O projétil perfura os inimigos e retorna para o jogador, potencialmente acertando um inimigo uma segunda vez.","Бросает во врагов копию оружия вашего персонажа в виде снаряда. Снаряд пронзает врагов, возвращается обратно к персонажу, и по пути может нанести урон ещё один раз.","Lanza una copia de tu arma en forma de proyectil a los enemigos. El proyectil perfora a los enemigos y vuelve al jugador, potencialmente golpeando al enemigo por segunda vez.","โยน​ร่าง​จำลอง​ของ​อาวุธ​ที่​คุณ​ถือ​เป็น​กระสุน​ไป​ยัง​ศัตรู โดย​กระสุน​นี้​เจาะทะลุ​ศัตรู​แล้ว​ย้อน​กลับ​มา​หา​ผู้เล่น ซึ่ง​สามารถ​ปะทะ​ศัตรู​เป็น​ครั้ง​ที่​สอง​ได้","向敵人投擲你武器複製體的投射物。投射物會穿透敵人並返回至玩家，有機率擊中敵人兩次。","http://web.poecdn.com/public/videos/SpectralThrow/SpectralThrowFullDemo.bk2",208,"http://down.qq.com/poe/videos/skills/SpectralThrow/SpectralThrowFullDemo.bk2","[6,2,4,0,5,3]"
12,"IceShot","[73,77,74]","[75,72,76]","Fires an arrow that converts 60% of physical damage to cold. When an arrow hits a target it leaves a patch of chilled ground, slowing affected enemies. It also deals a cone of cold area damage behind the target on impact.","Tire une flèche qui convertit 60% de ses Dégâts physiques en Dégâts de froid. Lorsque cette aptitude touche un ennemi, elle inflige des Dégâts de froid en zone sous forme de cône et crée une petite zone de Sol frigorifiant qui Ralentit les ennemis qui s'y trouvent. ","Schießt einen Pfeil ab, der 60% des physischen Schadens in Kälteschaden umwandelt. Trifft der Pfeil ein Ziel, hinterlässt er dort unterkühlenden Boden, der davon betroffene Gegner verlangsamt. Auf einer kegelförmigen Fläche hinter dem Ziel verursacht die Fertigkeit außerdem Kälteschaden.","物理ダメージの60%を冷気ダメージに変換した矢を放つ。敵に矢が当たった際、冷却領域を残し敵を減速させる。矢が当たった対象の後方に円錐形の範囲ダメージを与える。","물리 피해의 60%를 냉기 피해로 전환하는 화살을 발사합니다. 화살이 대상을 명중시킬 경우 지면을 냉각시켜, 영향을 받은 적들을 느리게 만듭니다. 또한 대상과 충돌 시 후방 부채꼴 범위에 냉기 피해를 줍니다.","Dispara uma flecha que converte 60% do dano físico para dano de gelo. Quando uma flecha acertar um alvo, ele deixa um rastro de solo congelado, retardando inimigos afetados. Ela também causa um cone de dano de gelo em área atrás do alvo no impacto.","Выпускает стрелу, которая переводит 60% физического урона в урон от холода. Нанеся удар врагу, стрела оставляет участок замёрзшей земли, которая замедляет стоящих на ней врагов. При попадании стрела также наносит урон от холода в конусе за целью.","Dispara una flecha que convierte el 60% del daño físico a hielo. Cuando una flecha golpea a un objetivo, crea un área de suelo escarchado que ralentiza a los enemigos afectados. También inflige daño de hielo en área en forma de cono detrás del objetivo al impactar.","ยิง​ศร​ที่​แปลง​ความ​เสียหาย กายภาพ 60% เป็น น้ำแข็ง เมื่อ​ศร​ปะทะ​เป้าหมาย มัน​จะ​ทิ้ง​พื้น​หนาวเย็น​ที่​ทำให้​ศัตรู​เชื่องช้า และ​มัน​ยัง​สร้าง​ความเสียหาย​พื้นที่​ทรง​กรวยหลัง​เป้าหมาย​อีก​ด้วย","發射投射物，轉化 60% 的物理傷害至冰冷傷害。當箭矢擊中敵人時會流下一道冰緩地面，減緩受影響的敵人。擊中目標時也會對目標後方造成扇形範圍的冰冷傷害。","http://web.poecdn.com/public/videos/Iceshot/IceshotFullDemo.bk2",164,"http://down.qq.com/poe/videos/skills/IceShot/IceshotMainDemo.bk2","[2,4,3]"
13,"ShrapnelShot","[182,183,187]","[184,185,186]","Release a ferocious burst of lightning from your bow. The burst damages close enemies and shoots three arrows in a cone infront of you. The arrows do not last long, and fizzle after a short duration. Galvanic arrow is a skill best used against nearby enemies.","Déchaîne une salve de foudre à partir de l'arc dans vos mains. Cette attaque inflige des dégâts aux ennemis à proximité et tire trois flèches devant vous sous forme de cône. Ces flèches ont une durée très limitée et disparaissent rapidement. Cette aptitude a tout intérêt à être utilisée à courte portée.","Entfesselt eine Ladung von Blitzen, die Gegnern in Eurer Nähe Schaden zufügen und feuert drei Pfeile in einer kegelförmigen Fläche vor Euch ab. Die Pfeile halten nicht lange an und lösen sich nach einer kurzen Dauer auf. Der Galvanische Pfeil eignet sich insbesondere für Gegner in Eurem unmittelbaren Umkreis.","弓から猛烈な雷の爆発を放つ。近くの敵にダメージを与え、前方に円錐状に3本の矢を放つ。放たれた矢は短時間で消滅する。ガルヴァニックアローは近くの敵に対して使用するのが最適なスキル。","활에서 격렬하게 폭발하는 번개가 방출됩니다. 번개 폭발 시, 주변 적에게 피해를 주고 전방 부채꼴 범위에 화살 3개가 발사됩니다. 화살은 오래 지속되지 않으며 잠시 후 사그러집니다. 주변 적에 맞설 만한 가장 효율적인 스킬은 충격 화살입니다.","Dispara uma feroz explosão de raio do seu arco. A explosão causa dano em inimigos próximos e atira três flechas em um cone na sua frente. As flechas não duram muito, e somem após um curto período. Flecha Galvânica é uma habilidade que é melhor usada contra inimigos próximos.","Выпускает сильнейший разряд молнии из вашего лука. Разряд наносит урон по врагам поблизости и выпускает три стрелы в конусе перед вами. Стрелы существуют недолго и ослабевают спустя короткий промежуток времени. Лучше всего использовать Электризующую стрелу для атак по врагам вблизи.","Dispara un feroz estallido de rayo desde tu arco. El estallido daña a los enemigos cercanos y dispara tres flechas en un cono delante de ti. Las flechas no duran mucho y se desvanecen después de un corto tiempo. Flecha galvánica es una habilidad más útil contra enemigos cercanos.","ปล่อย​คลื่นพลัง​สายฟ้า​ทรง​อานุภาพ​ออก​จาก​ธนู​ของ​คุณ คลื่น​พลัง​นี้​สร้าง​ความ​เสียหาย​ให้​กับ​ศัตรู​ที่​อยู่​ใกล้​ทุก​ตัว และ​จะ​ยิงศร 3 ดอก​เป็น​ทิศ​ทรง​กรวย​ด้านหน้า​ของ​คุณ ศร​นี้​อยู่​ได้​ไม่​นาน​และ​จะ​หาย​ไป​เมื่อ​เวลา​ผ่าน​ไป​ชั่ว​ขณะ สกิล​ศรกระแสไฟ (Galvanic Arrow) คือ​สกิล​ที่​เหมาะ​เอา​ไว้​จัดการ​ศัตรู​ที่​อยู่​ใกล้​ตัว","發射會穿透敵人的投射物。轉化 50% 的物理傷害至閃電傷害。箭矢發射時的巨大力量爆發出一道閃電，對前方扇形造成範圍閃電傷害。","http://web.poecdn.com/public/videos/GalvanicArrow/EGalvanicArrowIntro.bk2",287,"http://down.qq.com/poe/videos/tutorial/TGalvanicArrowIntro.bk2","[2,4,3]"
14,"SplitArrow","[89,87,86]","[84,151,152]","A simple projectile attack that fires multiple arrows.","Une attaque à l'arc sous forme de projectiles qui vous permet de tirer plusieurs flèches d'un coup.","Ein einfacher Projektilangriff, der mehrere Pfeile abschießt.","複数の矢を放つ単純な投射物アタック。","다수의 화살을 발사하는 단순한 투사체 공격입니다.","Um simples ataque de projétil que dispara múltiplas flechas.","Простая атака снарядами, которая выпускает несколько стрел.","Un simple ataque de proyectiles que dispara múltiples flechas.","การ​โจมตี​กระสุน​เรียบง่าย​ที่​จะ​ยิง​ศร​หลาย​ดอก​พร้อม​กัน","投射物攻擊，發射多個箭矢。","http://web.poecdn.com/public/videos/SplitArrow/SplitArrowMainDemo.bk2",32,"http://down.qq.com/poe/videos/skills/SplitArrow/SplitArrowMainDemo.bk2","[2,4,5,3]"
15,"GroundSlam","[95,94,91]","[93,90,92]","An area of effect, melee attack that deals a wave of area damage with your main hand weapon. Enemies closer to you take more damage. Ground Slam also has an increased chance to stun enemies.","Une attaque de mêlée en zone qui génère une vague de dégâts à partir de votre arme principale. Les ennemis qui se trouvent à proximité de vous subissent Davantage de Dégâts. Cette aptitude a également plus de chances d'Étourdir les ennemis.","Ein Nahkampfangriff mit Wirkungsbereich, der mit der Haupthandwaffe eine Welle an Flächenschaden verursacht. Gegner in der Nähe des Charakters erleiden mehr Schaden und die Fertigkeit hat eine erhöhte Chance, Gegner zu betäuben.","メインハンドの武器を使用して衝撃波で範囲ダメージを与える範囲近接アタック。近い敵に対してはダメージが上昇する。加えてグラウンドスラムは高いスタン付与確率を持つ。","주 무기를 사용해, 파동으로 범위 피해를 주는 광역 근접 공격입니다. 가까운 적일수록 더 많은 피해를 받습니다. 대지 강타는 적들을 기절시킬 확률 또한 증가합니다.","Um ataque em área corpo a corpo que causa uma onda de dano em área com sua arma da mão primária. Inimigos próximos sofrem mais dano. Impácto Sísmico também possui uma chance aumentada de atordoar inimigos.","Атака ближнего боя по области, которая выпускает волну урона по области из оружия в правой руке вашего персонажа. Враги, стоящие поблизости от героя, получают больше урона. Сотрясение также имеет увеличенный шанс оглушить врагов.","Un ataque cuerpo a cuerpo con área de efecto que inflige una ola de daño con tu arma de tu mano principal. Los enemigos cercanos reciben más daño. Impacto Sísmico también tiene una probabilidad aumentada de aturdir a los enemigos.","การ​โจมตี​ประชิด​พื้นที่​ที่​สร้าง​ความ​เสียหาย​เป็น​คลื่น​ด้วย​อาวุธ​หลัก ศัตรู​ที่​อยู่​ใกล้​จะ​ได้​รับ​ความ​เสียหาย​มาก​เป็น​พิเศษ และ​มัน​ยัง​มี​โอกาส​สร้าง​สถานะ มึนงง ต่อ​ศัตรู​เพิ่ม​ขึ้น​อีก​ด้วย","範圍效果的近戰技能，使用你的主手武器造成波動的範圍傷害。近距離的敵人承受更多傷害。裂地之擊會增加暈眩敵人的機率。","http://web.poecdn.com/public/videos/GroundSlam/GroundSlamFullDemo.bk2",13,"http://down.qq.com/poe/videos/skills/GroundSlam/GroundSlamMainDemo.bk2","[6,4,0]"
16,"HeavyStrike","[100,101,99]","[98,96,97]","A simple melee single target attack that can knock enemies back.","Une attaque de mêlée capable de Repousser les ennemis.","Ein einfacher Nahkampfangriff auf Einzelziele, der Gegner zurückstoßen kann.","敵一体を対象としその敵をノックバックする単純な近接アタック。","적들을 밀어내는 단순한 단일 대상 근접 공격입니다.","Um simples ataque corpo a corpo de alvo único que pode empurrar inimigos.","Простая атака ближнего боя по одиночной цели, которая может отбросить врагов назад.","Un simple ataque cuerpo a cuerpo de un solo objetivo que puede empujar a los enemigos.","การ​โจมตี​ประชิด​เป้าหมาย​เดี่ยว​เรียบง่าย​ที่​สามารถ​ผลัก​ศัตรู​ออก​ไป​ได้","近戰單體攻擊，可以擊退敵人。","http://web.poecdn.com/public/videos/HeavyStrike/HeavyStrikeFullDemo.bk2",101,"http://down.qq.com/poe/videos/skills/HeavyStrike/HeavyStrikeFullDemo.bk2","[6,2,4,0]"
17,"Cleave ","[107,106,102]","[105,104,103]","An area of effect melee attack that deals damage in an arc. When dual-wielding Cleave uses both weapons. ","Une attaque de mêlée de zone qui inflige des Dégâts en cône. Si vous avez une arme dans chaque main, cette attaque tient compte de ces deux armes.","Ein Nahkampfangriff mit Wirkungsbereich, der in einem bogenförmigen Bereich vor dem Charakter Schaden verursacht. Die Fertigkeit wird beim Tragen zweier Waffen mit beiden Waffen ausgeführt.","円弧状に範囲にダメージを与える範囲近接アタック。二刀流中、クリーヴは両方の武器を使用する。","원호 형태로 피해를 주는 광역 근접 공격입니다. 쌍수 무기를 사용할 경우 회전베기는 양쪽의 무기를 모두 사용하게 됩니다.","Um em área corpo a corpo que causa dano em um arco. Quando em empunhadura dupla, Cutilada utiliza ambas as armas.","Атака ближнего боя по области, которая наносит урон по дуге. Если у персонажа парное оружие, Рассечение будет использовать оба оружия.","Un ataque cuerpo a cuerpo con área de efecto que inflige daño en un arco. Cuando empuñas dos armas, Hendidura usa ambas armas.","การ​โจมตี​ประชิด​พื้นที่​ที่​สร้าง​ความเสียหาย​เป็น​วงโค้ง สกิล​ปาด (Cleave) จะ​ใช้​อาวุธ​ทั้ง​สอง​ข้าง​พร้อมกัน​หาก​ถือ​อาวุธคู่","範圍效果的近戰攻擊，對弧形造成傷害。雙持武器時，劈砍會使用兩把武器攻擊。","http://web.poecdn.com/public/videos/Cleave/CleaveFullDemo.bk2",15,"http://down.qq.com/poe/videos/skills/Cleave/CleaveMainDemo.bk2","[2,4,0,3]"
18,"DoubleStrike","[112,113,109]","[110,108,111]","A simple single target melee attack that hits a targeted enemy twice in rapid succession. It deals extra physical damage against bleeding enemies.","Une attaque de mêlée monocible qui frappe deux fois d'affilée. Cette aptitude inflige des Dégâts bonus contre les ennemis qui Saignent.","Ein einfacher Nahkampfangriff auf Einzelziele, der den Gegner mit zwei kurz aufeinanderfolgenden Schlägen trifft. Gegen blutende Gegner verursacht die Fertigkeit zusätzlichen physischen Schaden.","対象の敵に素早く2回連続でヒットする単純な単体近接アタック。出血状態の敵に対して追加の物理ダメージを与える。","대상을 빠르게 두 번 연속해서 명중시키는, 단순한 단일 대상 근접 공격입니다. 출혈 상태인 적에게는 별도의 물리 피해를 줍니다.","Um simples ataque corpo a corpo de alvo único que acerta um inimigo alvo duas vezes rapidamente. Ela causa dano físico extra contra inimigos sangrando.","Простая атака ближнего боя по одиночной цели, которая быстро поражает врага дважды. Умение наносит дополнительный физический урон по истекающим кровью врагам.","Un simple ataque cuerpo a cuerpo de un solo objetivo que golpea al enemigo objetivo dos veces consecutivas. Inflige daño físico extra contra enemigos con sangrado.","การ​โจมตี​ประชิด​เป้าหมาย​เดี่ยว​เรียบง่าย​ที่​จะ​โจมตี​ศัตรู​สอง​ครั้ง​ซ้อน การ​โจมตี​นี้​สร้าง​ความ​เสียหาย กายภาพ เพิ่มเติม​ต่อ​ศัตรู​ที่​ติด​สถานะ เลือดไหล","單體近戰攻擊，快速連續打擊敵人兩次。對流血的敵人造成額外的物理傷害。","http://web.poecdn.com/public/videos/DoubleStrike/DoubleStrikeFullDemo.bk2",18,"http://down.qq.com/poe/videos/skills/DoubleStrike/DoublestrikeFullDemo.bk2","[2,4,0,5,3]"
19,"MoltenStrike","[114,117,118]","[116,115,119]","An area of effect, melee attack that launches molten projectile balls at enemies. 50% of physical damage is converted to fire damage.","Une attaque de mêlée en zone. Elle envoie des boules de magma qui comptent comme des projectiles. 50% des Dégâts physiques de cette aptitude sont convertis en Dégâts de feu.","Ein Nahkampfangriff mit Wirkungsbereich, der Lavaprojektile auf Gegner schleudert. 50% des physischen Schadens werden in Feuerschaden umgewandelt.","物理ダメージの50%が火ダメージに変換された溶融する投射物の球を放つ範囲近接アタック。","녹아내린 투사체 구를 적에게 발사하는 광역 근접 공격입니다. 물리 피해의 50%가 화염 피해로 전환됩니다.","Um em área corpo a corpo que lança projéteis redondos de lava em seus inimigos. 50% do dano físico é convertido para dano de fogo.","Атака ближнего боя по области, которая выпускает во врагов снаряды в виде расплавленных шаров. 50% физического урона становится уроном от огня.","Un ataque cuerpo a cuerpo con área de efecto que dispara proyectiles en forma de bolas fundidas a los enemigos. El 50% del daño físico se convierte a daño de fuego.","การ​โจมตี​ประชิด​พื้นที่​ที่​จะ​ปล่อย​กระสุน​ลูกบอล​หลอมเหลว​ออก​ไป​ยัง​ศัตรู แปลง​ความ​เสียหาย กายภาพ 50% เป็นไฟ","範圍效果的近戰傷害，對敵人發射熔岩球投射物。轉化 50% 物理傷害至火焰傷害。","http://web.poecdn.com/public/videos/MoltenStrike/MoltenStrikeFullDemo.bk2",241,"http://down.qq.com/poe/videos/skills/MoltenStrike/MoltenStrikeFullDemo.bk2","[6,2,4,0]"
20,"Smite","[129,130,131]","[133,132,134]","A melee attack that causes lightning to strike a targeted location or nearby enemy, dealing area of effect damage. Smite also grants an aura on hit which provides additional lightning damage to you and your allies for a short duration. ","Une attaque de mêlée qui fait déferler la foudre à l'endroit ciblé ou sur un ennemi à proximité en infligeant des Dégâts de zone. Lorsqu'elle touche un ennemi, cette aptitude offre également une Aura temporaire qui donne des Dégâts de foudre à vos et à vos alliés.","Ein Nahkampfangriff, der an einem Zielort oder bei einem Gegner im Umkreis Blitze einschlagen lässt und Wirkungsbereichsschaden verursacht. Die Fertigkeit gewährt bei Treffer auch eine Aura, die Euch und Euren Verbündeten für eine kurze Dauer zusätzlichen Blitzschaden gewährt.","対象地点またはその周囲の敵に範囲ダメージを与える落雷を発生させる範囲近接アタック。加えてスマイトは敵にヒットした際、短時間追加の自身および味方に雷ダメージを追加するオーラを使用者に付与する","목표 지점이나 주변의 적에게 번개를 떨어트려 범위 피해를 주는 근접 공격입니다. 징벌은 또한 명중 시, 짧은 시간 동안 플레이어와 동료들에게 번개 피해를 추가해주는 오라를 부여합니다.","Um ataque corpo a corpo que faz com que um raio atinja uma localidade alvo ou inimigo próximo, causando dano em área. Castigo também concete uma aura ao acertar que concede dano adicional de raio para você e seus aliados por um curto período.","Атака ближнего боя, которая вызывает удар молнии в выбранное место или ближайшего врага, нанося урон по области. При нанесении удара Кара также дарует ауру, которая ненадолго дает персонажу и его союзникам дополнительный урон от молнии.","Un ataque cuerpo a cuerpo que causa que un rayo golpee en una localización objetivo o enemigo cercano ,e inflige daño en área de efecto. Aniquilación también otorga un aura al golpear, que otorga daño de rayo adicional a ti y a tus aliados por un corto período de tiempo.","การ​โจมตี​ประชิด​ที่​ทำให้​เกิด​ฟ้าผ่า​ที่​เป้าหมาย​หรือ​ศัตรู​ที่​อยู่​ใกล้​และ​สร้าง​ความ​เสียหาย​พื้นที่ สกิล​เฆี่ยนตี (Smite) ยัง​ให้​ออร่า​เสริม​ความ​เสียหาย สายฟ้า ให้​กับ​คุณ​และ​เพื่อน​ของ​คุณ​เป็น​ระยะ​เวลา​สั้นๆ อีก​ด้วย","近戰攻擊，使閃電擊中目標位置或附近敵人，造成範圍傷害。雷鳴重擊擊中時會獲得一個光環，提供你和友方額外閃電傷害一小段時間。","http://web.poecdn.com/public/videos/Smite/SmiteFullDemo.bk2",364,"http://down.qq.com/poe/videos/skills/Smite/SmiteFullDemo.bk2","[6,2,0]"
21,"CausticArrow","[126,125,143]","[142,123,124]","A projectile attack that creates a patch of caustic ground on hit which deals chaos damage over time to affected enemies.","Une attaque à l'arc sous forme de projectile qui génère une flaque de Sol caustique. Cette flaque inflige des Dégâts de chaos sur la durée à tous les ennemis qui s'y trouvent.","Ein Projektilangriff, der bei Treffer eine Fläche aus ätzendem Boden erzeugt, der bei betroffenen Gegnern Chaosschaden über Zeit verursacht.","影響を受けた敵に混沌継続ダメージを与える腐食領域を生成する投射物アタック。","명중 시 부식성 지대를 만들어, 영향을 받은 적들에게 지속 카오스 피해를 주는 투사체 공격입니다.","Um ataque de projétil que cria um rastro de solo cáustico no chão ao acertar, o que causa dano de caos degenerativo aos inimigos afetados.","Атака снарядами, которая при нанесении удара создает участок едкой земли, наносящий постепенный урон хаосом стоящим на ней врагам.","Un ataque de proyectiles que crea  suelo cáustico al golpear, el cual inflige daño degenerativo de caos a los enemigos afectados.","การ​โจมตี​กระสุน​ที่​สร้าง​พื้น​กัดกร่อน​เมื่อ​ปะทะ ซึ่ง​สร้าง​ความ​เสียหาย เคออส ต่อเนื่อง​ต่อ​ศัตรู​ที่​ได้​รับ​ผล","投射物攻擊，擊中時製造一道腐蝕地面，使受到影響的敵人受到混沌持續傷害。","http://web.poecdn.com/public/videos/CausticArrow/CausticArrowFullDemo.bk2",45,"http://down.qq.com/poe/videos/skills/CausticArrow/CausticArrowMainDemo.bk2","[2,4,5,3]"
22,"Frostbolt","[139,137,138]","[136,135,146]","Fires a slow-moving projectile spell that pierces through enemies, dealing cold damage with a chance to inflict chill and freeze.","Un sort qui envoie un projectile très lent qui Transperce les ennemis en leur infligeant des Dégâts de froid. Ce projectile a des chances supplémentaires de Frigorifier et de Geler les ennemis.","Feuert ein langsames Projektil, das Gegner durchbohrt und Kälteschaden verursacht, mit einer Chance, diese zu unterkühlen und einzufrieren.","敵を貫通する動きの遅い投射物スペルを放つ。投射物は敵に冷却または凍結を付与する確率を持つ冷気ダメージを与える。","천천히 움직이는 투사체를 발사하여 적들을 관통하고 냉기 피해를 주며, 일정 확률로 냉각시키고 동결시킵니다.","Dispara uma magia de projétil que se move lentamente e atravessa os inimigos, causando dano de gelo com uma chance de causar resfriamento e congelar.","Выпускает медленно летящий снаряд, который пронзает врагов и наносит урон от холода с шансом наложить охлаждение и заморозку.","Dispara un proyectil que se desplaza lentamente y perfora a los enemigos, infligiendo daño de hielo con una probabilidad de infligir escarchamiento y congelamiento.","ยิง​กระสุน​เวท​น้ำแข็ง​เชื่องช้า​ที่​เจาะทะลุ​ศัตรู สร้าง​ความ​เสียหาย น้ำแข็ง และ​มี​โอกาส​สร้าง​สถานะ หนาวเย็น​และ​แช่แข็ง","發射慢速的投射物法術，穿透敵人並造成冰冷傷害，且有機率造成冰緩和冰凍。","http://web.poecdn.com/public/videos/Frostbolt/FrostboltFullDemo.bk2",313,"http://down.qq.com/poe/videos/skills/Frostbolt/Frostbolt%20Full%20Demo.bk2","[6,2,1,5]"
23,"PurifyingFlame","[154,155,156]","[153,157,158]","An area of effect spell that deals physical and fire damage in an area and creates Consecrated Ground. Casting the spell again creates a wave that damages enemies standing on nearby Consecrated Ground.","Un sort en zone d'effet qui inflige des Dégâts physiques et des Dégâts de feu avant de créer du Sol consacré. En relançant le sort, vous créerez une vague qui infligera des Dégâts aux ennemis se trouvant à proximité de vos Sols consacrés.","Ein Wirkungsbereich-Zauber, der in einem Bereich physischen und Feuerschaden verursacht und Geweihten Boden erzeugt. Bei erneutem Wirken des Zaubers wird eine Welle erzeugt, die an Gegnern auf umliegenden Geweihten Böden Schaden verursacht.","物理および火範囲ダメージを与え神聖領域を生成する範囲スペル。スペルを再度キャストすることで、神聖領域上にいる敵に対してダメージを与える衝撃波を発生させる。","일정한 지역에 물리 피해와 화염 피해를 가하고 신성화 지대를 만들어내는 광역 주문입니다. 주문을 반복해서 사용하면 신성화 지대에 주변의 적들에게 피해를 주는 파도를 만들어냅니다.","Uma magia de efeito em área que causa dano físico e de raio em uma área e cria Solo Sagrado. Conjurar a magia novamente causa dano nos inimigos parados nos Solos Sagrados próximos.","Чары с областью действия, которые наносят физический урон и урон от огня по области и создают освящённую землю. Повторное сотворение чар создает волну, наносящую урон врагам, стоящим на ближайшей освящённой земле.","Un hechizo de área de efecto que inflige daño físico y de fuego en un área y crea suelo consagrado. Lanzar el hechizo nuevamente crea una ola que daña a los enemigos parados sobre suelo consagrado cercano.","เวท​พื้นที่​ที่​สร้าง​ความ​เสียหาย กายภาพ​และ​ไฟ ใน​พื้นที่​และ​สร้าง​พื้น​ศักดิ์สิทธิ์​ขึ้น​มา การ​ร่าย​เวท​นี้​อีกครั้ง​จะ​สร้าง​คลื่นพลัง​ที่​สร้าง​ความ​เสียหาย​ต่อ​ศัตรู​ที่​ยืน​อยู่​บน​พื้น​ศักดิ์สิทธิ์​ที่​อยู่​ใกล้​คุณ","範圍效果法術，對範圍內造成物理和火焰傷害，並製造奉獻地面。再次施放技能會製造波浪，對站在奉獻地面附印的敵人造成傷害。","http://web.poecdn.com/public/videos/PurifyingFlame/PurifyingFlamesFullDemo.bk2",380,"https://down.qq.com/poe/videos/skills/PurifyingFlames/PurfiyingFlamesFullDemo.bk2",[6]
