"rownum","HideoutArea","HASH16","HideoutFile","rid","string","bool","bool","string","[i32]","bool","rid","string"
15,22,26046,"Metadata/Terrain/Missions/Hideouts/ArenaElder/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/VoidHideout","",1,"Void Hideout",[],"",6804,""
16,23,-1654,"Metadata/Terrain/Missions/Hideouts/Chiyou/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChiyouHideout","",1,"Chiyou Hideout",[],1,6805,""
17,24,-32671,"Metadata/Terrain/Missions/Hideouts/BlankAbyss/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankAbyss","",1,"Infinite Abyss Hideout",[],"",6806,""
18,25,26652,"Metadata/Terrain/Missions/Hideouts/BlankCity/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankCity","",1,"Urban Sprawl Hideout",[],"",6807,""
19,26,-3769,"Metadata/Terrain/Missions/Hideouts/BlankClouds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankClouds","",1,"Boundless Skies Hideout",[],"",6808,""
20,27,29167,"Metadata/Terrain/Missions/Hideouts/BlankDesert/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDesert","",1,"Endless Sands Hideout",[],"",6809,""
21,28,-31014,"Metadata/Terrain/Missions/Hideouts/BlankDirt/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankDirt","",1,"Eternal Wasteland Hideout",[],"",6810,""
22,29,5889,"Metadata/Terrain/Missions/Hideouts/BlankGrass/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankGrass","",1,"Vast Plains Hideout",[],"",6811,""
23,30,-7222,"Metadata/Terrain/Missions/Hideouts/BlankSea/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSea","",1,"All at Sea Hideout",[],"",6812,""
24,31,3594,"Metadata/Terrain/Missions/Hideouts/BlankSnow/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlankSnow","",1,"Glacial Expanse Hideout",[],"",6813,""
25,32,5469,"Metadata/Terrain/Missions/Hideouts/Thaumaturgy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ThaumaturgicalHideout","",1,"Thaumaturgical Hideout",[],"",6814,""
26,33,-11694,"Metadata/Terrain/Missions/Hideouts/Yaochi/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/YaochiHideout","",1,"Yaochi Hideout",[],1,6815,""
27,34,-442,"Metadata/Terrain/Missions/Hideouts/HumanoidPet/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HumanoidPetHideout","",1,"Humanoid Pet Hideout",[],1,6816,""
28,35,22310,"Metadata/Terrain/Missions/Hideouts/RitualLeague/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RitualHideout","",1,"Ritualist's Hideout",[],1,6817,""
29,36,12991,"Metadata/Terrain/Missions/Hideouts/ArenaMaven/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrucibleHideout","",1,"Crucible Hideout",[],"",6818,""
30,37,28095,"Metadata/Terrain/Missions/Hideouts/Hasina/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TavernHideout","",1,"Tavern Hideout",[],"",6819,""
31,38,24939,"Metadata/Terrain/Missions/Hideouts/AzuriteCave/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AzuriteCavernHideout","",1,"Azurite Cavern Hideout",[],"",6820,""
32,39,6681,"Metadata/Terrain/Missions/Hideouts/SynthesisHub/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SynthesisHideout","",1,"Synthesis Hideout",[],"",6821,""
33,40,-13986,"Metadata/Terrain/Missions/Hideouts/ArenaVeritania/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RedeemersHideout","",1,"Redeemer's Hideout",[],"",6822,""
34,42,15139,"Metadata/Terrain/Missions/Hideouts/TencentApocalypse/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CataclysmicHideout","",1,"Cataclysmic Hideout",[],1,"",""
35,41,14166,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,"Black Void Hideout",[],"","",""
36,43,20743,"Metadata/Terrain/Missions/Hideouts/ArenaOlroth/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AncestralHideout","",1,"Ancestral Hideout",[],"",6823,""
37,44,-671,"Metadata/Terrain/Missions/Hideouts/Light/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LightThemedHideout","",1,"Timekeeper's Hideout","[12,13]","",6824,""
38,45,11848,"Metadata/Terrain/Missions/Hideouts/Dark/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkThemedHideout","",1,"Ghost-lit Graveyard Hideout","[10,11]","",6825,""
39,46,2056,"Metadata/Terrain/Missions/Hideouts/ArenaBlackStar/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BlackStarHideout","",1,"Polaric Hideout",[14],"",6826,""
40,47,-14069,"Metadata/Terrain/Missions/Hideouts/ArenaInfiniteHunger/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InfiniteHungerHideout","",1,"Seething Hideout",[],"",6827,""
41,48,8758,"Metadata/Terrain/Missions/Hideouts/AtlasHideout/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/AtlasHideout","",1,"Atlas Hideout","[15,16]","",6828,""
42,49,-3659,"Metadata/Terrain/Missions/Hideouts/ArenaEaterOfWorlds/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EaterOfWorldsHideout","",1,"Tangled Hideout",[],"",6829,""
43,50,95,"Metadata/Terrain/Missions/Hideouts/ArenaSearingExarch/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout","",1,"Searing Hideout",[],"",6830,""
44,51,15656,"Metadata/Terrain/Hideouts/BeaconOfSalvation/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BeaconOfSalvationHideout",1,1,"Beacon of Salvation Hideout",[],1,6841,""
45,52,21626,"Metadata/Terrain/Hideouts/Canopy/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CleansingFireHideout","",1,"Aloft Hideout",[],"",6842,""
46,53,30315,"Metadata/Terrain/Hideouts/Dreadnought/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DreadnoughtHideout",1,1,"The Dreadnought Hideout",[],"",6840,""
47,54,13526,"Metadata/Terrain/Hideouts/FelledGrove/decoration.hideout",382,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FelledHideout",1,"","Felled Hideout",[],"","",""
48,55,26805,"Metadata/Terrain/Hideouts/Shrine/decoration.hideout",384,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShrineHideout",1,"","Shrine Hideout",[],"","",""
49,56,12394,"Metadata/Terrain/Hideouts/Limestone/decoration.hideout",383,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LimestoneHideout",1,"","Limestone Hideout",[],"","",""
50,57,-5121,"Metadata/Terrain/Hideouts/Canal/decoration.hideout",385,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CanalHideout",1,"","Canal Hideout",[],"","",""
