"rownum","Id","Description","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","rid","CharacterStartQuestStateKeys","bool","InfoText","rid","[rid]","[rid]","[rid]","[rid]","[rid]","[rid]","bool"
19,"RangerActTwo","RangerActTwo",2,18,"[3107,3890,3769,3098,712,3761,3850,3097,3928,1824,3927,3884,719,3864,711,3883,431]",0,101,[7],1,"","","[3140,3130]",[],[],[],[431],[301],""
20,"WitchActTwo","WitchActTwo",1,18,"[3930,1113,3030,2326,606,2369,2381,1092,2378,2331,2327,539,1093,1090,2325,2967,1094]",0,101,[8],1,"","",[],[],[],[],"[606,539]","[302,302]",""
21,"SorceressActTwo","SorceressActTwo",7,18,[],0,101,[9],1,"","",[],[],[],[],[],[],""
22,"DuelistActTwo","DuelistActTwo",3,18,"[2962,1927,1929,2552,2494,1523,2555,2969,1854,334,2526,2958,1850,1848,1516,3932,2492]",0,101,[10],1,"","",[3933],[],[],[],[334],[300],""
23,"ShadowActTwo","ShadowActTwo",4,18,"[699,1726,698,529,1727,707,1832,3462,3469,1728,3936,2448,705,1725,418,695,532]",0,101,[11],1,"","","[2450,2465]",[],[],[],"[529,418,532]","[302,301,302]",""
24,"MonkActTwo","MonkActTwo",10,18,"[1443,656,2890,1827,1825,659,665,2888,1442,3936,1826,1725,1451,2891,418,2900,532]",0,101,[12],1,"","",[3937],[],[],[],"[418,532]","[301,302]",""
25,"TemplarActThree","TemplarActThree",5,29,"[3934,2502,2493,1514,3486,357,3487,350,556,2523,2496,2500,309,355,2501,2498,2495,356,530,308,315,4402,353,310,2524,354,1510,2525]",0,140,[13],1,"","","[1509,3935,513]",[],[],[],"[357,350,556,309,355,356,530,308,315,353,310,354]","[300,300,302,300,300,300,302,300,300,300,300,300]",""
26,"DruidActThree","DruidActThree",11,29,"[2995,2330,2996,3934,3581,1514,3559,3562,1509,3935,2437,556,3009,2496,306,530,308,1579,315,4402,307,513,2319,1566,2318,3561,1510,2994]",0,140,[14],1,"","","[2435,2462,2436]","[2523,2498,2495]",[],[],"[556,306,530,308,315,307]","[302,300,302,300,300,300]",""
27,"MarauderActThree","MarauderActThree",0,29,[],0,140,[15],1,"","",[],[],[],[],[],[],""
28,"WarriorActThree","WarriorActThree",6,29,"[864,1520,1005,1016,1518,3925,3926,323,1396,3139,1009,1010,969,364,967,3136,1521,324,1004,858,1400,1008,317,3127,1517,1409,1519,968]",0,140,[16],1,"","","[982,979]","[1345,1353]",[],[],"[323,364,324,317]","[300,300,300,300]",""
29,"HuntressActThree","HuntressActThree",8,29,[],0,140,[18],1,"","",[],[],[],[],[],[],""
30,"WitchActThree","WitchActThree",1,29,"[1089,3930,1113,3030,2342,2326,2379,606,2374,1088,2369,2381,1891,1092,2378,2331,2327,1917,539,1093,1090,2325,2338,538,2376,2967,1111,1094]",0,140,[19],1,"","",[],[],[],[],"[606,539,538]","[302,302,302]",""
31,"DuelistActThree","DuelistActThree",3,29,"[1520,2962,1927,3926,1929,2552,2494,1523,2555,1395,2969,1854,334,345,2526,331,2958,1850,1848,3933,1516,2512,326,3932,1517,2492,440,1849]",0,140,[21],1,"","","[2513,2527,1399]","[2514,2528,2515]",[],[],"[334,345,331,326,440]","[300,300,300,300,301]",""
32,"MercenaryActTwo","MercenaryActTwo",9,18,"[1823,2593,3889,443,445,3134,345,2592,2958,3910,3933,3135,2622,1822,2595,3888,440]",0,101,[22],1,"","",[2969],[],[],[],"[443,445,345,440]","[301,301,300,301]",""
33,"MercenaryActThree","MercenaryActThree",9,29,[],0,140,[23],1,"","",[],[],[],[],[],[],""
34,"ShadowActThree","ShadowActThree",4,29,"[1833,1726,1607,675,674,1756,454,1754,529,1751,1727,1831,676,456,1851,1832,3462,455,3469,1728,3936,1193,1725,418,1594,532,1676,1195]",0,140,[24],1,"","","[1680,1677,1693]",[],[],[],"[454,529,456,455,418,532]","[301,302,301,301,301,302]",""
35,"SorceressActThree","SorceressActThree",7,30,[],0,140,[20],1,"","",[],[],[],[],[],[],""
36,"MonkActThree","MonkActThree",10,29,"[1607,1846,529,1269,1831,656,1851,1595,659,665,1832,1280,2888,3462,2889,1848,3469,3937,3936,2886,1826,1193,418,1862,1594,532,1195,2899]",0,140,[25],1,"","",[],[],[],[],"[529,418,532]","[300,301,301]",""
37,"TemplarActFour","TemplarActFour",5,44,[],0,"",[26],1,"","",[],[],[],[],[],[],""
38,"DruidActFour","DruidActFour",11,44,"[1222,2995,2330,1217,2996,3934,314,3137,1514,1509,3014,2877,2878,3935,556,3009,3136,391,309,355,306,2762,530,308,1579,3015,315,1226,4402,2872,353,307,3016,513,2319,310,3141,1566,2318,354,2682,1510,1229]",0,"",[27],1,"","","[2435,2437,2462,2436]","[2523,2496,2498,2495]",[],[],"[314,556,391,309,355,306,530,308,315,353,307,310,354]","[300,302,300,300,300,300,302,300,300,300,300,300,300]",""
39,"MarauderActFour","MarauderActFour",0,44,[],0,"",[28],1,"","",[],[],[],[],[],[],""
40,"WarriorActFour","WarriorActFour",6,44,[],0,"",[29],1,"","",[],[],[],[],[],[],""
41,"RangerActFour","RangerActFour",2,44,"[3107,470,2601,2598,1057,2901,469,3769,427,1063,3098,1069,3140,3768,712,3761,3850,2624,3764,2894,3097,432,3928,3130,1622,2600,2887,2596,1824,3927,429,719,3864,2897,2626,428,2599,711,1068,1626,1056,431,1055]",0,"",[30],1,"","","[1682,2625,1681,1683,1679]",[],[],[],"[470,469,427,432,429,428,431]","[301,301,301,301,301,301,301]",""
42,"HuntressActFour","HuntressActFour",8,44,"[1682,3107,3851,1852,1293,1057,1049,1063,3098,1069,3140,433,3850,3913,935,432,1681,3928,1622,3927,1296,3864,3131,1836,474,939,1685,1068,1626,1284,1623,1285,1683,1837,1679,3463,1291,3461,1838,1055,473,1058]",0,"",[31],1,"","","[1689,1686]",[],[],[],"[433,432,474,473]","[301,301,301,301]",""
43,"SorceressActFour","SorceressActFour",7,44,[],0,"",[32],1,"","",[],[],[],[],[],[],""
44,"DuelistActFour","DuelistActFour",3,44,"[3128,1520,3107,2962,3925,1927,3926,1929,443,2552,2494,329,445,3098,2555,1395,2969,3139,388,1854,334,345,1146,2526,3927,2958,1850,1848,3933,1144,333,3510,435,1151,2512,326,3504,3127,3932,1517,2492,440,1399]",0,"",[33],1,"","","[2513,2527,1626,1623]","[2514,2528,2515]",[],[],"[443,329,445,388,334,345,333,435,326,440]","[301,300,301,300,300,300,300,301,300,301]",""
45,"MercenaryActFour","MercenaryActFour",9,44,[],0,"",[34],1,"","",[],[],[],[],[],[],""
46,"ShadowActFour","ShadowActFour",4,44,"[1833,1726,1607,675,2504,1853,1840,453,674,1188,1835,454,1680,529,1194,1727,1831,676,456,1851,1842,1855,2505,1832,3462,1839,471,2506,2522,1677,455,3469,1728,1693,1834,3936,1193,1725,418,1594,532,1676,1195]",0,"",[35],1,"","","[1187,1189,1442,1451]",[],[],[],"[453,454,529,456,471,455,418,532]","[301,301,302,301,301,301,301,302]",""
47,"MonkActFour","MonkActFour",10,44,"[2853,1607,3123,1191,529,1192,1831,656,2890,604,417,1827,1825,1851,1183,659,665,419,1832,2888,3462,2889,3138,1186,3469,422,3124,3936,1826,547,1193,2854,1725,2891,418,2900,421,1594,532,5126,1185,1195,2899]",0,"",[36],1,"","","[2170,2174,2856,2852,2175]",[],[],[],"[529,604,417,419,422,547,418,421,532]","[302,302,301,301,301,302,301,301,302]",""
48,"TemplarActFive","TemplarActFive",5,52,[],0,"",[37],1,"","",[],[],[],[],[],[],""
49,"DruidActFive","DruidActFive",11,52,"[1222,2995,2330,1217,2996,3934,2502,1389,3581,1514,3559,1029,1509,357,2877,2878,3935,350,999,556,3009,1390,309,355,2501,1397,306,2762,356,530,308,1579,315,1226,4402,2872,353,307,1001,513,2319,310,2524,1566,2318,354,1002,3561,2682,1510,1229]",0,"",[38],1,"","","[2435,2437,2440,2462,2461,2436]","[2523,2496,2500,2498,2495,2525]",[],[],"[357,350,556,309,355,306,356,530,308,315,353,307,310,354]","[300,300,302,300,300,300,300,302,300,300,300,300,300,300]",""
50,"MarauderActFive","MarauderActFive",0,52,[],0,"",[39],1,"","",[],[],[],[],[],[],""
51,"WarriorActFive","WarriorActFive",6,52,[],0,"",[40],1,"","",[],[],[],[],[],[],""
52,"RangerActFive","RangerActFive",2,52,"[1682,3107,470,2625,3890,2601,2598,1057,2901,469,3769,1063,3098,1069,3140,3768,712,3761,3850,2624,3764,2894,3097,1288,432,1681,3928,3130,1622,2600,2887,2596,1824,471,3927,3884,719,3864,2897,2626,2599,711,1068,1626,1290,3883,1056,1683,1679,431,1055]",0,"",[41],1,"","","[1282,1840,1277,1842,1855,1839]",[],[],[],"[470,469,432,471,431]","[301,301,301,301,301]",""
53,"HuntressActFive","HuntressActFive",8,52,"[936,1682,3107,1852,1293,731,1057,1049,1063,3098,1069,729,3140,730,3850,494,493,3913,935,432,1681,3928,3130,1622,467,3927,2557,728,1296,3864,465,498,1836,474,939,1068,1626,1623,466,1683,1837,1679,3463,3142,431,5125,3461,1838,1055,473,1058]",0,"",[42],1,"","","[2553,2556]","[2553,2556]",[],[],"[494,493,432,467,465,498,474,466,431,473]","[301,301,301,301,301,301,301,301,301,301]",""
54,"SorceressActFive","SorceressActFive",7,52,[],0,"",[43],1,"","",[],[],[],[],[],[],""
55,"DuelistActFive","DuelistActFive",3,52,[],0,"",[44],1,"","",[],[],[],[],[],[],""
56,"ShadowActFive","ShadowActFive",4,52,"[1833,2853,1726,1607,675,1187,674,1188,1756,454,1754,1680,529,1194,1751,1727,1831,423,676,417,456,1851,450,1043,1832,2856,451,1189,3462,2852,1039,1040,1442,1677,455,3469,422,1728,1693,3936,1193,2854,1725,1451,418,1594,532,1676,1195,448]",0,"",[45],1,"","","[2567,1752,1736,1750,2564,2565]","[1752,1736,1750]",[],[],"[454,529,423,417,456,450,451,455,422,418,532,448]","[301,302,301,301,301,301,301,301,301,301,302,301]",""
57,"MonkActFive","MonkActFive",10,52,"[2170,2853,1607,2504,1853,1041,453,3123,2507,1835,454,3509,529,1831,2567,656,2174,423,417,1827,1825,1851,452,659,450,1043,2505,665,1832,2856,451,3462,2506,2522,2852,1039,3138,3469,422,3124,2564,1834,3936,1826,2565,2854,1725,418,2175,1594,532]",0,"",[46],1,"","","[2826,2830,2827,2855]","[1756,1754,1751]",[],[],"[453,454,529,423,417,452,450,451,422,418,532]","[301,301,302,301,301,301,301,301,301,301,302]",""
58,"WarriorGamepadPremade","WarriorGamepadPremade",6,52,[],0,"",[47],1,"","",[],[],[],[],[],[],""
59,"MercGamepadPremade","MercGamepadPremade",9,52,[],0,"",[48],1,"","",[],[],[],[],[],[],""
60,"SorceressActThreeDelete","SorceressActThree",7,30,[],0,140,[20],1,"","",[],[],[],[],[],[],""
61,"HuntressActTwo","HuntressActTwo",8,18,"[936,3107,1049,3098,3140,3913,3097,935,3928,3130,1622,3927,939,1626,3463,431,3461]",0,102,[49],1,"","","[3850,3864]",[],[],[],[431],[301],""
62,"RangerTemplesPremade","RangerTemplesPremade",2,56,[],0,"",[50],1,"","",[],[],[],[],[],[],""
63,"WarriorCroneFight","WarriorCroneFight",6,3,"[2508,2509]",0,86,[51],1,"","",[],[],[],[],[],[],""
64,"SorceressHusbandFight","SorceressHusbandFight",7,9,"[3030,2449,2984,2446,2961,2883,3929,2967]",0,92,[52],1,"","",[],[],[],[],[],[],""
65,"RangerActThree","RangerActThree",2,29,[],0,140,[17],1,"","",[],[],[],[],[],[],""
66,"PKTest","Perennial King Balance Test",2,32,[],0,101,[54],1,"","",[],[],[],[],[],[],""
67,"DemoWitch","DemoWitch",1,30,"[3939,3930,1113,3030,2342,2725,2449,1326,2379,606,3037,2374,2381,1316,2446,2883,1331,2693,1891,1917,539,3938,1325,1090,3929,2338,2376,3038,1094]",0,117,[53],1,"","",[],[],[],[],"[606,539]","[302,302]",""
68,"NewWarriorSkills","NewWarriorSkills",6,2,[1004],0,86,[55],1,"","",[],[],[],[],[],[],""
69,"GamescomWitch","GamescomWitch",1,5,"[3939,2449,2446,3938]",0,88,[57],1,"","",[],[],[],[],[],[],1
70,"GamescomWarrior","GamescomWarrior",6,8,"[2508,3925,1003,1926,1033,1925,2509]",0,91,[56],1,"","",[],[],[],[],[],[],1
71,"WarriorDemoGamescom","WarriorDemoGamescom",6,45,"[2508,1016,3925,1003,1926,3926,329,323,2536,1395,3507,404,970,1009,321,1012,1010,969,1033,967,2540,1925,2546,2509,3510,2539,363,974,2538,3506,70,1400,326,1008,407,317,3504,31,2545,1409,3514,1399,2510,968]",0,155,[62],1,"","",[],[],[],[],"[329,323,321,363,70,326,317,31]","[300,300,300,300,300,300,301,300]",1
72,"GamescomSorceress","GamescomSorceress",7,22,"[1089,3939,3930,1113,3030,2449,1115,606,1088,2446,2883,1891,1917,539,1085,3938,1896,1090,3929,3038,1094]",0,107,[58],1,"","","[1112,1091,2683,2654]","[1112,2725,1091,2693]",[],[],"[606,539]","[302,302]",1
73,"GamescomRanger","GamescomRanger",2,21,"[2593,443,1828,3140,1077,3898,3928,3130,1042,2592,3904,1824,3927,3905,3131,435,2622,3899,3897,2595]",0,103,[59],1,"","",[],[],[],[],"[443,435]","[301,301]",1
74,"GamescomMonk","GamescomMonk",10,22,"[1607,3866,1846,2774,1756,1867,1754,1751,1595,1868,3868,1858,2772,1848,3937,3936,1193,418,1594,532,1195]",0,112,[61],1,"","","[1187,1188,1194,1192]","[1187,1188,1194,1192]",[],[],"[418,532]","[301,302]",1
75,"GamescomMercenary","GamescomMercenary",9,13,"[1823,3889,3903,1835,1165,3910,3933,1166,1164,3932,3888,3900]",0,96,[60],1,"","","[4283,4264]","[4283,4264]",[],[],[],[],1
76,"StoryMercenaryStageDemo","StoryMercenaryStageDemo",9,32,"[1823,2593,3889,2627,443,3903,2603,1835,389,445,2562,4461,2561,478,345,2558,2605,2592,2607,1165,3910,477,4781,3933,1166,1164,66,2622,3932,2595,3888,440,3900,4789,2606]",0,117,[63],1,"",22,[],[],[],[],"[443,389,445,478,345,477,66,440]","[300,300,301,300,300,301,301,301]",1
77,"StoryWitchStageDemo","StoryWitchStageDemo",1,23,"[1089,3939,3930,1113,3030,2725,2449,1115,606,1088,1316,2446,2883,1331,2693,1891,1917,539,3938,2737,1896,1090,3929,3038,1094,2765]",0,104,[66],1,"","",[],[],[],[],"[606,539]","[302,302]",1
78,"StorySorcStageDemo","StorySorcStageDemo",7,59,"[1112,1089,3939,3930,1113,2449,2771,1091,1607,601,4675,1115,27,606,2774,3037,1088,1867,2915,529,1916,2446,2464,2883,2910,3552,1889,3555,1891,600,1868,2434,1858,1917,2772,3558,539,608,67,1085,3938,3554,2737,68,607,1896,1090,3936,3929,2683,2448,2432,2443,3553,2891,418,1594,599,3038,2884,2685,2967,532,1094,2765]",0,186,[64],1," ",15,[],[],[],[],"[601,27,606,529,600,539,608,67,68,607,418,599,532]","[302,302,302,302,302,302,302,302,302,302,302,302,300]",1
79,"UltimatumMercStageDemo","UltimatumMercStageDemo",9,45,"[4334,3901,2593,3889,2627,443,4283,2623,3903,2603,4265,1523,389,445,2594,4330,425,4461,478,345,4339,2605,2592,2607,4333,1165,3910,477,4781,3933,1166,1164,4335,66,3902,29,442,1516,2622,4336,3932,4264,2595,4338,3888,440,3900,4789,339,2606]",0,153,[65],1,"","",[],[],[],[],"[443,389,445,425,478,345,477,66,29,442,440,339]","[301,301,300,301,300,300,300,301,300,300,301,301]",1
80,"SanctumWitchStageDemo","SanctumWitchStageDemo",1,24,"[1112,1089,3939,3930,1113,3030,2725,2449,1326,1091,1115,606,3037,1316,2446,2883,1331,2693,1891,1917,539,1085,3938,1090,3929,3038,1094]",0,123,[68],1,"","",[],[],[],[],"[606,539]","[302,302]",1
81,"StoryRangerStageDemo","StoryRangerStageDemo",2,36,"[470,2593,2601,443,1840,2623,469,2594,1069,1828,3140,1077,433,432,3928,3130,1042,1842,1855,2592,2596,3904,1824,1839,471,446,3927,5020,5021,3131,435,1047,2622,1056,3897,2595,5142,5011,1055,28]",0,144,[69],1,"",6,[],[],[],[],"[470,443,469,433,432,471,446,435,28]","[301,301,300,301,301,301,301,301,301]",1
82,"StoryMonkStageDemo","StoryMonkStageDemo",10,24,"[3866,1846,27,2774,1867,529,2567,1204,423,417,1851,1868,3868,1858,2772,2573,1848,422,2564,3936,1826,2565,1193,418,532,1195,1213]",0,110,[70],1,"","",[],[],[],[],"[27,529,423,417,422,418,532]","[301,302,302,301,300,302,301]",1
83,"StoryWarriorStageDemo","StoryWarriorStageDemo",6,52,"[867,862,1419,863,4522,2508,50,3925,1003,3926,1025,1021,868,870,872,869,323,2536,860,1395,2547,369,1415,5121,321,1012,1033,2516,4513,4514,2540,1407,4521,2537,4441,1032,2546,2509,5130,2539,1413,363,865,2538,70,1400,317,2535,31,2545,1409,367,1399,370,2510]",0,160,[71],1,"",3,"[979,970,969,967,974,968]","[1853,951,952,1827,954,953]",[],[],"[50,323,369,321,363,70,317,31,367,370]","[300,300,300,300,300,300,300,300,300,300]",1
84,"EndgameMercStageDemo","EndgameMercStageDemo",9,94,"[3602,4334,1143,3901,383,4791,822,832,1073,2593,5129,2638,3605,835,1161,3889,443,1149,4283,4281,2623,833,3903,4265,1523,329,445,1063,46,1035,4790,2594,4346,4344,3140,2632,4330,45,1145,425,4280,3898,1159,1157,1074,1825,4783,388,4282,1854,2633,334,345,1146,3928,4284,4339,3130,2584,4784,2592,2583,830,3927,4333,1142,3609,1165,483,4782,3603,3910,3905,4781,825,4285,4303,2631,3131,3933,4276,1166,333,2628,4792,1164,1834,3510,435,4335,3902,29,4345,1147,2634,442,1516,2622,2636,2582,2620,491,4336,3606,1151,385,5137,384,2630,3504,489,3932,4264,2595,4338,7,3888,440,3900,4789,1849,339,834,2585,831]",0,156,[67],1,"",22,[],[],[],[],"[383,443,329,445,46,45,425,388,334,345,483,333,435,29,442,491,385,384,489,7,440,339]","[301,301,301,300,300,301,301,300,301,300,301,300,301,300,300,300,300,300,300,300,301,301]",1
85,"EndgameMonkStageDemo","EndgameMonkStageDemo",10,95,"[1112,1089,2038,672,522,470,395,1064,661,1091,3866,2521,2559,2504,601,1734,1115,1846,1840,662,27,606,453,2774,1756,2507,26,460,454,1867,1754,588,529,2529,1751,2568,2567,2037,1204,423,4986,518,2969,417,4976,1851,452,2039,9,3187,3181,4978,3027,1842,1855,2505,419,3024,600,1868,2730,451,5138,3868,1858,3033,658,4460,1723,1839,471,2522,2772,664,3082,3095,1765,1766,1730,539,1768,1735,25,1085,2573,1848,422,4980,663,2569,2564,607,1090,2517,2044,462,3936,1826,1070,2982,4989,2720,3152,2565,1193,1772,1769,418,2518,3183,4979,1743,599,514,1071,1737,2967,532,1741,660,1195,1213,4988,4987,669,1054]",0,156,[72],1,"",34,[],[],[],[],"[470,395,601,27,606,453,26,460,454,588,529,423,417,452,9,419,600,451,471,539,25,422,607,462,418,599,532]","[301,302,301,301,301,301,301,302,301,301,302,302,301,301,301,301,301,301,301,302,300,300,301,301,302,301,301]",1
86,"EndgameWarriorFilming","EndgameWarriorFilming",6,93,"[867,862,2209,69,4533,863,372,2508,2184,1016,3925,3502,2186,1003,340,3926,1025,983,1875,3060,1021,868,343,981,872,4221,973,4201,3280,323,2536,860,2204,2547,369,1928,4229,404,984,970,1009,4197,5121,1874,371,366,321,1012,1010,338,1930,4542,969,4202,4442,1033,972,2516,967,324,4539,4529,1876,2540,1407,341,2210,4203,4230,2537,1932,1032,2546,2509,4541,980,2200,971,3510,342,5130,4530,3279,4228,373,406,986,2185,2539,344,363,974,3503,865,2538,360,3506,70,1400,1008,407,317,2535,3504,1241,31,2545,4538,1409,3514,367,4,408,409,1259,1240,5,370,3278,2212,4532,2510,968,1935]",0,156,[73],1,"",4,[],[],[],[],"[69,372,340,343,323,369,371,366,321,338,324,341,342,373,344,363,360,70,317,31,367,4,5,370]","[300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300]",1
87,"EndgameSorcFilming","EndgameSorcFilming",7,92,"[1112,1089,3939,540,3930,4679,3030,0,1328,3229,2449,2979,2775,2771,1091,4666,2759,601,2752,4675,2911,1115,582,3049,606,2748,4673,2774,2740,2770,2912,3037,3212,590,2763,1205,3056,2747,2750,2446,2986,2065,1308,1204,5141,3217,2754,2883,1310,2776,564,3214,584,3552,2753,4081,2760,60,1330,600,2983,3048,2779,558,1309,4084,2772,1324,2773,2741,3558,539,4676,623,2068,3227,3216,67,1085,3938,3213,2737,68,581,607,3215,3221,11,1090,3937,4683,3936,4669,625,624,3929,3228,3219,3218,1315,2738,3553,2749,585,4096,2067,421,599,589,3038,541,2967,3220,532,591,5126,3050,580,1213,2751,2765,1329,4665]",0,156,[74],1,"",15,[],[],[],[],"[540,0,601,582,606,590,564,584,60,600,558,539,67,68,581,607,11,585,421,599,589,541,532,591,580]","[302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302]",1
88,"EndgameWitchFilming","EndgameWitchFilming",1,91,"[1112,1089,571,3939,3930,2385,1113,2395,2398,2342,2725,2371,2391,2401,2449,1087,1091,4614,5132,2334,4613,2326,1115,2379,2335,923,606,927,1102,2374,2400,1088,2369,2399,2381,2340,4631,1316,4625,2446,2377,2397,2393,2883,1331,2693,4623,921,2402,3807,570,60,2333,560,13,922,2378,924,2375,2331,2327,557,32,918,558,2324,1124,1100,2356,539,4620,623,2328,608,1085,2370,3938,2336,2386,3804,2373,1114,524,3803,576,4612,559,581,4624,2337,574,2387,1090,12,2389,2332,1101,573,2352,624,3929,575,2338,585,537,523,4450,538,605,2376,2884,2382,2967,5135,2388,2329,1111,1094,580,2403,2343,2384]",0,239,[75],1,"",12,[],[],[],[],"[571,606,570,60,560,13,557,32,558,539,608,524,576,559,581,574,12,573,575,585,537,523,538,605,580]","[300,302,300,301,300,300,300,300,300,300,302,300,302,300,302,302,300,300,302,300,302,300,302,300,302]",1
89,"EndgameRangerFilming","EndgameRangerFilming",2,93,"[4321,2100,4319,522,463,1064,4363,3464,2106,4368,3465,2103,2095,475,727,4308,4366,2098,5047,1696,4365,1840,424,1057,4326,4305,5055,2554,460,5044,1065,459,2108,4367,1828,725,3140,1077,714,713,3898,2111,518,3394,494,2129,3389,9,432,2099,3928,5056,2094,3130,1042,4327,10,1842,724,1855,5127,5138,2107,467,720,3904,2109,1824,1839,471,446,3927,4306,2557,5052,2101,1060,4318,2556,3905,3469,2110,3131,726,1062,3390,5066,464,462,1695,4322,1068,1070,2096,3388,466,3899,3897,514,1071,431,5125,722,4325,2120,5045,42,5053,473,2122,28,448,1054,1058]",0,156,[76],1,"",8,[],[],[],[],"[463,475,424,460,459,494,9,432,10,467,471,446,464,462,466,431,42,473,28,448]","[301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,300]",1
90,"EndgameMercFilming","EndgameMercFilming",9,93,"[4334,1143,3901,383,822,832,3492,3499,2593,5129,835,443,1149,4283,2623,833,3903,3857,4265,329,445,836,46,4790,2594,4346,4344,3140,2632,3858,3512,4787,4330,45,1145,425,3898,1157,388,2633,334,345,1146,3928,4284,4339,3130,3859,1150,2592,839,1156,830,3513,3927,4333,1142,3497,4795,3498,1165,483,4782,3905,4781,825,4285,4303,2631,3131,3933,1166,333,2628,1164,3510,837,435,4335,3902,29,4345,1147,2634,442,2622,2620,491,4336,1151,385,5137,384,3504,489,3932,485,4264,2595,4338,440,3900,4789,339,834,831]",0,156,[77],1,"",22,[],[],[],[],"[383,443,329,445,46,45,425,388,334,345,483,333,435,29,442,491,385,384,489,485,440,339]","[300,300,300,301,300,300,300,301,300,300,301,300,301,301,301,300,300,301,300,301,301,300]",1
