"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","CopiedStats","bool"
84,"EssenceDrainPlayer",3,"[488,4415,10057,5627,18623,8806,18709]","[18616,18677,20405,19654]","[-70,160,60,10000]",1.7,0.14,0.0087,[],""
85,"EssenceDrainDotPlayer",10,"[3526,20733]",[349],[4000],7.41,0.14,0.0087,"[1435,1436]",""
86,"SunderPlayer",15,"[603,18280,1953,19873]","[18513,11574,11575,11597,16633,5553,16270,17547,95,17750,1862]","[1,2,5,5,1400,0,11,24,100,9,-30]",1,0.0927,0,[],""
87,"SunderShockwavePlayer",24,[20733],[17753],[12],1,0.055,0,"[8121,17750,11574,11575,16633]",1
88,"DarkPactPlayer","","[603,5964,18623]","[4416,5058,18616,18677,20405]","[13,100,-70,160,60]",0.57,0.14,0.0065,[],""
89,"SummonSkeletalWarriorsPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",0,0.0927,0,[],""
90,"SummonSkeletalReaversPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",0,0.0927,0,[],""
91,"SummonSkeletalBrutesPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",1,0.055,0,[],""
92,"SummonSkeletalSnipersPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",1,0.055,0,[],""
93,"SummonSkeletalFrostMagesPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",1,0.055,0,[],""
94,"SummonSkeletalStormMagesPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",1,0.055,0,[],""
95,"SummonSkeletalArsonistsPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",1,0.055,0,[],""
96,"SummonSkeletalClericsPlayer",79,"[18448,20393]","[447,18449]","[2,12000]",1,0.055,0,[],""
97,"VolatileDeadPlayer","","[603,1953,18623]","[6146,17750,18616,18677,20405]","[1,14,-70,160,60]",3.75,0.14,0.0065,[],""
98,"DespairPlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",1,0.0927,0,[],""
99,"IncineratePlayer","","[603,18623,18752,18229,1953]","[19142,17750,349,19145,19146,18290,18616,18677,20405,14421,18519,20596,21110]","[20,46,2000,50,8,600,-70,160,60,-50,360,40,-98]",2.95,0.14,0.0065,[],""
100,"IncinerateGroundPlayer",76,[20733],"[349,17753]","[4000,8]",1,0.055,0,"[349,14421]",""
101,"RainOfArrowsPlayer","","[488,816,18385,18623,603,20834]","[17750,17753,19874,18648,18616,18677,20405,21051,21053,21109]","[36,7,100,50,-70,160,60,1,80,120]",0,0.0927,0,[],""
102,"SoulrendPlayer","","[3526,488,4385,18623]","[6703,349,18616,18677,20405,19654]","[25,600,-70,160,60,600]",1.44,0.14,0.0065,[],""
103,"PlagueBearerPlayer","",[2876],[9409],[4],14,0.1252,0.032,[],""
104,"ArtilleryBallistaPlayer",71,"[18999,822,9919,18623,13547,2876,18703]","[830,828,18704,18737,18743,18740,834,18616,18677,20405]","[60,16000,18,500,2500,80,1,-70,160,60]",1.45,0.1165,0.0067,[],""
105,"ArtilleryBallistaProjectilePlayer",70,"[488,603,20974,1746]","[18470,18426,18430,17753,17756,18465,16614,3085,1065,316]","[90,1,800,5,25,70,1,16,60,90]",1,0.055,0,[],""
106,"ArtilleryBallistaProjectileExplodePlayer",5,[1746],"[17753,1065]","[13,30]",1,0.055,0,[],1
107,"SnipePlayer",29,"[488,4415,6480,10057,816,18385,18230,18753,18024]","[18519,16440,18751,18187,18290,95,20553,20712]","[120,6,300,16,300,200,2500,400]",1,0.0927,0,[],""
108,"SnipeExplosionPlayer",5,"[603,340,20733]",[17750],[15],1,0.0927,0,"[18290,18187]",""
109,"SeismicCryPlayer","","[104,9012,11482,13210,603,1598,18360,18623]","[11188,11233,18463,17750,18358,18359,18357,18759,18616,18677,20405]","[1,2,400,40,30,1,5,1,-70,160,60]",1.86,0.14,0.0065,[],""
110,"EarthshatterPlayer",43,[603],"[349,11594,17750,9704]","[6000,6,10,-30]",1,0.055,0,[],""
111,"SigilOfPowerPlayer","","[12553,18623]","[11716,19459,11715,18616,18677,20405,17750]","[4,1,50,-70,160,60,30]",0.163,0.14,0.0065,[],""
112,"FlameWallPlayer","","[603,18623]","[11821,15404,18616,18677,20405,21110]","[3,1,-70,160,60,-92]",4.3,0.14,0.0065,[],""
113,"DoomBlastPlayer","","[11751,603]","[19055,17750]","[15,20]",1.72,0.0927,0.0556,[],""
114,"HexblastPlayer","","[603,18623]","[18631,17750,17753,18616,18677,20405]","[9,16,28,-70,160,60]",4.31,0.14,0.0065,[],""
115,"AncestralWarriorTotemPlayer","","[10087,822,18999,18679,18703,20393]","[828,830,18681,18704,18737,18743,18740,834]","[8000,60,600,10,5,1000,13,1]",1.941,0.1165,0.0067,[],""
116,"SupportAncestralWarriorTotemPlayer","",[1746],[16614],[2],1,0.055,0,[],""
117,"SummonMetaTotemSpellTotemPlayer","","[10087,822,18999]","[828,830]","[8000,80]",1,0.0927,0,[],""
118,"SupportMetaTotemSpellTotemPlayer","",[1746],[16614],[2],1,0.055,0,[],""
119,"SummonMetaTotemBallistaPlayer","","[10087,9919,18999]","[828,830,834]","[12000,80,1]",1,0.0927,0,[],""
120,"SupportMetaTotemBallistaPlayer","",[],[16614],[2],1,0.055,0,[],""
121,"RapidAssaultPlayer",12,"[9242,603]","[1193,13152,16270]","[6,-60,13]",1,0.055,0,[],""
122,"RapidAssaultFinalHitPlayer",9,[20733],[1193],[6],1,0.055,0,[],1
123,"EngagePlayer","","[9242,104,2289,603]","[18463,17965,18177]","[50,50,200]",1,0.0927,0,[],""
124,"DisengagePlayer","","[603,18175]","[7865,18176,17547,1193]","[50,50,-3,5]",1,0.0927,0,[],""
125,"ExsanguinatePlayer","","[3526,13493,18623]","[349,166,18616,18677,20405,13177,19654]","[1000,2,-70,160,60,3,2000]",0.81,0.14,0.0095,[],""
126,"ReapPlayer","","[603,18623]","[349,18616,18677,20405]","[1000,-70,160,60]",2.65,0.14,0.0095,[],""
127,"BoneshatterPlayer",8,"[18711,18712]","[1193,16270,18463,1862]","[2,17,-100,-30]",0.1828,0.0927,0.0537,[],""
128,"BoneshatterShockwavePlayer",24,"[603,20733]",[17750],[20],0.1828,0.0927,0.0537,"[18463,1193,18712]",1
129,"EyeOfWinterPlayer","","[488,13734,18623]","[13735,13866,349,19152,18616,18677,20405,19162]","[8,100,4000,50,-70,160,60,1]",0.3,0.14,0.0065,[],""
130,"WhirlingSlashPlayer",2,"[603,18325,3063]",[],[],1,0.0927,0,[],""
131,"WhirlingSlashSandstormPlayer",25,"[17953,20733]","[17750,12719,13154,12720,12718,12721]","[22,3,4,-30,150,3]",1,0.055,0,[18325],""
132,"SpearfieldPlayer","","[603,3667]","[13640,349,17547,13153,5221,17753,18347]","[70,5000,40,10,0,5,20]",1,0.0927,0,[],""
133,"TornadoPlayer","","[1678,13190,603,14721,17953,18623]","[14133,1081,349,17750,18367,18372,18374,18616,18677,20405]","[1,1000,6000,30,100,60,50,-70,160,50]",1.5,0.0673,0.0261,[],""
134,"LightningConduitPlayer","",[1288],"[17601,17954,17750,15813]","[30,1000,100,100]",1.92,0.14,0.0065,[],""
135,"GalvanicFieldPlayer","","[1288,1678,18623]","[349,7660,15847,16010,18616,18677]","[6000,20,100,1,-70,160]",0.337,0.14,0.0065,[],""
136,"MtxDirectLineOfAntsPlayer","",[2876],[],[],1,0.0927,0,[],""
137,"MtxPolymorphCatPlayer","",[2876],"[349,8703]","[6000,107]",1,0.0927,0,[],""
138,"MtxBestiaryStampedeQuicksilverRhoaPlayer","",[2876],[],[],1,0.0927,0,[],""
139,"DemonMagusPlayer","","[18554,18448]","[13252,13629,13253,18565,18449]","[1,20,-30,-50,12000]",1,0.0927,0,[],""
140,"StormSpearPlayer","","[488,4415,6480,10057,18314,13612,18623]","[17750,1067,6703,10102,18616,18677,20405]","[50,60,25,20,-70,160,60]",1,0.0927,0,[],""
141,"BlazingLancePlayer","","[488,6698,18005,4385]","[1065,5875,17750,17753,19259]","[50,-50,8,24,500]",8.7505,0.0673,0.0261,[],""
142,"BlazingLanceSecondProjectilePlayer",20,"[4385,20733]",[1065],[30],1,0.0927,0,[],1
143,"BlazingLanceFlameWallPlayer",21,[20733],"[349,1065]","[2000,50]",1,0.0927,0,[],1
144,"SummonInfernalHoundPlayer","",[18448],"[447,20251,20252]","[8,20,15]",1,0.0927,0,[],""
145,"SiegeCascadePlayer",56,"[488,603,18623,18385,20082,1289,21131]","[18470,18426,18430,18439,17750,17753,18465,18616,18677,1065,20405,18463]","[90,1,500,50,35,5,70,-70,160,80,50,-100]",1,0.055,0,[],""
146,"SiegeCascadeExplodePlayer",5,[],[17753],[5],1,0.055,0,[],1
147,"SiegeCascadeAmmoPlayer",78,"[18520,20084,18623,2876,20733]","[18446,17924,18616,18677,20405,20667]","[1,1000,-30,160,60,-30]",1,0.055,0,[],""
148,"HailstormRoundsPlayer",56,"[488,603,18623,18385,20082,1953]","[18470,18426,18430,1066,18616,18677,20405,17750,17753]","[90,1,300,80,-70,160,60,12,25]",1,0.055,0,[],""
149,"HailstormRoundsAmmoPlayer",78,"[20209,18520,20084,18623,2876,20561,20733,21128]","[17924,18616,18677,20405,20667]","[1000,-30,160,60,-50]",1,0.055,0,[],""
150,"StormblastBoltsPlayer",56,"[488,603,18623,18385,20082]","[18470,18426,18430,1067,18616,18677,17750,17753,349,20405,20930]","[90,3,150,60,-70,160,8,35,8000,50,30]",1,0.055,0,[],""
151,"StormblastBoltsExplosionPlayer",5,"[603,20733]","[1067,17750]","[40,8]",1,0.055,0,"[349,18426]",1
152,"StormblastBoltsAmmoPlayer",78,"[18520,20084,18623,2876,20733,21128]","[18446,17924,18616,18677,20405,20667]","[5,1000,-30,160,60,-30]",1,0.055,0,[],""
153,"ExplosiveShotPlayer",55,"[488,18385,18471,4415,6480,10057,18509,9012,8806,13986,18623,18709,1953]","[18470,1065,18517,18524,18525,18526,18543,18616,18677,20405]","[90,30,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
154,"ExplosiveShotExplosionPlayer",5,"[603,20733]","[18447,1065]","[0,50]",1,0.055,0,[8806],""
155,"ExplosiveShotAmmoPlayer",78,"[18520,18623,2876,20733]","[18446,17924,18616,18677,20405,20667]","[1,1000,-30,160,60,-30]",1,0.055,0,[],""
156,"IncendiaryShotPlayer",55,"[488,2722,18385,8806,18471,18709,4415,6480,10057,9012,18623,1953]","[18466,18467,18469,18470,18426,8159,6703,18463,1065,18524,18525,18526,18543,18558,17750,18695,7380,18616,18677,20405]","[3,20,9,90,10,10,40,0,80,1,8,300,75,220,19,100,0,-70,160,50]",1,0.055,0,[],""
157,"IncendiaryShotConePlayer",0,"[20733,603]",[],[],1,0.055,0,[18543],""
158,"IncendiaryShotAmmoPlayer",78,"[18520,18623,2876,20733]","[18446,17924,18616,18677,20405]","[1,1000,-30,160,60]",1,0.055,0,[],""
159,"HighVelocityRoundsPlayer",55,"[488,18385,18571,18471,18709,4415,6480,10057,18509,9012,8806,18623,1953,19873]","[18513,18470,10173,5906,18517,18524,18525,18526,18543,18616,18677,20405]","[2,90,0,6,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
160,"HighVelocityRoundsArmourBrokenPlayer",75,"[20474,20733]",[],[],1,0.055,0,[],1
161,"HighVelocityRoundsAmmoPlayer",78,"[18520,18623,2876,20733]","[18446,17924,18616,18677,20405]","[1,1000,-30,160,60]",1,0.055,0,[],""
162,"FragmentationRoundsPlayer",55,"[488,2722,18385,18471,18709,4415,6480,10057,9012,18537,8806,18623,1953,18896,1289]","[18466,18467,18469,18470,18426,8159,6703,18463,10173,5906,18543,18616,18677,20405]","[3,20,8,90,10,10,40,0,0,2,100,-70,160,50]",1,0.055,0,[],""
163,"FragmentationRoundsFreezeShatterPlayer",17,"[603,20733]",[],[],1,0.055,0,"[18426,8806,18543,5906,2722,18567,18896]",1
164,"FragmentationRoundsAmmoPlayer",78,"[18520,18623,2876,20733]","[18446,17924,18616,18677,20405]","[1,1000,-30,160,60]",1,0.055,0,[],""
165,"GlacialBoltPlayer",55,"[488,18385,18471,4415,6480,10057,18509,9012,13986,8806,18623,18709,1953]","[18470,1066,18517,18524,18525,18526,18543,18616,18677,20405]","[90,60,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
166,"GlacialBoltWallPlayer",58,"[603,20733]","[1066,349,499,18334,17750]","[40,6000,63,231,18]",1,0.055,0,[18543],1
167,"GlacialBoltAmmoPlayer",78,"[18520,18623,2876,20733]","[18446,17924,18616,18677,20405]","[1,1000,-30,160,60]",1,0.055,0,[],""
168,"PermafrostBoltsPlayer",55,"[488,2722,18385,8806,18471,18709,4415,6480,10057,9012,18623,1953]","[18466,18467,18469,18470,18426,8159,6703,1066,18454,18543,18558,17750,18616,18677,20405]","[3,20,14,90,10,10,40,80,80,100,40,27,-70,160,50]",1,0.055,0,[],""
169,"PermafrostBoltsConePlayer",0,"[20733,603]",[],[],1,0.055,0,[18543],""
170,"PermafrostBoltsAmmoPlayer",78,"[18520,18623,2876,20733]","[18446,17924,18616,18677,20405]","[1,1000,-30,160,60]",1,0.055,0,[],""
171,"PlasmaBlastPlayer",55,"[488,18385,18471,18709,4415,6480,10057,18509,8806,18623,4385]","[18470,1067,18517,18524,18525,18526,18543,18616,18677,18694,20405,16633,20712]","[90,70,10,2,8,300,400,-70,160,30,50,2000,35]",1,0.055,0,[],""
172,"PlasmaBlastExplosionPlayer",5,"[603,20733]","[1067,17750]","[30,32]",1,0.055,0,"[8806,18543,4385,8121,16633]",1
173,"PlasmaBlastAmmoPlayer",78,"[18520,18623,2876,20733,21128]","[18446,17924,18616,18677,20405]","[1,1000,-30,160,60]",1,0.055,0,[],""
174,"GalvanicShardsPlayer",55,"[488,2722,18385,18471,18709,4415,6480,10057,9012,8806,18623,18643,21128]","[18466,18467,18469,18470,18426,8159,6703,1067,18543,18616,18677,20405]","[3,20,14,90,6,10,40,40,100,-70,160,50]",1,0.055,0,[],""
175,"GalvanicShardsBeamPlayer",11,[20733],"[166,1067]","[1,60]",1,0.055,0,"[8806,18446,18543,18426,2722,18643]",1
176,"GalvanicShardsAmmoPlayer",78,"[18520,18623,2876,20733,21128]","[18446,17924,18616,18677,20405,20667]","[5,1000,-30,160,60,-50]",1,0.055,0,[],""
177,"AxeChopPlayer","",[],"[3483,1193]","[50,20]",1,0.0927,0,[],""
178,"AxeSlashPlayer","","[104,9242]","[1193,17547]","[5,7]",1,0.0927,0,[],""
179,"RollingSlamPlayer","","[603,1953,18828,2876]","[16633,16270,17547,19245,19009,1862]","[1500,15,20,36,1,-30]",1,0.0927,0,[],""
180,"RollingSlamFirstSlamPlayer",22,[20733],"[17750,18463]","[14,50]",1,0.0927,0,[2876],""
181,"RollingSlamSecondSlamPlayer",23,[20733],"[17753,21123]","[18,50]",1,0.0927,0,[2876],""
182,"WhirlingAssaultPlayer","","[9242,9012,4762,17953,1953,603]","[16633,17547]","[1400,42]",1,0.0927,0,[],""
183,"WeaponGrantedChaosboltPlayer","","[488,4415,10057,5627,18623,18709]","[762,18616,18677,20405]","[1109,-70,160,60]",2,0.14,0.0087,[],""
184,"EscapeShotPlayer","","[488,603,816,17271,18385,4415,6480,10057,13986,1953]","[17750,18454,1066,16633,6466]","[24,300,100,700,20]",1,0.0927,0,[],""
185,"SuperchargedSlamPlayer",4,"[603,1953,18753]","[17750,17987,17993,16440,17635,18290]","[16,40,3,3,1000,1000]",1,0.0927,0,[],""
186,"SuperchargedSlamAftershockPlayer",18,[20733],"[17750,18331,18356]","[12,5,250]",1,0.0927,0,[],""
187,"EvasiveStrikePlayer","",[],"[1193,17547]","[8,27]",1,0.0927,0,[],""
188,"GaleStrikePlayer","","[104,17953,603,18623]","[17985,17984,17986,18463,17750,17753,18616,18677,20405]","[200,-90,60,150,60,7,-70,160,60]",1,0.0927,0,[],""
189,"BladeDancePlayer","",[],"[1193,17547]","[5,20]",1,0.0927,0,[],""
190,"ClawRakePlayer","","[9138,104]","[392,10043,17547]","[200,400,9]",1,0.0927,0,[],""
191,"SpinningFlailPlayer","",[],"[1193,1194]","[5,-50]",1,0.0927,0,[],""
192,"VolcanicFissurePlayer","",[603],"[349,1065,16270,9704]","[12000,60,8,-30]",1,0.0927,0,[],""
193,"VolcanicFissureProjectilePlayer",0,[488],[],[],1,0.0927,0,[9704],""
194,"AxeExecutePlayer","",[],[],[],1,0.0927,0,[],""
195,"AxeLeapingChopPlayer","",[],[16633],[150],1,0.0927,0,[],""
196,"AxeWhirlingSlashPlayer","",[],[],[],1,0.0927,0,[],""
197,"AxeRaisedChopPlayer","",[],[],[],1,0.0927,0,[],""
198,"AxeHeavyCleavePlayer","",[],"[1193,1065]","[30,100]",1,0.0927,0,[],""
199,"GlacialCascadePlayer",15,"[1289,603,18623]","[2059,1066,17750,17541,18273,17982,17983,18616,18677,20405]","[8,60,5,30,48,6,125,-70,160,60]",1,0.055,0,[],""
