"rownum","Id","Projectile","bool","bool","bool","i32","bool"
212,1060,1454,1,"","",0,""
213,1061,1455,1,"","",0,""
214,1062,1474,1,"","",0,""
215,1063,1475,1,"","",15,""
216,1064,1476,1,"","",-10,""
217,1065,1477,1,"","",10,""
218,1066,1479,1,"","",0,""
219,1067,1485,1,"","",0,""
220,1068,1488,"","","",0,""
221,1069,1489,1,"","",20,""
222,1070,1490,1,"","",40,""
223,1071,1491,"","","",0,""
224,1072,1492,1,"","",0,""
225,1073,1494,"","","",0,""
226,1074,1495,1,"","",0,""
227,1075,1496,"","","",0,""
228,1076,1498,"","","",0,""
229,1077,1499,"","","",0,""
230,1078,1504,1,"","",35,""
231,1079,1506,"","","",20,""
232,1080,1511,"","","",0,""
233,1081,1513,"","","",0,""
234,1082,1514,"","","",0,""
235,1083,1518,"","","",0,""
236,1084,1126,1,"","",0,""
237,1085,1400,1,"","",0,""
238,1086,1534,1,"","",10,""
239,1087,1535,1,"","",10,""
240,1088,1536,1,"","",10,""
241,1089,1539,1,"","",15,""
242,1090,1540,1,"","",15,""
243,1091,1541,1,"","",15,""
244,1092,1542,1,"","",15,""
245,1093,1543,1,"","",15,""
246,1094,1531,1,"","",4,""
247,1095,1553,"","","",0,""
248,1096,1554,"","","",0,""
249,1097,1555,"","","",0,""
250,1098,63,"","","",0,""
251,1099,1567,"","","",0,""
252,1100,1568,"","","",0,""
253,1101,1578,"","","",0,""
254,1102,22,1,"","",-8,""
255,1103,1583,1,"","",35,""
256,1104,1584,1,"","",0,""
257,1105,1587,1,"","",0,""
258,1106,1589,1,"","",10,""
259,1107,1591,1,"","",0,""
260,1108,1608,1,"","",0,""
261,1109,1314,1,"","",-7,""
262,1110,1590,1,"","",0,""
263,1111,1588,1,"","",0,""
264,1112,1586,1,"","",0,""
265,1113,1586,"","","",15,""
266,1114,1084,"","","",10,""
267,1115,1619,"","","",-8,""
268,1116,1096,"","","",0,""
269,1117,1094,"","","",0,""
270,1118,1088,"","","",0,""
271,1119,1623,"","","",30,""
272,1120,1627,"","","",0,""
273,1121,1585,1,"","",0,""
274,1122,1628,1,"","",0,""
275,1123,1629,"","","",0,""
276,1124,1450,1,"","",30,""
277,1125,1608,1,"","",-10,""
278,1126,98,1,"","",0,""
279,1127,1634,1,"","",0,""
280,1128,1639,"","","",0,""
281,1129,1641,"","","",0,""
282,1130,24,"","","",-10,""
283,1131,1653,1,"","",0,""
284,1132,1657,"","","",0,""
285,1133,1659,"","","",15,""
286,1134,1675,"","","",0,""
287,1135,1380,1,"","",15,""
288,1136,1677,1,"","",10,""
289,1137,1642,"","","",0,""
290,1138,1703,1,"","",10,""
291,1139,1708,"","","",20,""
292,1140,868,"","","",0,""
293,1141,1343,1,"","",10,""
294,1142,1720,"","","",0,""
295,1143,1721,"","","",0,""
296,1144,1724,"","","",-3,""
297,1145,1733,"",1,"",0,""
298,1146,1737,1,"","",0,""
299,1147,1738,1,"","",0,""
300,1148,23,1,"","",-8,""
301,1149,1741,"","","",0,""
302,1150,1133,1,"","",0,""
303,1151,1615,1,"","",0,""
304,1152,1745,1,"","",0,""
305,1153,99,1,"","",0,""
306,1154,25,"","","",-10,""
