"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32"
28,2000,[113],[],4,0,0,0,0,1,0,7,"","",2,"",0
29,1007,"[124,123]",[],4,0,0,0,0,1,0,7,"","mastodon_spike",2,1,0
30,1008,[126],[],4,0,0,0,0,1,0,2,"","forsaken_ground_effect",2,1,0
31,1009,[127],[],4,0,0,0,0,1,0,7,"","bone_storm",2,1,0
32,1010,[128],[],4,0,0,0,0,1,0,7,"","",2,"",0
33,1011,[131],[],4,0,0,0,0,1,0,4,"","meteormarker",2,1,0
34,1012,[132],[],4,0,0,0,0,1,0,4,"","stormmarker",2,1,0
35,1013,"[133,137]",[],4,0,0,0,180,1,0,4,"","arenaspear",2,1,0
36,1014,[134],[],4,0,0,0,0,1,0,2,"","cascadespear",2,1,0
37,1015,[153],[],4,0,0,0,0,1,0,2,"","coins",2,1,0
38,1016,[155],[],3,0,0,0,0,1,0,7,"","",2,"",0
39,1017,[159],[],4,0,0,0,0,1,0,2,"","stalagmites",2,1,0
40,1018,[160],[],4,0,0,0,0,1,0,7,"","bone_walls",2,1,0
41,1019,"[162,163,164]",[],4,0,0,0,0,1,0,7,"","slam_cracks",2,1,0
42,1020,[165],[],4,0,0,0,-90,1,0,2,"","fire_wall_bone",2,1,0
43,1021,[165],[],4,0,0,0,90,1,0,2,"","fire_wall_bone",2,1,0
44,1022,[169],[],4,0,0,0,0,1,0,2,"","flamewall_fire",2,1,0
45,1023,[172],[],4,0,0,0,0,1,0,2,"","",2,"",0
46,1024,[170],[],4,0,0,0,0,1,0,7,"","",2,"",0
47,1025,[171],[],4,0,0,0,0,1,0,7,"","",2,"",0
48,1026,[174],[],4,0,0,0,0,1,0,7,"","",2,"",0
49,1027,[173],[],4,0,0,0,0,1,0,7,"","",2,"",0
50,1028,[165],[],4,0,0,0,0,1,0,2,"","fire_wall_bone",2,1,0
51,1029,[177],[],4,0,0,0,0,1,0,2,"","",2,"",0
52,1030,[178],[],4,0,0,0,0,1,0,2,"","",2,"",0
53,1031,[179],[],4,0,0,0,0,1,0,2,"","",2,"",0
54,1032,[180],[],4,0,0,0,0,1,0,7,"","",2,"",0
55,1034,[181],[],4,0,0,0,0,1,0,2,"","",2,"",0
56,1035,[187],[],4,0,0,0,0,1,0,7,"","shroomers",2,1,0
57,1036,[189],[],4,0,0,0,0,1,0,7,"","slam_spikes",2,1,0
58,1037,[190],[],4,0,0,0,0,1,0,7,"","rocks",2,1,0
59,1038,[194],[],4,0,0,0,0,1,0,7,"","geyser",2,1,0
60,1039,[427],[],4,0,0,0,0,1,0,7,"","swordnado",2,"",0
61,1040,[429],[],4,0,0,0,0,1,0,7,"","",2,"",0
62,1041,[434],[],4,0,0,0,0,1,0,7,"","spore_proj",2,1,0
63,148,[160],[],4,0,0,0,0,1,0,7,"","bone_walls",2,1,0
64,1042,[156],[],3,0,0,0,0,1,0,7,"","",2,"",0
65,1043,[480],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
66,1044,[491],[],4,0,0,0,0,1,0,7,"","my_icicles",2,1,0
67,1045,[121],[],3,0,0,0,0,1,0,7,"","",2,"",0
68,1046,[513],[],4,0,0,0,0,1,0,2,"","my_minigun_portal",2,1,0
69,1047,[521],[],4,0,0,0,0,1,0,7,"","my_solar_orbs",2,1,0
70,1048,[540],[],4,0,0,0,0,1,0,7,"","my_spear_rocks",2,1,0
71,1049,[541],[],4,0,0,0,0,1,0,2,"","my_fence_posts",2,1,0
72,1050,[542],[],4,0,0,0,0,1,0,2,"","my_bones",2,1,0
73,1051,"[552,553,554]",[],4,0,0,0,0,1,0,7,"","pods",2,1,0
74,1052,[550],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
75,1053,[555],[],4,0,0,0,0,1,0,7,"","stationary_laser_target",2,1,0
76,1054,[135],[],4,0,0,0,0,1,0,2,"","cascadespear",2,1,0
77,1055,[566],[],4,0,0,0,0,1,0,7,"","razerocks",2,1,0
78,1056,[570],[],4,0,0,0,0,1,0,7,"","spikes",2,1,0
79,1057,[571],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
80,1058,[573],[],4,0,0,0,0,1,0,4,"","all_my_traps",2,1,0
81,1059,[574],[],12,0,0,0,0,1,0,4,"","trails",2,1,0
82,1060,[575],[],3,0,0,0,0,1,0,4,"","",2,"",0
83,1061,[576],[],4,0,0,0,0,1,0,7,"","flowers",2,1,0
84,1062,[581],[],4,0,0,0,0,1,0,4,"","",2,"",0
85,1063,[582],[],4,0,0,0,0,1,0,4,"","",2,"",0
86,1064,[583],[],4,0,0,0,0,1,0,4,"","",2,"",0
87,1065,[584],[],4,0,0,0,0,1,0,4,"","",2,"",0
88,1066,[585],[],4,0,0,0,0,1,0,4,"","",2,"",0
89,1067,[586],[],4,0,0,0,0,1,0,4,"","",2,"",0
90,1068,[587],[],4,0,0,0,0,1,0,4,"","",2,"",0
91,1069,[588],[],4,0,0,0,0,1,0,4,"","",2,"",0
92,1070,[590],[],4,0,0,0,0,1,0,2,"","flamewall_fire",2,1,0
93,1071,[594],[],4,0,0,0,0,1,0,2,"","",2,"",0
94,1072,[618],[],3,0,0,0,0,1,0,2,"","",2,"",0
95,1073,[634],[],4,0,0,0,0,1,0,7,"","my_walls",2,"",0
96,1074,[161],[],4,0,0,0,0,1,0,7,"","bone_walls",2,1,0
97,1075,[636],[],4,0,0,0,0,1,0,7,"","",2,"",0
98,1076,"[637,638]",[],2,0,6,0,0,1,0,7,"","",2,"",0
99,1077,"[637,638]",[],4,2,6,0,0,1,0,7,"","",2,"",0
100,1078,[671],[],4,0,0,0,0,1,0,7,"","tree_spawner",2,1,0
101,1079,[661],[],4,0,0,0,0,1,0,7,"","",2,"",0
102,1080,[662],[],4,0,0,0,0,1,0,7,"","",2,"",0
103,1081,"[664,665,666]",[],4,0,0,0,0,1,0,2,"","",2,"",0
104,1082,[678],[],4,0,0,0,0,1,0,7,"","my_solar_orbs",2,1,0
105,1083,[679],[],4,0,0,0,0,1,0,7,"","my_mana_zones",2,1,0
106,1084,[684],[],4,0,0,0,0,1,0,7,"","",2,"",0
107,1085,[572],[],4,0,0,0,0,1,0,4,"","my_icicles",2,1,0
108,1086,[715],[],4,0,0,0,0,1,0,4,"","all_my_traps",2,1,0
