"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]","[string]","i32","[rid]"
16,"freeze",[],[],[],[],"[""Default"",""Myrmidon"",""VoidEmperor"",""Crystalline""]",[154],"[18079,27566,48015,45820]",[],15880,[],[],[],[],1000,[]
17,"brittle",[],[],[],[],"[""Default"",""Crystalline""]",[160],"[18079,45820]",[],16337,[],[],[],[],1000,[]
18,"poison",[],[],[],[],"[""Default"",""Demonic"",""BlackTar"",""Illusionist"",""Oblivion""]",[162],"[18079,61278,21233,54759,116,26742]",[],15881,[],[],[],"[""MeleeSpider""]",100,[]
19,"bleed",[],[],[],[],"[""Default"",""Purple"",""Stygian"",""Voodoo""]",[173],"[18079,19343,39541,37825]",[],15882,[],[],[],[],1000,[]
20,"exposure",[],[],[],[],"[""Default"",""Stygian"",""Celestial""]","[179,178,180]","[18079,39541,27572]",[],13548,[],[],[],[],1000,[]
21,"soulfeast","[69,70]",[],[],[],"[""Default""]",[],[18079],"[50,52]",339,[],[490],[],[],1000,[]
22,"mana_void","[73,74,75,76,77,78,79,80,81,82,83]",[],[],[],"[""Default""]",[],[18079],[],339,[],[491],[],[],1000,[]
23,"storm_rain","[84,85,86]",[3],[],[0],"[""Default""]",[],[18079],[],339,[],[492],[],[],1000,[]
24,"igniting_flask","[2450,2451,2452,2453,2454,2447,2446,2448,2445,2449]",[],"[376,0,0,0,377]",[],"[""Default""]",[440],[18079],[58],339,[],"[498,819,820,821,822,823]",[],[],1000,[]
25,"igniting_flask_wall","[87,89,90,92,93]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[498,819,820,821,822,823]",[],[],1000,[]
26,"igniting_flask_lite","[87,94,96,97,99]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[498,819,820,821,822,823]",[],[],1000,[]
27,"igniting_flask_wall_lite","[87,95,96,98,99]",[],[],[],"[""Default""]",[],[18079],[],339,[],"[498,819,820,821,822,823]",[],[],1000,[]
28,"infernal_blow","[100,101]",[],[],[],"[""Default"",""Stygian""]","[190,192,194]","[18079,39541]",[],339,[],[57],[],[],1000,[]
29,"smoke_mine",[104],[],[],[],"[""Default"",""Stygian""]",[],"[18079,39541,41304]",[],339,[],[137],[],"[""Shroudwalker""]",1000,[]
30,"chain_hook","[108,110,112,114]",[4],"[12,0]",[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],339,[],[407],[],[],1000,[]
31,"arcane_cloak",[116],[],"[16,0]",[],"[""Default"",""VoidEmperor""]",[196],"[18079,48015]",[],339,[],[431],[],[],1000,[]
32,"orb_of_storms","[2177,118,122,126,2182]",[6],[273],[],"[""Default"",""Celestial"",""Demonic""]",[],"[18079,27572,61278,55408]",[],339,[],[220],[],"[""Scientist1""]",1000,[]
33,"spark",[2220],[],[],[],"[""Default"",""SkeletonSpark"",""SpiderSpark"",""AvariusSpark"",""FireSpider"",""Sand"",""LightningElder"",""BestiaryCocoon"",""VaalIncursion"",""IncursionPipe"",""VaalIncursionEpic"",""DelveDweller"",""BetrayalCatarinaSpark"",""LegionMarakethSpark"",""LegionMarakethTornadoSpark"",""AtlasEyrie"",""HarvestHellion"",""Automaton"",""Celestial"",""Void""]",[],"[18079,63244,63286,26477,55029,25598,37016,62017,45534,10364,56855,15938,15102,32275,4271,13264,58149,3488,27572,9203,62305,33602,32874,17346,1975,59753,62896]","[59,93]",339,[],"[51,331,53,54,52]",[],"[""VaalArchivistSpark"",""VaalZealotSpark"",""AnchoriteInvisible"",""Scientist1Spark"",""ViperNapuatziSpark"",""VaalZealotSparkDescend"",""ChaosGodOwlBossSparknado""]",1000,[]
34,"spark_monster",[],[],[],[],"[""BookTornado"",""FireTornado"",""AfflicationFlamenado""]",[],"[42246,34282,41848,45198,30018]",[86],762,[],"[51,331,53,54]",[],"[""SkelemancerBonenado"",""SnakeSpark""]",1000,[]
35,"dual_strike","[130,132,135,136]",[],[],[],"[""Default"",""NoImpact"",""Nightfall""]",[],"[18079,32633,57192]",[],339,[],[18],[],[],1000,[]
36,"weapon_trap","[137,138,139,140]",[],[22],[],"[""Default""]",[],[18079],[],339,[],[489],[],[],1000,[]
37,"shield_waves","[141,142]",[],[],[],"[""Default""]",[],[18079],[],339,[],[493],[],[],1000,[]
38,"exsanguinate",[],"[10,0]",[],[],"[""Default"",""Celestial"",""Mercurial""]",[198],"[18079,27572,25270,31610]",[],339,[],[473],[],"[""BloodMage""]",1000,[]
39,"void_burst","[143,144,145]",[],[],[],"[""Default""]",[202],[18079],[],339,[],[485],[],[],1000,[]
40,"bladefall","[146,152,158]",[],[],[],"[""Default"",""Gold"",""Demonic"",""Acid"",""Chrome"",""Sawblade"",""Illusionist"",""VoidEmperor""]",[],"[18079,38699,61278,16802,55413,28838,54759,48015]",[],339,[],"[215,216]",[],[],1000,[]
41,"rage_slash","[174,176]",[],[25],[],"[""Default"",""Starfall""]",[],"[18079,3450]",[],339,[],[486],[],[],1000,[]
42,"ambush",[217],[],"[23,0]",[],"[""Default""]",[203],[18079],[],339,[],[488],[],[],1000,[]
43,"shock_nova","[178,184]",[],[],[],"[""Default"",""Riftworm"",""Kuduku"",""Blight"",""StormCultist"",""MonsterShock""]",[],"[18079,9609,36942,7333,64637,62796]",[],339,[],[202],[],[],1000,[]
44,"boneshatter",[190],[],[187],[],"[""Default"",""Celestial"",""101 = Skeletal Brute""]",[],"[18079,27572,59801]",[],339,[],"[495,496]",[],[],1000,[]
45,"flame_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],850,[],[197],[],[],1000,[]
46,"flame_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[197],[],[],1000,[]
47,"lightning_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[246],[],[],1000,[]
48,"ice_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],850,[],[196],[],[],1000,[]
49,"ice_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[196],[],[],1000,[]
50,"chaos_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],850,[],[195],[],[],1000,[]
51,"chaos_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[195],[],[],1000,[]
52,"stone_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[222],[],[],1000,[]
53,"bone_golem",[],[],[],[],"[""Default"",""Celestial"",""Darkwood"",""Stygian""]",[],"[18079,27572,12926,39541]",[],339,[],[414],[],[],1000,[]
54,"cold_snap","[193,200,201,208]",[],[],[],"[""Default"",""BigHands"",""Azurite"",""ProtoVaal"",""Overseer"",""Blighted"",""Delirium""]",[204],"[18079,37316,62276,18886,5427,25535,16922]",[],339,[],"[32,33]",[],[],1000,[]
55,"blood_rage",[215],[],[],[],"[""Default"",""Scavenger""]",[207],"[18079,46158]",[],339,[],[29],[],[],1000,[]
56,"lightning_strike","[218,242,248,254,224,230,224,260,266]",[],"[29,0]",[],"[""Default"",""Alternate"",""Myrmidon"",""Vulcan"",""VoidEmperor""]",[209],"[18079,25075,27566,15703,48015]","[99,100]",339,[],"[85,614,628,86]",[],[],1000,[]
57,"vortex",[272],[],[],[],"[""Default"",""Blackhole"",""UltimatumCold"",""UltimatumLightning"",""UltimatumRuin"",""Myrmidon""]",[],"[18079,59527,47438,14591,29755,27566]",[],339,[],[240],[],[],1000,[]
58,"burning_arrow","[276,277]",[],[41],[],"[""Default"",""Mystic""]",[368],"[18079,45462]","[111,112]",339,[],"[107,108]",[],[],1000,[]
59,"dash","[280,285,286,287,283,284]",[],"[43,0,0]",[],"[""Default"",""Wild"",""MonsterRunUnarmed"",""MonsterRun"",""Constrictor"",""Myrmidon"",""Divergence""]",[],"[18079,28806,44071,55600,8701,27566,58468]",[],339,[],"[403,576,423]",[],[],1000,[]
60,"cyclone","[305,322,342,335,336,348]",[],[],[],"[""Default"",""White"",""Blue"",""Saw"",""Illusionist"",""Celestial"",""Reserved1"",""Reserved2"",""Dark"",""Ghostflame"",""Automaton"",""BrutalPirateLord"",""UltimatumSabreSpider"",""UltimatumSabreSpiderRuin"",""UltimatumTrialmaster"",""Currency"",""Sharknado"",""Auspicious""]",[],"[18079,15971,52194,37218,54759,27572,3658,3657,5676,894,3488,28691,33116,19253,49128,53000,37940,45563]",[],339,[],"[129,128]",[],[],1000,[]
61,"herald_of_ash","[365,386]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[216,217]","[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[175],[],[],1000,[]
62,"herald_of_ice",[408],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[281],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[176],[],[],1000,[]
63,"herald_of_thunder",[387],[],[],[],"[""Default"",""Tribal"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[259,303]","[18079,24417,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[177],[],[],1000,[]
64,"herald_of_purity","[429,440]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[347],"[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[178],[],[],1000,[]
65,"eye_of_winter","[454,458]",[],"[340,0,0,0,341,0]",[],"[""Default"",""Celestial"",""VaalZealot""]",[],"[18079,27572,16732]","[115,119]",339,[],"[499,500]",[],[],1000,[]
66,"spectral_helix","[462,464,466]",[],[57],[],"[""Default"",""Nightfall""]",[],"[18079,57192]",[123],339,[],"[140,494]",[],[],1000,[]
67,"earthquake","[468,480,494,508,522]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer"",""Harmonious""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129,57521]",[],339,[],"[224,227,225,226]",[],[],1000,[]
68,"earthquake_ancestral","[534,539,544,549,554]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129]",[],339,[],"[224,227]",[],[],1000,[]
69,"earthquake_lite","[559,560,561,562,563]",[],[],[],[],[],[],[],339,[],"[224,227,225,226]",[],[],1000,[]
70,"earthshatter","[569,573,576,581,572,584,579,580,2410]",[18],[],[1],"[""Default"",""Verdant"",""Lava""]",[],"[18079,22421,43749]",[],339,[],[446],[],[],1000,[]
71,"earthshatter_ancestral","[585,588,591,594,572,584,597,598,2411]",[19],[],[4],"[""Default"",""Verdant"",""Lava""]",[],"[18079,22421,43749]",[],339,[],[446],[],[],1000,[]
72,"ground_slam","[599,608,609]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],339,[],[1],[],[],1000,[]
73,"ground_slam_ancestral","[619,623]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],339,[],[1],[],[],1000,[]
74,"ice_crash","[627,629,631]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],339,[],[198],[],[],1000,[]
75,"ice_crash_lite","[633,635,637]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],339,[],[198],[],[],1000,[]
76,"ice_crash_ancestral","[639,641,643]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],339,[],[198],[],[],1000,[]
77,"leap_slam","[645,656]",[],"[58,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage"",""CrowbellLeapSlam"",""CultistGolemSlam""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972,1015,29555]",[],339,[],"[12,14,207,13,756]",[],[],1000,[]
78,"leap_slam_ancestral","[699,706]",[],"[58,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972]",[],339,[],"[12,14,207,13,756]",[],[],1000,[]
79,"perforate","[725,726,727,728,729]",[],[],[],"[""Default""]",[],[18079],[],339,[],[406],[],[],1000,[]
80,"perforate_ancestral","[730,731,732,733,734]",[],[],[],"[""Default""]",[],[18079],[],339,[],[406],[],[],1000,[]
81,"sunder","[735,739,743]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],339,[],[236],[],[],1000,[]
82,"sunder_ancestral","[747,751,755]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],339,[],[236],[],[],1000,[]
83,"tectonic_slam","[759,763,767,771]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],339,[],[313],[],[],1000,[]
84,"tectonic_slam_ancestral","[775,777,779,771]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],339,[],[313],[],[],1000,[]
85,"tectonic_slam_lite","[781,783,785]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],339,[],[313],[],[],1000,[]
86,"cleave","[787,791,793,796]",[],[],[],"[""Default"",""DemonCleave"",""BreachCleave"",""NoEffect"",""BreachSmallCleave"",""LegionEternalEmpire"",""BeastCleave""]",[],"[18079,34274,56897,47632,34009,21981,4403]",[],339,[],[3],[],[],1000,[]
87,"blade_flurry_sound",[809],[],[],[],"[""Default"",""MossMonster"",""NoSound"",""Urchin""]",[],"[18079,52232,48877,39658]",[],1681,[],"[19,20]",[],[],1000,[]
88,"piety_reverse_cleave_sound",[812],[],[],[],"[""Default"",""Beast""]",[],"[18079,4395]",[],1681,[],[214],[],[],1000,[]
89,"purge_hound_whirling_blades_sound",[814],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1681,[],[279],[],[],1000,[]
90,"whirling_leap_sound",[816],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1681,[],[223],[],[],1000,[]
91,"maligaro_blade_flurry_sound",[818],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1681,[],[273],[],[],1000,[]
92,"mortar_barrage_mine","[820,823]",[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[370],"[18079,7859,39541]",[125],339,[],[420],[],[],1000,[]
93,"mine_lightning_explosion",[826],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[372],"[18079,7859,39541]",[],339,[],[421],[],[],1000,[]
94,"cold_projectile_mine",[829],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[374],"[18079,7859,39541]",[128],339,[],[422],[],[],1000,[]
95,"poisonous_concoction","[840,832,842]",[],"[118,0]",[],"[""Default"",""Demonic"",""Alchemist""]",[441],"[18079,61278,31801]",[131],339,[],[502],[],[],1000,[]
96,"poisonous_concoction_wall","[840,833]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],339,[],[502],[],[],1000,[]
97,"poisonous_concoction_lite","[840,834]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],339,[],[502],[],[],1000,[]
98,"poisonous_concoction_wall_lite","[840,835]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],339,[],[502],[],[],1000,[]
99,"glacial_cascade","[850,854]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],339,[],"[456,586]",[],[],1000,[]
100,"glacial_cascade_lite","[858,859]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],339,[],[456],[],[],1000,[]
101,"glacial_cascade_old",[860],[],[],[],"[""Default"",""Dark"",""Miner"",""Chaos"",""Molten"",""Ornaments"",""Seawitch"",""Wave"",""Gemling"",""GemlingUpgraded"",""Lightning"",""AbyssBatVomit"",""Arctic"",""Illusionist"",""Stranglecharm""]",[],"[18079,5676,52447,38322,19877,35565,49065,24110,25069,719,41050,34205,59603,54759,21597]",[],339,[],"[163,164]",[],[],1000,[]
102,"arc","[875,887,890]",[20],"[65,0]",[],"[""Default"",""Guardian"",""Piety"",""BreachLightning"",""PurpleMTX"",""Clockwork"",""Automaton"",""Sulphite"",""Celestial"",""BlightLightning"",""WithCurve"",""BreachLightningNew"",""HellscapeFleshFodder"",""AtlasInvadersConsumeFodder2""]",[376],"[18079,57229,56950,58664,43085,56503,3488,48680,27572,11101,57028,2612,44603,7272]",[],339,[],"[37,38,514,560]",[],[],1000,[]
103,"chronomancer",[902],[],"[69,0,0,0]",[],"[""Default"",""Sanctum""]",[],"[18079,23923]",[],339,[],[503],[],[],1000,[]
104,"flame_wall","[904,908]",[],[],[7],"[""Default"",""Stygian"",""Oblivion"",""Transcendence""]",[379],"[18079,39541,116,28088]",[],339,[],[451],[],[],1000,[]
105,"storm_brand","[924,927,930,933,936]","[35,0]",[],[],"[""Default"",""Automaton"",""Celestial""]",[],"[18079,3488,27572]",[],339,[],[377],[],[],1000,[]
106,"armageddon_brand","[939,941,943,945,947,949]",[41],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],339,[],[385],[],[],1000,[]
107,"arcanist_brand","[951,953,955,957]",[43],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],339,[],[438],[],[],1000,[]
108,"penance_brand","[959,961,963,965,967,969]","[45,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[399,401]","[18079,64124,27572]",[],339,[],[444],[],[],1000,[]
109,"winter_brand","[971,973,975,977,979]","[49,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[403,405,407]","[18079,64124,27572]",[],339,[],[445],[],[],1000,[]
110,"shield_charge","[981,986,991,996,1001,1006,1010,1015]",[],"[124,0,0,0,127]",[],"[""Default"",""UNUSED"",""Kitava"",""Tibbs"",""Misery"",""Deepwater""]",[],"[18079,64124,5816,63659,32478,57983]",[],339,[],"[8,455,9]",[],[],1000,[]
111,"tornado","[1174,1186,1188,1190,1192,1194,1196,1198,1200,1202,1204]",[],[],[],"[""Default"",""Shark""]",[],"[18079,39872]",[],339,[0],"[504,505]",[],[],1000,[]
112,"barrage_bow","[1017,1025,1033]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[134],339,[],[155],[],[],1000,[]
