"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
73,11286,9901,"Summons constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby constructs with 100% increased Damage and 30% Attack and Cast Speed",2
74,11287,9902,"Summons constructs\r\n5% increased Attack Damage per 450 Armour\r\nBuffs nearby constructs with 100% increased Damage and 30% Attack and Cast Speed\r\nNearby allies gain 20% of Physical Damage as Extra Lightning Damage",2
75,11288,9877,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life",1
76,11289,9878,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent",1
77,11290,9879,"Loses a percentage of Life when casting spells\r\nUpon reaching 20% Life, stops casting to recover to Full Life\r\nHeals nearby allies for 10% of the Life spent\r\nWhile on Low Life nearby allies gain spell damage",1
78,11291,9880,"",1
79,11292,9881,"",1
80,11293,9882,"",1
81,11294,9921,"Summons Spiders\r\n",4
82,11295,9922,"Summons Spiders\r\nAlly spiders deal additional chaos damage with attacks",4
83,11296,9923,"Summons Spiders\r\nAlly spiders deal additional chaos damage with attacks\r\nOwner gains 20% increased Effect of Withered",4
84,11297,9894,"Must be linked to be powered",2
85,11298,9895,"Must be Linked to be powered\r\n100% effects of Links on this",2
86,11299,9896,"Must be linked to be powered\r\n100% effects of Links on this\r\nOwner gains 20% increased Skill Effect Duration",2
87,11300,9915,"High Life",3
88,11301,9916,"Higher Life\r\nReleases a caustic cloud when hit",3
89,11302,9917,"Highest Life\r\nReleases a caustic cloud when hit\r\nOwner's minions have 40% increased maximum Life",3
90,11303,9859,"Casts channelled Lightning Beam\r\nCannot inflict Shock",0
91,11304,9860,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion",0
92,11305,9861,"Casts channelled Lightning Beam\r\nCannot inflict Shock\r\nRemoves Shock on hit to trigger Lightning Explosion\r\nCasts Purity of Lightning",0
93,11306,9924,"5% increased Attack Damage per 450 Evasion Rating",4
94,11307,9925,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit",4
95,11308,9926,"5% increased Attack Damage per 450 Evasion Rating\r\n5% chance to grant a Frenzy Charge to nearby Allies on Hit\r\nCasts Haste",4
96,11309,9927,"Buffs Owner with Rongokurai's Boon",4
97,11310,9928,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction",4
98,11311,9929,"Buffs Owner with Rongokurai's Boon\r\nOwner gains 5% Physical Damage Reduction\r\nCasts Determination",4
99,11312,9888,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams",2
100,11313,9889,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite",2
101,11314,9890,"Fires Lightning Beams\r\nFires Chilling Blasts\r\nRain of Boulders\r\nSlams\r\nSlam deals 500% more Damage with Ignite\r\nLightning Beam has 20% Maximum Effect of Shock",2
102,11315,9930,"Cyclones\r\nUses Molten Fissure",5
103,11316,9931,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike",5
104,11317,9932,"Cyclones\r\nUses Molten Fissure\r\nCulling Strike\r\nNearby allies have Onslaught",5
